區域名稱,成交價/售價,總價格,每坪價格,坪數,屋齡,房屋規格,住宅類型,樓層
中正區,13660000,13660000,867409.0,15.75,51,公寓(5樓含以下無電梯),住家用,三層
中正區,23500000,23500000,812533.0,28.92,55,公寓(5樓含以下無電梯),住家用,三層
中正區,11000000,11000000,1199334.0,9.17,31,華廈(10層含以下有電梯),商業用,五層
中正區,4100000,4100000,797749.0,5.14,50,住宅大樓(11層含以上有電梯),商業用,夾層
中正區,12000000,12000000,807934.0,14.85,34,華廈(10層含以下有電梯),住家用,六層
中正區,11500000,11500000,949707.0,12.11,9,住宅大樓(11層含以上有電梯),商業用,一層
中正區,10880000,10880000,800218.0,16.59,14,住宅大樓(11層含以上有電梯),住家用,六層
中正區,24000000,24000000,614889.0,39.03,38,華廈(10層含以下有電梯),住家用,六層
中正區,42000000,42000000,656347.0,63.99,33,華廈(10層含以下有電梯),住家用,三層
中正區,13080000,13080000,1534417.0,8.52,19,住宅大樓(11層含以上有電梯),辦公用,八層
中正區,24000000,24000000,573593.0,41.84,44,華廈(10層含以下有電梯),住家用,四層
中正區,21700000,21700000,1230673.0,17.63,2,華廈(10層含以下有電梯),住家用,四層
中正區,22220000,22220000,1260161.0,17.63,2,華廈(10層含以下有電梯),住家用,二層
中正區,20000000,20000000,779762.0,25.65,50,公寓(5樓含以下無電梯),住家用,四層
中正區,11080000,11080000,854404.0,12.97,47,住宅大樓(11層含以上有電梯),商業用,九層
中正區,107280000,107280000,1211804.0,88.53,17,住宅大樓(11層含以上有電梯),住家用,十二層
中正區,41255500,41255500,849971.0,47.65,11,住宅大樓(11層含以上有電梯),辦公用,十一層
中正區,14580000,14580000,617692.0,23.6,41,公寓(5樓含以下無電梯),住家用,四層
中正區,124500000,124500000,1212753.0,102.66,5,住宅大樓(11層含以上有電梯),住家用,十五層
中正區,24100000,24100000,931376.0,25.88,38,住宅大樓(11層含以上有電梯),住家用,十一層
中正區,84580000,84580000,1160752.0,81.87,7,住宅大樓(11層含以上有電梯),住家用,五層
中正區,28350000,28350000,1306740.0,21.7,8,住宅大樓(11層含以上有電梯),住家用,十三層
中正區,19500000,19500000,706446.0,27.6,56,公寓(5樓含以下無電梯),住家用,五層
中正區,42680000,42680000,1123836.0,48.69,10,華廈(10層含以下有電梯),住家用,七層
中正區,17500000,17500000,850506.0,20.58,2,住宅大樓(11層含以上有電梯),住家用,三層
中正區,21400000,21400000,893459.0,23.95,37,華廈(10層含以下有電梯),住家用,三層
中正區,13500000,13500000,503136.0,26.83,45,公寓(5樓含以下無電梯),住家用,四層
中正區,4500000,4500000,348795.0,12.9,16,住宅大樓(11層含以上有電梯),住家用,九層
中正區,9000000,9000000,774595.0,11.62,54,公寓(5樓含以下無電梯),住家用,二層
中正區,17800000,17800000,1281708.0,13.89,2,華廈(10層含以下有電梯),住家用,七層
