區域名稱,成交價/售價,總價格,每坪價格,坪數,屋齡,房屋規格,住宅類型,樓層
南港區,3500000,3500000,454273.0,7.7,42,公寓(5樓含以下無電梯),住家用,四層
南港區,20580000,20580000,929872.0,30.81,3,住宅大樓(11層含以上有電梯),住家用,四層
南港區,11500000,11500000,363797.0,31.61,44,公寓(5樓含以下無電梯),工業用,三層
南港區,24500000,24500000,1055823.0,23.2,20,住宅大樓(11層含以上有電梯),住家用,四層
南港區,6404497,6404497,138569.0,46.22,14,住宅大樓(11層含以上有電梯),住家用,六層
南港區,38680000,38680000,1197043.0,43.84,18,住宅大樓(11層含以上有電梯),住家用,六層
南港區,29800000,29800000,1038269.0,35.81,17,住宅大樓(11層含以上有電梯),住家用,十三層
南港區,82880000,82880000,932216.0,97.29,16,住宅大樓(11層含以上有電梯),住家用,七層
南港區,7000000,7000000,565784.0,12.37,42,公寓(5樓含以下無電梯),住家用,三層
南港區,10000000,10000000,458058.0,21.83,52,公寓(5樓含以下無電梯),住家用,三層
南港區,28000000,28000000,669144.0,41.84,26,住宅大樓(11層含以上有電梯),商業用,二層
南港區,41500000,41500000,540376.0,76.8,14,住宅大樓(11層含以上有電梯),住家用,四層
南港區,10000000,10000000,829144.0,12.06,35,華廈(10層含以下有電梯),住家用,三層
南港區,30000000,30000000,368924.0,81.32,37,華廈(10層含以下有電梯),工業用,四層，走廊
南港區,16580000,16580000,836159.0,19.83,48,公寓(5樓含以下無電梯),住家用,二層
南港區,8000000,8000000,400461.0,19.98,54,公寓(5樓含以下無電梯),住家用,一層，平台
南港區,22800000,22800000,627057.0,36.36,48,公寓(5樓含以下無電梯),住家用,二層
南港區,12000000,12000000,975882.0,12.3,15,華廈(10層含以下有電梯),辦公用,四層
南港區,32000000,32000000,792460.0,40.38,41,華廈(10層含以下有電梯),住家用,三層
南港區,24780000,24780000,1360036.0,27.7,3,住宅大樓(11層含以上有電梯),住家用,十二層
南港區,54450000,54450000,808020.0,76.06,10,住宅大樓(11層含以上有電梯),住家用,三層
南港區,24180000,24180000,622297.0,38.86,28,住宅大樓(11層含以上有電梯),住家用,八層
南港區,13000000,13000000,649960.0,20.0,56,公寓(5樓含以下無電梯),住家用,二層
南港區,22042446,22042446,821630.0,29.37,2,華廈(10層含以下有電梯),住家用,二層
南港區,22440356,22440356,1470433.0,15.26,2,華廈(10層含以下有電梯),商業用,一層
南港區,5000000,5000000,242289.0,20.64,51,公寓(5樓含以下無電梯),工業用,一層，平台
南港區,15880000,15880000,854050.0,21.46,2,華廈(10層含以下有電梯),住家用,六層
南港區,60800000,60800000,789756.0,76.99,22,住宅大樓(11層含以上有電梯),住家用,十二層
南港區,4500000,4500000,256973.0,17.51,49,公寓(5樓含以下無電梯),住家用,二層
南港區,10550000,10550000,571179.0,18.47,42,華廈(10層含以下有電梯),住家用,四層
南港區,20100000,20100000,802979.0,25.03,2,華廈(10層含以下有電梯),住家用,三層
南港區,3700000,3700000,200844.0,18.42,56,公寓(5樓含以下無電梯),住家用,三層
南港區,20800000,20800000,682082.0,30.49,44,公寓(5樓含以下無電梯),工業用,一層
南港區,33000000,33000000,1123384.0,40.56,9,華廈(10層含以下有電梯),住家用,六層
南港區,23500000,23500000,1088349.0,21.59,47,公寓(5樓含以下無電梯),其他,一層，停車場
南港區,15500000,15500000,898156.0,17.26,49,公寓(5樓含以下無電梯),住家用,二層
南港區,58800000,58800000,1144276.0,63.52,17,住宅大樓(11層含以上有電梯),住家用,九層
南港區,6000000,6000000,287129.0,20.9,46,公寓(5樓含以下無電梯),住家用,三層
南港區,20200000,20200000,670185.0,30.14,50,公寓(5樓含以下無電梯),住家用,四層，陽臺
南港區,12000000,12000000,665150.0,18.04,54,公寓(5樓含以下無電梯),住家用,一層，騎樓
南港區,7350000,7350000,361572.0,20.33,41,公寓(5樓含以下無電梯),住家用,四層
南港區,3240000,3240000,186371.0,17.38,41,公寓(5樓含以下無電梯),住家用,二層
南港區,15250000,15250000,1174590.0,12.98,49,公寓(5樓含以下無電梯),商業用,一層
南港區,24000000,24000000,719957.0,33.34,42,公寓(5樓含以下無電梯),住家用,四層
南港區,42080000,42080000,854510.0,53.54,15,華廈(10層含以下有電梯),住家用,二層
南港區,23020000,23020000,613213.0,37.54,36,公寓(5樓含以下無電梯),工業用,三層
南港區,14200000,14200000,501576.0,28.31,47,公寓(5樓含以下無電梯),住家用,二層
南港區,9600000,9600000,959651.0,10.0,52,公寓(5樓含以下無電梯),工業用,一層，平台
南港區,42880000,42880000,970424.0,54.04,17,住宅大樓(11層含以上有電梯),住家用,七層
南港區,39680000,39680000,976371.0,44.1,17,住宅大樓(11層含以上有電梯),住家用,八層
南港區,39000000,39000000,816506.0,47.76,31,住宅大樓(11層含以上有電梯),住家用,十層，電梯樓梯間
南港區,17000000,17000000,770899.0,22.05,49,公寓(5樓含以下無電梯),住家用,四層
南港區,21000000,21000000,703934.0,29.83,46,公寓(5樓含以下無電梯),住家用,五層
南港區,33300000,33300000,971866.0,34.26,45,公寓(5樓含以下無電梯),住商用,一層，騎樓
南港區,27600000,27600000,715835.0,38.56,34,華廈(10層含以下有電梯),住家用,九層
南港區,25420085,25420085,1408287.0,21.63,2,華廈(10層含以下有電梯),商業用,一層
南港區,26800000,26800000,634591.0,42.23,36,公寓(5樓含以下無電梯),住家用,二層
南港區,25800000,25800000,666482.0,38.71,28,住宅大樓(11層含以上有電梯),住家用,十四層
南港區,12200000,12200000,554528.0,22.0,51,公寓(5樓含以下無電梯),住家用,一層，平台
南港區,43080000,43080000,851759.0,50.58,15,住宅大樓(11層含以上有電梯),住家用,三層
南港區,31000000,31000000,890354.0,34.82,12,華廈(10層含以下有電梯),住家用,三層
南港區,11500000,11500000,437929.0,26.26,45,公寓(5樓含以下無電梯),工業用,二層
