區域名稱,成交價/售價,總價格,每坪價格,坪數,屋齡,房屋規格,住宅類型,樓層
士林區,9500000,9500000,334309.0,28.42,45,公寓(5樓含以下無電梯),其他,地下層
士林區,1978234,1978234,162434.0,12.18,2,住宅大樓(11層含以上有電梯),住家用,三層
士林區,17500000,17500000,487169.0,35.92,47,公寓(5樓含以下無電梯),住家用,四層
士林區,15000000,15000000,483966.0,30.99,45,華廈(10層含以下有電梯),住家用,五層
士林區,35800000,35800000,696327.0,51.41,46,住宅大樓(11層含以上有電梯),住家用,十二層
士林區,66500000,66500000,1050891.0,71.72,2,住宅大樓(11層含以上有電梯),住家用,十五層
士林區,14500000,14500000,601054.0,24.12,54,公寓(5樓含以下無電梯),住家用,二層
士林區,20900000,20900000,380289.0,54.96,32,華廈(10層含以下有電梯),住家用,八層
士林區,20000000,20000000,467086.0,42.82,48,公寓(5樓含以下無電梯),商業用,一層
士林區,20800000,20800000,633157.0,32.85,45,華廈(10層含以下有電梯),住家用,七層
士林區,35300000,35300000,753746.0,46.83,42,華廈(10層含以下有電梯),住家用,二層
士林區,12500000,12500000,480941.0,25.99,42,公寓(5樓含以下無電梯),住家用,三層
士林區,26880000,26880000,1010805.0,26.59,60,透天厝,住家用,全
士林區,80000000,80000000,1063598.0,75.22,2,住宅大樓(11層含以上有電梯),住家用,十二層
士林區,38000000,38000000,823362.0,46.15,42,華廈(10層含以下有電梯),商業用,一層
士林區,12000000,12000000,288841.0,41.55,42,華廈(10層含以下有電梯),其他,地下層
士林區,26000000,26000000,622426.0,41.77,42,公寓(5樓含以下無電梯),住家用,四層
士林區,40000000,40000000,1300472.0,30.76,62,透天厝,住家用,全
士林區,4540000,4540000,170900.0,26.57,45,公寓(5樓含以下無電梯),住家用,五層
士林區,65500000,65500000,1335203.0,49.06,2,住宅大樓(11層含以上有電梯),住家用,十層
士林區,24000000,24000000,611196.0,39.27,49,公寓(5樓含以下無電梯),商業用,二層
士林區,25500000,25500000,965832.0,26.4,28,住宅大樓(11層含以上有電梯),住家用,四層
士林區,26800000,26800000,1349305.0,19.86,65,公寓(5樓含以下無電梯),住家用,一層，騎樓
士林區,8440000,8440000,462012.0,18.27,53,公寓(5樓含以下無電梯),住家用,三層
士林區,22700000,22700000,672175.0,33.77,45,華廈(10層含以下有電梯),住家用,六層
士林區,42000000,42000000,652767.0,64.34,40,住宅大樓(11層含以上有電梯),住家用,十一層
士林區,28570000,28570000,630105.0,45.34,45,華廈(10層含以下有電梯),住家用,四層
士林區,3750000,3750000,525956.0,7.13,25,華廈(10層含以下有電梯),商業用,四層
士林區,4500000,4500000,259029.0,17.37,29,住宅大樓(11層含以上有電梯),住家用,三層
士林區,21680000,21680000,604452.0,35.87,43,公寓(5樓含以下無電梯),住家用,四層
士林區,55500000,55500000,797461.0,69.6,21,住宅大樓(11層含以上有電梯),住家用,六層
士林區,15800000,15800000,460597.0,34.3,40,公寓(5樓含以下無電梯),住家用,五層
士林區,15000000,15000000,480587.0,31.21,56,公寓(5樓含以下無電梯),住家用,三層
士林區,14200000,14200000,545715.0,26.02,48,住宅大樓(11層含以上有電梯),商業用,八層
士林區,55700000,55700000,660403.0,91.9,16,住宅大樓(11層含以上有電梯),商業用,十三層
士林區,11000000,11000000,466802.0,23.56,48,公寓(5樓含以下無電梯),住家用,三層
士林區,63000000,63000000,882358.0,82.54,18,住宅大樓(11層含以上有電梯),住家用,三層
士林區,49800000,49800000,1059830.0,56.37,2,華廈(10層含以下有電梯),住家用,十層
士林區,13980000,13980000,533540.0,26.2,65,透天厝,住家用,全
士林區,56580000,56580000,1238597.0,53.48,2,住宅大樓(11層含以上有電梯),住家用,三層
士林區,31880000,31880000,838215.0,38.03,2,住宅大樓(11層含以上有電梯),住家用,三層
士林區,6000000,6000000,862758.0,6.95,29,住宅大樓(11層含以上有電梯),住家用,三層
士林區,113680000,113680000,1359867.0,95.96,2,住宅大樓(11層含以上有電梯),住家用,十一層
士林區,30500000,30500000,806228.0,37.83,37,住宅大樓(11層含以上有電梯),住家用,十一層
士林區,30000000,30000000,686515.0,43.7,38,住宅大樓(11層含以上有電梯),住家用,六層
士林區,27450000,27450000,619838.0,44.29,45,住宅大樓(11層含以上有電梯),住家用,十層
士林區,13100000,13100000,690026.0,18.99,41,住宅大樓(11層含以上有電梯),住家用,六層
士林區,21000000,21000000,634800.0,33.08,9,住宅大樓(11層含以上有電梯),住家用,十一層
士林區,27500000,27500000,363853.0,84.31,32,住宅大樓(11層含以上有電梯),住家用,六層
士林區,86500000,86500000,1216680.0,82.42,3,住宅大樓(11層含以上有電梯),住家用,八層
士林區,5405000,5405000,227499.0,23.76,45,華廈(10層含以下有電梯),住家用,二層
士林區,26800000,26800000,735233.0,36.45,45,公寓(5樓含以下無電梯),住家用,五層
士林區,19000000,19000000,558660.0,34.01,47,公寓(5樓含以下無電梯),住家用,五層
士林區,5200000,5200000,297512.0,17.48,50,公寓(5樓含以下無電梯),其他,一層，平台
士林區,39500000,39500000,657067.0,60.12,19,住宅大樓(11層含以上有電梯),商業用,九層
士林區,6139640,6139640,645765.0,9.51,2,住宅大樓(11層含以上有電梯),住家用,十五層
士林區,75000000,75000000,727468.0,103.1,24,華廈(10層含以下有電梯),住家用,九層
士林區,41000000,41000000,755164.0,61.17,40,住宅大樓(11層含以上有電梯),商業用,五層
士林區,22380000,22380000,690149.0,32.43,49,公寓(5樓含以下無電梯),住家用,二層
士林區,16000000,16000000,450805.0,35.49,49,公寓(5樓含以下無電梯),住家用,三層
士林區,11000000,11000000,675153.0,16.29,39,華廈(10層含以下有電梯),住家用,三層
士林區,61800000,61800000,939046.0,65.81,15,華廈(10層含以下有電梯),住家用,六層
士林區,15000000,15000000,595424.0,25.19,48,公寓(5樓含以下無電梯),住家用,三層
士林區,3500000,3500000,371797.0,9.41,54,公寓(5樓含以下無電梯),住家用,一層
士林區,61000000,61000000,1339401.0,53.48,2,住宅大樓(11層含以上有電梯),住家用,五層
士林區,10879809,10879809,772641.0,14.08,2,住宅大樓(11層含以上有電梯),住家用,十二層
士林區,23970606,23970606,319899.0,74.93,41,華廈(10層含以下有電梯),住家用,五層
士林區,19680000,19680000,343132.0,57.35,48,公寓(5樓含以下無電梯),住家用,二層
士林區,54000000,54000000,899720.0,70.27,32,華廈(10層含以下有電梯),住家用,五層
士林區,62000000,62000000,1283490.0,64.08,2,住宅大樓(11層含以上有電梯),住家用,五層
士林區,63000000,63000000,1388403.0,53.48,2,住宅大樓(11層含以上有電梯),住家用,十層
士林區,69800000,69800000,1461669.0,64.06,2,住宅大樓(11層含以上有電梯),住家用,十四層
士林區,116080000,116080000,1452688.0,104.32,2,住宅大樓(11層含以上有電梯),住家用,十四層
士林區,6500000,6500000,597378.0,10.88,56,公寓(5樓含以下無電梯),住家用,四層
士林區,13400000,13400000,643583.0,20.82,41,公寓(5樓含以下無電梯),住家用,二層
士林區,135000000,135000000,1689251.0,79.92,62,透天厝,住家用,全
士林區,23500000,23500000,403271.0,58.27,32,透天厝,住家用,全
士林區,11900000,11900000,808780.0,14.71,48,華廈(10層含以下有電梯),住家用,八層
士林區,152000000,152000000,1369467.0,126.31,7,住宅大樓(11層含以上有電梯),住家用,十九層
士林區,15000000,15000000,527017.0,28.46,32,華廈(10層含以下有電梯),住家用,三層
士林區,3000000,3000000,563807.0,5.32,41,公寓(5樓含以下無電梯),商業用,一層
士林區,44600000,44600000,595616.0,74.88,30,住宅大樓(11層含以上有電梯),商業用,六層
士林區,68000000,68000000,625454.0,108.72,30,住宅大樓(11層含以上有電梯),商業用,二層
士林區,57000000,57000000,480015.0,118.75,30,住宅大樓(11層含以上有電梯),住家用,七層
士林區,12600000,12600000,517173.0,24.36,54,公寓(5樓含以下無電梯),住家用,三層
士林區,25100000,25100000,721088.0,34.81,29,住宅大樓(11層含以上有電梯),住家用,一層
士林區,18520000,18520000,663742.0,27.9,47,公寓(5樓含以下無電梯),住家用,三層
士林區,12420000,12420000,707897.0,17.54,53,公寓(5樓含以下無電梯),住家用,二層
士林區,9680000,9680000,634671.0,15.25,20,住宅大樓(11層含以上有電梯),住家用,八層
士林區,14850000,14850000,1060054.0,14.01,28,住宅大樓(11層含以上有電梯),住家用,四層
士林區,12000000,12000000,378491.0,31.7,45,華廈(10層含以下有電梯),住家用,二層
士林區,27500000,27500000,633692.0,43.4,13,住宅大樓(11層含以上有電梯),住家用,九層
士林區,24500000,24500000,935677.0,26.18,42,公寓(5樓含以下無電梯),商業用,一層
士林區,20780000,20780000,609047.0,34.12,44,公寓(5樓含以下無電梯),住家用,五層
士林區,49880000,49880000,1046210.0,47.68,29,華廈(10層含以下有電梯),住家用,一層，二層
士林區,38400000,38400000,658145.0,58.35,30,華廈(10層含以下有電梯),住家用,三層，電梯樓梯間
士林區,6500000,6500000,285436.0,22.77,49,公寓(5樓含以下無電梯),住家用,一層
士林區,16400000,16400000,1129952.0,14.51,18,住宅大樓(11層含以上有電梯),商業用,五層
士林區,23700000,23700000,709091.0,33.42,49,華廈(10層含以下有電梯),住家用,三層
士林區,15100000,15100000,882715.0,17.11,54,公寓(5樓含以下無電梯),住家用,一層
士林區,26500000,26500000,601014.0,44.09,28,華廈(10層含以下有電梯),住家用,六層
士林區,7250000,7250000,852010.0,8.51,30,住宅大樓(11層含以上有電梯),住家用,八層
士林區,52000000,52000000,1278078.0,40.69,48,公寓(5樓含以下無電梯),住商用,一層
士林區,11500000,11500000,540548.0,21.27,51,公寓(5樓含以下無電梯),住家用,四層
士林區,12500000,12500000,577533.0,21.64,49,公寓(5樓含以下無電梯),住家用,三層
士林區,49800000,49800000,870734.0,63.07,11,華廈(10層含以下有電梯),住家用,七層，見其他登記事項
士林區,13100000,13100000,592988.0,22.09,51,公寓(5樓含以下無電梯),住家用,四層，陽臺
士林區,35000000,35000000,546931.0,63.99,46,華廈(10層含以下有電梯),住家用,二層
士林區,16400000,16400000,864675.0,18.97,29,住宅大樓(11層含以上有電梯),住家用,四層
士林區,13100000,13100000,582303.0,22.5,51,公寓(5樓含以下無電梯),住家用,四層，陽臺
士林區,12380000,12380000,1231222.0,10.06,14,華廈(10層含以下有電梯),住家用,二層
士林區,28060000,28060000,1100210.0,34.97,6,住宅大樓(11層含以上有電梯),住家用,二十一層
士林區,6000000,6000000,639831.0,9.38,34,華廈(10層含以下有電梯),住家用,四層
士林區,12400000,12400000,948447.0,13.07,61,透天厝,住家用,全
士林區,19500000,19500000,589781.0,33.06,42,公寓(5樓含以下無電梯),住家用,四層
士林區,17600000,17600000,561169.0,31.36,43,住宅大樓(11層含以上有電梯),住家用,十二層
士林區,11230000,11230000,483639.0,23.22,51,公寓(5樓含以下無電梯),住家用,二層
士林區,11290000,11290000,483827.0,23.33,51,公寓(5樓含以下無電梯),住家用,二層
士林區,22380000,22380000,711451.0,31.46,42,公寓(5樓含以下無電梯),住家用,三層
