區域名稱,成交價/售價,總價格,每坪價格,坪數,屋齡,房屋規格,住宅類型,樓層
萬華區,3700000,3700000,557242.0,6.64,45,住宅大樓(11層含以上有電梯),住家用,八層
萬華區,3800000,3800000,572303.0,6.64,45,住宅大樓(11層含以上有電梯),其他,六層
萬華區,10400000,10400000,569589.0,18.26,44,住宅大樓(11層含以上有電梯),住家用,四層
萬華區,8500000,8500000,359271.0,31.14,4,住宅大樓(11層含以上有電梯),住家用,四層
萬華區,14200000,14200000,880721.0,16.12,49,華廈(10層含以下有電梯),住家用,九層
萬華區,23500000,23500000,703554.0,33.4,6,住宅大樓(11層含以上有電梯),住家用,九層
萬華區,33000000,33000000,520693.0,71.76,11,華廈(10層含以下有電梯),住家用,二層
萬華區,14000000,14000000,428610.0,32.66,44,公寓(5樓含以下無電梯),住家用,五層
萬華區,6000000,6000000,379979.0,15.79,51,住宅大樓(11層含以上有電梯),商業用,十層
萬華區,30800000,30800000,790701.0,38.95,15,住宅大樓(11層含以上有電梯),住家用,十三層
萬華區,2200000,2200000,287347.0,7.66,39,住宅大樓(11層含以上有電梯),住家用,十層
萬華區,2600000,2600000,433658.0,6.0,46,華廈(10層含以下有電梯),其他,四層
萬華區,33000000,33000000,670525.0,55.78,3,住宅大樓(11層含以上有電梯),住家用,十一層
萬華區,31900000,31900000,671854.0,54.06,3,住宅大樓(11層含以上有電梯),住家用,十一層
萬華區,10910000,10910000,502386.0,21.72,29,住宅大樓(11層含以上有電梯),商業用,六層
萬華區,9360000,9360000,711970.0,13.15,24,住宅大樓(11層含以上有電梯),辦公用,十層
萬華區,3500000,3500000,654059.0,5.35,31,住宅大樓(11層含以上有電梯),商業用,七層
萬華區,8280000,8280000,649550.0,12.75,29,住宅大樓(11層含以上有電梯),商業用,五層
萬華區,7300000,7300000,481298.0,15.17,54,公寓(5樓含以下無電梯),住家用,三層
萬華區,9800000,9800000,469248.0,20.88,47,公寓(5樓含以下無電梯),住家用,五層
萬華區,18680000,18680000,926655.0,20.16,53,公寓(5樓含以下無電梯),住家用,一層
