objName,age
HA1113 中山明亮美妝宅,43.8
JZ8林森南京整層商辦,37.3
BZ8林森北路小資首選美套,43.3
B9中山陽光小資美宅,34.2
316長春基泰絕版4米5,28.3
南京復興七年挑高面公園宅,7.8
F6大同學區伊通電梯名門,36.8
BZ9獨家北市低總小金雞,45.7
H9榮星花園方正公寓,47.9
BZ5中山國小捷運約5分鐘,46.9
辦公大樓獨立產權車位,25.4
DZ2中山國小2房含陽台明火廚房,48
A8忠泰繪低奢新寓所,2.3
松江南京庭院一樓,49.8
BZ9晶華商圈低總首選,45.7
BZ8中山國小捷運美妝收租寶,43.8
新生公園景觀三樓,53.3
中山區車位,22.1
佳元松江捷運兩房,1.1
基泰高更景觀大戶+車位,28.3
JZ2吉林路邊間金店面,39.3
JZ2吉林路面寬金店面II,39.3
H8樓中樓基泰高更美景,28.3
基泰高更大四房車位豪邸,28.3
行天宮捷運5+6收租公寓套房,53.2
JZ2吉林路面寬金店面,39.3
JZ2吉林路金店面,39.3
GZ9專中山景觀露台美妝樓中樓,16.3
D2雙連捷運電梯兩房,45.6
B4中山國小站低總美屋,47.2
低總價高投報車位,17.6
B4中山國小低總質感宅1,47.2
專任哈林-新生北採光套房,44.3
BZ1地段強勢首購置產神物,43.8
大直北安學區美華廈,27.8
花博公園挑高樓中樓,35.6
BZ1專國際有約低總明亮成家宅,17.3
農安方正住辦,46.9
民生合江機械車位,23.7
D8松江金棧美妝兩房,29.7
捷運舒適美妝宅,44.1
F2長安學區美妝邊間三房,47.8
D5晴光商圈典雅邊間2室,46.9
D1公園綠景小資宅,58.4
忠孝新生SC六房景觀戶,13.5
BZ8雙語學區設籍收租寶,43.3
華山雙捷運小資首選,38.3
國美華爾道夫稀有邊間,20.8
合江街金店面1F門口可停車,50.8
H10長虹獨棟面公園大戶,19.8
松江御苑名邸（一）,3.5
捷運民權西路站電梯兩房,43.3
揚昇松江苑金仕曼好邸,9.3
JZ9中山北力霸黃金店辦,53.8
龍江八德金店辦,28.8
捷運松江南京共構美宅,15.5
F2長安學區精美電梯三房,47.8
華山置產收租雙套房,48.2
富富話合精裝兩房平車,8.7
雙捷運小資典雅2室,47.9
DZ7行天宮捷運｜兩房兩衛,40.4
C4獨家榮星絕版4米2採光精品,12.5
松江南京匯泰鴻3房車,1.7
D7長安學區收租至尊寶,48.2
EZ7市中心全新挑高制震宅,1.7
行天宮捷運稀有電梯3房華廈,40.4
AZ1松江南京｜頂客共構宅,15.5
CZ9匯泰鴻全新景觀兩房車,1.7
大馬路邊低總店面(三),39.3
B4翡翠邊間景觀美屋,29.7
松江南京都更2房,56.7
大直捷運站前美裝大三房,46.7
B4中山國小低總套房II,47.2
B4中山國小低總質感宅3,47.2
B4中山國小低總質感宅7,47.2
B4中山國小低總質感宅6,47.2
IZ9基泰之星平面車位A,18.8
IZ9基泰之星平面車位AB,18.8
BZ9晶華商圈小資宅,45.7
B4中山國小低總質感宅2,47.2
B4中山國小低總套房10,47.2
B4中山國小低總套房13,47.2
B4中山國小低總質感宅4,47.2
紐約紐約車位-3,19.3
紐約紐約車位-2,19.3
紐約紐約車位-6,19.3
紐約紐約車位-8,19.3
紐約紐約車位-4,19.3
紐約紐約車位-7,19.3
紐約紐約車位-9,19.3
紐約紐約車位-1,19.3
紐約紐約車位-5,19.3
民權西路捷運稀有坡平車位,21.3
DZ2尊爵典藏捷運浪漫二房,43.8
大直美堤花園三房美廈,25.8
HZ7大直河畔首排樓中樓豪邸,29.8
中山國小方正小資兩房,43.3
中山松悅全新兩房兩衛車,1.5
雙捷運低總價美2室,47.9
專賣雙捷運興安華城(北區),40
中山國小站電梯美妝2室,46.9
建國北路女兒紅機械車,21.9
BZ9中山國小站邊間美妝住辦,29.7
FZ3行天宮捷運成家大空間,56.2
BZ4溫馨高樓陽台挑高3米6,29.1
BZ4松江南京景觀邊間美屋,47.4
J6大直時代廣場頂級辦公4A,10.4
J6大直時代廣場頂級辦公6A,10.4
H5靜巷中庭四房坡平名宅,17.3
J6大直時代廣場頂級辦公4B,10.4
大直金澤C美宅稀有8字頭,17.2
南京德運京鼎低調奢華景觀樓,8.3
專任華泰王子旁電梯兩房,49.5
松江敦華四房雙車位,15.5
D9中山北林蔭大道正兩房,43.3
E10高樓德運官鼎奢華三房,12.3
大吉吉高樓雙露台戶,4.3
霸氣華固明水御鋼骨豪邸,18.3
CZ8京硯高樓美妝2房,12.7
D5近雙捷高樓2房採光屋,41.3
松江南京商辦車位,53.2
E6大喆高樓露台面圓山,4.3
DZ4晴光商圈低總2房,36.7
精美裝潢2房2衛,53.8
行天宮商圈金店面,41
大直千坪忠泰風格,18.5
大直藝術廳,23
松江民權大坪數住辦,45.3
華山極品樓中樓,7
F4大直稀有豪邸明水硯,17.5
雙連捷運收租店面,48.8
揚昇松江苑金仕曼豪邸,9.3
B2中山精美電梯兩房,49.5
AZ5行天宮輕豪宅可兩房,10.4
松江南京華固松疆豪邸,11.6
CZ9中山站和邑高樓兩房車,16.1
B3中山國小捷運｜新潮居,44.5
&晴光高樓美妝二房,31.5
欣欣晶華美妝三房,49.2
中山捷運精裝豪邸,16.7
BZ8新生北高樓美套房,44.3
DZ2美妍家邊間陽光美宅,20.6
行天宮超值三房,56.2
JZ8林森南京三角窗金店面,15.2
JZ8林森南京超商金店面,15.2
EZ8民權東路｜龍騰三房車,13.1
BZ9金澤｜校園景觀｜毛胚雙車,17.2
中山南京東三面景觀大商辦,49.3
康寧低總價三房,49.2
BZ6民權西路站 | 低總美宅,38.2
JZ9松江南京旺宅住辦,18.7
K4五條通置產收租首選,59.2
DZ9中山國小站住辦可兩房,29.8
中山德運官鼎三房城堡,12.3
EZ7京硯｜奢華經典豪邸,12.7
正面公園整層商辦,49.3
松江南京長安宴,18.1
紐約紐約車位,19.3
紐約紐約2個車位(可單買),19.3
紐約紐約車位,19.3
中山統億大廈車位,44.9
IZ9基泰之星B2坡平車位,18.8
IZ8官景公園樓中樓雙車位,11.8
中山新生北8車位,44.9
BZ8專任中山稀有陽光美套,31.3
大直聖荷西5房3車豪邸,22.5
CZ2A棟最A中山松悅名邸,1.5
B6低總採光邊間套房,43.3
D7中山國小｜方正套房,49
231松江花博電梯2房美妝宅,29.7
DZ6中山捷運精品採光美寓,36.8
錦州面公園美景,58.4
捷運首排辦公附雙車位,48.8
忠孝新生上城若水高樓景觀,-1.6
位最美中山香榭三室電梯含車,25.6
忠孝新生上城若水高樓車位,-1.6
HZ4松江路大空間黃金二樓,53.8
松江南京絕版採光2+1房,7.9
大直獨具匠心樓中樓住或辦,33.1
中山國小收租美寓,57.7
南京復興面公園二房車,7.8
JZ8松江南京｜純商辦｜金融商圈,53.2
捷運中山國中錦州福邸,41.8
中山龍騰尊榮大戶,13.1
308中山國中捷運電梯三房,38.3
C8遠雄首府首購必買2房車,14.7
首泰聖荷西大戶豪邸,22.5
FZ3榮星花園｜雍華庭三房,38.3
力麒縉紳高樓景觀豪宅,17.3
松江南京一樓金店,53.5
A6禾碩榮星高樓精裝小豪邸,10.2
條通低總價小資2房,41.6
DZ8中山明亮置產成家2房,37.1
松江金棧美二房,29.7
南京龍江三房新廈,8.4
近中山國中站電梯美妝三房,41.8
HZ5長安琚｜景觀大戶四房,0.8
松江民生一樓,32.3
DZ6雙連捷運低總成家美兩房,48.5
HZ5長安琚｜景觀大戶三房,0.8
獨中山捷運超美電梯2室,29.8
中山晶華綠蔭景觀整層商辦,40.7
中山香榭邊間三室附車位,25.6
FZ4中山國中｜福邸美廈,41.8
JZ9善導寺捷運全新金店面,0.8
國賓Villa車位,22.1
584BS民生東路金店面,29.5
C29基泰高樓露台面圓山,16.8
濱江汽修展售工業地,
台北大學商圈土地,
吉林路土地(靠錦州街),
B8愛的迫降2樓,49.3
B8愛的迫降3樓,49.3
CZ3伊通苑｜複合式三房,7.9
三輝白宮典雅豪邸,13.1
D2南京復興無障礙陽光宅,40
J8金庫聚財傳家寶,33
中山國小美三房,57.9
E4松江御苑經典美邸,3.5
E4松江御苑樹梢美邸,3.5
E4松江御苑綠蔭美邸,3.5
F7中山國小電梯獨戶三房,43.3
五常國中校園美景公寓2樓,42.4
龍騰質感3房首選+坡車,13.1
D9晶華商圈精裝兩房,45.7
冠德大直湛美二房,3.9
J6時代廣場稀有小坪辦公室,10.4
CZ3伊通苑｜高樓景觀宅,7.9
580BS民生東路金店面I,29.5
和歌.誠美挑高4米2雙店面,0.5
民權。一人好好生活,38.2
國際有約車位,17.3
Y609民生東路商四特土地,
D12北安路變價分割持份,42.7
晴光捷運稀有3房,42
晴光捷運稀有3房,42
晴光商圈電梯三房低公設,42
晴光商圈三盟電梯三房,42
雙連馬偕裝潢3室,40.8
國泰松江低單價邊間採光大四房,38.2
松江亞都捷運美宅,44.3
006南京林森捷運辦公房,37.3
中山商圈大面採光住辦,37.3
馬偕電梯管理收租Ⅰ,43.1
馬偕電梯管理收租Ⅱ,43.1
林森南京商用電梯,37.3
晴光商圈優質美套,44.1
I7森美術坡平車位,14
大直捷運邊間採光電梯華廈,42.3
143條通美嬌娘,34.2
007民權雙捷運整層純辦公大樓,41
專約內科核心・指標級商辦金店面,22.5
榮星花園電梯採光3房+陽台,47.3
FZ8歐夏蕾｜景觀三房車,20.6
325榮星五常國中獨戶2樓,42.4
兄弟飯店旁1F,52.9
327南京復興捷運明亮三房,39.8
行天宮捷運稀有小坪數壹樓,57
龍江八德低總店面,28.8
台北大學捷運高樓景觀美廈,41.6
中山國小捷運2室,46.9
P21金磚密碼車位,18
中山國小捷運景觀套房,47.2
松江南京挑高華廈&抗跌資產,34
中山捷運美套房,43.8
112松江南京捷運黃金美套,47.6
松江南京低總價機械車位,21.3
中山高投報旺店,46.8
南京建國角窗(持分)店面,48.3
忠泰品中山3房加車位,10
Y11專任長春華廈黃金三樓,48.2
大直靜巷陽光美寓,39.8
106雙捷運松江路黃金美套,44.3
民權吉林捷運280米三面採光純,41
324雙城花博面寬邊間3+1房,52.3
獨家-典藏金店面松江無籬,8.5
行天宮都更潛力店面,62.5
大同林蔭靜巷美四房,36.7
捷運中山國小優質純辦,41
中山國小美妝2+1房,46.4
建北長春面寬店霸,37.8
中山國小住辦美妝2房,46.4
中山捷運500米29年明亮美屋,29.8
民權商業純辦大樓,41
龍騰豪邸親民3房+平車<二>,13.1
&松江伊通名門電梯三室,36.8
八德路二段透天三層,65
國泰皇宮電梯管理美2房,48
中山長春面寬金店,31.6
龍騰豪邸親民大戶<一>,13.1
吉林民權福全辦公室,41
民權東路收租辦公室,41
德惠街大面寬公寓,54
中山國中面寬1樓住辦,50
行天宮捷運全新典雅裝潢採光三房,55.9
民權東福全三面採光純辦,41
O041中山捷運輕奢電梯美宅,34.2
V85民權東路商辨置產自用皆適,41
龍江發財小金店,33
中山國小捷運辦公,41
中山國小捷運優質純辦,41
華泰都更黃金屋,36.9
中山北路商三都更透天,76.5
民權雙捷運純辦公大樓,41
行天宮瑞星宅,45.5
福全商業大樓,41
中山國小捷運青禾居2,43.8
行天宮松江捷運三角窗金店面,47
晴光商圈稀有旺旺屋,44.1
松江南京挑高住辦地下室,34
明水坡平車位。一位難求,33.8
中山百合居住辦,37.3
建國北二段店辦,40.1
百合居大廈一層一戶,37.3
中山春暉低總價2+1房,41.5
雙連站低總電梯採光美屋,45.7
榮星花園二樓美寓,49.3
林森錦州2+1裝潢美大樓,41.5
中山國中低總二房,49.3
中山國小站電梯2室+陽台,46.9
南京復興站黃金商辦附車位,37.4
南京復興電梯管理三室車,37.4
四平街金脈商圈透天,60
吉林國小旁電梯頂家住辦,42.1
中山福德榮星電梯三房,47.3
中山福德榮星電梯三房,47.3
台北CBD時代廣場頂級商辦1,10.4
台北CBD時代廣場頂級商辦3,10.4
台北CBD時代廣場頂級商辦4,10.4
台北CBD時代廣場頂級商辦5,10.4
台北CBD時代廣場頂級商辦2,10.4
台北CBD時代廣場頂級商辦6,10.4
林森晴光雙城金店面＋地下室,45.7
