objName,price,salePrice,style,parking,lon,lat,landArea,mainArea,affiliatedArea,zipCode
靜巷美妝電梯3房附車位,3850,3850,華廈,私有,121.512027388,25.0284242518,7.71,12.61,8.36,100
古亭捷運電梯高樓精品宅,1080,1080,大樓,無,121.517003598,25.0238795751,1.02,6.63,0.74,100
FZ7螢橋學區陽光三房美寓,2088,2088,公寓,無,121.512942811,25.0244544935,10.66,27.79,0,100
中正國中可隔2房捷運宅,2850,2850,大樓,無,121.522037784,25.0272499676,1.74,13.12,5.98,100
J11雙子星北車站前金店面,9888,9888,大樓,無,121.514464215,25.0458928837,10.08,41.5,0,100
重慶南路汀洲路口三角窗店,5688,5688,大樓,無,121.516595457,25.0254914291,11.63,93.84,2.4,100
巨流河景觀精緻2房,4068,4068,大樓,私有,121.519953525,25.0211285998,3.08,18.86,3.81,100
JZ9古亭中正大觀店辦首選,5680,5680,大樓,無,121.518317745,25.0298777287,4.53,32.35,3.17,100
植物園全新二房車,3280,3280,華廈,私有,121.508577572,25.0287961628,7.24,14.87,2.32,100
中正捷運古亭美裝三室管理,2998,2998,大樓,無,121.523833373,25.0248382815,2.24,18.72,2.62,100
JZ5忠孝新生陽台大套辦3,1250,1250,其他,無,121.530342219,25.0439331682,1.82,6.64,1.37,100
JZ5忠孝新生陽台大套辦1,1250,1250,其他,無,121.530342219,25.0439331682,1.82,6.64,1.37,100
JZ5忠孝新生陽台大套辦2,1250,1250,其他,無,121.530342219,25.0439331682,1.82,6.64,1.37,100
華山高樓美景住辦,4080,4080,大樓,無,121.5263748,25.0419826778,5.53,16.92,6.65,100
FZ9台電大樓溫馨三房美屋,2950,2950,大樓,無,121.527410484,25.0211667312,2.93,25.26,4.94,100
台電捷運電梯管理可改三房,2950,2950,大樓,無,121.527410484,25.0211667312,2.93,30.2,0,100
BZ4中正紀念堂學區美宅,1535,1535,大樓,無,121.518626621,25.0320588265,1.23,9.69,0,100
JZ8北車低總精緻美辦,1425,1425,其他,無,121.513366898,25.0422219373,1.81,12.43,0.98,100
KZ6公館台大獨戶收租寶,3100,3100,華廈,無,121.532724657,25.014962718,4.54,29.98,1.12,100
臨沂靜巷邊間豪邸,12688,12688,華廈,私有,121.529386101,25.039189559,14.67,39.69,11.57,100
❤大安森林公園透天金店,24000,24000,透天,無,121.532451526,25.0344071598,34.48,95.65,,100
中正靜巷獨戶採光美寓,1980,1980,公寓,無,121.51321465,25.0271179668,8.65,27.51,3.16,100
C7植物園全新電梯兩房車,3280,3280,華廈,私有,121.508577572,25.0287961628,7.24,14.87,2.32,100
C7植物園全新兩房車3F,3280,3280,華廈,私有,121.508577572,25.0287961628,7.24,14.87,2.32,100
Y264晏京核心高樓景觀名邸,8684,8684,大樓,私有,121.517564877,25.0254512686,5.48,37.72,9.86,100
仁愛石材豪邸閱狷聲-中正學區,10588,10588,大樓,私有,121.525539651,25.0377050773,7.19,38.11,6.42,100
