objName,age
白色康寧公寓頂加,38.9
內湖馨讚,19.7
湖興公園旁一樓寓,36.8
智慧大樓挑高廠辦,26.8
F2獨家西湖大第三房坡車,32.3
大湖親水公園邊間三房,38.9
美墅綠天地,39.7
內溝溪土地(地上有建物未登記),
內湖行善大住店辦,27.8
墅琴獨棟頂級別莊,19.4
&碧湖苑靜謐豪邸,7.8
JZ1內湖低總低單廠寓,41
FZ6港墘站公寓頂家,46.3
內科稀有1樓門前好停車,38.2
內科港墘路辦公大樓A+,26.3
文湖街門口方便停車一樓,45.4
內湖成功路邊間公寓,46.3
內湖文湖國小旁林地,
專約!內溝溪6915坪農地,
台北市內湖農地,
I2大湖公園庭院電梯別墅,24.2
港墘捷運景觀樓中樓,29.9
BZ6西湖站低總價美辦,30.5
內湖私隱電梯別墅,17.2
五期遠雄常御3房平車,5.8
元大之星SRC豪邸,13.3
專任東湖大湖段開心農場就在市區,
坐擁碧湖綠意/內湖景觀四房大宅,43.3
內科港墘路辦公大樓,26.3
♥北市內湖穩定收租土地,
B5不二價面公園低總套房,30.3
J3三總民權東面寬金店,18.6
內科金矽谷5挑高氣派店辦,25.5
內湖科學園區西湖段,
內科金矽谷挑高大露臺廠辦,17.2
DZ5文德站邊間採光正二房,43.3
專-東湖商圈東湖路稀有建地獨售,
內湖劍南站一樓大空間店面,31.8
內湖江南街住三建地,
內湖科學園區土地,
大面寬臨路工業地,
領世堡坡道B3機械車位,18.3
內湖湖山村三車獨棟美墅,40.2
內湖翔譽景觀兩房車,6.8
內湖成功路公園用地,
內湖南京i-come車位,17.9
內湖長堤高樓附車位,17.7
三總湖適獨立坡平車位,27.5
麥帥新城高樓3房,27.8
麗山學區靜巷3樓,46.2
E23超便宜內科一樓店辦,26.8
&麗湖靜巷精品美廈,6.3
內湖店辦好停車1樓+地下室,44.3
陽光靜巷2+1房,38.2
大湖公園陽光美寓,38.2
東湖大露台電梯三房附車位,28.3
麗山學區金龍美寓,42.2
好收租攤位,30.4
尊貴不凡雲立方4房+露臺+3車,12.8
B2742內湖捷運超級金三角,31.7
A125瓏山林文德好境綠景,6.7
文德好境綠蔭精裝宅,6.7
專任內湖四期福人居透天,26.1
湖光收租店辦,36.3
內湖捷運商場金店辦,36.3
內湖站收租店辦2~3樓,36.3
大湖富邦大戶名邸,35.3
濱湖邊間一樓,39.6
南京新明潛力超戰一樓,44
內科瑞光路高CP值壹樓廠辦,26.8
內湖大湖段農地,
底特律科技廠辦II,28.5
內湖捷運收租店辦,36.3
新明路車位（可單購）,14.3
新明路車位（67號）,14.3
新明路車位（61號）,14.3
內湖美秀館挑高三室,16.9
港墘捷運邊間獨戶頂佳,42.8
E11獨賣內湖赫里翁社區,9.8
森大直庭院宅,8.2
內湖成功大商場,36.3
內湖美秀館創意加車,16.9
內湖美秀極品樓中樓加車位,16.9
內湖捷運金店辦商場,36.3
內湖美套+14車位,27.5
內湖國賓大戶官邸,10.8
西湖寧靜綠景四房,32
內湖環河通商大樓,5.8
西湖站辦公,16.9
Y422內湖四期美透天別墅,24.6
港墘捷運一層一戶頂+,47.8
金矽谷全球經貿中心(企業總部),0.8
東湖學區溫馨2房車,28.2
東湖路方正美寓鼎家,40.7
東湖千坪人潮店,28.3
內湖大型商場店辦,28.3
生活派對挑高1房+車位,23.3
內湖捷運AIT芳鄰雅寓,44.3
B205康樂小套房,33.7
東湖國小公園雅寓,41.7
大湖國小綠景四房車位,37.6
E56文德捷運電梯3房,42.1
哈拉影城黃金店面,36.8
J7捷運東湖人潮實店面,39.2
閱讀歐洲樓中樓花園豪宅,25.2
文德公園旁一樓,43.3
大湖山莊街社區坡道平面車位,0.7
E28森大直景觀美妝2房,8.2
AZ7蓮園心邑｜首席庭院A,-1
AZ7蓮園心邑｜經典庭院B,-1
AZ7蓮園心邑｜森活庭院C,-1
AZ7蓮園心邑｜私境庭院D,-1
Y637東湖黃金收租店面,41.3
內湖五期電梯三房,16.6
碧湖園新城美妝兩房,44.1
捷運西湖站挑高商辦,26.6
內科廠辦一樓+陽光屋B1,24.4
內湖秀美館挑高三房車,16.9
內湖捷運站巨星商辦,36.3
內科近捷運廠辦,28.7
超近西湖捷運邊間辦公,28.7
亞太企業廠辦,27.3
東湖站旁商場店面,31.7
【劍南路站｜內湖・大面寬店面】,31.8
亞太企業廠辦-1,27.3
亞太企業廠辦-2,27.3
內湖四期大華新村,49.8
內科民權天下四米六另雙車位,27.1
東湖國小公寓,35.4
內科氣派門廳優質辦公,26.2
內湖福華商業廣場辦公室,26.3
港墘捷運麗山國小美寓,42.8
內湖站景觀戶2房平車,32.3
內湖三總高樓美豪邸,8.6
內科文德捷運店、住、辦,43.3
內湖港墘路店面,18.2
宏泰巨星高樓景觀收租,36.3
內湖三總挑高面寬金店面,26.2
內湖高投報金店辦,36.3
典藏精緻景觀2房,29.8
森大直環景全新毛胚屋1D,8.2
內湖科學園區小坪數華廈,30.5
內湖四房坡車美屋,35.8
湖光頂佳大空間,45.5
內湖港墘極美鼎加,46.3
港墘站頂樓美妝大空間,46.3
四期樹海景觀美妝平車,18.7
麗山國小美美頂家,46.3
四期派樂地簡約風電梯2房+平車,10.3
B4559內湖捷運一品居四房車,22.3
內湖四期3房雙車露台戶,16.7
碧湖君品,9.8
東湖安泰街黃金店辦,41.4
大直國家,35.8
鄰近東湖國中康樂商圈安泰雅寓,44.3
大坵田農地1374坪,
捷運大湖公園站電梯面寬正3房車,30.7
大湖國宅電梯三房,30.7
內湖收租金元寶,44.3
內科港墘路稀有邊間辦公,26.3
西湖捷運獨棟美辦(3),2.8
西湖捷運獨棟美辦(5.6.7),2.8
西湖捷運獨棟美辦(4),2.8
西湖捷運獨棟美辦(全),2.8
內湖樓中樓庭院雙車位,8.2
驚喜價東湖全聯高投報店面,28.3
安康東湖商圈地下商城,28.3
J5122 麗山高中3樓公寓,45.3
四期國醫辦公大露台,26.2
典藏內湖I-COME,17.9
內湖捷運AIT旁景觀小宅,29.2
捷運港墘站麗山學區美裝,45.7
內湖四期國醫景觀商辦,26.2
內湖四期國醫景觀商辦,26.2
安康拾光挑高4房有車位,28.7
內湖捷運文德站美寓3樓,42.3
135內科靜巷國泰公寓,42.6
內科正官庄旁金店面,14.4
西湖捷運獨棟美辦(1.2),2.8
陽光生活高樓,23.4
內湖科技園區優質廠辦,26.4
內科港墘河景廠辦,18.2
激推!西湖段核心頂級廠辦,25.3
安康透天廠房,51.1
明湖青庭車位,20.1
國家別墅庭院大戶,26.8
文湖線景觀露台樓中樓,31.5
眺望101景觀~屋況佳3房,27.8
立委特區全新裝修別墅,35.3
E37國賓官邸遠景大宅,10.8
精裝米蘭苑4房雙車,13.8
濱湖名宮捷運豪景電梯四房,39.3
內湖捷運大空間商辦,31.1
美麗華裝潢公寓三樓4房,37.8
警智新村3房,26.8
民權東路內湖邊間商辦,26.4
好市多稀有庭院一樓雙車位,12.2
瑞光廠辦,15
瑞光廠辦1,15
內湖大帝國收租美辦,19.7
&內科西湖站高投報辦公室,25.6
瑞光路優質辦公大樓,26.6
康樂全聯電梯露台戶+坡道平面車,31.8
內湖通商大樓純辦6,5.8
內湖上和院三房平車,17.9
大直捷運劍南路站內科收租美妝,43.3
湖之蒂花園華廈,32.2
內湖德明小套房,30.5
東湖優選電梯一房,30
夢想家電梯兩房+車位,14.3
內湖邊間電梯四室車,22.3
南京潭美景觀豪美三房+車位,25.2
台北內湖陽光街大套房車位,6.7
四期公園第一排攬翠新墅宇,16.8
捷運1 F庭園3房+坡平大車位,26.3
麗山國小面寬旺店,42.8
宏盛新象高樓層,31.7
文德捷運2樓美寓,43.3
內科百坪電梯豪墅,18.2
遠雄常御美邸附車,5.8
大湖山莊景觀別墅$,30.8
文德女中長耀3房+車,16.2
康寧路邊間金店面,38.3
瑞光躍虎廠辦,26.6
遠雄曼哈頓樹海辦公,17
遠雄曼哈頓高樓辦公,17
遠雄曼哈頓景觀辦公,17
內科面公園景觀商辦,17
西湖翡翠一樓店面,31.8
行善富霖挑高科技總部,6.1
文德站三樓收租,46.3
東湖捷運金寶低總套房,30
國泰庭園電梯四房,34.3
A23內湖涵碧園高層靚景,18.3
蘇黎世三角窗金店,16.8
內湖新明路純地,
華盛頓優質廠辦,28.3
內湖綠大地別墅,39.7
遠雄波昂內科廠辦,26.2
遠雄波昂內科廠辦,26.2
新明工業店面,50.2
內湖嘉醴豪邸住辦二室車,14.2
D226內科高cp值辦公大樓,21
長虹瑞光科技金店,19.1
文德雙戶・傳愛雙生,19.9
8018東湖市場印鈔機店面,46.5
巴黎科技雙店辦,23.8
金湖路三角窗店面,44.3
濱湖皇家,43.3
碧湖面湖大戶,43.3
米蘭苑美宅,13.8
星雲街三角窗挑高店面,25.6
葫洲捷運金店面,37.8
洲子街壹樓廠辦,25.5
遠雄蘇黎世三角窗雙店面,16.8
港墘江南宴翡翠區店面,28.6
遠雄瑞士店面,13.8
遠雄蘇黎世三角窗店面1,16.8
遠雄蘇黎世店面2,16.8
海華御璽雙坡平車位,10.7
潭美面河科工持分地,
成功湖光店辦,8.5
近捷運站明湖學區一樓,41.3
美麗華金店面,24.8
海華御璽大四房,10.7
璞園大庭院3房車,3.7
璞森晴一樓緻庭院,3.7
民權東路面寬金店面,18.6
新明台塑科工大店面,38
國會山莊獨棟庭院別墅,48
璞森晴望小景碧湖,3.7
遠雄蘇黎世高級店辦,16.8
專約仰千里豪邸美宅+雙車位,13.6
遠雄瑞士高級店辦,13.8
遠雄蘇黎世邊間店辦,16.8
大直碧雲天華廈2房,34.9
捷運內湖站公園花園1樓,48.8
濱湖皇家豪邸附車位,43.3
東湖捷運正馬路金店面,44.7
AIT旁三角窗金店面,44.3
內湖邊間空間大花園,37.3
內科堤頂整棟廠辦,26.2
捷運旁高報酬精緻公寓(八套房),44.9
內科面寬超值金店,16.7
內湖路2段金店面,41.9
碧湖國小鋼骨透天隔套,54.8
安縵莊園美妝豪邸雙車,8.9
台塑總部對面大露台廠辦,12.2
內湖站湖光百坪收租商辦,36.3
金矽谷NO.7科辦中心,24.4
湖科雙星氣派A辦(2),6.1
湖科雙星氣派A辦(4),6.1
墅琴獨棟電梯別墅,19.4
星雲頂加，一層出租一層自住,41.9
行政中心住辦1樓,44.3
近美麗華三角大面寬店面,31.8
E07內湖收租降價屋,43.2
內湖上和院電梯三房坡平車位,17.9
內科金矽谷七旗艦廠辦,24.4
港墘文德京華美辦,18.2
內科商辦文德京華,18.2
祐福雄觀樓中樓,31.2
內湖東天廈店面,25.2
大湖公園捷運宅附坡車,30.7
內湖站高投報,36.3
大湖公園立委電梯別墅,24.2
綠華濃別墅,20.8
國家別墅邊間庭院豪邸,26.8
綠華濃美妝別墅,20.8
國家別墅邊間庭院豪邸,26.8
大湖村別墅,37.4
民權天下百坪挑高廠辦(B),27.1
民權百坪挑高廠辦(A),27.1
內科陽光宏普文德大樓,17.2
內湖捷運△店面,31.2
內科香波堡景觀電梯別墅,18.2
民權天下挑高4.6米廠辦3樓,27.1
民權天下挑高4.6米廠辦4樓,27.1
質感MIHO庭院車位-近緯創,16.9
永泰金城四改三房車,28.3
$內湖麗山學區邊間三房,45.7
湖國景觀大樓4房+平面車位,34.3
近737邊間一樓住店,48
急推內湖區超讚1樓,44
麗湖電梯別墅,17.3
A079麗山國小3樓公寓,43.1
內科長虹旗艦A辦,17.6
A079麗山國小3樓公寓,43.1
文德–陽光街公寓二樓,43.2
新明好成家｜內湖低總一樓,52.2
明湖學區別墅,37.8
內科堤頂科技廠辦4樓,28.5
瑞光智慧大樓挑高辦公,26.8
富邦成功保值金鑽店面,25.4
西湖捷運內科金店面,42.1
元大之星朝北高樓稀有釋出,13.3
內科整棟企業總部,26.2
成功路台新銀行金店面,25.2
大華湖閱豪邸三房,10.7
東湖雙捷運明湖學區面寬一樓,41.3
內湖有景觀全新電梯含車位,8.2
璞園偕樂絕美一樓庭園宅,10.8
麗山國中旁自住又收租,43.8
東湖大面寬黃金店面,28.3
E21內科金磚店面挑高6米,17.4
東湖雙捷運明湖學區面寬一樓,41.3
麗山美裝頂加,46.3
大直碧雲天捷運劍南路站電梯二房,34.9
A089麗山學區補教店辦,43.1
瑞光路店辦,20.3
A089麗山學區補教店辦,43.1
大直碧雲天捷運劍南路站電梯二房,34.9
A078碧雲天稀有採光兩房,34.9
大直歐洲二期三房,22.9
內湖新湖工業地,
大直歐洲年輕公寓三房車,22.9
櫻花公園電梯透天別墅,8
A589東湖雙捷運三房美寓,41.3
北市內湖區康樂街  莊園住家,14.1
近港墘站收租金雞母,45.4
港墘捷運新裝潢鼎佳美寓,46.3
捷運西湖站金店面,42.1
面公園內湖五期金店,17.3
康寧低總3房前院一樓,48.3
捷運內湖電梯大三房,42.4
文德捷運邊間1樓,43.3
捷運內湖站雙湖匯後棟鋼骨名邸,8.1
文心ＡＩＴ絕美樓中樓,13.3
6259富邦濱湖旺財店面,25.4
內科洲子挑高一樓,25.5
內湖捷運站店面,42.6
捷運內湖站邊間三角窗店面,44.3
內湖四期挑高套房+車位,23.3
內科整棟企業總部,26.2
內湖超級三角窗店面,41.6
金矽谷5科貿總部1樓,25.5
遠雄紐約好宅,10.8
內科遠雄瑞士經貿中心,13.8
獨家@東湖捷運東湖國小三房美寓,41.6
堤頂凱旋親水總部,27.4
內科堤頂科技廠辦一樓,28.5
內科泰晤士大空間商辦,15
俊欣行企業總部,14.6
四期至善別墅面綠意保護區,26.3
Y226葫洲捷運高檔裝潢兩房,24.6
597AH獨家東湖國中大三房,39.6
內湖整層廠辦+21個車位,19.7
大湖國小內湖山莊4房車位,37.6
康寧天籟帝王景觀電梯三房,29.9
內湖投資美公寓,43.3
八小福分租套房.直接收租,43
鄰內科三房公寓,43.9
內湖捷運優質店辦,36.3
B4291東湖捷運收租四套房,48.7
國家企業園區,25.3
內科海德堡美辦,25.3
西湖邊間車庫一樓四房,47.6
麗山國小旁美公寓,42.8
港墘捷運站天然瓦斯2樓,46.9
全新森大直山景美屋F,8.2
737巷收租屋,45.9
