objName,price,salePrice,style,parking,lon,lat,landArea,mainArea,affiliatedArea,zipCode
白色康寧公寓頂加,2300,2300,公寓,無,121.611871493,25.0745713318,13.74,30.43,13.14,114
內湖馨讚,1200,1200,大樓,私有,121.606209081,25.071455017,2.74,5.97,1.64,114
大湖親水公園邊間三房,2450,2450,公寓,無,121.599969455,25.0896988358,15.33,35.56,3.45,114
湖興公園旁一樓寓,3500,3500,華廈,私有,121.589981212,25.0664124413,20.88,28.7,24.19,114
智慧大樓挑高廠辦,6480,6480,華廈,私有,121.568294183,25.07845879,22.75,64.93,,114
F2獨家西湖大第三房坡車,3188,3188,華廈,私有,121.560420521,25.0885722582,9.53,26.83,2.94,114
美墅綠天地,6288,6288,別墅,私有,121.598345735,25.0862422626,138.34,54.2,45.61,114
內湖行善大住店辦,7980,7980,華廈,無,121.576627336,25.0567687051,43.81,71.89,,114
墅琴獨棟頂級別莊,14800,14800,別墅,私有,121.598259038,25.0693708358,96.69,149.41,26.28,114
&碧湖苑靜謐豪邸,8800,8800,大樓,私有,121.57970995,25.0828987394,16.17,38.13,8.31,114
JZ1內湖低總低單廠寓,1505,1505,公寓,無,121.561413633,25.0845350489,9.83,30.66,0,114
FZ6港墘站公寓頂家,2799,2799,公寓,無,121.573368377,25.0842079923,11.41,28.77,2.77,114
內科稀有1樓門前好停車,3188,3188,公寓,無,121.584566993,25.0750840125,12.69,29.24,3.61,114
文湖街門口方便停車一樓,1880,1880,公寓,無,121.561111069,25.0910453069,11.99,25.54,4.52,114
內湖成功路邊間公寓,1666,1666,公寓,無,121.588972736,25.0660943975,10.29,23.95,3.44,114
內湖文湖國小旁林地,19429,19429,土地,無,121.589363,25.069372,4223.81,,,114
專約!內溝溪6915坪農地,3450,3450,土地,無,121.623996,25.084922,6915.76,,,114
台北市內湖農地,5628,5628,土地,無,121.62447,25.09087,2811.74,,0,114
內溝溪土地(地上有建物未登記),580,580,土地,無,121.62190876,25.0889884857,16.84,,0,114
I2大湖公園庭院電梯別墅,9500,9500,別墅,無,121.599803945,25.0820614011,46.88,64.77,7.98,114
港墘捷運景觀樓中樓,6988,6988,華廈,私有,121.580281574,25.0836954237,28.75,47.76,23.25,114
BZ6西湖站低總價美辦,950,950,華廈,無,121.564540236,25.0863606458,5.06,10.15,0,114
內湖私隱電梯別墅,9888,9888,別墅,私有,121.600992274,25.0683479216,45.75,90.17,10.64,114
五期遠雄常御3房平車,5088,5088,大樓,私有,121.582586151,25.0594282257,10.48,24.4,2.38,114
元大之星SRC豪邸,11888,11888,大樓,私有,121.583029084,25.0585376934,13.35,45.33,8,114
專任東湖大湖段開心農場就在市區,3980,3980,土地,無,121.62054,25.08349,1206.37,,0,114
坐擁碧湖綠意/內湖景觀四房大宅,3800,3800,大樓,無,121.581009952,25.0824928766,7.61,39.19,4.79,114
內科港墘路辦公大樓,5200,5200,華廈,私有,121.574494301,25.0759040326,15.11,49.46,0,114
♥北市內湖穩定收租土地,3300,3300,土地,無,121.589363,25.069372,247.51,,,114
B5不二價面公園低總套房,898,898,華廈,無,121.615976121,25.0706956536,1.91,4.63,1.22,114
J3三總民權東面寬金店,4280,4280,華廈,私有,121.594500177,25.0690935478,18.12,23.6,1.29,114
內科金矽谷5挑高氣派店辦,16800,16800,華廈,私有,121.566502625,25.0814268974,20.96,66.54,2.9,114
內湖科學園區西湖段,40000,40000,土地,無,121.573353,25.075692,140.5,,,114
內科金矽谷挑高大露臺廠辦,7988,7988,華廈,私有,121.566220979,25.0810889664,18.54,46.84,,114
DZ5文德站邊間採光正二房,1798,1798,公寓,無,121.585316441,25.0757150303,6.02,17.8,2.31,114
專-東湖商圈東湖路稀有建地獨售,3600,3600,土地,無,121.61555,25.0683,25.11,,,114
內湖劍南站一樓大空間店面,4980,4980,華廈,私有,121.560977095,25.0872299348,12.12,58.18,3.35,114
內湖江南街住三建地,12773,12773,土地,無,121.589363,25.069372,61.71,,,114
內湖科學園區土地,35500,35500,土地,無,121.580442,25.062309,197.65,,0,114
大面寬臨路工業地,54000,54000,土地,無,121.573714,25.06495,416.89,,,114
領世堡坡道B3機械車位,190,190,大樓,私有,121.607156536,25.0728709553,0,,0,114
內湖湖山村三車獨棟美墅,6800,6800,透天,私有,121.613494513,25.0759922495,51.77,63.12,33.71,114
內湖翔譽景觀兩房車,2880,2880,大樓,私有,121.579281169,25.0544893365,3.96,11.75,3.87,114
內湖成功路公園用地,10109,10109,土地,無,121.589363,25.069372,168.49,,,114
內湖南京i-come車位,200,200,大樓,私有,121.586289251,25.0578642143,0.19,,,114
內湖長堤高樓附車位,3288,3288,大樓,私有,121.593792487,25.0624293373,12.89,26.51,5.24,114
三總湖適獨立坡平車位,200,200,大樓,私有,121.588873108,25.0732570234,,,,114
麥帥新城高樓3房,2980,2980,華廈,無,121.575603999,25.0556267515,14.46,23.22,2.14,114
麗山學區靜巷3樓,1798,1798,公寓,無,121.584919476,25.0886689725,9.2,26.41,4.59,114
文德好境綠蔭精裝宅,1368,1368,華廈,無,121.585550492,25.074397068,6.6,6.96,0.87,114
E23超便宜內科一樓店辦,8800,8800,華廈,私有,121.568391312,25.0784161479,23.47,67.79,0,114
&麗湖靜巷精品美廈,1588,1588,華廈,無,121.604010664,25.0741388278,2.67,5.75,0.77,114
陽光靜巷2+1房,2288,2288,公寓,無,121.601857124,25.0874298689,8.72,17.82,7.18,114
大湖公園陽光美寓,2368,2368,公寓,無,121.601857124,25.0874298689,17.6,22.06,7.76,114
東湖大露台電梯三房附車位,3960,3960,華廈,私有,121.615593165,25.0673352393,10.55,24.2,28.96,114
內湖店辦好停車1樓+地下室,2680,2680,公寓,無,121.585645873,25.0684485149,9.01,27.09,32.09,114
內湖站捷運麗山獨戶美妝,1958,1958,公寓,無,121.587316822,25.0879808942,9.44,28.28,4.89,114
麗山學區金龍美寓,1998,1998,公寓,無,121.587316822,25.0879808942,9.44,28.28,4.89,114
好收租攤位,438,438,大樓,無,121.592860882,25.0827204485,0.9,2.73,0,114
尊貴不凡雲立方4房+露臺+3車,6680,6680,大樓,私有,121.59274283,25.0822481518,8.85,37.77,6.4,114
B2742內湖捷運超級金三角,7388,7388,大樓,無,121.592495544,25.0827159867,8.51,56.59,7.72,114
A125瓏山林文德好境綠景,1360,1360,華廈,無,121.585550492,25.074397068,6.67,7.04,0.87,114
專任內湖四期福人居透天,6980,6980,透天,私有,121.593074206,25.0694195572,36.7,63.66,9.21,114
湖光收租店辦,19000,19000,大樓,私有,121.592170211,25.0821875254,27.51,266.96,0,114
內湖捷運商場金店辦,19300,19300,大樓,私有,121.592170211,25.0821875254,27.51,266.96,0,114
內湖站收租店辦2~3樓,19300,19300,大樓,私有,121.592170211,25.0821875254,27.51,266.96,0,114
大湖富邦大戶名邸,6800,6800,大樓,私有,121.615205221,25.0705516501,25.52,68.22,27.34,114
E11獨賣內湖赫里翁社區,6980,6980,大樓,私有,121.563116551,25.086439484,20.65,49.31,8.6,114
濱湖邊間一樓,2680,2680,公寓,無,121.621415467,25.0752453427,23.03,29.27,2.86,114
南京新明潛力超戰一樓,1780,1780,公寓,無,121.579028615,25.0548608106,7.9,20.02,3.45,114
內科瑞光路高CP值壹樓廠辦,8800,8800,華廈,私有,121.568391312,25.0784161479,23.47,67.79,0,114
內湖大湖段農地,2180,2180,土地,無,121.606227,25.0869404,314.42,,0,114
底特律科技廠辦II,6500,6500,華廈,私有,121.57534043,25.0686252034,64.13,109.11,,114
內湖捷運收租店辦,19000,19000,大樓,私有,121.592170211,25.0821875254,27.51,275.96,0,114
新明路車位（可單購）,180,180,其他,私有,121.577689678,25.053921835,0.07,,,114
新明路車位（67號）,90,90,其他,私有,121.577689678,25.053921835,0.04,,0,114
新明路車位（61號）,90,90,其他,私有,121.577689678,25.053921835,0.04,,0,114
內湖美秀館挑高三室,3600,3600,大樓,私有,121.582728435,25.0557320874,10.56,26.34,3.36,114
港墘捷運邊間獨戶頂佳,1766,1766,公寓,無,121.574931063,25.0839563564,6.02,20.1,5.1,114
E56文德捷運電梯3房,2580,2580,大樓,抽籤,121.581163246,25.0783093786,6.11,23.65,3.62,114
森大直庭院宅,5000,5000,華廈,私有,121.559435881736,25.0895414175278,13.59,29.33,7.91,114
內湖成功大商場,19000,19000,大樓,私有,121.592170211,25.0821875254,27.51,266.96,,114
內湖美秀館創意加車,3600,3600,大樓,私有,121.582728435,25.0557320874,10.56,26.34,3.36,114
內湖美秀極品樓中樓加車位,3600,3600,大樓,私有,121.582728435,25.0557320874,21.11,26.34,3.36,114
內湖捷運金店辦商場,19000,19000,大樓,私有,121.592176,25.082209,27.51,266.96,0,114
內湖美套+14車位,3788,3788,大樓,私有,121.588873108,25.0732570234,9.5,8.25,1.05,114
內湖國賓大戶官邸,8688,8688,大樓,公有,121.590972262,25.0697066499,8.6,52.52,7,114
西湖寧靜綠景四房,4860,4860,大樓,私有,121.571039261,25.0823912126,12.77,38.35,7.61,114
內湖環河通商大樓,78000,78000,華廈,私有,121.595699391,25.0609945901,242.85,446.55,41.65,114
西湖站辦公,5888,5888,華廈,私有,121.565102563,25.0863527611,18.79,45.71,4.85,114
Y422內湖四期美透天別墅,6130,6130,別墅,私有,121.602718778,25.0681619599,44.75,55.63,18.25,114
港墘捷運一層一戶頂+,1856,1856,公寓,無,121.572039579,25.0815756178,7.1,22.43,4.65,114
內科近捷運廠辦,5000,5000,華廈,私有,121.570735274,25.0809230529,19.28,49.78,0,114
超近西湖捷運邊間辦公,4727,4727,華廈,無,121.570735274,25.0809230529,20.94,51.4,,114
金矽谷全球經貿中心(企業總部),189000,189000,華廈,無,121.583611382,25.0626410697,450.16,1121.72,36.15,114
東湖學區溫馨2房車,2298,2298,大樓,私有,121.618796667,25.0720488981,4.34,18.83,3.69,114
東湖路方正美寓鼎家,2080,2080,公寓,無,121.614341427,25.0688575936,11.58,26.21,3.34,114
東湖千坪人潮店,38000,38000,華廈,無,121.615554447,25.0675707449,134.33,347.06,,114
內湖大型商場店辦,38000,38000,華廈,無,121.615554447,25.0675707449,134.33,347.06,0,114
生活派對挑高1房+車位,1850,1850,華廈,私有,121.591192532,25.0670394343,6.19,11.03,2.03,114
內湖捷運AIT芳鄰雅寓,2380,2380,公寓,無,121.596686395,25.0825394258,6.78,26.45,2.38,114
B205康樂小套房,989,989,華廈,無,121.616517094,25.0711024061,3.61,7.38,0,114
