objName,age
D1新北投低總渡假首選,44.8
捷運吉星漂亮一 樓,45.1
稀有方正邊間低樓層,52.3
開璽和碧車位,15.9
千佳溫泉社區美寓3樓,40.8
中和街大坪數膝蓋救星,46.8
方正邊間採光三房(可隔4房),44.9
北投清新綠漾裝潢鼎佳大空間,42.3
承德路七段辦公,35.3
清社奇岩景觀4房,28.6
陽明山龍園庭園大戶一樓,40.2
北投區大筆農地,
新民路溫泉鼎加美寓,45.4
立農公園採光綠景宅,46.8
低總價捷運溫馨套房,21
北投奇岩捷運站國揚方正3樓美寓,47.9
北投公園旁景觀美寓,40.5
貴園精典2房美廈+車位,44.1
薇閣電梯溫泉豪邸,33.8
稀有雙橡園高樓景觀戶,28.3
中和街方正邊間大兩房美寓,46.8
東初和風管理景觀美寓,40.5
新北投公園旁小套房,41.9
溫馨兩房.度假生活輕鬆擁有,36.5
富享榮華公園1樓,31
北投奇岩豪門景觀別墅,54.5
近復興崗捷運便宜美妝一樓,41.6
北投陽光公寓大四房,49.6
精美社區公寓兩房,37.1
珠海路優質美寓,44.3
奇岩稀有花園大空間,30.3
北投低總價採光美宅,37.1
屋主誠售!公館路美寓,44.3
秀山居 透天厝,50.8
重劃區旁邊間方正車庫一樓,39.8
天母公園電梯精美大三房,41.4
廉售-北市保護區土地,
薇閣保誠四房美裝雙車,8.6
石牌停車位,24.6
復興崗1+1房+車位,22
明德捷運青木淳,12
新裝立即入住管理代收電梯三房,41.4
D4獨家天母同德樹海景觀宅,46.8
天母公園旁邊間三房管理名宅,41.5
文化國宅樹海景觀戶,40
奇岩涵翠雅筑面寬金住辦店面,32.3
新北投精緻裝潢景觀大樓,41.9
北投桃源國小低價建地,
IZ1北投一樓庭院大戶,32.1
稀有公寓一樓,48.3
泉源華城3房公寓,46.3
天母首購美裝潢三房,41.5
天母榮總名邸一層一戶,43.2
復興崗約四分鐘精美一樓,43.9
晴園電梯室內溫泉套房,30.1
北投店面有36個機車位,18.3
雲天高樓景觀電梯三房車,20.3
天月五星級溫泉極品大樓,23.2
國泰區獨棟大透天別墅,44.3
新北投公寓三樓,50.7
捷運景觀露臺樓中樓,24
吉利街海沙都更店面,45.3
行義青庭電梯三房,44.3
陽明山登山路持分土地,
新北投山居大套房,44.1
薇閣精緻景觀2房,31.8
關渡北歐景觀雙車位,14.3
稀有公園景觀美廈！都更整合中,43.8
明德捷運靜巷一樓,55.6
上北澤露台大戶$,18.3
丹鳳豪景邊間透天,36.3
北投低總價環境清幽電梯2房,48.4
陽明山持分農地48,
陽明山泉源持分農地66,
陽明山泉源持分農地49,
泉源健身農場,
陽明山持分農地329,
景觀公園小套房,41.9
捷運鄰公園方正採光大三房雅寓,44.3
薇閣樹海百坪車庫別墅,35.5
捷運出口電梯五樓,45.6
IZ1綠意星空雙車位別墅,48.8
新北投泉源路二房,44.8
捷運北投站首購養生美寓,44.8
北投溫泉湯屋,51.5
榮華特區庭院一樓,29.8
陽明山十八份黃金持分地,
鄉林玉川溫泉豪邸,11.6
鄉林玉川溫泉渡假豪邸,11.6
石牌學區捷運三房美寓,43.6
薇閣家長首選低總價邊間二房,28.7
捷運公園景觀裝潢2房車位,16.6
山翫水美裝3房車位,7.2
北投低總價全新裝潢電梯2房,40.5
B187陽明山景觀農地,
花墅大器透天豪邸,30.1
北投全新裝潢電梯方正2房,45.1
北投綠意昂然大庭院美宅,12.5
士北科獨棟5房花園,36.9
專任北投電梯3房雙車位,8.3
陽明山泉源持分千坪農地,
花顏自慢禪風御宅,13.4
東初和風面公園景觀三樓,40.5
B58冠德山水坡道平面車位,24
淩宵小資屋,41.9
天母榮總振興醫院靜巷+車位獨賣,41.8
家樂福一樓好停車,53.1
北投靜詣美居，三房寬境好生活,13.5
玉川電梯景觀華廈,39.4
捷運電梯雙景觀3房車,18.8
鄉林玉川總裁溫泉宅,11.6
威靈頓美式豪景帝王別墅,59
復興崗捷運住二建地,
北投捷運靜巷方正美寓,46.3
泉之鄉溫泉美麗2房,48.4
白宮山莊社區內土地,
台北市北投區持分農地,
四季青磺溫泉大樓,44.3
十泉十美邊間溫泉宅,16.6
超級景觀雙磺湯屋,40.5
北投靜巷三陽開泰好宅,44.8
復興崗站低總價美寓,45
北投區持分農地,
HZ4北投稻香挑高四房另購車位,32.1
雲仙高樓精緻溫泉2+1房,48.3
捷運北歐豪邸四房三車位,14.5
陽明山溫泉權利別墅,44.8
重劃區3房挑高庭院車位可買,5.8
陽明山景花園別墅,59.8
威靈頓古典傳奇別墅,59.8
奇岩捷運站高人車流量建地,
新北投稀有電梯2房新屋,-1
地標吾悠超級景觀大戶,11.8
雙享時代薇閣精選,15.5
石牌雙捷運極美電梯四房＋雙車位,15.6
昇陽明公園景觀四房車,14.8
小資族景觀低公設電梯新屋,-1
藍田陞玉頂級豪邸,9.1
石牌捷運4房車位,14.3
小家庭最愛低公設2房露臺戶,-1
美虹園電梯景觀套房,40.5
馬槽橋雙源水萬坪土地,
F10北投溫泉大空間美景宅,45.4
北投捷運二樓,43.1
近公園捷運邊間方正2樓,45.1
石牌公園方正美寓,52.3
近捷運北士科生活機能佳,44.9
天母杏林極品裝潢樓中樓,34.2
天母國小一層一戶大空間美廈,43.2
北士科明德敦品文林電梯三房車位,12.4
捷運景觀精緻裝潢名人居,12.8
石牌學區黃金3F,48.5
山景大3+1房 +3車位,23
北投雲天溫泉行館美套房,20.3
石牌愛馬屋車位,24.6
北投珠海路精華建地,
小家庭最愛低公設2房,-1
石牌十方榕園豪邸,25.4
復興崗站旁邊間店面,20.7
國泰透天稀有釋出,52.8
北市一樓魔術大空間店辦,36.1
榮華特區貴族車位小宅,31.3
近北士科八仙段農地,
明德全新景觀宅$,2
明德捷運三房新廈,10.5
I6北投站｜大土地潛力宅,74.3
復興市場透天店面,58.1
竹子湖咖啡休閒農地,
竹子湖有路休閒農地,
薇閣別墅用地,
奇岩花沺藏庭院戶,9.9
十六行館華廈,17.4
