objName,price,salePrice,style,parking,lon,lat,landArea,mainArea,affiliatedArea,zipCode
D1新北投低總渡假首選,1158,1158,公寓,無,121.507287323,25.1403099221,5.82,20.66,2.73,112
捷運吉星漂亮一 樓,588,588,華廈,無,121.504884045,25.1358275734,1.06,5.87,1.22,112
承德路七段辦公,4880,4880,華廈,私有,121.503961457,25.1175856114,11.71,52.8,13.52,112
低總價捷運溫馨套房,568,568,大樓,無,121.503604746,25.1358681966,0.82,4.13,0.57,112
稀有方正邊間低樓層,1658,1658,公寓,無,121.506209736,25.1337777001,12.86,31.61,1.64,112
千佳溫泉社區美寓3樓,1480,1480,公寓,公有,121.51390705,25.1365575251,13.13,31.53,5.19,112
中和街大坪數膝蓋救星,1500,1500,公寓,無,121.4947202,25.1465093,8.26,27.93,4.17,112
方正邊間採光三房(可隔4房),1600,1600,公寓,無,121.506750806,25.1337197117,12.58,34.03,5.15,112
北投清新綠漾裝潢鼎佳大空間,1288,1288,公寓,無,121.512508119,25.1366453175,7.78,22.56,2.21,112
立農公園採光綠景宅,1898,1898,公寓,無,121.504443081,25.1178815238,8.86,27.36,2.89,112
北投奇岩捷運站國揚方正3樓美寓,2379,2379,公寓,無,121.498829536,25.1284835505,10.66,28.81,2.42,112
清社奇岩景觀4房,2680,2680,大樓,私有,121.510630081,25.1255414616,14.75,29.78,4.99,112
陽明山龍園庭園大戶一樓,3500,3500,公寓,無,121.547553052,25.1523397132,79.02,37.69,2.91,112
北投區大筆農地,13666,13666,土地,無,121.538014,25.170194,13667.57,,,112
新民路溫泉鼎加美寓,1488,1488,公寓,無,121.512861659,25.1411820464,8.34,25.2,3.84,112
北投公園旁景觀美寓,1377,1377,公寓,無,121.509676415,25.1365862401,8.19,24.71,3.51,112
晴園電梯室內溫泉套房,630,630,華廈,可租,121.512728283,25.1372951416,5.12,5.99,2.01,112
開璽和碧車位,180,180,其他,私有,121.506730919,25.1204167748,0.74,,0,112
貴園精典2房美廈+車位,1598,1598,華廈,私有,121.507485841,25.1401200673,10.61,23.74,2.98,112
薇閣電梯溫泉豪邸,3180,3180,大樓,私有,121.506561993,25.1396784241,17.88,42.19,6.79,112
稀有雙橡園高樓景觀戶,1650,1650,大樓,無,121.502312288,25.1377231248,2.53,12.47,1.62,112
中和街方正邊間大兩房美寓,1250,1250,公寓,無,121.494789339,25.1464731553,7.05,23.88,3.34,112
東初和風管理景觀美寓,1398,1398,公寓,無,121.509593266,25.1365841159,6.66,19.79,3.37,112
新北投公園旁小套房,350,350,大樓,無,121.511700911,25.1385751394,1.75,5.5,1.36,112
溫馨兩房.度假生活輕鬆擁有,1480,1480,大樓,排隊,121.506993556,25.1413502201,5.94,22.92,2.21,112
富享榮華公園1樓,4888,4888,華廈,私有,121.524728301,25.1124865464,21.69,37.58,19.48,112
北投奇岩豪門景觀別墅,4488,4488,別墅,私有,121.509466673,25.1288352274,187.69,70.78,0,112
近復興崗捷運便宜美妝一樓,2088,2088,公寓,無,121.486338096,25.1407694765,8.34,24.47,27.58,112
北投陽光公寓大四房,2880,2880,公寓,無,121.50421884,25.131911482,13.39,35.62,0,112
精美社區公寓兩房,828,828,公寓,抽籤,121.512656605,25.1402579697,6.92,15.33,1.09,112
珠海路優質美寓,1298,1298,公寓,無,121.512496184,25.1423469841,8.54,25.67,3.5,112
奇岩稀有花園大空間,2700,2700,大樓,其他,121.508320308,25.1287632416,21.91,16.44,34.54,112
北投低總價採光美宅,868,868,公寓,無,121.512793716,25.1404151438,5.69,12.34,0.91,112
屋主誠售!公館路美寓,1480,1480,公寓,無,121.506537583,25.1248915194,9.51,24.67,8.62,112
秀山居 透天厝,1680,1680,透天,無,121.495362405,25.1479873778,23.08,35.48,0,112
重劃區旁邊間方正車庫一樓,2500,2500,公寓,無,121.506514454647,25.1240484274321,8.16,22.7,2.91,112
天母公園電梯精美大三房,1998,1998,華廈,無,121.530034691,25.1276349504,6.93,28.76,3.23,112
廉售-北市保護區土地,2309,2309,土地,無,121.502957,25.132074,3527.89,,,112
薇閣保誠四房美裝雙車,4580,4580,華廈,公有,121.48888428,25.1436769718,23.27,42.94,6.99,112
石牌停車位,98,98,華廈,私有,121.510669026,25.1124193277,1.1,0.09,,112
明德捷運青木淳,1880,1880,華廈,私有,121.515671978,25.1090860754,3.81,8.55,1.32,112
新裝立即入住管理代收電梯三房,1998,1998,華廈,無,121.530034691,25.1276349504,6.93,28.76,3.23,112
D4獨家天母同德樹海景觀宅,1688,1688,公寓,無,121.529230783,25.1253074042,8.34,25.39,3.83,112
天母公園旁邊間三房管理名宅,1820,1820,華廈,無,121.530294674,25.1277424201,8.13,29.55,4.46,112
文化國宅樹海景觀戶,2222,2222,華廈,無,121.498569799,25.1386826609,11.83,23.93,3.25,112
奇岩涵翠雅筑面寬金住辦店面,3100,3100,華廈,無,121.507848807,25.1252771789,11.05,25.3,23.37,112
復興崗1+1房+車位,1455,1455,大樓,私有,121.488597614,25.1419237136,4.78,11.77,2.12,112
十泉十美邊間溫泉宅,1750,1750,大樓,私有,121.50779985,25.1363348883,3.3,11.41,2.42,112
IZ1北投一樓庭院大戶,2680,2680,大樓,無,121.487857382,25.1411473878,24.7,44.16,18.99,112
新北投精緻裝潢景觀大樓,898,898,大樓,無,121.511700911,25.1385751394,3.47,11,2.99,112
陽明山登山路持分土地,1080,1080,土地,無,121.521029754,25.1565224282,77.28,,,112
稀有公寓一樓,1280,1280,公寓,無,121.500146278,25.1395481313,3.63,13.7,3.03,112
泉源華城3房公寓,798,798,公寓,無,121.506265335,25.1403223508,7.28,33.18,0,112
天母首購美裝潢三房,1800,1800,華廈,無,121.530319228,25.1277537979,13.63,21.23,5.45,112
