objName,age
近Lalaport優質名邸四房,17.8
南港I-City廠辦大樓,2.3
世界心經貿景觀辦公,13.8
中研超值雅寓,47.6
南港花園高樓抽坡車,27.8
玉成公園雙車位一樓,41
經貿地飆1F,20.7
世界心高樓辦公,13.8
南港中研院旁黃金三樓,52.6
&南港璽苑面中庭綠景,12
近四鐵共構2房附車位,32.1
香榭帝寶高樓景觀戶,4.2
南港稀有低總價土地(都計內持分,
中研寧靜便宜一樓,50.3
中研綠意頂加雅寓,47.6
南軟風範採光二房車,16.4
松山新矽谷氣派廠辦,35.7
後山埤二樓三房,46.7
中研壹樓好停車,52.5
F2南港核心遠見價值名門首選,25.6
南港陽光大兩房車,15
南軟二期超A辦,22.8
風華中庭三房坡平車,17.5
FZ9商一易規劃高投報鼎佳,41.2
南港漱夏三房大露台雙坡車,17.7
胡適稀有透天別墅,46.7
興東街電梯+車位A,30.3
南港昆陽站映東騰唯一釋出,9.5
華固卡地雅採光三房+坡車,18.2
K5收租王｜南軟中研小透天,53.3
日升月恆高樓山河景,11.3
展覽館站邊間美寓,51.2
松山精裝三房華廈,35.3
砳建築旁邊間雅寓,43.7
A近南港車站產業專區土地,
B近南港車站產業專區土地,
昆陽站使用大一樓,50
經貿區近LaLaport精品宅,16.4
C57松山車站景觀三房雙車,12.6
南軟二期景觀純辦,22.8
研究院路4+5樓誠意賣,52.5
景觀綠世界未來捷運三房平車,27.8
中研彩虹透天社區,32.1
南港長虹中研透天,32.1
芬第美二房平面車位,17.4
南港車站面公園三房,46.8
南港東區無極金店,11
經貿園區-邊間2房+車,16.4
南港松河街多功能黃金1樓,44.3
南港近信義輕豪邸,31
羽森琚挑高庭院一樓,-1
南港經貿門戶店面,67.7
後山埤雙店面住辦1樓,41.7
2139南港一樓大空間,48.8
南軟園區三房坡車,17.5
胡適庭園透天別墅,45.3
香榭帝寶邊間大戶,4.2
陽光水岸+車位,15
面南港公園邊間鼎家,39.6
中研大空間頂家,47.6
成福家樂福停車壹樓,41
經貿軟體園區店面,17.5
台北南港區南港段二小段投資持份,
東方大地高樓三房,36.2
K577山森原全新毛胚+平面車位,3.3
南港綠意雅寓,36.2
I13南港大豐段林地,
I13南港大豐段旱地,
I13南港大豐段田地,
I13南港大豐段林旱地,
松車低總店辦,30.3
❤松車萬象精緻大樓另坡車,30.3
昆陽捷運忠孝東路公寓三房,51.2
南港福德靜好電梯住宅,27.8
南港住安中研溫馨三房車,8.3
南港車站双美館高樓景觀,8.7
昆陽面公園3房,51.2
昆陽捷運面公園精美3房,51.2
昆陽捷運面公園優美2樓,51.2
近捷運黃金三樓,51.1
福德都更三房雅寓,48.3
S1483玉成公園超值美寓1F,48.8
後山埤站稀有一樓門口可停車,41
專約台北南港近中研院公寓,45
後山埤住店辦,44.5
忠孝無極金店面,11
S1326忠孝東路捷運金店面,11
正忠孝東路收租金店l 投資首選,11
南港舊莊收租五套房,45
南港綠意美景公寓,36.2
中研院公園邊間一樓,53.2
昆陽面公園美寓,51.2
8810遠雄ICity整層出售,2.3
遠雄宜進新辦公室,2.3
遠雄宜進,2.3
遠雄宜進新辦公室,2.3
松山國小雙捷運電梯大樓附車位,30.3
南港玉成公園溫馨三房,42.7
[中研苑士]南港2房車即將交屋,-1
[中研苑士]南港2房車即將交屋,-1
昆陽面公園美寓,51.2
昆陽面公園大三房,51.2
松山捷運站優值辦公室,35.7
後山埤邊間雅寓,41
世界心毛胚辦公好規劃,13.8
玉成公園收租美寓,45.3
獨家南港玉成公園綠意三房,41.2
後山埤捷運持分住地,
南港路三段電梯大廠辦,35.8
玉成大賞小資美宅,0.3
8109遠雄I-City大廠店,2.3
8982遠雄全新挑高六米一樓,2.3
香榭帝寶三房+車位,4.2
玉成大賞邊間A棟+車位,-1
後山埤精品店面,11
W78捷運後山埤忠孝無極店面,11
近捷運展覽館站店面,67.7
忠孝東路六段金店面,11
南港舊莊美寓,52.4
南港三鐵黃金公寓,50.5
國泰悠陽綠意3房,1.3
經貿園墅二房坡平,19.2
信義逸居精品2房坡車,8.7
玉成公園低總鼎佳,48.3
南港重陽中視金店面,19.3
南港溪有裝潢透天,53.3
後山埤捷運靜巷二房美寓,48.3
南港黃金地段商三特持分土地,
後山埤增值壹樓,50
胡適庭園景觀透天,46.7
南港忠孝東無極金店,11
南港龍華住辦一樓,41.7
軟體園區店面稀有釋出,17.2
忠孝東6段昆陽寬金店面,49.1
華固奧之松庭園別墅,16.5
忠孝無極金店面,11
日升月恆無雙精裝豪邸,11.3
近忠孝東路稀有透天,68.6
南港玉成段都更一樓,51.4
近南軟大地坪透天,68.6
後山埤捷運辦公,38.3
正忠孝東路精品店面,11
忠孝無極置產店面,11
中研院收租透天,53.3
世界明珠景觀大戶,-1
世界明珠景觀戶I,-1
世界明珠景觀戶II,-1
捷運南港東方文華,20.8
日升月恆高樓景觀四房,11.3
近南港展覽館投資都更建地,
後山埤美寓,44.4
南港中研公寓一樓,53.2
後山埤站收租精品店面附車,11
南港園區香朵2房坡車,16.3
忠孝東路挑高精美黃金店面,11
經貿招財金店面,17.5
後山埤低總價亮麗3房,50.8
松車黃金店辦,48.2
達欣東匯A6-10F,-1
華固高樓景觀三房+坡平車位,18.2
達欣東匯2樓,-1
達欣東匯庭院大戶A5-1F,-1
稀有邊間收租透天,54.6
南軟甲子園1樓,14.9
專任中研院二房美寓,47.6
南軟世界心高樓附三車,13.8
世界心雅致高樓3平車,13.8
胡適國小4F頂家美寓,65.4
南港花園社區溫馨3房,27.8
南港世界心前棟高樓,13.8
南港國宅高樓景觀二房,27.8
永泰皇御南港之星,13.3
驚喜價永泰皇御,13.3
南港車站1F+B1大空間,20.2
重陽重劃區精美三房,20.5
南港公園公寓三房,39.6
X21玉成公園旁邊間2樓,41.4
南港巴黎春天樓中樓,27
華固卡地雅電梯三房+坡車,18.2
達欣東匯A6-4樓,-1
宏盛我城-稀有庭院豪宅,15.8
540BH華固卡地雅3房+車位,18.2
達欣東匯A5-5樓,-1
達欣東匯A6-3樓,-1
南港豪宅金店面,11
後山埤面大馬路店面,11
近後山埤都更發財透天,49.8
南港土地投資案,
無雙高樓層頂級豪宅,11.3
廣慈奉天站三樓美寓,50.8
紐約花園美景3房附車位,14.2
南港北流旁金店(四),4.2
南港北流旁金店(一),4.2
