objName,age
陽明春曉農夫樂土,
天母國小黃金3樓,38.7
陽明山~秘境花園,
平整地每坪四萬可談,
FZ1華麗家園展現無限風尚,48.4
芝山捷運景觀管理4房豪邸,25.9
天母陽明山土地,7.7
至誠透天精選靜巷戶,50.2
清水模豪宅臻品-無相寓所,11.8
陽明山球場旁土地,
永公路土地(送美屋),
057BH台北市士林區豪四房,43.2
陽明山仰德傳家寶,63.5
社中四面採光一層一戶,44.3
高島屋四房大戶,47.7
陽明平菁花園露臺別墅,46.4
大北路黃金3F,54.1
陽明山畫家柏園泳池別墅,49.1
士林Y28面寬大一樓,50.8
士林捷運好車位,14.2
130.雙溪景觀電梯豪宅坡平,41.9
天母長春邊間三房,46.8
康和綠景四房坡車,34.8
101路口商店平整地,
至善天下歐式豪邸,29.8
溫泉名宅陽明山泉景觀三房含車位,26.3
陽明山華岡土地(含透天厝),
天母星光美景別墅,32.1
EA6622 陽明山土地,
天母麗緻透天,50
天母大使特區精品店面,26.6
C15劍潭新屋樓中樓,4.2
新天地景觀精裝坡平車,18.3
天母綠意精美兩房車,8.3
陽明山柏園霸景泳池別墅,49.1
雨農山莊三房坡車,20.8
風動草芳鄰土地,
東山路買地送房,
陽明山柏園山莊101景觀別墅,49.1
❤陽明山景觀美妝柏園山莊別墅,49.1
天玉蘭桂坊車位,28.9
平等養生小屋,
面向東和公園庭院一樓,38.4
陽明山養生農莊,61.7
陽明山菁山路土地,
永公路臨路平坦土地,
士林翠山優質農地+平房,
陽明山保變住建地,
陽明山菁山路土地,
陽明山3500坪土地,
士林開心農場,
陽明山平等段土地,
陽明山國家公園菁山段美地,
至善路三段5800坪土地,
菁山路有飲用水土地,
平菁街有水電資材室土地,
天母星鑽景觀帝王戶,33.3
HZ6天母華廈大四房車,34.8
天母公園富春居三房雙主臥,36.6
陽明新安建物土地,
柏園山莊土地可分割,
柏園山莊雙臨路土地,
陽明菁山建物大土地,
獨棟靜巷四房加雙車位,34.8
天母鬧中取靜華廈四房車,34.8
仰德大道景觀別墅旁土地,
