objName,price,salePrice,style,parking,lon,lat,landArea,mainArea,affiliatedArea,zipCode
陽明春曉農夫樂土,368,368,土地,無,121.56437,25.16519,330.39,,,111
天母國小黃金3樓,2880,2880,公寓,無,121.526973524,25.120315618,16.64,35.69,5.41,111
陽明山~秘境花園,16688,16688,土地,無,121.55956,25.14505,841.09,,,111
平整地每坪四萬可談,692,692,土地,無,121.559263866649,25.1471917770866,172.93,,,111
芝山捷運景觀管理4房豪邸,5980,5980,大樓,私有,121.521688403,25.1063028045,13.39,33.78,5.97,111
天母陽明山土地,7800,7800,土地,無,121.541264082,25.1078919153,251.61,24.93,0,111
至誠透天精選靜巷戶,5988,5988,透天,無,121.535288826,25.1021304133,29.95,46.71,0,111
清水模豪宅臻品-無相寓所,10888,10888,華廈,私有,121.53169652,25.1082980488,17.55,50.14,4.75,111
陽明山球場旁土地,2068,2068,土地,無,121.55909,25.146878,459.53,,,111
FZ1華麗家園展現無限風尚,1998,1998,公寓,無,121.514698383,25.0927948068,12.35,33.02,2.9,111
永公路土地(送美屋),598,598,土地,無,121.560622592,25.1189489293,40.76,,,111
057BH台北市士林區豪四房,2188,2188,公寓,無,121.532503393,25.107607702,11.28,35.67,5.73,111
士林Y28面寬大一樓,2488,2488,公寓,無,121.547301158,25.0967721167,11.42,36.32,0,111
陽明山仰德傳家寶,32000,32000,透天,無,121.55255,25.121621,442.47,71.01,3.84,111
社中四面採光一層一戶,1695,1695,公寓,無,121.509142994,25.0916695396,9.07,27.58,1.99,111
高島屋四房大戶,2980,2980,公寓,無,121.529889358,25.1115591724,10.65,36.71,2.38,111
陽明平菁花園露臺別墅,3980,3980,別墅,私有,121.579828178,25.13269698,99.21,33.12,2.86,111
大北路黃金3F,1850,1850,公寓,無,121.526715081,25.0897138165,10.36,31.1,0,111
陽明山畫家柏園泳池別墅,7800,7800,別墅,無,121.554954405,25.1133946317,150.34,121.22,28.69,111
士林捷運好車位,190,190,其他,私有,121.52413857,25.0912755589,0.27,2.14,0,111
130.雙溪景觀電梯豪宅坡平,7280,7280,華廈,私有,121.530841791,25.1010177317,22.32,83.99,20.44,111
天母長春邊間三房,2988,2988,華廈,無,121.534636242,25.12562474,9.24,34.3,6.13,111
101路口商店平整地,2000,2000,土地,無,121.55909,25.146878,532.19,,,111
至善天下歐式豪邸,8388,8388,大樓,私有,121.549795508,25.0996488647,15.33,58.41,8.27,111
溫泉名宅陽明山泉景觀三房含車位,1850,1850,華廈,私有,121.551197943,25.1396044313,16.86,22.61,2.48,111
陽明山華岡土地(含透天厝),3800,3800,土地,無,121.525271,25.09045,60.74,,,111
天母星光美景別墅,15000,15000,別墅,私有,121.537277007,25.1266309615,89.85,55.51,64.53,111
EA6622 陽明山土地,117200,117200,土地,無,121.563566,25.123124,3664,,,111
天母麗緻透天,7500,7500,透天,其他,121.535605275,25.1106932808,36.71,46.21,4.74,111
天母大使特區精品店面,7888,7888,大樓,私有,121.526299712,25.1163056551,19.02,51.94,2,111
C15劍潭新屋樓中樓,3380,3380,華廈,私有,121.526958521,25.0885512505,9.17,21.68,1.62,111
新天地景觀精裝坡平車,3780,3780,大樓,私有,121.516533878,25.0887310005,6.6,23.7,1.7,111
天母綠意精美兩房車,3080,3080,華廈,私有,121.534978269,25.1222522751,14.79,17.02,1.72,111
陽明山柏園霸景泳池別墅,12980,12980,別墅,私有,121.555912592,25.1146862214,149.74,96.19,46.65,111
雨農山莊三房坡車,3999,3999,大樓,抽籤,121.532717135,25.0996876543,12.01,27.72,2.9,111
風動草芳鄰土地,730,730,土地,無,121.58712,25.13927,809.05,,,111
東山路買地送房,5920,5920,土地,無,121.540083,25.126166,247.02,,,111
天玉蘭桂坊車位,200,200,大樓,私有,121.529482333,25.1205680419,0.19,0.08,0,111
陽明山柏園山莊101景觀別墅,13600,13600,別墅,私有,121.554924647,25.1128218457,138.54,89.81,49.98,111
❤陽明山景觀美妝柏園山莊別墅,13800,13800,別墅,私有,121.555817855,25.1145066285,166.68,96.19,47.1,111
平等養生小屋,650,650,土地,無,121.58224,25.13513,42.91,,,111
面向東和公園庭院一樓,3900,3900,華廈,無,121.534006233,25.1241367857,13.55,52.44,6.11,111
陽明山養生農莊,3780,3780,土地,無,121.55375482,25.1192390776,476.63,15.74,0,111
陽明山菁山路土地,3980,3980,土地,無,121.55206,25.14657,1122.18,,,111
永公路臨路平坦土地,6300,6300,土地,無,121.563274224,25.1217989173,788.61,,,111
士林翠山優質農地+平房,11989,11989,土地,無,121.563216449,25.1098698437,3154.77,,,111
陽明山保變住建地,5000,5000,土地,無,121.554558,25.116412,901.96,,0,111
陽明山菁山路土地,4600,4600,土地,無,121.552849901,25.1474944514,1545.63,,0,111
陽明山3500坪土地,6800,6800,土地,無,121.552849901,25.1474944514,3556.86,,,111
士林開心農場,11989,11989,土地,無,121.563216449,25.1098698437,3154.77,,,111
陽明山平等段土地,4294,4294,土地,無,121.525271,25.09045,715.65,,0,111
陽明山國家公園菁山段美地,2999,2999,土地,無,121.57008,25.14704,1295.5,,0,111
至善路三段5800坪土地,5200,5200,土地,無,121.59117,25.1258,5849.48,,,111
菁山路有飲用水土地,1438,1438,土地,無,121.55909,25.146878,359.27,,,111
平菁街有水電資材室土地,1198,1198,土地,無,121.57178,25.12643,368.72,,,111
HZ6天母華廈大四房車,3980,3980,大樓,無,121.532632115,25.1198722143,16.38,40.57,6.39,111
天母星鑽景觀帝王戶,11000,11000,大樓,私有,121.530124984,25.1217995186,19.53,81.15,40.97,111
天母公園富春居三房雙主臥,3998,3998,華廈,無,121.532435788,25.1271881619,9.61,31.24,6.77,111
陽明新安建物土地,11800,11800,土地,無,121.556331472,25.1337806385,703.93,,,111
柏園山莊土地可分割,3380,3380,土地,無,121.554132174,25.1105880363,202.58,,,111
柏園山莊雙臨路土地,4980,4980,土地,無,121.554248075,25.1115069681,432.57,,,111
陽明菁山建物大土地,12888,12888,土地,無,121.567648136,25.1441137975,989.36,,,111
獨棟靜巷四房加雙車位,3980,3980,華廈,私有,121.532632115,25.1198722143,16.38,40.57,6.39,111
天母鬧中取靜華廈四房車,3980,3980,華廈,私有,121.532632115,25.1198722143,16.38,40.57,6.39,111
仰德大道景觀別墅旁土地,10000,10000,土地,無,121.525271,25.09045,321.26,,,111
【天母仰格】3房+車位,6488,6488,大樓,私有,121.526776156,25.0990258599,6.95,34.42,7.56,111
仰德芝蘭別墅,16800,16800,別墅,私有,121.540174473,25.1053582093,176.73,129.62,5.64,111
康和綠景四房坡車,4980,4980,大樓,私有,121.532893614,25.1083502813,13.9,37.43,5.06,111
磺溪美景家居之最,9150,9150,大樓,私有,121.525648766,25.1148000409,16.43,41.62,6.83,111
誠售天母忠義街雙店面,3668,3668,其他,無,121.531509557,25.1060993357,10.68,32.86,3.29,111
