objName,age
G5敦南自在尊爵豪邸,14.3
文普世貿高樓景觀四房,44.7
大安捷運出口二樓店辦,43.8
B3新生金華☆捷運電梯宅,42
大安捷運精美2房大廈,50.8
近大安運動中心公寓二樓,50.8
東區名喬財金大樓坡車,35.6
101景觀五房坡車名宅,38.8
森林公園夏朵名邸,18.6
近大巨蛋華廈正兩房,47.6
忠孝新生海關4房,41.8
雙龍學區電梯四房,42.2
忠孝敦化雙仁愛電梯3房,47.2
大安極品三樓美寓,49
六張犁安居三房美寓,47.4
中正國中學區美宅,2
忠孝阿波羅遠眺101,48.2
H3世貿雙捷運福氣四房,44.7
敦南信義雙車位,45.1
忠孝東路機械平面車位,46.2
森林溫州綠意庭園美一樓,43.2
和平賞名邸+大坡車,25.8
麗水金華大面寬店辦,43.2
仁愛鑽石林蔭景觀,48.9
大安公園整棟10戶,14.2
榮耀敦南高樓景觀,22.1
正東區塔式車位,21.8
大安捷運雙主臥坡平車位,14.3
忠孝復興微風住辦,49.3
HZ1大安稀有一樓露台樓中樓,26.3
敦南御所三房豪邸,5.5
&大安區友座臻璽坡平車面公園,8.5
國館仁愛翠亨一樓車,13.3
信義安和面寬大店面,49.4
附中學區車位,23.8
大安站美麗二房車,32.3
&面仁愛國小電梯三房,49.5
忠孝敦化美麗華廈,46.7
青田莊園大戶附先到停車位,55
捷運信義安和邊間華廈,47.7
【忠孝敦化站｜國館・電梯二房】,47.5
公館金鑽面寬店面,42.2
忠孝敦化挑高4米小豪宅,19.6
HZ6忠孝復興邊間四房美廈,43.1
附中郵政靜巷三房,39.1
H4122 敦南名園4大房車,32.3
古亭站狀元吉第2房車,35.5
正羅斯福路MONEY金店面,1
大安達永秋鄉一樓庭院戶,2.8
E22敦南林蔭2房,50.8
國泰瑞安懷石高樓豪邸,17
榮耀敦南帝豪景,22.1
瑞安街靜巷豪邸,16.3
SOGO國泰電梯高樓,53.1
J9中正國中學區置產金店面,15.8
忠孝復興101絕美華廈,44.3
建成皇宮稀有大戶,38.8
仁愛北歐名邸,47.5
文普國際美景四房,44.7
文普典藏醫生世家,44.7
敦南靜巷邊間鼎家,45.8
信義安和捷運大車庫一樓,45.3
明日博朝南名邸,10.2
安和捷運仁愛學區美寓,42.1
古亭捷運站旁全新賺錢金店面,4.4
大安公園庭院車庫壹樓,42.7
溫州庭院車庫四房,42.7
信義敦化四房+車位,35.4
瑞安璽朵208巷小豪宅,10.8
&敦南冠德三房平車,37.3
東區頂好邊間名店,38.2
F6大安森林｜庭院戶x坡車,40.6
專任大安站稀有停車位出售,37.5
信義安和獨戶住辦,41.7
信義安和捷運仁愛學區住辦二樓,41.7
師大電梯獨戶4房車,29.7
捷運龍門台大書香世家,42.4
忠孝新生雙併華廈,41.8
信義安和黃金二樓店辦,41.7
&忠孝復興4房電梯租坡車,43.1
敦安公園明亮住辦,41.7
台大雙龍學區電梯明亮美廈,42.2
信義安和邊間一樓,48.6
J7超值東門捷運高樓住辦,49.1
國泰仁愛朝南靜巷美廈,45.5
瑞安精裝四房美廈,42.3
信義翡麗附中對面(塔式車位),17.5
瑞安住辦一樓車,38.2
捷運101景觀車位,24.9
信義安和美景車,24.9
大安面寬雙金面,49.4
信義安和捷運邊間四房,40.7
信義安和電梯邊間三房,44.7
信義安和電梯邊間四房,40.7
【敦化站｜東區216巷．店辦】,51.8
六張犁大三房雙陽台美寓,47.4
大安黃金店面．稀有釋出,48
忠孝統領商辦高樓,41.3
EZ8登峰大廈｜附中｜三房｜坡車,2.3
敦南林蔭高樓兩房,50.8
【忠孝復興站｜極品樓王】,37.1
信義安和甲第名宮高樓附車位,43.3
大安區稀有透天,38.8
&基泰台大高樓景觀露台戶,13.2
遠企安和3房平車,40.8
敦南遠企安和大漢敦爵車位,23
師大附中近大安捷運面公園,50.3
狂降8億股本房客收租店,41.6
敦南新鑽景闊名邸,39.4
世貿文普電梯景觀宅,44.7
遠企敦南SRC面公園,17.4
009-信義安和捷運金店,44.1
明日博朝南101制震豪邸,10.2
&敦南璞真豪邸,10.8
新生金華獨棟二樓美寓,43.8
仁愛安和都更案+車位,45.1
JZ6師大商圈黃金店面,49.5
附中大安捷運優質二樓,51.6
大安稀有瑞安街店辦,46.4
信義安和角窗金店面,43.3
安和信義二線金店面,49.1
Y499吉美富徠高樓景觀戶,1.8
【六張犁｜危老都更・潛力黑土】,57.8
台大雲和獨棟公寓頂加,40.9
台北之星全新尊邸,4
敦南225面林蔭,29.7
大巨蛋黃金住店辦+車位,38.9
#忠孝延吉華廈鼎佳,40.1
市民大道塔式車位,19.6
101美景安和賞易改回兩房,18.3
H4新生金華永康美四房車,29.3
新生金華永康獨棟美廈+車位,29.3
皇勝瑞安 名人巷樓中樓,16.9
世界敦南便宜車位,17.2
K2忠孝敦化置產收租首選,57.3
師大靜巷挑高庭院大戶,34.1
忠孝SOGO名人邊間三房,54.9
忠孝新生站靜寬巷華廈,41.8
忠孝建國雙捷獨立店辦,26.4
信義安和坡道平面車位,47
遠企敦南珍藏戶,43.9
&敦南自在獨棟豪邸平車,14.3
正仁愛稀有國館金店,46
仁愛A+精品名邸附車位,17.4
仁愛敦南都更土地,
【忠孝新生站｜海關．黃金二樓】,59.3
JZ4師大路商圈面寬金店面,55.8
【國館｜光復南路・樹海店辦】,45.2
東區統領整層酒店商旅,41.3
台北星鑽尊榮景觀名邸,4
大巨蛋捷運旁純辦,44.9
富邦藝術面101三房景觀,1.3
森林公園層峰豪邸,17
信義安和邊間四房平車,44.3
明日博朝南高樓,10.2
&金華龍門學區一樓,45.9
F9金華學區師大景觀頂家,46.6
東方大廈邊間大戶,47.3
光南信義美二房,43.2
敦南林蔭景觀3房,47.1
延吉街三角窗金店面,44.3
F9師大商圈面寬一樓店面,46.6
信義安和仁愛學區孝親壹樓可停車,48.6
龍門學區次高樓帝景,45.4
水樹之間名邸,9.2
敦南225林蔭景觀店辦,29.7
仁愛延吉雙車位,47.3
敦化風采車位-機械平面,31.2
金華龍門溫州美廈,39.5
★仁愛路住四土地★,
敦南林蔭亮麗5房,43.3
古亭捷運店地,
附中全新景觀豪邸,5.7
敦南金品綠蔭五房,43.3
FZ5仁愛學區靜巷邊間美居,48.6
光南信義美2+1房,43.2
【大安站｜附中・阿曼仁愛A+】,17.4
三普復興捷運旁挑高管理二房,39.6
敦南樹海景觀美宅,50.8
B3仁愛綠蔭高樓景觀宅,49.3
【敦南｜樹海景觀・挑高4米8】,50.8
附中住四大土地美寓,61.5
高屋建瓴・安沐居,3.1
中正國中一樓門前可停車,43.6
敦南林蔭景觀美宅,50.8
忠孝北科大面寬金店,26.4
忠孝建國捷運面寬店面,26.4
專．大安森林公園三樓,51.7
信義安和一樓邊間美辦,48.6
驚喜價師大夜市雙店面商業土地,55.2
信義安和站超值車位,17.1
仁愛敦南都更土地,
大安安居三房美廈,42.3
大安森林公園景觀四房坡車,37.1
附中學區電梯四房,47.2
稀有釋出捷運旁住辦大樓,44.3
微風合砌雲開美二房,4.8
微風合砌雲開高樓景觀,4.8
昇陽精緻2房,17.8
成功國宅亮麗3房,40.8
附中學區電梯4房,47.2
國館捷運電梯學區4房,38.6
文普國際景觀四房,44.7
雙捷運電梯3房美廈,45.7
E29信義安和美廈2樓3房3衛,44.3
文普國際精緻四房,44.7
信義安和華廈邊間3房,44.7
給愛車一個家,23.8
師大青見倉儲車位,16.6
公園捷運景觀三房,44.3
忠孝復興捷運三房雙衛,44.3
忠孝敦化國泰皇家,50.9
延吉公園電梯四房,43.3
雙仁愛學區大安名人巷名邸,55.3
辛亥.芳和學區宅,50.8
光復國小邊間4房,38.6
藏蘊金華中正國中電梯學區宅,11.8
樂利路靜巷獨戶大三房,42.3
安和敦安景觀雅緻三房,42.2
大安101醫生世家景觀四房,44.7
世貿文普景觀4房,44.7
忠孝敦化捷運電梯三房,47.2
忠孝敦化精品華廈,38.9
敦南傳家三角窗金店面,47.6
新生南路收租▲窗全家金店面,49.3
大安Money金華設籍美宅,1
文普精美大四房,44.5
新生金華設籍套房,42
大安面公園百坪大戶,50.8
南溫州超級金店面,46.9
大安區經典中的晶典電梯3房方正採光佳,17.4
仁愛安和華園名廈,41.9
仁愛樹景景觀美宅,38.8
溫州院書香名邸,0.8
專約忠孝復興統創精品宅,1.9
東帝士樓中樓+雙坡車,36.6
光復南一層美寓3房,54.2
東區SOGO精品宅,55.5
瑞安庭院精美大戶,40.6
E13六張犁4+5美寓,52.7
光復南傳家大土地透天,25.9
附中學區挑高美宅,17.4
信義安和站通化收租美寓,45.3
信義安和站通化收租美寓,45.3
森林公園新生金華整棟華廈,14.2
捷運六張犁黃金二樓,42.8
敦南電腦停車位,16.8
忠孝東路帝王景緻辦公,41.3
正東區統領美妝景觀辦公,41.3
忠孝敦化美妝邊間商辦,41.3
統領商業大樓,41.3
統領高樓辦公,41.3
忠孝統領高樓保值商辦,41.3
附中住辦新裝潢,47.2
正馬路三角窗店面,44.3
