objName,price,salePrice,style,parking,lon,lat,landArea,mainArea,affiliatedArea,zipCode
G5敦南自在尊爵豪邸,9888,9888,華廈,私有,121.546393163,25.0320303915,14.43,38.33,10.24,106
文普世貿高樓景觀四房,5698,5698,大樓,無,121.556645778,25.0284932038,4.65,38.77,4.28,106
大安捷運出口二樓店辦,7988,7988,大樓,無,121.542839016,25.0331915991,4.93,41.34,3.81,106
B3新生金華☆捷運電梯宅,1798,1798,大樓,無,121.53185672,25.0265231403,0.97,8.24,1.43,106
大安捷運精美2房大廈,1888,1888,大樓,無,121.548413676,25.0313793313,1.16,10.07,,106
近大安運動中心公寓二樓,1950,1950,公寓,無,121.549703996,25.017323641,10.81,27.28,3.45,106
東區名喬財金大樓坡車,350,350,其他,私有,121.550043848,25.0440531867,0.44,7.64,,106
101景觀五房坡車名宅,8888,8888,大樓,私有,121.554377273,25.039507674,12.96,57.64,7.83,106
H3世貿雙捷運福氣四房,5698,5698,大樓,無,121.556645778,25.0284932038,4.65,38.77,4.28,106
森林公園夏朵名邸,10088,10088,華廈,私有,121.540896805,25.0310501037,13.39,40.74,4.92,106
大安極品三樓美寓,2198,2198,公寓,無,121.555348978,25.0199488343,11.65,28.96,3.44,106
六張犁安居三房美寓,2090,2090,公寓,無,121.553965811,25.0202525819,8.21,24.93,3.51,106
忠孝阿波羅遠眺101,6980,6980,大樓,無,121.553331885,25.0411289607,6.28,51.46,9.9,106
敦南信義雙車位,396,396,大樓,私有,121.548436518,25.0335973282,1.03,,,106
忠孝東路機械平面車位,300,300,大樓,私有,121.554970078,25.0416072526,1.17,8.44,0,106
和平賞名邸+大坡車,6388,6388,大樓,私有,121.553965449,25.0225515412,7.55,39.91,5.59,106
仁愛鑽石林蔭景觀,8550,8550,大樓,無,121.550832581,25.038103568,9.49,61.86,8.22,106
榮耀敦南高樓景觀,9588,9588,大樓,私有,121.549748224,25.0243656951,9.3,43.82,8.07,106
中正國中學區美宅,1980,1980,華廈,無,121.524429276,25.0299048331,0,7.08,0.64,106
麗水金華大面寬店辦,8338,8338,華廈,無,121.526987614,25.0286750693,9.46,36.76,5.98,106
大安公園整棟10戶,34989,34989,華廈,無,121.531074896,25.030701795,45.68,83.68,31.81,106
正東區塔式車位,125,125,華廈,私有,121.551891285,25.0441974783,0.01,,,106
森林溫州綠意庭園美一樓,7268,7268,華廈,無,121.532880308,25.024095774,9.43,29.98,8.31,106
忠孝復興微風住辦,2700,2700,大樓,無,121.543608299,25.0445473688,2.74,22.68,0.93,106
近大巨蛋華廈正兩房,2860,2860,華廈,無,121.554804712,25.0433526891,5.58,20.88,2.78,106
HZ1大安稀有一樓露台樓中樓,7900,7900,大樓,私有,121.54560287,25.0441891587,8.17,27.95,0.97,106
敦南御所三房豪邸,8800,8800,大樓,私有,121.548523043,25.0444762426,3.99,31.86,3.9,106
忠孝新生海關4房,4780,4780,華廈,無,121.535432777,25.0406119211,9.14,30.48,3.97,106
&大安區友座臻璽坡平車面公園,5730,5730,大樓,私有,121.552689059,25.0210637859,6.86,24.9,4.32,106
國館仁愛翠亨一樓車,9838,9838,大樓,私有,121.556847189,25.0365766727,8.24,43.25,0.81,106
雙龍學區電梯四房,4380,4380,華廈,無,121.533519247,25.0203604425,8.69,28.2,7.64,106
信義安和面寬大店面,5350,5350,公寓,無,121.554831038,25.0317373809,9.15,22.4,4.8,106
大安捷運雙主臥坡平車位,9888,9888,華廈,私有,121.546393163,25.0320303915,14.43,38.33,10.24,106
附中學區車位,480,480,華廈,私有,121.544867987,25.036187404,0.75,,0,106
大安達永秋鄉一樓庭院戶,5500,5500,大樓,私有,121.558489,25.017352,5.57,22.06,3.02,106
&面仁愛國小電梯三房,4980,4980,華廈,無,121.55175304,25.0353435009,8.4,34.11,4.46,106
青田莊園大戶附先到停車位,6488,6488,華廈,公有,121.531587248,25.0277269838,13.92,48.03,7.44,106
【忠孝敦化站｜國館・電梯二房】,2288,2288,華廈,無,121.552847014,25.0391587084,4.09,15.56,2.4,106
HZ6忠孝復興邊間四房美廈,5150,5150,大樓,無,121.543120942,25.0396753872,9.57,34.49,4.8,106
附中郵政靜巷三房,3088,3088,大樓,無,121.538853643,25.0359664633,3.96,23.32,3.75,106
古亭站狀元吉第2房車,3680,3680,大樓,私有,121.524113163,25.0251428114,2.33,19.99,2.78,106
忠孝敦化雙仁愛電梯3房,3450,3450,華廈,無,121.548015645,25.0429273244,4.56,27.59,4.33,106
正羅斯福路MONEY金店面,5500,5500,大樓,私有,121.527473494,25.0215888918,2.64,18.4,0.94,106
E22敦南林蔭2房,1880,1880,大樓,無,121.548413676,25.0313793313,1.16,10.07,0,106
國泰瑞安懷石高樓豪邸,24000,24000,大樓,私有,121.541145579,25.0271937614,32.19,79.11,9.3,106
忠孝敦化挑高4米小豪宅,1888,1888,華廈,無,121.551517737,25.044301608,2.22,5.87,2.6,106
榮耀敦南帝豪景,9588,9588,大樓,私有,121.549748224,25.0243656951,9.3,43.82,8.07,106
大安站美麗二房車,3980,3980,華廈,私有,121.546175084,25.0319764319,5.89,15.69,4.07,106
瑞安街靜巷豪邸,14988,14988,大樓,私有,121.542268492,25.0298511241,18.3,49.48,6.8,106
SOGO國泰電梯高樓,5288,5288,大樓,無,121.54512711,25.0427076718,6.64,28.07,8.43,106
J9中正國中學區置產金店面,2988,2988,大樓,無,121.523792344,25.0336352479,2.84,5.92,1.96,106
忠孝復興101絕美華廈,4380,4380,大樓,無,121.543600939,25.0441506057,2.76,26.65,1.88,106
建成皇宮稀有大戶,8888,8888,大樓,私有,121.554377273,25.039507674,12.96,57.64,7.83,106
仁愛北歐名邸,4336,4336,大樓,無,121.552171771,25.0375065501,4.55,26.74,3.88,106
忠孝敦化美麗華廈,4380,4380,華廈,無,121.550527266,25.0407481256,6.45,31.66,5.44,106
文普國際美景四房,5698,5698,大樓,無,121.556645778,25.0284932038,4.65,38.77,4.28,106
文普典藏醫生世家,5698,5698,大樓,無,121.556645778,25.0284932038,4.65,38.77,4.28,106
大安稀有瑞安街店辦,5500,5500,華廈,無,121.542876124,25.0289350306,4.76,22.31,3.38,106
敦南靜巷邊間鼎家,2620,2620,公寓,無,121.54743171,25.0219846201,7.89,24.29,3.3,106
信義安和捷運大車庫一樓,3600,3600,公寓,無,121.555316154,25.0290294033,9.61,29.8,3.81,106
捷運信義安和邊間華廈,4188,4188,華廈,無,121.555369785,25.0344854786,7.63,31.97,3.72,106
明日博朝南名邸,13588,13588,大樓,私有,121.537872609,25.0444418516,9.95,49.31,7.61,106
安和捷運仁愛學區美寓,4300,4300,公寓,無,121.552909289,25.0339256869,11.31,35.11,6.21,106
古亭捷運站旁全新賺錢金店面,6980,6980,大樓,無,121.523737702,25.0256540329,4.83,21.34,0.36,106
大安公園庭院車庫壹樓,6180,6180,華廈,私有,121.532273816,25.0252291086,11.45,30.88,5.46,106
溫州庭院車庫四房,6180,6180,華廈,無,121.532273816,25.0252291086,11.45,30.88,5.46,106
信義敦化四房+車位,6800,6800,華廈,私有,121.547628388,25.0318078568,16.07,37.85,4.98,106
東區頂好邊間名店,1280,1280,大樓,無,121.547948745,25.0417519447,1.24,7.57,,106
專任大安站稀有停車位出售,198,198,大樓,私有,121.543367071,25.0331200687,1.03,9.48,,106
公館金鑽面寬店面,6980,6980,華廈,無,121.533410466,25.0203681461,13.24,30.97,4.82,106
師大電梯獨戶4房車,6460,6460,華廈,私有,121.530837243,25.0247626507,16.46,35.89,8.06,106
&敦南冠德三房平車,8288,8288,華廈,私有,121.546584076,25.0310658925,21.93,51.92,6.54,106
J7超值東門捷運高樓住辦,6500,6500,大樓,無,121.526368943,25.0342269722,7.47,52.91,19.22,106
瑞安璽朵208巷小豪宅,1990,1990,華廈,無,121.540660084,25.0297470451,2.53,6.07,2.17,106
國泰仁愛朝南靜巷美廈,6300,6300,華廈,無,121.554560413,25.0352973793,12.16,47.52,11.33,106
信義安和邊間一樓,4580,4580,華廈,無,121.555830077,25.0341022958,,26.14,4.52,106
瑞安精裝四房美廈,3380,3380,華廈,無,121.541422917,25.0280029172,0,32.43,5.58,106
F6大安森林｜庭院戶x坡車,5888,5888,華廈,私有,121.542284,25.028443,8.93,31.13,2.79,106
信義翡麗附中對面(塔式車位),120,120,大樓,私有,121.540935394,25.0332246203,0.13,0.06,0,106
捷運101景觀車位,4380,4380,華廈,私有,121.555488868,25.0310584275,9.63,21.44,2.79,106
信義安和美景車,4380,4380,華廈,私有,121.555488868,25.0310584275,9.63,21.44,2.79,106
信義安和電梯邊間三房,3788,3788,華廈,無,121.55666619,25.0320010146,7.13,24.23,3.67,106
六張犁大三房雙陽台美寓,2090,2090,公寓,無,121.553965811,25.0202525819,8.21,24.93,3.51,106
大安黃金店面．稀有釋出,6380,6380,華廈,無,121.542766345,25.0296288826,11.2,16.82,0,106
忠孝統領商辦高樓,5790,5790,大樓,無,121.552011256,25.0416692783,5.66,45.37,0,106
EZ8登峰大廈｜附中｜三房｜坡車,7500,7500,大樓,私有,121.54336862,25.0360084906,3.31,29.02,2.82,106
敦南林蔭高樓兩房,1880,1880,大樓,無,121.548413676,25.0313793313,1.16,10.07,0,106
信義安和獨戶住辦,5400,5400,華廈,無,121.554415746,25.0342747232,9.61,42.5,5.35,106
信義安和捷運仁愛學區住辦二樓,5400,5400,華廈,無,121.554415746,25.0342747232,9.61,42.5,5.35,106
忠孝新生雙併華廈,4780,4780,華廈,無,121.535432777,25.0406119211,9.14,30.48,3.97,106
信義安和黃金二樓店辦,5400,5400,華廈,無,121.554415746,25.0342747232,9.61,42.5,5.35,106
捷運龍門台大書香世家,3800,3800,華廈,無,121.530672627,25.020057208,7.17,24.38,4.13,106
【忠孝復興站｜極品樓王】,22888,22888,大樓,無,121.543940154,25.0395424632,21.46,142.31,21.75,106
