objName,price,salePrice,style,parking,lon,lat,landArea,mainArea,affiliatedArea,zipCode
和風集面公園3房車,2898,2898,大樓,私有,121.549907664,25.0063165447,8.05,21.5,2.78,116
康橋原味新婚小資成家首選,1490,1490,大樓,無,121.542575086,24.990109896,1.83,11.27,0,116
力行國小邊間2樓,1699,1699,公寓,無,121.561486878,24.9815834857,10.57,23.9,5.32,116
萬芳再興庭院挑高客廳大一樓,2788,2788,公寓,無,121.560090226,24.9931559581,10.27,15.51,39.12,116
萬芳捷運方正3樓,1050,1050,公寓,無,121.562125893,24.9941777391,7.82,22.34,4.27,116
敦南山林景觀別墅,4600,4600,透天,私有,121.576620377,25.0028948686,66.67,66.44,23.1,116
隆德天下三房+車位,3780,3780,大樓,抽籤,121.535683131,25.0018452042,10.77,29.12,3.36,116
敦南觀止雅緻雙車位,3198,3198,大樓,私有,121.549773039,25.0067301189,8.42,22.74,2.84,116
文湖線玫瑰美寓,1788,1788,公寓,無,121.557988781,25.003348204,9.23,21.37,4.63,116
台北市門牌小資溫馨小屋,555,555,華廈,無,121.571429575,24.9997054277,2.09,7.36,0,116
萬隆2房2樓雅寓,1500,1500,公寓,無,121.542359498,25.004932196,7.13,18.07,3.49,116
萬隆捷運4號出口三房雅寓,1990,1990,公寓,無,121.53806177,25.0036175252,8.98,22.87,5.5,116
涵碧園4房坡車露臺戶,8020,8020,大樓,私有,121.562394174,24.9969626488,17.52,50.06,5.12,116
北市近捷運林茵三房車位,2899,2899,大樓,私有,121.560352288,25.0077817213,18.14,22.75,2.91,116
河畔生活新婚首購宅,2200,2200,大樓,無,121.547943191,24.9845852644,5.42,15.24,10.02,116
近未來捷運富山匯兩房車,2780,2780,大樓,私有,121.553673379,24.9889223868,4.79,15.18,1.36,116
萬隆捷運商三土地,12000,12000,土地,無,121.539198093,25.0008593774,18.91,,0,116
景華靜巷邊間三房,1998,1998,公寓,無,121.548063517,24.9952732776,8.89,26.16,7.67,116
文教區三面採光公寓3樓,2088,2088,公寓,無,121.54375131,25.0050258869,13.42,30.96,6.65,116
萬隆捷運218巷公寓3房,2088,2088,公寓,無,121.537281564,25.0023967111,9.04,27.44,3.49,116
文山名人奢華電梯別墅,6200,6200,別墅,私有,121.583499626,24.9855007864,47.02,83.44,7.74,116
宏佳邊間電梯三房,2360,2360,華廈,無,121.537291101,25.0007484311,6.55,25.66,3.72,116
萬隆捷運精品美寓,2180,2180,公寓,無,121.543102928,25.0048372024,8.95,26.41,3.29,116
萬隆捷運站商圈2樓,1799,1799,公寓,無,121.542561257,25.0049210407,7.34,23.2,0,116
敦南觀止2房雙車,3198,3198,大樓,私有,121.549773039,25.0067301189,8.42,22.74,2.84,116
政大雙併明亮大四房雙車位,4770,4770,華廈,私有,121.567072018,24.9826244823,15.91,41.45,6.48,116
O018靜心仙岩公園3房坡車,1998,1998,公寓,私有,121.549919842,24.9959560806,19.18,21.22,2.68,116
FZ7稀有萬芳捷運美妝三樓,1950,1950,公寓,無,121.554395911,25.0002465441,8.49,26.04,3.96,116
試院路四巷美屋,1280,1280,華廈,無,121.55038141,24.9887608359,8.79,37.49,0,116
太平洋干邑三房車位,4280,4280,大樓,私有,121.546525,25.00332,11.87,29.06,3.38,116
富山滙新成屋2房車,2780,2780,大樓,私有,121.553673379,24.9889223868,4.79,15.18,1.36,116
萬芳Villa綠景美居含坡車,2588,2588,大樓,私有,121.570623496,24.9959064539,6.8,15.47,2.83,116
萬隆捷運大戶美寓,1997,1997,公寓,無,121.539890157,25.0059230405,10.84,30.56,6.22,116
靜心特區低總公寓,1380,1380,公寓,無,121.544427256,24.9981076162,6.44,23.59,1.17,116
太子大第景觀樓中樓豪邸,5380,5380,大樓,私有,121.556628709,24.9789552317,23.32,71.97,10.8,116
觀星台北雙併三房高樓,2197,2197,大樓,無,121.561581173,24.992181889,19.2,22.96,2.68,116
近世新與未來捷運收租金雞,1698,1698,公寓,無,121.547483447,24.9902490875,9.07,24.48,2.85,116
東山高中旁林地,3393,3393,土地,無,121.556745,24.976055,1478.7,,,116
近捷運萬芳醫院美公寓三樓,1950,1950,公寓,無,121.554395911,25.0002465441,8.49,26.04,3.96,116
木柵路超值3+1美廈,2550,2550,華廈,無,121.553599,24.987537,7.17,18.63,3.41,116
低總價庭院一樓附車位,1688,1688,華廈,私有,121.55986619,24.9857268407,3.55,8.75,0.65,116
