objName,age
D4近松山機場民權東兩房,45.6
民生社區四房美廈,43.2
驚喜價國際級夜市優質店面,41.6
J8南京巨蛋低公設純辦,43.8
BZ8台北摩根｜輕奢品味宅,17
台北摩根後棟邊間原始2房,17
雙敦樹海電梯採光鼎佳,42.4
B2地上權松山露台兩房戶,20.2
民生邊間大戶美廈,43.2
民生社區林蔭頂佳,46.5
南京三民摩根稀有小宅,17
建築賞山河景觀樓中樓,23.8
民生社區高樓山景四房,43.2
富春花園電梯3房,42.8
復北民權商辦,41.5
K5收租王｜南京三民3百米,43.8
南京三民邊間4房+車位,33.3
K9合法隔套｜南京三民華廈,44.3
南京三民挑高一樓,24.3
民生重劃區美妝一樓,44.9
F5民生社區稀有採光雅寓,50.9
小巨蛋捷運美住辦,37.3
敦化介壽全新美裝潢四房+車位,37.3
碧硯閣高樓三房+車位,0.8
民權三民邊間四房,42.9
南京三民一層一戶住辦,33.6
復北收租金店,40.8
雙敦近捷運電梯四房,47.3
【復興站｜雙敦學區・微風咫尺】,17.2
民生社區綠意朝南壹樓,53.2
南京三民捷運民生社區店面,52.2
敦化民生雷諾名廈坡車,41.7
A7翔譽101煙火景觀戶,12.3
【敦化站｜雙敦學區．黃金三樓】,60.5
松山機場旁敦北翠苑邊間三房車,31.7
BZ7松山捷運｜低總置產宅,28.8
敦北映虹園電梯3房,42.5
名人世界高樓４房,43.2
松山新城樹景4房車,28.7
民生社區好宅景觀戶,43.2
中工碧硯閣三房車位,0.8
南京三民公寓3樓,53.9
A7全新｜嘉磐101,3
BZ7松山捷運｜擁財庫旺宅,28.8
F13松山稀有4米2高樓成家,19.3
敦北小巨蛋三房美宅附車位,31.7
民生綠蔭電梯美三房,46.5
FZ5雙敦稀有庭院一樓,30.9
中山國中站電梯三房,42.6
民生公園二樓,50.8
南京三民芝蘭名廈三房,38.2
D3雙敦璞真久石讓首席戶,15.6
D3雙敦璞真久石讓帝王雙併,15.6
D3雙敦璞真久石讓總裁戶,15.6
小巨蛋雙敦雙車帷幕商辦,34.9
中山國中捷運超實用大空間七樓,44.7
大面寬邊間稀有2樓釋出,54
民生社區大戶美寓,51.7
驚喜價｜敦北金融特區住辦,49.4
南京三民樓中樓鼎佳附車,37.7
小巨蛋站雙敦學區｜敦北園中園,37.7
民權電梯華廈大空間,42.8
復北興安亮麗店辦,40.8
世田介精裝高樓,2.9
國泰敦化名門頂家,39.7
雙敦南林蔭景觀大戶,49.2
光北京華二樓,37.3
松山精華地段|高樓層辦公,32.6
K9南京商圈X電梯鼎王,44.3
逸仙名園電梯三房車,38.4
南京三民住辦獨棟華廈,43.1
民生建成景觀套房,36.8
饒河塔式休旅車位,23.8
民生圓環名人裝潢3室,43.2
南京三民捷運醒目2樓店辦,46.1
新東街寬巷3+1房,42.8
太子敦園高樓雙車,21.3
DZ8南京復興｜雙敦學區宅,19.2
BZ2南京三民信義星池高樓房車,18.1
DZ8雙敦高樓稀有釋出,33.8
民生介壽美鼎家,47.8
J6東區｜三角窗店面｜小巨蛋,40.6
雙敦•敦化雅極,19.6
民生圓環邊間電梯四房,36.8
南京三民電梯大戶,45
松山新城將軍戶,28.7
小巨蛋育達都更宅,56.8
富錦街林蔭3+1房,54.3
國泰民生新城富寓一樓,47.8
松山河景精品宅,3
雙敦學區八德透天,60.9
松河高樓觀2房+車位,5.5
健康國小3房,53.2
市中心超值停車塔,22.9
Y642松山新城第十區兩房,25
Y643延壽國宅稀有釋出,33.9
小巨蛋邊間學區3房,48.1
民生河賞河景雅居,21.1
健安新城E區美3房,21.5
民生圓環都更席,49.4
$中崙京華景觀四房,39.9
敦化介壽學區精裝坡車,37.3
大空間名人大廈,43.2
超美裝潢!民生社區低公設-四房,43.2
名人邊間四房美廈,43.2
民生社區稀有大坪數質感3F,43.4
建成花園溫馨套房,36.8
小巨蛋捷運敦化學區宅,58.4
敦北琢賦豪邸,9.6
民生社區美妝三房,53.8
雙敦三房美寓,58.4
松站商三收租美寓,43
民生東路金店面,56.3
小巨蛋捷運敦化學區宅,58.4
大巨蛋旁路邊出租店面,39.6
K024高興商辦風水宅,31.2
捷運氣派純辦大樓,31.6
❤都更雙敦香榭二房,40.6
近東區黃金住辦,48
南京三民開窗邊間,32.7
南京三民電梯收租頂佳,44.3
光北面寬金店面+B1,47.8
松甲樹景明亮四房,28.7
華南花園黃金店辦,48
延吉街燙金住辦,48
松山民生公園美寓,52.5
敦南雙敦學區大氣派華廈,44.7
大巨蛋核心景觀宅,18.1
民權富錦頂樓邊間四房,42.9
巨蛋景觀小資宅,18.1
01景觀邊間電梯頂家,39.3
松山海華低總價店面,42.5
南京捷運超值辦公,34.5
復北民權商辦II,41.5
復北民權商辦I,41.5
復興北民權捷運純辦I,41.5
面公園LV(樓+樓),19.3
捷運帷幕大坪數保富商辦A,41.5
捷運帷幕大坪數保富商辦B,41.5
正南京東小巨蛋燙金商辦,39.2
專約✨雙敦電梯三房(現況兩房),32.3
琴韻園邊間華廈3房,48.1
廣合陽光5房景觀電梯美宅,53.6
南京復興面公園人潮一樓+B1,41.8
420南京三民電梯收租美屋,44.3
雙敦學區黃金店辦住壹樓,48
敦化日式庭院金店,57.9
A626復興南路微風廣場旁金店面,52.8
復北昇陽公寓鼎加,39.8
巨蛋文創景觀宅,18.1
Y21南京三民捷運寶清街金店,36.3
潤泰三房車位帝王戶,23.8
南京三民站面寬一樓店辦住,48.8
