objName,price,salePrice,style,parking,lon,lat
西門町來來大廈電梯套房,728,728,華廈,無,121.50480816,25.047020299
高樓河岸美景,2868,2868,大樓,無,121.502878086,25.0194232539
CZ5晶麒｜邊間陽光可三房,2668,2668,大樓,私有,121.502010304,25.0394185079
CZ5台北晶麒｜兩房好宅,2300,2300,大樓,私有,121.502010304,25.0394185079
BZ9西門捷運｜一級棒宅宅,588,588,大樓,無,121.505686788,25.0429094087
DZ4青年公園｜低總方正2房,1388,1388,華廈,無,121.508456988,25.0240977059
EZ5龍山寺｜全新美裝三房車,3680,3680,大樓,私有,121.496073754,25.0300007164
EZ5萬華車站｜美裝三房車,3980,3980,大樓,私有,121.496073754,25.0300007164
BZ6西門町×美套×低總價,588,588,華廈,無,121.504864903,25.0428612415
B5專任1房1廳美妝套房,880,880,華廈,無,121.500733543,25.0395404623
BZ6西門站高樓層｜三面採光,1328,1328,大樓,無,121.502924744,25.0435981067
萬華河濱公園電梯3房,1788,1788,華廈,無,121.49308033,25.0206089084
F9桂林景觀邊間電梯三房,2380,2380,華廈,無,121.495286254,25.0380183203
西門町買車位送26坪商業地,2700,2700,華廈,私有,121.504703312,25.0447583288
未來廈安站雙併邊間三房車,3999,3999,大樓,私有,121.503563539,25.0290655943
JZ3西門熊獅獻瑞金店面二,368,368,其他,無,121.506634071,25.0455890123
JZ3西門熊獅獻瑞金店面一,328,328,其他,無,121.506634071,25.0455890123
DZ2西門貴陽邊間2房車不二價,1998,1998,大樓,私有,121.498771077,25.0401022454
IZ2萬華小透天｜都更金雞,1350,1350,透天,無,121.494603291,25.0201414653
西門邊間四房,3888,3888,大樓,無,121.504664662,25.0417933475
西園吉祥-邊間美妝三房車B,3680,3680,華廈,私有,121.496073754,25.0300007164
西園吉祥-邊間美妝三房車A,3980,3980,華廈,私有,121.496073754,25.0300007164
西門兩房三樓美寓,938,938,公寓,無,121.501782631,25.0422308428
BZ7低總價新巴黎高樓美套,550,550,大樓,無,121.501909166,25.0450180792
CZ5晶麒｜小資生活露台戶,1288,1288,大樓,無,121.502010304,25.0394185079
西門高樓景觀露台戶,7980,7980,大樓,私有,121.501338629,25.0406345687
正和平西路稀有商三特透天,4680,4680,透天,無,121.502545007,25.0350418316
西園吉祥獨門大戶雙車位,6600,6600,華廈,私有,121.496073754,25.0300007164
近萬大加蚋站邊間公寓鼎加,1990,1990,公寓,無,121.500002833,25.0226656207
IZ5加蚋5分鐘整棟透天宅,3280,3280,公寓,無,121.497370596,25.0205010279
