區域名稱,成交價/售價,總價格,每坪價格,坪數,屋齡,房屋規格,住宅類型,樓層
中山區,63750000,63750000,1330095.0,57.11,30,住宅大樓(11層含以上有電梯),住家用,十層，電梯樓梯間
中山區,3349109,3349109,281932.0,11.88,39,華廈(10層含以下有電梯),住家用,三層
中山區,6500000,6500000,830923.0,7.82,56,公寓(5樓含以下無電梯),住家用,一層，騎樓
中山區,25800000,25800000,663163.0,38.9,42,華廈(10層含以下有電梯),住家用,四層
中山區,19680000,19680000,692770.0,28.41,44,華廈(10層含以下有電梯),住家用,六層
中山區,27880000,27880000,1314588.0,21.21,52,公寓(5樓含以下無電梯),商業用,一層，騎樓
中山區,10350000,10350000,897092.0,11.54,51,華廈(10層含以下有電梯),住家用,三層
中山區,11000000,11000000,883905.0,12.44,23,住宅大樓(11層含以上有電梯),商業用,七層
中山區,4800000,4800000,631431.0,7.6,48,住宅大樓(11層含以上有電梯),商業用,二層
中山區,3800000,3800000,632211.0,6.01,48,住宅大樓(11層含以上有電梯),商業用,二層
中山區,4500000,4500000,634376.0,7.09,48,住宅大樓(11層含以上有電梯),商業用,二層
中山區,4200000,4200000,627117.0,6.7,48,住宅大樓(11層含以上有電梯),商業用,二層
中山區,4500000,4500000,634376.0,7.09,48,住宅大樓(11層含以上有電梯),商業用,二層
中山區,5650000,5650000,630793.0,8.96,48,住宅大樓(11層含以上有電梯),商業用,二層
中山區,21950000,21950000,870784.0,25.21,60,公寓(5樓含以下無電梯),住家用,三層
中山區,11000000,11000000,780675.0,14.09,39,住宅大樓(11層含以上有電梯),住家用,七層
中山區,12500000,12500000,942576.0,13.26,37,華廈(10層含以下有電梯),住家用,四層
中山區,19000000,19000000,484944.0,39.18,36,華廈(10層含以下有電梯),住家用,七層
中山區,22800000,22800000,1136494.0,20.06,16,住宅大樓(11層含以上有電梯),住家用,六層
中山區,11500000,11500000,733630.0,15.68,29,住宅大樓(11層含以上有電梯),住家用,十層
中山區,7600000,7600000,820245.0,9.27,18,華廈(10層含以下有電梯),商業用,六層
中山區,20780000,20780000,902331.0,23.03,37,住宅大樓(11層含以上有電梯),商業用,六層
中山區,34000000,34000000,1119050.0,30.38,20,住宅大樓(11層含以上有電梯),商業用,十三層
中山區,15880000,15880000,784344.0,20.25,49,住宅大樓(11層含以上有電梯),住家用,六層
中山區,10400000,10400000,999429.0,10.41,25,華廈(10層含以下有電梯),商業用,七層
中山區,5200000,5200000,638803.0,8.14,56,住宅大樓(11層含以上有電梯),住家用,地下層
中山區,4200000,4200000,535870.0,7.84,42,華廈(10層含以下有電梯),住家用,四層
中山區,7300000,7300000,522118.0,13.98,49,華廈(10層含以下有電梯),住家用,三層
中山區,23950000,23950000,255161.0,93.86,42,住宅大樓(11層含以上有電梯),商業用,地下一層
中山區,25580000,25580000,681514.0,37.53,55,華廈(10層含以下有電梯),商業用,八層
中山區,12600000,12600000,895571.0,14.07,45,華廈(10層含以下有電梯),商業用,三層
中山區,26500000,26500000,666694.0,39.75,53,公寓(5樓含以下無電梯),住家用,四層
