區域名稱,成交價/售價,總價格,每坪價格,坪數,屋齡,房屋規格,住宅類型,樓層
信義區,18899999,18899999,695530.0,27.17,46,公寓(5樓含以下無電梯),住家用,三層
信義區,31800000,31800000,1407854.0,22.59,30,住宅大樓(11層含以上有電梯),商業用,一層，騎樓
信義區,105000000,105000000,719127.0,146.01,33,住宅大樓(11層含以上有電梯),商業用,二十三層
信義區,41180000,41180000,984474.0,41.83,20,華廈(10層含以下有電梯),住家用,八層
信義區,18000000,18000000,1157899.0,15.55,20,住宅大樓(11層含以上有電梯),住家用,三層
信義區,12000000,12000000,802542.0,14.95,53,公寓(5樓含以下無電梯),住家用,五層
信義區,68000000,68000000,773075.0,87.96,17,住宅大樓(11層含以上有電梯),住家用,四層
信義區,3050000,3050000,472478.0,6.46,56,公寓(5樓含以下無電梯),住家用,二層
信義區,17300000,17300000,857042.0,20.19,33,公寓(5樓含以下無電梯),住家用,四層
信義區,29100000,29100000,1029975.0,31.25,20,住宅大樓(11層含以上有電梯),住家用,八層
信義區,22300000,22300000,1000398.0,22.29,50,華廈(10層含以下有電梯),住家用,七層
信義區,30420000,30420000,413242.0,73.62,36,住宅大樓(11層含以上有電梯),住家用,二層
信義區,9300000,9300000,287433.0,32.36,41,住宅大樓(11層含以上有電梯),其他,七層
信義區,28500000,28500000,1302158.0,33.61,18,華廈(10層含以下有電梯),住家用,六層
信義區,15530000,15530000,533394.0,29.12,50,公寓(5樓含以下無電梯),住家用,四層
信義區,22511000,22511000,738483.0,30.48,17,住宅大樓(11層含以上有電梯),住家用,十四層
信義區,30000000,30000000,859022.0,34.92,12,住宅大樓(11層含以上有電梯),住家用,四層
信義區,15000000,15000000,488686.0,30.69,18,公寓(5樓含以下無電梯),住家用,四層
信義區,30500000,30500000,1360922.0,29.26,21,住宅大樓(11層含以上有電梯),住家用,十二層
信義區,13500000,13500000,1388558.0,9.72,17,華廈(10層含以下有電梯),住家用,五層
信義區,27040700,27040700,807871.0,33.47,38,公寓(5樓含以下無電梯),住家用,一層
信義區,18800000,18800000,817534.0,23.0,20,華廈(10層含以下有電梯),住家用,二層
