區域名稱,成交價/售價,總價格,每坪價格,坪數,屋齡,房屋規格,住宅類型,樓層
文山區,18750000,18750000,881799.0,31.99,22,華廈(10層含以下有電梯),住家用,七層
文山區,6800000,6800000,595956.0,11.41,31,住宅大樓(11層含以上有電梯),住家用,六層
文山區,14000000,14000000,456871.0,30.64,41,公寓(5樓含以下無電梯),住家用,五層
文山區,26350005,26350005,661061.0,39.86,3,住宅大樓(11層含以上有電梯),住家用,二層
文山區,3000000,3000000,506247.0,5.93,49,公寓(5樓含以下無電梯),住家用,四層
文山區,3000000,3000000,506247.0,5.93,49,公寓(5樓含以下無電梯),住家用,四層
文山區,24000000,24000000,427404.0,56.15,35,華廈(10層含以下有電梯),住家用,三層
文山區,15010000,15010000,449050.0,33.43,38,公寓(5樓含以下無電梯),住家用,四層
文山區,2600000,2600000,187502.0,13.87,14,華廈(10層含以下有電梯),住家用,四層
文山區,20520000,20520000,789775.0,30.89,31,住宅大樓(11層含以上有電梯),住家用,十二層
文山區,17081410,17081410,368349.0,46.37,3,住宅大樓(11層含以上有電梯),住家用,九層
文山區,19000000,19000000,550340.0,34.52,46,華廈(10層含以下有電梯),商業用,一層，騎樓
文山區,2800000,2800000,232920.0,12.02,35,華廈(10層含以下有電梯),住家用,四層
文山區,19300000,19300000,478597.0,40.33,46,公寓(5樓含以下無電梯),住家用,五層
文山區,5000000,5000000,309069.0,16.18,45,公寓(5樓含以下無電梯),住家用,四層
文山區,5000056,5000056,215984.0,23.15,33,華廈(10層含以下有電梯),住家用,七層
文山區,12900000,12900000,642727.0,20.07,32,華廈(10層含以下有電梯),住家用,二層
文山區,11200000,11200000,711197.0,15.75,32,住宅大樓(11層含以上有電梯),商業用,三層
文山區,7900000,7900000,252570.0,31.28,49,公寓(5樓含以下無電梯),住家用,三層
文山區,7000000,7000000,228728.0,30.6,43,公寓(5樓含以下無電梯),住家用,三層
文山區,23000000,23000000,785227.0,29.29,19,華廈(10層含以下有電梯),住家用,三層
文山區,27380000,27380000,848291.0,32.28,47,公寓(5樓含以下無電梯),商業用,一層
文山區,4400000,4400000,431747.0,10.19,52,公寓(5樓含以下無電梯),住家用,四層，陽臺
文山區,12000000,12000000,558333.0,21.49,51,公寓(5樓含以下無電梯),住家用,四層，陽臺
文山區,24000000,24000000,823190.0,29.15,57,公寓(5樓含以下無電梯),住家用,一層，平台，騎樓
文山區,12680000,12680000,550895.0,23.02,50,公寓(5樓含以下無電梯),住家用,四層，陽臺
文山區,17800000,17800000,690082.0,25.79,44,公寓(5樓含以下無電梯),住家用,一層
文山區,13000000,13000000,349535.0,37.19,47,公寓(5樓含以下無電梯),住家用,四層
文山區,14500000,14500000,425437.0,34.08,44,公寓(5樓含以下無電梯),住家用,五層
文山區,12600000,12600000,656056.0,19.21,44,華廈(10層含以下有電梯),住家用,二層
文山區,31500000,31500000,654142.0,48.15,26,華廈(10層含以下有電梯),住家用,一層
文山區,15000000,15000000,487966.0,30.74,35,住宅大樓(11層含以上有電梯),住家用,九層
文山區,7500000,7500000,396253.0,18.93,22,華廈(10層含以下有電梯),住家用,三層
文山區,40680000,40680000,825138.0,56.72,3,住宅大樓(11層含以上有電梯),住家用,四層
文山區,18100000,18100000,886969.0,20.41,6,華廈(10層含以下有電梯),住家用,五層
文山區,11300000,11300000,513265.0,22.02,31,華廈(10層含以下有電梯),住家用,七層
文山區,15680000,15680000,427506.0,36.68,37,公寓(5樓含以下無電梯),住家用,五層
文山區,10000000,10000000,418934.0,23.87,42,公寓(5樓含以下無電梯),住家用,二層
文山區,38180000,38180000,700109.0,54.53,28,華廈(10層含以下有電梯),住家用,一層
文山區,56880000,56880000,778575.0,91.46,20,住宅大樓(11層含以上有電梯),住家用,十三層
文山區,14680000,14680000,423430.0,34.67,44,公寓(5樓含以下無電梯),住家用,二層
文山區,16872699,16872699,449242.0,37.56,3,華廈(10層含以下有電梯),住家用,五層
文山區,10000000,10000000,688565.0,14.52,49,公寓(5樓含以下無電梯),住家用,一層
文山區,13000000,13000000,189988.0,68.43,31,住宅大樓(11層含以上有電梯),住家用,三層，電梯樓梯間
文山區,24000000,24000000,816500.0,29.39,49,公寓(5樓含以下無電梯),住家用,一層，停車場
文山區,18500000,18500000,677342.0,27.31,47,公寓(5樓含以下無電梯),住家用,三層
文山區,17200000,17200000,536009.0,32.09,53,公寓(5樓含以下無電梯),住家用,二層，陽臺
文山區,29600000,29600000,670539.0,44.14,27,住宅大樓(11層含以上有電梯),住家用,十一層
文山區,16300000,16300000,724545.0,22.5,46,公寓(5樓含以下無電梯),住家用,一層
文山區,13550000,13550000,503582.0,26.91,51,公寓(5樓含以下無電梯),住家用,四層，陽臺
文山區,41000000,41000000,498320.0,82.28,10,住宅大樓(11層含以上有電梯),住家用,八層
文山區,19300000,19300000,591636.0,32.62,54,公寓(5樓含以下無電梯),住家用,四層，陽臺
文山區,19630000,19630000,678724.0,28.92,31,華廈(10層含以下有電梯),住家用,二層
文山區,16250000,16250000,517077.0,31.43,44,公寓(5樓含以下無電梯),住家用,四層
文山區,39000000,39000000,751012.0,51.93,25,住宅大樓(11層含以上有電梯),商業用,一層
文山區,17290000,17290000,824900.0,20.96,32,住宅大樓(11層含以上有電梯),住家用,六層
文山區,20880000,20880000,655884.0,31.83,33,華廈(10層含以下有電梯),住家用,五層
文山區,25000000,25000000,473962.0,52.75,25,住宅大樓(11層含以上有電梯),商業用,二層
文山區,21100000,21100000,624406.0,33.79,48,華廈(10層含以下有電梯),住家用,四層
文山區,14100000,14100000,589054.0,23.94,51,公寓(5樓含以下無電梯),住家用,三層
文山區,18010000,18010000,617861.0,36.48,26,華廈(10層含以下有電梯),住家用,二層
文山區,21600000,21600000,795501.0,29.04,2,住宅大樓(11層含以上有電梯),住家用,六層
文山區,6500000,6500000,325522.0,19.97,49,公寓(5樓含以下無電梯),住家用,四層
文山區,57280000,57280000,660353.0,86.74,12,住宅大樓(11層含以上有電梯),住家用,三層
