成交年月,型式,地址,成交總價(萬),單價(萬/坪),建物坪數,土地坪數,屋齡,樓層,總樓層,車位,房,廳,衛,lat,lon,備註
11501,公寓,台北市中正區南昌路一段２４巷６號二樓,304.15,82.28,3.7,1.38,50,2,4,無,4,2,2,25.031718,121.516096,親友、員工、共有人或其他特殊關係間之交易；
11501,大樓,台北市中正區和平西路一段１０１號八樓,6888,97.41,78.65,8.03,14.7,8,18,有,4,2,2,25.027127,121.517882,其他增建；
11501,大樓,台北市中正區廈門街１１３巷１號三樓之２,2030,96.86,20.96,1.83,17.9,3,15,無,2,2,1,25.023507,121.517671,
11412,大樓,台北市中正區南昌路一段１２３號十八樓之１,6700,126.72,52.87,4.85,16,18,18,無,6,3,3,25.029669,121.518492,夾層；
11412,大樓,台北市中正區三元街２１７號六樓,1168,88.91,13.14,2.61,33.5,6,12,無,1,1,1,25.027632,121.513469,陽台外推；其他增建；
11412,大樓,台北市中正區重慶南路三段４５號二十樓,10329,156.4,84.5,12.83,4.5,20,21,有,3,2,2,25.028029,121.515916,
11412,華廈,台北市中正區和平西路二段７８號六樓,1588,96.2,16.51,3.12,45.9,6,7,無,2,1,1,25.029387,121.511161,
11412,公寓,台北市中正區詔安街５０巷２弄６號,1250,67.77,18.44,7.03,50.4,1,4,無,2,1,1,25.024721,121.513691,含土地增值稅或其他稅費410863元；含仲介費625000元；含地政士服務費11000元；其他增建；
11412,大樓,台北市中正區愛國東路１０６號四樓,5283,115.8,45.63,8.07,40.4,4,12,無,3,2,2,25.033449,121.519724,親友、員工、共有人或其他特殊關係間之交易；
11412,公寓,台北市中正區重慶南路三段８３巷７弄４號三樓,2150,67.21,31.99,9.2,31.8,3,5,無,3,2,2,25.025135,121.516964,鐵鋁窗增建陽台外推；其他增建；
11412,華廈,台北市中正區信義路二段１０１號四樓之７,1880,161.93,11.61,0.99,28.8,4,10,無,1,1,1,25.034219,121.527674,陽台外推；夾層；其他增建；
11412,華廈,台北市中正區羅斯福路一段５８巷２８號六樓之１,3000,144.26,26.91,4.4,17.6,6,7,有,2,1,1,25.030473,121.518588,陽台外推；
11412,大樓,台北市中正區羅斯福路二段１４號,3300,203.15,16.24,1.14,44.1,1,12,無,無隔間,0,0,25.028003,121.520914,
11412,大樓,台北市中正區重慶南路三段３５號十三樓,10928,145.7,94.31,14.67,4.5,13,21,有,3,2,2,25.02826,121.515868,
