成交年月,型式,地址,成交總價(萬),單價(萬/坪),建物坪數,土地坪數,屋齡,樓層,總樓層,車位,房,廳,衛,lat,lon,備註
11501,大樓,台北市信義區信義路五段１２１號三樓之２,1570,108.51,14.47,2.35,16.7,3,19,無,1,1,1,25.033237,121.573885,陽台外推；
11501,大樓,台北市信義區基隆路二段１３之１號八樓,3600,89.99,40.01,4.11,40.3,8,12,無,3,2,2,25.032203,121.559413,
11412,公寓,台北市信義區松仁路１８４號,3850,143.89,26.76,10.33,50.8,1,4,無,3,1,1,25.027829,121.56823,陽台外推；其他增建；
11412,公寓,台北市信義區忠孝東路五段７９０巷５９弄２０號四樓,1600,82.13,19.48,9.68,55.2,4,4,無,3,2,2,25.033427,121.566911,頂樓加蓋；其他增建；
11412,大樓,台北市信義區忠孝東路五段２７０號二樓之６,1582,142.81,11.08,1.84,21.5,2,11,無,1,1,1,25.041437,121.570738,陽台外推；夾層；其他增建；
11412,大樓,台北市信義區信義路五段１０９號六樓之６,650,85.88,7.57,1.34,28.5,6,12,無,無隔間,0,0,25.032846,121.57264,二親等間買賣親友、員工、共有人或其他特殊關係間之交易；
11412,大樓,台北市信義區松德路２００巷５５號七樓,41738,195.92,267.72,46.1,8.4,7,16,有,4,2,4,25.034431,121.572882,
11412,公寓,台北市信義區吳興街２６９巷１８弄１４號三樓,66.7044,56.11,1.19,0.45,53.6,3,4,無,3,1,1,25.026937,121.565036,親友、員工、共有人或其他特殊關係間之交易；
11412,大樓,台北市信義區信義路五段１２７號十二樓之１３,1580,112.71,14.02,2.18,19.3,12,19,無,1,1,1,25.033237,121.573885,其他增建；
11412,公寓,台北市信義區莊敬路４２３巷７弄１３號四樓,2050,82.39,24.88,7.12,51.4,4,4,無,3,2,1,25.028476,121.566538,
11411,大樓,台北市信義區光復南路５２５號十三樓之４,2450,117.14,20.91,2.15,25.3,13,13,無,2,1,1,25.031862,121.557617,本買賣總價款為2450萬元整。土地價款2100萬元整、建物價款350萬元整夾層；
11411,公寓,台北市信義區信義路六段１２巷５０號二樓,1400,51.9,26.98,7.02,46.8,2,5,無,3,2,2,25.031734,121.574876,親友、員工、共有人或其他特殊關係間之交易；
11411,公寓,台北市信義區福德街２６８巷７弄２２號,2450,77.25,31.72,11.27,48.6,1,4,無,3,2,1,25.033427,121.566911,陽台外推；
11411,華廈,台北市信義區光復南路４１９巷１８號四樓,3166,87.84,36.04,5.97,47.6,4,7,無,3,2,2,25.033427,121.566911,陽台外推；其他增建；
11411,大樓,台北市信義區松仁路２６９號十六樓,2350,63.4,37.07,2.85,31.3,16,16,無,1,1,1,25.025038,121.569429,陽台外推；其他增建；
11411,大樓,台北市信義區基隆路一段３８０巷２６號十二樓之１,2300,87,26.44,5.29,42.5,12,12,無,2,2,1,25.034894,121.559207,陽台外推；其他增建；
11411,大樓,台北市信義區基隆路二段２２號二樓之３,2400,91.85,26.13,3.05,45.9,2,12,無,無隔間,0,0,25.032207,121.559262,其他增建：天井增建。其他增建；
11411,大樓,台北市信義區光復南路５６７號八樓之１１,1688,129.8,13,1.19,17.6,8,18,無,1,1,1,25.031256,121.557633,陽台外推；夾層；
11411,華廈,台北市信義區逸仙路４２巷１號四樓之２,1388,135.59,10.24,2.35,29.8,4,7,無,1,1,1,25.040292,121.562006,陽台外推；
11411,大樓,台北市信義區松德路１６９巷２６號四樓,6800,122.77,62.62,7.05,0.8,4,22,有,3,2,2,25.036211,121.575551,
11411,公寓,台北市信義區信義路五段１５０巷３４２弄６１號四樓,1450,60.56,23.94,8.77,49.3,4,4,無,3,1,1,25.026878,121.570883,頂樓加蓋；
11411,大樓,台北市信義區松德路１６９巷２０號八樓,7399,129.81,64.39,7.29,0.8,8,22,有,3,2,2,25.036253,121.575615,
11411,大樓,台北市信義區基隆路一段１５５號十三樓之６,2307,82.62,27.92,2.6,41.6,13,14,無,無隔間,0,0,25.041738,121.565262,
11411,公寓,台北市信義區莊敬路３４１巷９號,2900,129.32,22.42,6.23,41.9,1,5,無,0,1,1,25.028284,121.564369,其他增建；
11411,大樓,台北市信義區信義路五段１５０巷３３０號二樓之６,1035,103.65,9.99,1.39,16.9,2,13,無,1,1,1,25.027057,121.569004,
11411,大樓,台北市信義區松德路１６９巷２６號八樓,6940,110.83,62.62,7.05,0.8,8,22,有,3,2,2,25.036211,121.575551,本案買賣總價為6940萬含車位380萬、土地拆分價款為50328880元、建物拆分價款為19071120元
11411,大樓,台北市信義區基隆路二段３３號十二樓之２,3000,73.92,40.58,3.42,45.8,12,12,無,4,2,2,25.031333,121.558846,其他增建；
11411,華廈,台北市信義區忠孝東路五段３７２巷２９弄７號四樓,2860,88.54,32.3,6.51,43.8,4,7,無,4,2,1,25.039159,121.574224,其他增建；
11411,公寓,台北市信義區信義路五段１５０巷３０４號四樓,1350,48.38,27.91,8.21,45.3,4,5,無,3,1,1,25.02719,121.569371,
11411,公寓,台北市信義區吳興街３６３之４號,1735,81.4,21.31,6.35,49.7,1,4,無,2,1,1,25.025628,121.566653,
11411,華廈,台北市信義區忠孝東路五段２３６巷３７弄１３號二樓,1815,79.59,22.81,5.08,28.8,2,4,有,1,1,1,25.038136,121.573214,陽台外推；夾層；其他增建；
11411,大樓,台北市信義區松德路１６９巷２２號四樓,6850,110.19,62.16,6.98,0.8,4,22,有,3,1,2,25.036253,121.575615,
11411,大樓,台北市信義區光復南路５６１號九樓之１,1600,79.68,20.08,2.41,37.3,9,12,無,1,1,1,25.031107,121.557733,
11411,大樓,台北市信義區松德路１７１號六樓之３,4405,94,54.12,3.29,30.3,6,21,有,2,1,0,25.036282,121.574866,
11411,大樓,台北市信義區光復南路５６７號十八樓之６,1650,126.88,13,1.19,17.6,18,18,無,1,1,1,25.031256,121.557633,陽台外推；夾層；
11411,大樓,台北市信義區基隆路二段３３號八樓之２,3210,79.1,40.58,3.42,45.8,8,12,無,5,1,2,25.031333,121.558846,
11411,公寓,台北市信義區信義路六段７６巷８弄３８號五樓,1130,30.65,36.87,8.69,37.4,5,5,無,3,2,1,25.032833,121.576201,親友、員工、共有人或其他特殊關係間之交易；
11410,公寓,台北市信義區虎林街６６巷２５號二樓,2100,64.81,32.4,11.99,43.8,2,5,無,4,2,1,25.033427,121.566911,陽台外推；其他增建；
11410,大樓,台北市信義區仁愛路四段５１６號九樓,10988,116.25,141.54,11.66,20.2,9,11,有,3,2,2,25.037365,121.559795,陽台外推；其他增建；
11410,公寓,台北市信義區松德路２８９號三樓,2300,77.14,29.82,8.83,47.3,3,5,無,3,2,2,25.03226,121.574743,陽台外推；
11410,大樓,台北市信義區光復南路５０５號六樓之１１,850,84.89,10.01,0.85,37,6,12,無,1,1,1,25.032416,121.557607,
11410,公寓,台北市信義區松德路１６９巷１７號三樓,2300,79.29,29.01,11.09,51.3,3,4,無,3,2,2,25.036147,121.575663,含裝潢費1000000元；含傢俱設備費300000元；親友、員工、共有人或其他特殊關係間之交易；
11410,大樓,台北市信義區光復南路５２１號七樓之６,1118,119.96,9.32,0.8,25.3,7,13,無,1,1,1,25.031862,121.557617,
11410,公寓,台北市信義區莊敬路３９１巷１弄６號四樓,2080,76.4,27.23,9.83,53.6,4,4,無,3,2,2,25.02809,121.565478,陽台外推；頂樓加蓋；
11410,華廈,台北市信義區吳興街１５６巷１６弄５號六樓,240,19.88,12.07,1.7,33.3,6,7,無,1,1,1,25.02874,121.560765,親友、員工、共有人或其他特殊關係間之交易；
11410,大樓,台北市信義區光復南路４７５號六樓,4108,94.27,43.58,3.81,38.5,6,12,無,3,2,2,25.033607,121.557657,其他增建；
11410,大樓,台北市信義區光復南路４４７之２號十一樓之１,1170,117.1,9.99,0.87,44.3,11,12,無,1,1,1,25.035182,121.557682,
11410,公寓,台北市信義區松仁路１７６號四樓,1600,62.55,25.58,8.47,50.8,4,4,無,3,2,1,25.028296,121.568486,親友、員工、共有人或其他特殊關係間之交易；
11410,大樓,台北市信義區信義路五段１０１號十三樓,9900,125.18,88.62,13.49,18.3,13,27,有,3,2,2,25.032846,121.57264,其他增建；
11410,公寓,台北市信義區光復南路４７３巷１１弄２０號四樓,2780,103.22,26.93,11.04,58.7,4,4,無,2,2,1,25.033958,121.558434,陽台外推；其他增建；
11410,大樓,台北市信義區信義路五段１１５號十六樓,1960,133.16,14.72,2.4,16.7,16,19,無,1,1,1,25.032846,121.57264,陽台外推；
11410,公寓,台北市信義區吳興街２８１巷９號二樓,1528,68.29,22.38,9,53.6,2,4,無,2,1,1,25.02656,121.564555,
11410,大樓,台北市信義區信義路五段１１１號七樓之９,2780,77.01,36.1,5.78,28.5,7,12,有,3,1,2,25.032846,121.57264,陽台外推；夾層；其他增建；
11410,公寓,台北市信義區吳興街５０巷１９弄２號三樓,2920,64.98,44.94,16.79,49.1,3,4,無,5,2,2,25.030501,121.559255,陽台外推；其他增建；
11410,大樓,台北市信義區信義路五段１１７號七樓之２,2010,115.09,25.37,2.44,16.7,7,19,有,1,1,1,25.033499,121.573951,陽台外推；
11410,公寓,台北市信義區忠孝東路五段２３６巷１６號三樓,2650,71.47,37.08,12.86,53.8,3,4,無,3,2,3,25.039875,121.571706,
11410,華廈,台北市信義區基隆路二段７９巷３０弄５號八樓,4720,110.03,41.85,8.5,16.9,8,10,有,3,2,2,25.028991,121.559766,塔式車位位於地上一層。陽台外推；其他增建；
11410,大樓,台北市信義區基隆路一段３８０巷１０號九樓,2300,73.16,31.44,6.26,42.5,9,12,無,3,1,1,25.034626,121.559476,
11410,公寓,台北市信義區吳興街１５６巷２弄８號三樓,1960,82.67,23.71,9.45,51.3,3,4,無,3,2,2,25.029297,121.561392,其他增建；
11410,公寓,台北市信義區虎林街２３２巷６５號三樓,1342,51.42,26.1,11.12,50.9,3,4,無,3,2,1,25.035707,121.575924,親友、員工、共有人或其他特殊關係間之交易；
11410,華廈,台北市信義區仁愛路四段４５２巷１５號六樓之５,2538,100.24,25.32,4.47,48.2,6,7,無,2,2,1,25.036492,121.559207,其他增建；
11410,公寓,台北市信義區忠孝東路五段７１巷３弄２７號三樓,2830,94.87,29.83,10.51,51.4,3,4,無,3,2,1,25.041651,121.56844,其他增建；
11410,大樓,台北市信義區基隆路二段２３號四樓之５,1208,83.88,14.4,1.22,36.5,4,12,無,1,1,1,25.032207,121.559262,其他增建；
11410,公寓,台北市信義區信義路六段７６巷２弄６０號二樓,2990,69.93,42.76,12.07,45.2,2,5,無,4,2,2,25.032634,121.575564,陽台外推；
11409,大樓,台北市信義區信義路五段１２７號十七樓之３,1600,108.14,14.8,2.28,19.3,17,19,無,1,1,1,25.033237,121.573885,
11409,大樓,台北市信義區松德路１６９巷２０號十樓,7730,129.45,74.48,7.36,0.8,10,22,有,3,2,2,25.036253,121.575615,
11409,大樓,台北市信義區忠孝東路五段２３６巷７２號,20000,90.53,220.91,44.31,15.2,"1,2",17,有,無隔間,0,0,25.036729,121.57138,親友、員工、共有人或其他特殊關係間之交易；毛胚屋；
11409,大樓,台北市信義區松德路１９８號八樓,6650,132.72,57.89,8.4,26.8,8,18,有,2,2,2,25.034825,121.57414,陽台外推；其他增建；
11409,公寓,台北市信義區忠孝東路五段１６５巷３弄６號,6700,105.94,63.24,21.48,54,1,4,無,0,3,1,25.041491,121.568962,陽台外推；其他增建；含租約；
11409,華廈,台北市信義區基隆路一段３６４巷３５號四樓,2880,85.01,33.88,13.24,43.8,4,7,無,3,2,1,25.03564,121.559492,親友、員工、共有人或其他特殊關係間之交易；
