成交年月,型式,地址,成交總價(萬),單價(萬/坪),建物坪數,土地坪數,屋齡,樓層,總樓層,車位,房,廳,衛,lat,lon,備註
11501,華廈,台北市內湖區陽光街１６１巷１２之３１號四樓,1172,90.59,12.94,6.67,6.7,4,5,無,1,0,1,25.074695,121.585301,
11501,大樓,台北市內湖區成功路二段４８６巷１２號六樓,1400,46.56,30.07,2.83,27.5,6,11,有,1,1,1,25.073213,121.588933,陽台外推；
11412,華廈,台北市內湖區金湖路３６３巷２５弄２５號三樓,3888,100.7,39.66,18.75,0.4,3,4,有,3,2,2,25.06936,121.588996,
11412,公寓,台北市內湖區民權東路六段４７巷１０弄１２號,1518,56.56,26.84,7.54,42.3,1,5,無,3,2,2,25.069354,121.587147,其他增建；
11412,大樓,台北市內湖區南京東路六段４５１巷５７號十一樓之５,2350,67.9,34.61,5.27,17.3,11,14,有,2,2,1,25.060876,121.587281,
11412,大樓,台北市內湖區文德路２１０巷３０弄１０２號十四樓之１,5088,86.95,68.38,11.12,23.4,14,14,有,4,2,2,25.077034,121.584818,
11412,公寓,台北市內湖區成功路二段３２０巷４２號四樓,1980,62.15,31.86,9.28,46.3,4,5,無,3,2,2,25.06754,121.588715,陽台外推；其他增建；
11411,大樓,台北市內湖區民權東路六段１８３號八樓,6600,77.08,85.63,19.87,17.4,8,11,有,3,2,2,25.06732,121.598193,其他增建；
11411,大樓,台北市內湖區民權東路六段１５０之１號三樓之２,1038,79.95,12.98,1.04,17.2,3,14,無,1,1,1,25.068927,121.59413,
11411,大樓,台北市內湖區文德路２０８巷５６號五樓,3880,78.87,59.01,9.58,31.3,5,11,有,2,2,2,25.076543,121.583397,鐵鋁窗增建陽台外推；其他增建；
11411,大樓,台北市內湖區民權東路六段１４６號十一樓之１８,1185,78.24,15.01,1.3,18.8,11,12,有,0,1,1,25.068927,121.59413,
11411,公寓,台北市內湖區陽光街９０號四樓,1605,61.84,25.95,8.32,43.3,4,5,無,5,0,5,25.075382,121.58557,陽台外推；含租約；
11411,公寓,台北市內湖區民權東路六段１０６號二樓,1800,54.56,32.99,7.93,45.4,2,5,無,3,2,2,25.068835,121.58668,
11411,公寓,台北市內湖區成功路二段４２６巷６０號三樓,1860,52.43,35.47,9.51,38.6,3,5,無,3,2,1,25.07021,121.58816,鐵鋁窗增建其他增建；
11411,華廈,台北市內湖區陽光街１６１巷１２之１３號三樓,1255,85.41,13.7,6.69,6.7,3,5,有,1,1,1,25.074695,121.585301,
11411,華廈,台北市內湖區民權東路六段１１５巷１號四樓之２,1365,87.4,15.62,1.61,18.2,4,7,無,0,1,1,25.069252,121.592088,
11411,大樓,台北市內湖區民權東路六段１２３巷３４弄２３號十三樓,2720,73.22,37.18,3.38,17.9,13,13,有,2,2,1,25.069202,121.592831,
11411,大樓,台北市內湖區民權東路六段１７５號六樓之１,2350,90.59,28.7,4.07,10.4,6,11,有,1,2,1,25.068396,121.595748,其他增建；
11411,公寓,台北市內湖區民權東路六段１０６號,4750,81.2,58.49,14.11,45.4,1,5,無,1,0,1,25.068835,121.58668,其他增建；
11410,大樓,台北市內湖區文德路２１０巷３０弄６號二樓之１０,2925,67.4,43.4,3.75,16,2,12,有,2,1,1,25.07691,121.584174,
11410,華廈,台北市內湖區民權東路六段１２３巷２０弄２５號九樓之,2196,89.93,24.42,3.34,20.4,9,10,無,4,2,2,25.069696,121.592838,陽台外推；夾層；其他增建；
11410,大樓,台北市內湖區民權東路六段１２３巷２０弄１０號三樓,2388,81.41,29.33,3.96,22,3,12,無,3,2,2,25.069696,121.592838,陽台外推；夾層；未登記建物；
11410,大樓,台北市內湖區成功路二段４８０號十一樓,2950,75.47,48.35,5.95,27.5,11,12,有,2,2,2,25.073523,121.589971,其他增建；
11410,大樓,台北市內湖區金莊路１００號九樓之７,2188,44.52,49.15,8.12,14.2,9,11,有,1,1,1,25.063348,121.58739,
11410,公寓,台北市內湖區陽光街９２巷２４弄２９號,1200,49.18,24.4,7.23,43.4,1,4,無,2,2,1,25.076259,121.585604,親友、員工、共有人或其他特殊關係間之交易；
11410,華廈,台北市內湖區民權東路六段６４號二樓,2000,65.56,30.51,5.26,42.4,2,7,無,3,2,2,25.068706,121.58489,
11410,公寓,台北市內湖區民權東路六段９０巷１５弄９號三樓,1838,59.26,31.02,10.21,42.2,3,5,無,3,2,1,25.067896,121.586452,陽台外推；其他增建；
11410,大樓,台北市內湖區成功路二段４８６巷１４號三樓之３,980,75.62,12.96,1.84,27.5,3,11,無,1,1,1,25.073458,121.589077,
11410,華廈,台北市內湖區民權東路六段１２３巷２０弄２３號十樓之,2300,84.16,27.33,3.53,20.4,10,10,無,3,2,2,25.069696,121.592838,陽台外推；夾層；其他增建；
11410,大樓,台北市內湖區南京東路六段４５１巷５７號二樓之２,2080,79.77,26.08,4.62,17.3,2,14,無,2,1,1,25.060876,121.587281,
11410,華廈,台北市內湖區瑞光路７６巷６９號四樓,4902.1168,51.62,112.67,23.5,17.4,4,6,有,無隔間,0,0,25.069942,121.579981,親友、員工、共有人或其他特殊關係間之交易；
11410,華廈,台北市內湖區民權東路六段１９１巷１５號四樓,6400,81.58,78.45,31.59,17.2,"4,5",5,有,6,2,3,25.067824,121.598083,陽台外推；其他增建；
11410,華廈,台北市內湖區新湖二路２５７號四樓,4788,45.32,105.64,25.43,18,4,6,有,2,0,0,25.063824,121.581765,
11410,大樓,台北市內湖區民權東路六段１２３巷３４弄２８號七樓,7900,80.11,112.48,9.99,10.7,7,14,有,3,2,2,25.069202,121.592831,
11410,大樓,台北市內湖區文德路２１０巷３０弄６號七樓之３,2565,97.01,35.88,3.13,16,7,12,有,1,2,1,25.07691,121.584174,
