成交年月,型式,地址,成交總價(萬),單價(萬/坪),建物坪數,土地坪數,屋齡,樓層,總樓層,車位,房,廳,衛,lat,lon,備註
11502,公寓,台北市北投區大業路５９６號二樓,1520,42.59,35.69,7.55,43.1,2,5,無,2,2,2,25.1362,121.497494,親友、員工、共有人或其他特殊關係間之交易；
11501,公寓,台北市北投區新市街７３號四樓,750,40.97,18.31,3.07,43,4,5,無,3,1,2,25.132932,121.502454,
11501,大樓,台北市北投區大興街３２號二樓,3130,73.82,42.4,5.56,13.3,2,12,有,2,2,1,25.130258,121.499624,
11501,公寓,台北市北投區民族街４２巷１號三樓,1120,38.37,29.19,12.93,52.8,3,4,無,3,2,1,25.133075,121.506347,
11501,公寓,台北市北投區新市街７３號四樓,730,39.87,18.31,3.07,43,4,5,無,3,1,2,25.132932,121.502454,
11501,大樓,台北市北投區中和街２３７號六樓之２,585,52.65,11.11,1.07,1.7,6,14,無,1,1,1,25.139464,121.501189,親友、員工、共有人或其他特殊關係間之交易；
11412,大樓,台北市北投區溫泉路７３巷６號五樓之２,950,58.67,16.19,2.38,16.5,5,12,無,1,1,1,25.135954,121.506551,其他增建；
11412,公寓,台北市北投區公路１４５巷１弄３號二樓,800,56.17,14.24,9.83,55.6,2,2,無,1,2,1,25.132377,121.502949,頂樓加蓋；其他增建；
11412,華廈,台北市北投區石牌路一段５８巷３３號三樓,2900,63.34,45.78,8.45,41.3,3,7,無,4,2,2,25.132377,121.502949,
11412,大樓,台北市北投區大業路５１６號四樓,4368,94.4,54.43,5.06,2.4,4,24,有,3,2,2,25.134722,121.496765,
11412,華廈,台北市北投區三合街一段８２巷３０弄５號五樓,2605,100.79,25.85,5.52,0.5,5,9,無,2,2,2,25.128051,121.504736,
11412,大樓,台北市北投區溫泉路３７巷２６號九樓之１０,920,72.26,12.73,2.78,20.3,9,13,無,0,1,1,25.133834,121.503003,陽台外推；夾層；
11412,公寓,台北市北投區奇岩路１２之１０號,738,47.51,15.53,9.91,13.4,1,5,無,無隔間,0,0,25.133234,121.507445,
11412,大樓,台北市北投區大同街２８號六樓,4300,111.17,45.93,6.41,1.8,6,18,有,2,2,2,25.132141,121.500087,
11412,公寓,台北市北投區珠海路９號四樓,1366,50.68,26.95,8.32,51.3,4,4,無,3,2,1,25.137819,121.501783,頂樓加蓋；
11412,大樓,台北市北投區大業路４６２之２號六樓,3180,70.54,45.08,5.28,29.2,6,19,有,3,2,2,25.132021,121.496523,陽台外推；其他增建；
11412,大樓,台北市北投區中和街２０巷２號四樓之１０,1340,80.02,16.75,2.17,19.8,4,13,無,2,2,1,25.138581,121.504426,陽台外推；夾層；
