成交年月,型式,地址,成交總價(萬),單價(萬/坪),建物坪數,土地坪數,屋齡,樓層,總樓層,車位,房,廳,衛,lat,lon,備註
11501,大樓,台北市南港區興南街９７號三樓,4250,101.28,44.81,5.15,1.3,3,26,有,3,2,2,25.055565,121.599223,
11412,公寓,台北市南港區忠孝東路六段１８８巷１號三樓,1500,65.07,23.05,14.42,0,3,3,無,3,1,1,25.054527,121.606793,親友、員工、共有人或其他特殊關係間之交易；
11412,大樓,台北市南港區興中路２８巷１８號五樓,2640,94.68,27.88,2.17,13.4,5,25,無,2,1,1,25.055421,121.606951,
11412,公寓,台北市南港區興中路８０巷１６號四樓,1500,58.53,25.63,4.24,50.8,4,4,無,5,4,2,25.057316,121.60607,陽台外推；頂樓加蓋；
11412,大樓,台北市南港區興華路１２５號八樓,3430,79.14,43.34,4.95,28.6,8,18,無,4,2,2,25.057081,121.606059,陽台外推；其他增建；
11412,公寓,台北市南港區中南街７４巷２１號四樓,1650,61.6,26.79,8.14,51.4,4,4,無,3,2,1,25.053499,121.614326,陽台外推；頂樓加蓋；
11412,華廈,台北市南港區重陽路１９９巷２２號六樓之２,3130,70.76,44.23,13.6,21.7,6,10,有,3,2,2,25.057324,121.599045,其他增建；
11412,大樓,台北市南港區興南街９９號十五樓,5275,104.02,54.47,6.33,1.3,15,26,有,3,2,2,25.055159,121.598776,
11412,公寓,台北市南港區中南街１４８號三樓,500,47.5,10.53,3.12,51.8,3,4,無,3,1,1,25.051823,121.615301,親友、員工、共有人或其他特殊關係間之交易；
11412,公寓,台北市南港區福德街３０９巷２０弄３號四樓,1000,58.44,17.11,7.34,50.3,4,4,無,1,1,1,25.054527,121.606793,
11412,大樓,台北市南港區興南街９９之１號十九樓,2988,118.55,29.38,2.97,1.3,19,26,有,2,2,1,25.055565,121.599223,
11412,大樓,台北市南港區向陽路１２０巷２弄３７號十一樓,4845,91.82,52.77,6.55,1.3,11,15,有,3,2,2,25.054904,121.597535,本案總價款分算依建物新台幣13566000元整及土地新台幣34884000元整計算。
11411,大樓,台北市南港區興南街９７號二十六樓,4700,116.61,44.43,4.97,1.3,26,26,有,3,2,2,25.055565,121.599223,
11411,公寓,台北市南港區東明街６９號,2580,104.04,24.8,8.75,47.8,1,4,無,2,2,1,25.055048,121.602253,其他增建：平台增建、地下室、壹樓空地增建。其他增建；
11411,大樓,台北市南港區重陽路４９０號十三樓,5850,83.21,87.83,10.89,9.9,13,15,有,4,2,2,25.061533,121.612444,陽台外推；其他增建；
11411,大樓,台北市南港區興南街９９之１號十五樓,2715,108.53,29.38,2.97,1.3,15,26,有,2,2,1,25.055565,121.599223,
11411,大樓,台北市南港區向陽路１２０巷２弄３３號四樓,3900,106.12,45.28,5.36,1.3,4,15,有,3,2,2,25.054814,121.597584,
11411,大樓,台北市南港區興中路２８巷１６號十樓,3970,84.94,46.74,2.89,13.4,10,25,有,3,2,1,25.055628,121.606628,
11411,大樓,台北市南港區園區街８號三樓之２,3020,107.31,37.94,5.01,16.8,3,14,有,2,2,1,25.059774,121.613512,
11410,大樓,台北市南港區園區街３號四樓之１,18764.0133,61.78,303.75,51.8,22.8,4,21,有,無隔間,0,0,25.058844,121.612088,
11410,大樓,台北市南港區重陽路３１６號十三樓,3800,75.13,55.69,6.07,25.6,13,19,有,4,2,2,25.057847,121.605553,陽台外推；其他增建；
11410,大樓,台北市南港區興中路２８巷８號十二樓,4800,101.89,55.64,3.77,13.4,12,25,有,3,2,2,25.055628,121.606628,
11410,大樓,台北市南港區園區街８號七樓之６,2725,102.03,29.75,4.35,16.8,7,14,有,2,1,1,25.059774,121.613512,
11410,公寓,台北市南港區研究院路二段１２巷５７弄７８號三樓,1588,50.79,31.26,8.92,40.6,3,5,無,3,2,2,25.048428,121.613344,其他增建；
11410,大樓,台北市南港區興南街７號,5084.3,57.46,88.49,19.24,19.8,1,12,有,2,1,2,25.056883,121.602987,
11409,公寓,台北市南港區興華路１２２號二樓,2100,71.66,29.3,11.1,41.8,2,5,無,2,2,1,25.057007,121.605456,陽台外推；其他增建；
11409,大樓,台北市南港區研究院路一段９９號十七樓之５,4170,79.53,69.56,8.48,27.3,17,18,有,4,2,2,25.051846,121.616236,其他增建；
11409,公寓,台北市南港區忠孝東路七段５３３號四樓,1600,59.68,26.81,8.41,45.4,4,5,無,3,1,1,25.052962,121.612793,
11409,大樓,台北市南港區重陽路４８２號十一樓,4100,87.39,55.83,7.23,9.9,11,15,有,3,2,2,25.061533,121.612444,
11409,公寓,台北市南港區忠孝東路七段５５３號三樓,450,50.1,8.98,2.7,45.4,3,5,無,4,1,1,25.053028,121.61339,增建項目：壹樓空地增建、陽台增建持分移轉其他增建；
11409,公寓,台北市南港區東明街７９號五樓,1850,56.4,32.8,9.13,44.7,5,5,無,3,1,1,25.054753,121.60183,其他增建；
11409,華廈,台北市南港區重陽路４９１號四樓之１,3968,87.35,54.71,18.71,17.2,4,7,有,3,2,2,25.061108,121.61205,其他增建；
11409,大樓,台北市南港區向陽路１２０巷２弄３３號十一樓,4100,110.54,45.28,5.36,1.3,11,15,有,3,2,2,25.054814,121.597584,
11409,公寓,台北市南港區忠孝東路七段５４７號五樓,1733,54.76,31.64,9.55,44.8,5,5,無,2,0,2,25.053011,121.613183,陽台外推；其他增建；
11409,大樓,台北市南港區興南街８９之１號十六樓,3588,119.41,34.24,3.61,1.3,16,26,有,2,2,2,25.055565,121.599223,
11409,華廈,台北市南港區重陽路４８９號六樓之１,2750,71.71,38.35,11.4,17.2,6,7,有,2,2,1,25.060978,121.611953,
11409,大樓,台北市南港區研究院路一段９９號五樓之１５,1420,89.81,15.81,2.02,27.3,5,18,無,1,1,1,25.051846,121.616236,其他增建；
11409,公寓,台北市南港區重陽路２３５巷１２號,3380,73.27,46.13,17.15,36.8,1,5,無,無隔間,0,0,25.058114,121.601997,平台增建、前後陽台增建夾層；其他增建；
11409,大樓,台北市南港區興南街６４巷２６弄５號十樓,1985,112.04,17.72,4.68,1.4,10,13,無,1,1,1,25.055103,121.601896,
11408,大樓,台北市南港區向陽路１２０巷２弄３３號六樓,3923,108.27,45.28,5.36,1.3,6,15,有,3,2,2,25.054814,121.597584,
11408,公寓,台北市南港區市民大道八段５２０號二樓,1650,64.34,25.65,9.87,45.3,2,4,無,3,2,1,25.053776,121.612963,陽台外推；
11408,公寓,台北市南港區南港路一段１７１巷２８弄１號四樓,1275,52.34,24.36,6.96,51.1,4,4,無,2,2,1,25.054374,121.612959,頂樓加蓋；
11408,大樓,台北市南港區興中路２８巷１６號三樓,3988,86.27,54.32,3.51,13.4,3,25,有,2,2,2,25.055628,121.606628,
11408,華廈,台北市南港區重陽路６３號二樓之７,1100,93.24,11.8,2.83,14.5,2,7,無,1,1,1,25.058088,121.605598,親友、員工、共有人或其他特殊關係間之交易；
11408,大樓,台北市南港區向陽路１２０巷２弄２７號十樓,4000,109.06,45.28,5.36,1.3,10,15,有,3,2,2,25.054833,121.597366,
11408,公寓,台北市南港區市民大道八段５２０號三樓,1800,70.19,25.65,9.87,45.3,3,4,無,4,2,1,25.053776,121.612963,陽台外推；
11408,大樓,台北市南港區園區街８號十二樓,3238,104.26,34.14,5.11,16.8,12,14,有,3,1,1,25.059774,121.613512,
11408,華廈,台北市南港區重陽路４８７之１號,4380,102.52,42.72,15.32,17.2,1,7,有,無隔間,0,0,25.061039,121.611886,
11408,大樓,台北市南港區興南街９３之１號十九樓,3218,107.91,33.41,3.61,1.3,19,26,有,2,2,2,25.055224,121.598956,
11408,公寓,台北市南港區市民大道八段５６７號二樓,2105,73.62,28.59,10,51.5,2,4,無,3,2,1,25.054384,121.614595,陽台外推；
11408,大樓,台北市南港區興華路１２５號十樓,3650,77.68,46.99,5.12,28.6,10,18,有,4,2,2,25.057081,121.606059,陽台外推；
11408,公寓,台北市南港區興南街６４巷２６弄２０號五樓,1430,47.61,30.04,8.58,44.7,5,5,無,3,2,2,25.054916,121.601541,增建項目：頂樓搭鐵棚、陽台加鐵窗其他增建；
11408,大樓,台北市南港區東明街４３號十樓之３,2472,119.66,20.66,4.2,2.4,10,13,無,2,1,1,25.056312,121.60437,
11408,華廈,台北市南港區重陽路６３號二樓之３,1800,91.43,19.69,4.11,14.5,2,7,有,1,1,1,25.058088,121.605598,
11408,大樓,台北市南港區研究院路一段９９號十樓之６,3480,79.47,43.79,5.61,27.3,10,18,無,3,2,2,25.051846,121.616236,陽台外推；其他增建；
11408,大樓,台北市南港區興南街９５號十三樓,4628,108.89,46.41,5.24,1.3,13,26,有,3,2,2,25.055202,121.598896,
11408,大樓,台北市南港區向陽路１２０巷２弄３５號六樓,6800,101.71,74.77,10.11,1.3,6,15,有,3,2,2,25.054904,121.597535,
11407,大樓,台北市南港區重陽路４８５號五樓,7800,84.82,113.41,26.4,11.8,5,23,有,4,2,2,25.060612,121.611617,
11407,華廈,台北市南港區研究院路一段４９號三樓,3500,74.11,57.01,11.56,16,3,7,有,3,2,2,25.053425,121.61653,其他增建；
