成交年月,型式,地址,成交總價(萬),單價(萬/坪),建物坪數,土地坪數,屋齡,樓層,總樓層,車位,房,廳,衛,lat,lon,備註
11501,大樓,台北市大同區民權西路１５３號六樓之３,2828,110.49,25.59,2.21,2,6,15,無,2,2,1,25.063252,121.516547,
11501,大樓,台北市大同區昌吉街２６號,1000,113.95,8.78,1.43,14.2,1,14,無,2,1,1,25.065792,121.517093,親友、員工、共有人或其他特殊關係間之交易；夾層；
11501,大樓,台北市大同區民權西路１５３號三樓之３,3288,110.78,37.28,2.37,2,3,15,有,2,2,1,25.063252,121.516547,
11501,公寓,台北市大同區民族西路７６巷２弄１９號二樓,2088,57.86,36.09,9.53,42.2,2,5,有,3,2,2,25.068142,121.516911,防空避難室兼停車空間（國宅）車位使用權陽台外推；其他增建；
11501,大樓,台北市大同區承德路二段１４５號三樓,1630,105.39,15.47,1.71,1.3,3,15,無,1,0,1,25.057819,121.518477,
11501,華廈,台北市大同區歸綏街７８之９號,550,51.1,10.76,2.51,31.3,1,7,有,2,1,1,25.058373,121.516949,親友、員工、共有人或其他特殊關係間之交易；
11501,公寓,台北市大同區民權西路２４５巷３９號,1985,63.17,31.42,11.19,58.3,1,4,無,3,3,3,25.064267,121.510404,親友、員工、共有人或其他特殊關係間之交易；其他增建；未登記建物；
11412,大樓,台北市大同區大龍街９１巷１２號十樓之１１,1608,94.75,16.97,2.4,3.9,10,13,無,1,1,1,25.067224,121.517024,
11412,公寓,台北市大同區昌吉街１１０巷９號四樓,1500,53.76,27.9,11.27,52.4,4,4,無,3,2,1,25.065492,121.514765,頂樓加蓋；其他增建；
11412,公寓,台北市大同區錦西街４８號二樓,1836,74.78,24.55,6.72,49.3,2,5,無,3,2,1,25.060179,121.520122,陽台外推；其他增建；
11412,公寓,台北市大同區大龍街３００巷５號四樓,1050,52.81,19.88,7.03,42.9,4,4,無,2,1,1,25.07148,121.515501,頂樓加蓋；其他增建；
11412,公寓,台北市大同區哈密街５９巷３１弄５之３號,1280,72.65,17.62,11.8,0,1,2,無,3,2,1,25.07508,121.516141,其他增建；
11411,公寓,台北市大同區重慶北路三段２９５巷２１弄８號,3500,79.84,43.84,9.92,42.2,1,5,無,5,2,2,25.073873,121.514741,其他增建；
11411,公寓,台北市大同區民權西路２４５巷１８號,3.5666,0.66,5.42,0,54.3,1,4,無,3,2,1,25.063705,121.510295,建物坐落地號：橋北段三小段820地號；親友、員工、共有人或其他特殊關係間之交易；
11411,華廈,台北市大同區甘州街１４號八樓,1360,60.08,22.64,3.22,34.3,8,9,無,3,2,2,25.058507,121.51277,
11411,公寓,台北市大同區雙連街５３巷６號四樓,550,29.76,18.48,6.11,57.8,4,4,無,2,2,1,25.059193,121.519087,親友、員工、共有人或其他特殊關係間之交易；
11411,大樓,台北市大同區歸綏街１８５號七樓、七樓之１,1450,67.17,21.59,1.95,41.3,7,12,無,2,1,2,25.058259,121.512741,陽台外推；其他增建；
11411,公寓,台北市大同區環河北路二段３７號四樓,100,32.86,3.04,0.76,46.3,4,5,無,1,1,1,25.06451,121.508901,親友、員工、共有人或其他特殊關係間之交易；其他增建；
11411,公寓,台北市大同區重慶北路三段９巷３１號三樓,680,26.81,25.36,8.7,53.8,3,4,無,3,2,1,25.064056,121.515362,親友、員工、共有人或其他特殊關係間之交易；
11411,公寓,台北市大同區重慶北路三段１５２巷１７號四樓,1200,67.53,17.77,5.2,41.8,4,5,無,2,1,1,25.068171,121.512939,
11411,公寓,台北市大同區伊寧街７５巷３號,530,39.75,13.33,4.42,48.9,1,4,無,0,1,1,25.064835,121.510409,
11411,大樓,台北市大同區民生西路１７１巷３號十二樓之１,1958,76.39,25.63,2.27,20.9,12,14,有,2,2,1,25.057441,121.517213,
11411,華廈,台北市大同區承德路三段１２２巷１２號二樓,1760,78.49,20.96,3.76,5.6,2,7,有,1,2,1,25.067338,121.517672,
11411,公寓,台北市大同區承德路三段１６９號三樓,1530,66.26,23.09,6.41,49,3,5,無,4,0,4,25.068335,121.518636,
11411,大樓,台北市大同區民權西路１６０巷１８弄８號五樓之３,4768,111.39,49.88,5.67,4.3,5,18,有,3,2,2,25.062166,121.515451,
11411,華廈,台北市大同區涼州街５０號四樓,2600,64.28,40.45,4.72,41.7,4,9,無,無隔間,0,0,25.060618,121.51173,其他增建；
11411,公寓,台北市大同區雙連街７０號,2060,135.6,15.19,6.5,51.7,1,4,無,1,1,1,25.059745,121.518806,其他增建；
11411,華廈,台北市大同區重慶北路三段９巷３號二樓,1080,29.55,36.55,8.32,36.1,2,7,無,3,2,2,25.064424,121.514201,親友、員工、共有人或其他特殊關係間之交易；
11411,公寓,台北市大同區歸綏街９７巷２０號四樓,1780,50.03,35.58,8.33,34.3,4,5,無,3,2,2,25.059433,121.515814,其他增建；
11411,公寓,台北市大同區民權西路２９２巷２２號四樓,1410,44.06,32,7.87,45.3,4,5,無,3,1,1,25.062334,121.510378,陽台外推；其他增建；
11411,華廈,台北市大同區延平北路三段４６號二樓之２,1284,52.16,24.62,4.96,42.9,2,7,無,2,2,1,25.064848,121.510981,親友、員工、共有人或其他特殊關係間之交易；陽台外推；
11411,大樓,台北市大同區承德路二段１９３號十二樓之１,4288,73.74,58.15,8.28,29,"12,夾層",12,有,5,3,3,25.0593,121.518417,親友、員工、共有人或其他特殊關係間之交易；
11411,公寓,台北市大同區延平北路三段６６巷２號,500,44.61,11.21,3.48,53.4,1,4,無,2,2,1,25.065397,121.510734,陽台外推；
11410,大樓,台北市大同區歸綏街１７２號三樓,1360,49.85,27.28,3.11,35.4,3,11,無,1,1,1,25.058149,121.512473,陽台加窗其他增建；
11410,大樓,台北市大同區承德路三段２０８巷６號四樓之８,1888,108.02,17.48,2.69,18.8,4,11,無,2,1,1,25.070577,121.517405,陽台外推；
11410,大樓,台北市大同區歸綏街１６０巷１號七樓之３,840,81.17,10.35,1.48,29.8,7,13,無,1,1,1,25.057509,121.514131,陽台外推；
11410,大樓,台北市大同區重慶北路二段１３５號七樓之５,3388,110.81,35.99,2.41,0.9,7,15,有,3,2,2,25.05816,121.513979,
11410,大樓,台北市大同區重慶北路二段１３５號十二樓之１,2110,116.02,18.19,1.53,0.9,12,15,無,2,2,1,25.05816,121.513979,
