成交年月,型式,地址,成交總價(萬),單價(萬/坪),建物坪數,土地坪數,屋齡,樓層,總樓層,車位,房,廳,衛,lat,lon,備註
11501,公寓,台北市萬華區隆昌街３６號二樓之６,500,63.16,7.92,1.64,48.8,2,5,無,1,1,1,25.041231,121.504726,其他增建：鐵窗增建。其他增建；
11501,公寓,台北市萬華區隆昌街４０號四樓,600,62.18,9.65,2.6,48.6,4,5,無,1,1,1,25.041177,121.505017,其他增建；
11501,公寓,台北市萬華區隆昌街４２號四樓,605,61.6,9.82,2.6,48.6,4,5,無,1,0,1,25.041164,121.504947,其他增建；
11501,公寓,台北市萬華區西園路一段２１２巷９號四樓,530,18.76,28.25,6.47,37.5,4,5,無,3,1,2,25.035781,121.498569,親友、員工、共有人或其他特殊關係間之交易；
11501,大樓,台北市萬華區艋舺大道２７５巷２６號七樓,2185,85.32,33.01,3.45,6.9,7,15,有,1,1,1,25.034206,121.505051,親友、員工、共有人或其他特殊關係間之交易；
11501,華廈,台北市萬華區隆昌街３６號二樓之６,280,35.37,7.92,1.64,48.8,2,5,無,1,1,1,25.041231,121.504726,
11501,公寓,台北市萬華區萬大路１８７巷３弄７號五樓,244,43.86,5.56,2.3,50.8,5,5,無,2,1,1,25.02876,121.501221,親友、員工、共有人或其他特殊關係間之交易；頂樓加蓋；
11412,大樓,台北市萬華區康定路１４５號,1510,76.92,20.91,1.15,0.3,1,15,有,1,1,1,25.035047,121.499776,管委會尚未成立預售屋、或土地及建物分件登記案件；
11412,公寓,台北市萬華區雙和街９８號三樓,500,34.3,14.58,4.61,50.8,3,5,無,2,1,1,25.035047,121.499776,親友、員工、共有人或其他特殊關係間之交易；
11412,大樓,台北市萬華區西昌街２９巷８號六樓之１,3385,71.22,50.4,6.82,1.4,6,13,有,4,2,2,25.042662,121.500955,
11412,公寓,台北市萬華區環河南路二段２５０巷４２弄１３號五樓,1360,43.09,31.56,9.08,42.7,5,5,無,3,2,2,25.034223,121.491018,陽台外推；頂樓加蓋；其他增建；
11412,大樓,台北市萬華區康定路１０３號十二樓之１５,1465,75.18,25.69,1.16,10,12,26,有,1,1,1,25.039492,121.502062,
11412,大樓,台北市萬華區昆明街１１１號七樓之５,475,59.75,7.95,0.1,23.2,7,14,無,1,1,1,25.042263,121.504826,
11412,公寓,台北市萬華區中華路二段３３２號三樓之１５,440,51.86,8.49,3.14,57.6,3,5,無,1,1,1,25.027994,121.505792,親友、員工、共有人或其他特殊關係間之交易；
11412,華廈,台北市萬華區大理街１６０巷２６弄２號七樓,440,21.34,20.62,5.06,44.4,7,7,無,4,2,2,25.032115,121.493845,親友、員工、共有人或其他特殊關係間之交易；頂樓加蓋；
11412,大樓,台北市萬華區桂林路１５３號十樓,3210,67.86,50.31,4.57,20.7,10,14,有,2,2,2,25.038751,121.497596,
