"id","district","latitude","longitude","dist_zhongshan","dist_zhongzheng","dist_xinyi","dist_neihu","dist_beitou","dist_nangang","dist_shilin","dist_datong","dist_daan","dist_wenshan","dist_songshan","dist_wanhua","house_age","building_area","land_area","total_price","unit_price","has_parking","floor","total_floor","rooms","halls","bathrooms","extra_rooms","type_apartment","type_building","type_house","type_mansion","type_studio","transaction_date","created_at","updated_at","deleted_at","distance_to_mrt"
"1","中正區","25.0348144","121.5291021","0","1","0","0","0","0","0","0","0","0","0","0","29.50","9.50","2.02","650","68.45","0","-1","9","1","1","1","0","0","0","0","0","1","11502","2026-03-26 21:58:51","2026-03-26 22:03:49",NULL,"108"
"2","中正區","25.0301078","121.5066281","0","1","0","0","0","0","0","0","0","0","0","0","49.80","21.20","8.85","703","33.17","0","2","4","2","1","1","0","1","0","0","0","0","11501","2026-03-26 21:58:51","2026-03-26 22:03:50",NULL,"917"
"3","中正區","25.0296833","121.5066858","0","1","0","0","0","0","0","0","0","0","0","0","45.70","25.36","5.35","430","16.95","0","3","5","3","2","2","0","1","0","0","0","0","11501","2026-03-26 21:58:51","2026-03-26 22:03:50",NULL,"968"
"4","中正區","25.0220581","121.5238852","0","1","0","0","0","0","0","0","0","0","0","0","55.30","19.72","7.68","1050","53.25","0","3","4","4","2","2","0","1","0","0","0","0","11501","2026-03-26 21:58:51","2026-03-26 22:03:50",NULL,"471"
"5","中正區","25.0316999","121.5161871","0","1","0","0","0","0","0","0","0","0","0","0","49.80","3.70","1.38","304","82.28","0","2","4","4","2","2","0","1","0","0","0","0","11501","2026-03-26 21:58:51","2026-03-26 22:03:50",NULL,"290"
"6","中正區","25.0270070","121.5175850","0","1","0","0","0","0","0","0","0","0","0","0","14.50","78.65","8.03","6888","97.41","1","8","15","4","2","2","0","0","1","0","0","0","11501","2026-03-26 21:58:51","2026-03-26 22:03:50",NULL,"549"
"7","中正區","25.0271272","121.5174957","0","1","0","0","0","0","0","0","0","0","0","0","14.50","78.65","8.03","6888","97.41","1","8","18","4","2","2","0","0","1","0","0","0","11501","2026-03-26 21:58:51","2026-03-26 22:03:50",NULL,"558"
"8","中正區","25.0454273","121.5122507","0","1","0","0","0","0","0","0","0","0","0","0","1.70","25.13","2.39","3141","124.97","0","5","15","2","2","1","0","0","1","0","0","0","11501","2026-03-26 21:58:51","2026-03-26 22:03:50",NULL,"557"
"9","中正區","25.0432651","121.5264330","0","1","0","0","0","0","0","0","0","0","0","0","49.50","4.86","0.80","488","100.51","0","5","7","3","2","2","0","0","0","0","1","0","11501","2026-03-26 21:58:51","2026-03-26 22:03:50",NULL,"255"
"10","中正區","25.0243809","121.5127875","0","1","0","0","0","0","0","0","0","0","0","0","47.10","18.17","1.93","1090","60.00","0","4","10","3","2","2","0","0","0","0","1","0","11501","2026-03-26 21:58:51","2026-03-26 22:03:50",NULL,"1253"
"11","中正區","25.0436886","121.5215392","0","1","0","0","0","0","0","0","0","0","0","0","42.90","24.17","4.63","1680","92.97","1","5","7","0","0","0","0","0","0","0","1","0","11501","2026-03-26 21:58:51","2026-03-26 22:03:50",NULL,"254"
"12","中正區","25.0200314","121.5276813","0","1","0","0","0","0","0","0","0","0","0","0","44.80","16.35","3.53","1200","73.39","0","5","6","4","2","2","0","0","0","0","1","0","11501","2026-03-26 21:58:51","2026-03-26 22:03:50",NULL,"105"
"13","中正區","25.0179654","121.5247199","0","1","0","0","0","0","0","0","0","0","0","0","0.00","11.05","5.94","1000","90.47","0","1","5","1","1","1","0","0","0","0","0","1","11501","2026-03-26 21:58:51","2026-03-26 22:03:50",NULL,"555"
"14","中正區","25.0444069","121.5096698","0","1","0","0","0","0","0","0","0","0","0","0","44.00","10.98","1.49","1641","149.51","0","8","8","1","1","1","0","0","0","0","0","1","11501","2026-03-26 21:58:51","2026-03-26 22:03:50",NULL,"242"
