行政區,路段,緯度,經度,行政區_中正區,行政區_大同區,行政區_中山區,行政區_松山區,行政區_大安區,行政區_萬華區,行政區_信義區,行政區_士林區,行政區_北投區,行政區_內湖區,行政區_南港區,行政區_文山區,屋齡,建坪,房屋總價(萬),車位,房,廳,衛,室,有加蓋,總樓層,起始樓層,最高樓層,物件涵蓋層數,房屋類型_公寓,房屋類型_大樓,房屋類型_套房,房屋類型_華廈,房屋類型_透天
中山區,長春路,25.0546231872,121.537489393,0,0,1,0,0,0,0,0,0,0,0,0,28.3,94.0,1888,0,3,1,1,3,0,10,4,4,1,0,0,0,0,0
中山區,五常街,25.0663002723,121.539721646,0,0,1,0,0,0,0,0,0,0,0,0,47.9,168.0,1888,0,4,2,2,4,0,5,4,4,1,1,0,0,0,0
中山區,新生北路三段,25.0653941888,121.528033092,0,0,1,0,0,0,0,0,0,0,0,0,48.0,191.0,1528,0,2,2,1,2,0,11,3,3,1,0,1,0,0,0
中山區,農安街,25.0648104787,121.52680958,0,0,1,0,0,0,0,0,0,0,0,0,46.9,213.0,880,0,1,1,1,1,0,10,5,5,1,0,1,0,0,0
中山區,松江路,25.0494797451,121.532083111,0,0,1,0,0,0,0,0,0,0,0,0,49.8,255.0,3880,0,2,2,1,2,0,5,1,1,1,0,1,0,0,0
中山區,德惠街,25.0666098819,121.523775767,0,0,1,0,0,0,0,0,0,0,0,0,2.3,43.0,2468,0,1,1,1,1,0,13,8,8,1,0,1,0,0,0
中山區,松江路,25.0591619192,121.532319622,0,0,1,0,0,0,0,0,0,0,0,0,1.1,72.0,3168,0,2,1,1,2,0,10,4,4,1,0,1,0,0,0
中山區,新生北路二段,25.0561115181,121.527203534,0,0,1,0,0,0,0,0,0,0,0,0,45.7,97.0,598,0,1,1,1,1,0,12,9,9,1,0,1,0,0,0
中山區,林森北路,25.0595801287,121.525677839,0,0,1,0,0,0,0,0,0,0,0,0,43.8,134.0,750,0,1,1,1,1,0,12,4,4,1,0,0,0,0,0
中山區,民族東路,25.0681461041,121.530897645,0,0,1,0,0,0,0,0,0,0,0,0,53.3,158.0,1760,0,3,2,1,3,0,3,3,3,1,0,1,0,0,0
中山區,民生東路一段,25.0581974667,121.524310527,0,0,1,0,0,0,0,0,0,0,0,0,45.6,178.0,1160,0,2,1,1,2,0,12,11,11,1,0,1,0,0,0
中山區,長春路,25.0546231872,121.537489393,0,0,1,0,0,0,0,0,0,0,0,0,28.3,44.0,6380,1,4,4,4,4,0,10,10,10,1,0,1,0,0,0
中山區,林森北路,25.0609611464,121.525430624,0,0,1,0,0,0,0,0,0,0,0,0,16.3,154.0,6988,1,4,2,3,4,0,14,13,14,2,0,1,0,0,0
中山區,松江路,25.0679515391,121.532734988,0,0,1,0,0,0,0,0,0,0,0,0,29.7,196.0,1788,0,2,1,1,2,0,6,3,3,1,0,1,0,0,0
中山區,德惠街,25.0665674367,121.527194378,0,0,1,0,0,0,0,0,0,0,0,0,44.1,217.0,2480,0,2,2,2,2,0,11,6,6,1,0,1,0,0,0
中山區,農安街,25.0648128012,121.526666927,0,0,1,0,0,0,0,0,0,0,0,0,46.9,239.0,3380,0,2,2,2,2,0,10,5,5,1,0,0,0,0,0
中山區,長安東路一段,25.0492511373,121.526620653,0,0,1,0,0,0,0,0,0,0,0,0,47.8,45.0,1580,0,3,2,1,3,0,7,5,5,1,0,1,0,0,0
中山區,新生北路二段,25.0609013608,121.529232451,0,0,1,0,0,0,0,0,0,0,0,0,58.4,69.0,1598,0,3,1,1,3,0,4,3,3,1,0,1,0,0,0
