物件名稱,路段,行政區_中山區,行政區_中正區,行政區_信義區,行政區_內湖區,行政區_北投區,行政區_南港區,行政區_士林區,行政區_大同區,行政區_大安區,行政區_文山區,行政區_松山區,行政區_萬華區,屋齡,建坪,房屋總價(萬),車位,房,廳,衛,室,有加蓋,總樓層,起始樓層,最高樓層,物件涵蓋層數,房屋類型_公寓,房屋類型_大樓,房屋類型_套房,房屋類型_華廈,房屋類型_透天,經度,緯度
316長春基泰絕版4米5,長春路,1,0,0,0,0,0,0,0,0,0,0,0,28.3,94.0,1888,0,3,1,1,3,0,10,4,4,1,0,0,0,0,0,121.537489393,25.0546231872
H9榮星花園方正公寓,五常街,1,0,0,0,0,0,0,0,0,0,0,0,47.9,168.0,1888,0,4,2,2,4,0,5,4,4,1,1,0,0,0,0,121.539721646,25.0663002723
DZ2中山國小2房含陽台明火廚房,新生北路三段,1,0,0,0,0,0,0,0,0,0,0,0,48.0,191.0,1528,0,2,2,1,2,0,11,3,3,1,0,1,0,0,0,121.528033092,25.0653941888
BZ5中山國小捷運約5分鐘,農安街,1,0,0,0,0,0,0,0,0,0,0,0,46.9,213.0,880,0,1,1,1,1,0,10,5,5,1,0,1,0,0,0,121.52680958,25.0648104787
松江南京庭院一樓,松江路,1,0,0,0,0,0,0,0,0,0,0,0,49.8,255.0,3880,0,2,2,1,2,0,5,1,1,1,0,1,0,0,0,121.532083111,25.0494797451
A8忠泰繪低奢新寓所,德惠街,1,0,0,0,0,0,0,0,0,0,0,0,2.3,43.0,2468,0,1,1,1,1,0,13,8,8,1,0,1,0,0,0,121.523775767,25.0666098819
佳元松江捷運兩房,松江路,1,0,0,0,0,0,0,0,0,0,0,0,1.1,72.0,3168,0,2,1,1,2,0,10,4,4,1,0,1,0,0,0,121.532319622,25.0591619192
BZ9晶華商圈低總首選,新生北路二段,1,0,0,0,0,0,0,0,0,0,0,0,45.7,97.0,598,0,1,1,1,1,0,12,9,9,1,0,1,0,0,0,121.527203534,25.0561115181
BZ8中山國小捷運美妝收租寶,林森北路,1,0,0,0,0,0,0,0,0,0,0,0,43.8,134.0,750,0,1,1,1,1,0,12,4,4,1,0,0,0,0,0,121.525677839,25.0595801287
新生公園景觀三樓,民族東路,1,0,0,0,0,0,0,0,0,0,0,0,53.3,158.0,1760,0,3,2,1,3,0,3,3,3,1,0,1,0,0,0,121.530897645,25.0681461041
D2雙連捷運電梯兩房,民生東路一段,1,0,0,0,0,0,0,0,0,0,0,0,45.6,178.0,1160,0,2,1,1,2,0,12,11,11,1,0,1,0,0,0,121.524310527,25.0581974667
H8樓中樓基泰高更美景,長春路,1,0,0,0,0,0,0,0,0,0,0,0,28.3,44.0,6380,1,4,4,4,4,0,10,10,10,1,0,1,0,0,0,121.537489393,25.0546231872
GZ9專中山景觀露台美妝樓中樓,林森北路,1,0,0,0,0,0,0,0,0,0,0,0,16.3,154.0,6988,1,4,2,3,4,0,14,13,14,2,0,1,0,0,0,121.525430624,25.0609611464
D8松江金棧美妝兩房,松江路,1,0,0,0,0,0,0,0,0,0,0,0,29.7,196.0,1788,0,2,1,1,2,0,6,3,3,1,0,1,0,0,0,121.532734988,25.0679515391
捷運舒適美妝宅,德惠街,1,0,0,0,0,0,0,0,0,0,0,0,44.1,217.0,2480,0,2,2,2,2,0,11,6,6,1,0,1,0,0,0,121.527194378,25.0665674367
