物件名稱,售價,經度,緯度,屋齡
靜巷美妝電梯3房附車位,3850.0,121.512027388,25.0284242518,10.3
古亭捷運電梯高樓精品宅,1080.0,121.517003598,25.0238795751,17.3
FZ7螢橋學區陽光三房美寓,2088.0,121.512942811,25.0244544935,49.4
中正國中可隔2房捷運宅,2850.0,121.522037784,25.0272499676,36.7
J11雙子星北車站前金店面,9888.0,121.514464215,25.0458928837,37.5
重慶南路汀洲路口三角窗店,5688.0,121.516595457,25.0254914291,42.7
巨流河景觀精緻2房,4068.0,121.519953525,25.0211285998,6.9
JZ9古亭中正大觀店辦首選,5680.0,121.518317745,25.0298777287,16.0
植物園全新二房車,3280.0,121.508577572,25.0287961628,1.1
中正捷運古亭美裝三室管理,2998.0,121.523833373,25.0248382815,38.2
JZ5忠孝新生陽台大套辦3,1250.0,121.530342219,25.0439331682,15.4
JZ5忠孝新生陽台大套辦1,1250.0,121.530342219,25.0439331682,15.4
JZ5忠孝新生陽台大套辦2,1250.0,121.530342219,25.0439331682,15.4
華山高樓美景住辦,4080.0,121.5263748,25.0419826778,33.8
FZ9台電大樓溫馨三房美屋,2950.0,121.527410484,25.0211667312,49.8
台電捷運電梯管理可改三房,2950.0,121.527410484,25.0211667312,49.8
BZ4中正紀念堂學區美宅,1535.0,121.518626621,25.0320588265,43.3
JZ8北車低總精緻美辦,1425.0,121.513366898,25.0422219373,43.4
KZ6公館台大獨戶收租寶,3100.0,121.532724657,25.014962718,40.6
臨沂靜巷邊間豪邸,12688.0,121.529386101,25.039189559,16.8
❤大安森林公園透天金店,24000.0,121.532451526,25.0344071598,64.8
中正靜巷獨戶採光美寓,1980.0,121.51321465,25.0271179668,37.6
C7植物園全新電梯兩房車,3280.0,121.508577572,25.0287961628,
C7植物園全新兩房車3F,3280.0,121.508577572,25.0287961628,1.1
Y264晏京核心高樓景觀名邸,8684.0,121.517564877,25.0254512686,8.7
仁愛石材豪邸閱狷聲-中正學區,10588.0,121.525539651,25.0377050773,8.9
中正低總價靜巷公寓,1560.0,121.515845865,25.0240922347,58.8
中正區水岫社區車位,124.0,121.516942664,25.0226026662,14.0
中正雙公園大戶人家,4980.0,121.507811713,25.0262816941,43.1
C7植物園全新兩房車2F,3221.0,121.508577572,25.0287961628,1.1
全新植物園兩房車,3221.0,121.508577572,25.0287961628,1.1
&專!仁愛新生三房車,6800.0,121.531681185,25.0385325112,45.3
台大首排．大師級SC鋼骨地標,3216.0,121.536297356,25.0122575621,2.5
展宜仁愛•三房車位,4588.0,121.525815171,25.0389289918,15.4
大安森林景觀璞園名邸,18800.0,121.532519155,25.0340809949,11.1
EZ6古亭河岸景觀三房車,4688.0,121.519953525,25.0211285998,6.9
CZ1河岸全新美裝2房車,4068.0,121.519953525,25.0211285998,6.9
中正國中住辦鼎佳,5500.0,121.519272441,25.0286445816,46.4
EZ6古亭河岸邊間三房車,4808.0,121.519953525,25.0211285998,6.9
南海苑建中景觀大露臺,11800.0,121.513687609,25.0293726742,13.3
&潛光隱耀~泰安觀止,12800.0,121.527356075,25.0406686739,20.1
EZ6力麒│高樓雅緻三房雙車位,8988.0,121.517713753,25.0269707804,14.7
捷運市大附小設籍美辦,1535.0,121.518626621,25.0320588265,43.3
捷運植物園實小電梯四房,2990.0,121.511929049,25.0286988935,38.1
植物園實小邊間四房,2990.0,121.511929049,25.0286988935,38.1
立院特區電梯華廈,4908.0,121.521376318,25.0439105166,43.1
捷運古亭邊間電梯三室,2880.0,121.518036741,25.0262567167,42.3
JZ3古亭捷運｜住辦兩用B,4188.0,121.524404861,25.0239345941,42.0
中正捷運古亭挑高採光美居,1350.0,121.517790443,25.0244586135,28.6
中正古亭車庫一樓,4488.0,121.518384054,25.0225614828,32.7
首都帝景河岸水景宅,4900.0,121.523853153,25.0187588046,8.1
中正稀有低總置產宅,1550.0,121.504470218,25.0308990467,45.3
臨沂馥玉溫馨美2房,5788.0,121.529372557,25.0419403231,11.8
中正紀念堂獨棟方正大戶,4380.0,121.522303951,25.0400823424,40.6
台電大樓電梯美廈,4650.0,121.530910305,25.0164572344,40.4
EZ6古亭河岸全新三房車,4180.0,121.519953525,25.0211285998,6.9
古亭明亮兩房兩衛美屋,4180.0,121.523049247,25.0231185637,17.9
H5萬大線超值大空間鼎家,4980.0,121.507811713,25.0262816941,43.1
國語實小邊間三房美寓,2338.0,121.511481508,25.028821478,46.9
JZ2台北車站低總燙金店面,998.0,121.514498258,25.0458574111,37.5
JZ3古亭捷運｜住辦兩用A,4490.0,121.524404861,25.0239345941,42.0
108-信義東門景觀雙車位,8950.0,121.527605,25.035144,16.0
H6仁愛路稀有樓中樓,6880.0,121.526350654,25.0368234059,42.0
AZ3永康精品飯店小豪宅,3280.0,121.531610821,25.0338253407,7.7
JZ6公館站住辦到站即到家,3380.0,121.534266824,25.014501361,20.3
DZ9古亭中正香榭景觀宅,2438.0,121.519836994,25.0268419254,17.8
國語實小亮麗三房美寓,2338.0,121.511481508,25.028821478,46.9
BZ5公館站面台大住辦房車,4140.0,121.534266824,25.014501361,20.3
FZ9中正紀念堂新隆都更宅,5600.0,121.520258573,25.0318738394,40.4
元利群英-博愛特區,12630.0,121.521719622,25.0427282025,20.2
EZ6東門｜新美齊高樓房車,6388.0,121.531610821,25.0338253407,7.7
G3博愛特區26樓中樓景觀宅,38000.0,121.511607934,25.0436252579,12.3
G3博愛特區30樓中樓景觀宅,30000.0,121.511607934,25.0436252579,12.3
IZ8中正紀念堂｜壹樓都更潛力宅,4160.0,121.522080966,25.0380316938,47.4
JZ5古亭捷運超值黃金店面,1780.0,121.515586639,25.028028293,42.7
中正杭州高樓豪邸,11800.0,121.526299627,25.0417335575,18.2
中正國中銅山一樓,6250.0,121.52654693,25.0406546921,43.0
森城大院．四房坡車,7258.0,121.518914291,25.021492535,5.7
仁愛杭州綠景豪邸,10888.0,121.526280578,25.0416704184,18.2
捷運古亭美裝電梯兩室車,3380.0,121.522167815,25.0258409669,29.3
寧波西街正馬路優質店面,5680.0,121.516164349,25.029926698,41.8
DZ6專古亭捷運低總價二房,1680.0,121.518777121,25.0246484556,51.8
超大商辦捷運十秒內,61688.0,121.517977816,25.0334811795,54.0
東門前院大車庫壹樓,5780.0,121.518136,25.03227,56.8
中正名門電梯三室,4600.0,121.517308514,25.0309373561,33.8
戀戀台大景觀小宅,5488.0,121.534266824,25.014501361,20.3
中正國中前後大庭院另坡車,6200.0,121.517583063,25.0294186861,34.0
戀戀台大高樓景觀,5989.0,121.534266824,25.014501361,20.3
中正建中南海段土地,13800.0,121.518136,25.03227,
A+近南港車站產業專區土地,6010.0,121.61476,25.05365,
