objName,age
靜巷美妝電梯3房附車位,10.3
古亭捷運電梯高樓精品宅,17.3
FZ7螢橋學區陽光三房美寓,49.4
中正國中可隔2房捷運宅,36.7
重慶南路汀洲路口三角窗店,42.7
華山高樓美景住辦,33.8
FZ9台電大樓溫馨三房美屋,49.8
台電捷運電梯管理可改三房,49.8
JZ9古亭中正大觀店辦首選,16
植物園全新二房車,1.1
中正稀有低總置產宅,45.3
J11雙子星北車站前金店面,37.5
BZ4中正紀念堂學區美宅,43.3
JZ8北車低總精緻美辦,43.4
❤大安森林公園透天金店,64.8
中正靜巷獨戶採光美寓,37.6
JZ5忠孝新生陽台大套辦3,15.4
JZ5忠孝新生陽台大套辦1,15.4
JZ5忠孝新生陽台大套辦2,15.4
C7植物園全新兩房車3F,1.1
中正低總價靜巷公寓,58.8
中正雙公園大戶人家,43.1
C7植物園全新兩房車2F,1.1
全新植物園兩房車,1.1
巨流河景觀精緻2房,6.9
臨沂靜巷邊間豪邸,16.8
台大首排．大師級SC鋼骨地標,2.5
展宜仁愛•三房車位,15.4
大安森林景觀璞園名邸,11.1
中正國中住辦鼎佳,46.4
中正杭州高樓豪邸,18.2
南海苑建中景觀大露臺,13.3
&潛光隱耀~泰安觀止,20.1
中正捷運古亭美裝三室管理,38.2
捷運市大附小設籍美辦,43.3
KZ6公館台大獨戶收租寶,40.6
捷運植物園實小電梯四房,38.1
植物園實小邊間四房,38.1
立院特區電梯華廈,43.1
捷運古亭邊間電梯三室,42.3
JZ3古亭捷運｜住辦兩用B,42
中正捷運古亭挑高採光美居,28.6
中正古亭車庫一樓,32.7
中正區水岫社區車位,14
Y264晏京核心高樓景觀名邸,8.7
中正紀念堂獨棟方正大戶,40.6
台電大樓電梯美廈,40.4
仁愛石材豪邸閱狷聲-中正學區,8.9
古亭明亮兩房兩衛美屋,17.9
首都帝景河岸水景宅,8.1
H5萬大線超值大空間鼎家,43.1
國語實小邊間三房美寓,46.9
&專!仁愛新生三房車,45.3
JZ2台北車站低總燙金店面,37.5
JZ3古亭捷運｜住辦兩用A,42
108-信義東門景觀雙車位,16
H6仁愛路稀有樓中樓,42
AZ3永康精品飯店小豪宅,7.7
EZ6古亭河岸景觀三房車,6.9
CZ1河岸全新美裝2房車,6.9
JZ6公館站住辦到站即到家,20.3
DZ9古亭中正香榭景觀宅,17.8
國語實小亮麗三房美寓,46.9
BZ5公館站面台大住辦房車,20.3
EZ6古亭河岸邊間三房車,6.9
FZ9中正紀念堂新隆都更宅,40.4
元利群英-博愛特區,20.2
EZ6東門｜新美齊高樓房車,7.7
G3博愛特區26樓中樓景觀宅,12.3
EZ6力麒│高樓雅緻三房雙車位,14.7
G3博愛特區30樓中樓景觀宅,12.3
IZ8中正紀念堂｜壹樓都更潛力宅,47.4
JZ5古亭捷運超值黃金店面,42.7
中正國中銅山一樓,43
