objName,price,salePrice,style,parking,lon,lat,landArea,mainArea,affiliatedArea,zipCode
光南靜巷高樓美2房,3288,3288,大樓,無,121.558172861,25.03501145,6.69,21.48,2.2,110
I1金寧鄉置產土地4,950,950,土地,無,111.111111,22.222222,389.51,,,110
永春四季台北邊間美邸,6988,6988,華廈,私有,121.574130735,25.0413236262,9.08,23.3,10.31,110
國館精裝美三室,3873,3873,大樓,無,121.557702522,25.0358911752,2.48,20.71,4.67,110
Y39捷運*101景觀頂佳,1800,1800,公寓,無,121.570572823,25.0201851846,8.26,27.74,3.39,110
FZ9信義區｜北醫商圈三房,1980,1980,公寓,無,121.563586622,25.0231059021,8.44,26.39,2.93,110
大統領辦公坡道機械車位,160,160,大樓,私有,121.558525649,25.0309816709,0.09,5.32,,110
信義四四東村三房,4200,4200,大樓,可租,121.564038922,25.0260497133,9.76,23.09,3.1,110
國際名紳高樓4房坡車,7300,7300,大樓,私有,121.57497109,25.0377320211,5.51,44.66,7.39,110
信義挑高庭院一樓,2880,2880,大樓,無,121.571844925,25.0182580491,8.81,35.01,4.77,110
信義101帝景樓中樓,5988,5988,大樓,私有,121.571145409,25.0188295637,15.28,53.68,19.78,110
【六張犁｜信義區一樓・好停車】,2388,2388,公寓,無,121.556832777,25.0229404698,7.3,22.21,,110
&信義上林苑電梯豪墅,32680,32680,別墅,無,121.577528538,25.0200464394,209.94,241.65,30.67,110
松仁莊敬美居,2260,2260,公寓,無,121.567924793,25.0269119836,8.77,24.07,2.75,110
富比世稀有車位,158,158,大樓,私有,121.56953935,25.0243178637,0,0.08,0,110
089面公園近捷運方正美寓,2488,2488,公寓,無,121.572300793,25.0475163643,8.83,34.73,2.73,110
信義區稀有可建農舍農地/合法申,26566,26566,土地,無,121.566905823,25.011770133,1021.09,,,110
世貿101景觀質感商辦,16688,16688,大樓,私有,121.567053,25.033165,12.37,97.5,,110
太陽磁場4房坡車,5388,5388,大樓,私有,121.575367967,25.0353469683,8.57,43.12,4.94,110
❤市府捷運大雅寓,3488,3488,公寓,無,121.56915749,25.0430605834,11.93,38.06,4.01,110
南投縣-土地,2880,2880,土地,無,120.696791,23.908713,142.18,,,110
101無敵美景 信義路三房車,3850,3850,大樓,私有,121.573564151,25.0212694717,10.95,30.13,3.8,110
EZ9忠孝界｜複合式兩房,2980,2980,華廈,私有,121.582545573,25.0430422848,4.18,12.48,2.93,110
EZ9忠孝界｜4米獨享庭院,5580,5580,華廈,私有,121.582545573,25.0430422848,7.81,22.85,5.83,110
EZ9忠孝界｜挑高兩房車,2680,2680,大樓,私有,121.582461467,25.0430067846,3.63,10.37,2.9,110
H6127 太子東宮邊間2樓,3280,3280,大樓,無,121.577688285,25.0392055791,4,24.53,3.49,110
計畫區永富信義名邸II,14988,14988,華廈,私有,121.564105348,25.0317537928,25.4,51.29,6.54,110
麟光商圈捷運旁一樓大空間,2588,2588,公寓,無,121.558070545,25.0210093351,8.09,19.81,2.72,110
