objName,price,salePrice,style,parking,lon,lat,landArea,mainArea,affiliatedArea,zipCode
南港I-City廠辦大樓,60000,60000,大樓,可購,121.592577701,25.0559504957,132.07,479.91,0,115
世界心經貿景觀辦公,5588,5588,大樓,私有,121.610401887,25.0597775223,17.58,48.47,10.33,115
舊莊街透天使用坪效佳,2980,2980,透天,無,121.622995217,25.0378263827,35.09,31.28,0,115
中研超值雅寓,1380,1380,公寓,無,121.613643268,25.0346597186,1.53,32.04,3.47,115
南港花園高樓抽坡車,2930,2930,大樓,抽籤,121.59173139,25.0391915279,6.72,21.42,2.42,115
玉成公園雙車位一樓,2798,2798,公寓,無,121.588709973,25.0417993224,8.96,23.54,3.86,115
經貿地飆1F,2580,2580,華廈,無,121.615004006,25.0618702093,2.48,3.31,2.15,115
世界心高樓辦公,5988,5988,大樓,私有,121.610235309,25.0595011223,17.34,49.3,8.94,115
南港中研院旁黃金三樓,2180,2180,公寓,無,121.61665734,25.0388284272,11.04,27.67,4.4,115
胡適稀有透天別墅,3320,3320,透天,私有,121.615710684,25.037385894,29.11,32.43,4.31,115
&南港璽苑面中庭綠景,11688,11688,大樓,私有,121.614121207,25.062541538,16.72,51.76,12.44,115
近四鐵共構2房附車位,2558,2558,大樓,私有,121.601451265,25.0554421454,7.33,16.9,2.74,115
香榭帝寶高樓景觀戶,1990,1990,大樓,私有,121.59543944,25.0552080034,3.2,7.7,1.93,115
南港稀有低總價土地(都計內持分,168,168,土地,無,121.615139461887,25.0343954158059,57.94,,,115
中研寧靜便宜一樓,1128,1128,公寓,無,121.617662841,25.0364710243,13.11,18.69,2.36,115
中研綠意頂加雅寓,1520,1520,公寓,無,121.613815941,25.0344071644,7.06,21.89,2.83,115
南軟風範採光二房車,3360,3360,華廈,私有,121.614839936,25.062050964,6.96,16.69,4.25,115
松山新矽谷氣派廠辦,22168,22168,大樓,私有,121.581321539,25.0501373895,72.6,242.17,32.05,115
後山埤二樓三房,2388,2388,公寓,無,121.585518384,25.0449462583,9.25,22.9,4.18,115
中研壹樓好停車,2088,2088,公寓,無,121.61669119,25.0385646918,9.15,28.69,0,115
F2南港核心遠見價值名門首選,3380,3380,大樓,私有,121.605553187,25.0578467606,2.57,27.9,2.15,115
南港陽光大兩房車,2980,2980,華廈,私有,121.596931966,25.058398469,10.65,18.68,3.52,115
南軟二期超A辦,20688,20688,大樓,私有,121.612132859,25.0586490408,51.8,152.84,0,115
風華中庭三房坡平車,4000,4000,華廈,私有,121.611795501,25.059422745,8.51,24.14,5.04,115
FZ9商一易規劃高投報鼎佳,2580,2580,公寓,無,121.581246958,25.0520200639,8.96,26.64,2.39,115
昆陽站使用大一樓,2998,2998,公寓,無,121.592097694,25.0494492777,8.77,25.21,,115
南港漱夏三房大露台雙坡車,4588,4588,華廈,私有,121.594336409,25.0589259988,14.22,24.16,4.28,115
興東街電梯+車位A,5920,5920,華廈,私有,121.612800013,25.0556321564,9.34,18.96,3.49,115
南港昆陽站映東騰唯一釋出,12588,12588,大樓,私有,121.593752102,25.0482734756,14.75,52.48,5.08,115
華固卡地雅採光三房+坡車,4888,4888,華廈,私有,121.59500246,25.0566518226,9.87,24.48,3.87,115
K5收租王｜南軟中研小透天,3380,3380,透天,無,121.616786176,25.0452746986,16.64,18.27,0,115
日升月恆高樓山河景,10988,10988,大樓,私有,121.615494923,25.0615097006,16.47,50.69,5.12,115
展覽館站邊間美寓,2498,2498,公寓,無,121.616962722,25.0519420814,12.1,32.6,,115
松山精裝三房華廈,3980,3980,華廈,無,121.581331558,25.0511720778,7.43,29.91,4.49,115
砳建築旁邊間雅寓,2150,2150,公寓,無,121.60941814,25.0593817634,11.46,24.73,6.88,115
A近南港車站產業專區土地,22487,22487,土地,無,121.61476,25.05364,93.7,,,115
B近南港車站產業專區土地,16060,16060,土地,無,121.61476,25.05364,66.93,,,115
經貿區近LaLaport精品宅,3360,3360,華廈,私有,121.614839936,25.062050964,6.96,16.69,4.25,115
C57松山車站景觀三房雙車,6988,6988,大樓,私有,121.581750735,25.0513679592,8.26,35.4,7.64,115
研究院路4+5樓誠意賣,1308,1308,公寓,無,121.616497836,25.0386509373,9.23,23.46,4.62,115
南港近信義輕豪邸,6380,6380,別墅,私有,121.584172253,25.0435864607,14.65,29.17,26.3,115
景觀綠世界未來捷運三房平車,2930,2930,大樓,抽籤,121.59173139,25.0391915279,6.72,21.42,2.42,115
經貿園區-邊間2房+車,3360,3360,華廈,私有,121.614839936,25.062050964,6.96,16.69,4.25,115
芬第美二房平面車位,3098,3098,華廈,私有,121.596630007,25.0583506762,8.78,18.94,1.77,115
南港車站面公園三房,2288,2288,公寓,無,121.604719331,25.0565855217,7.45,22.27,2.8,115
羽森琚挑高庭院一樓,6400,6400,大樓,私有,121.600793,25.055879,0,25.99,1.76,115
後山埤雙店面住辦1樓,3680,3680,華廈,無,121.585419065,25.0465668107,8.44,23.3,2.79,115
南港2房稀有露臺附車位,1588,1588,華廈,私有,121.623649922,25.0373940025,3.82,7.9,1.65,115
中研彩虹透天社區,4280,4280,透天,私有,121.615920259,25.0465600375,18.25,34.06,23.7,115
南港松河街多功能黃金1樓,3800,3800,公寓,無,121.591813319,25.0578391391,12.6,41.94,8.69,115
南港長虹中研透天,4280,4280,透天,私有,121.615920259,25.0465600375,18.55,34.06,23.7,115
南港經貿門戶店面,3360,3360,其他,無,121.615290527,25.0535746931,15.05,21.27,0,115
