objName,price,salePrice,style,parking,lon,lat,landArea,mainArea,affiliatedArea,zipCode
BZ6雙連｜時尚之星品味宅,1360,1360,大樓,無,121.517353648,25.0566684776,1.07,6.71,0.91,103
DZ6好光景美麗河畔兩房車,3988,3988,大樓,私有,121.509443681,25.0707429201,6.9,20.72,3.86,103
FZ1圓山｜邊間｜大三房美寓,1888,1888,公寓,無,121.51654846,25.0757842113,9.84,28.54,5.58,103
EZ4捷運大橋頭站｜三房坡車,5088,5088,大樓,私有,121.513871182,25.0642925208,14.11,23.45,2.53,103
BZ4大橋頭捷運公寓三樓,998,998,公寓,無,121.50889959,25.0646001283,2.67,9.76,1.36,103
IZ4稀有圓山傳家大戶宅邸,5350,5350,大樓,私有,121.511824101,25.0722533777,18.89,44.92,8.19,103
C6永田町大邊間採光大樓,5385,5385,大樓,私有,121.516385435,25.0550746771,4.6,27.19,3.16,103
HZ4圓山捷運稀有低總頂家,1380,1380,公寓,無,121.516368959,25.0714615359,6.23,15.87,2.26,103
I10近捷運稀有都更透天,4180,4180,透天,無,121.515702533,25.0636705932,25.11,32.73,0,103
EZ9金瑞山優質可2房,2980,2980,大樓,無,121.511405565,25.0581532917,2.91,16.53,2.27,103
DZ4台北雙星｜低總兩房,1688,1688,大樓,無,121.511111482,25.0536731167,1.89,13.78,1.94,103
JZ6重慶傳家金店,9999,9999,其他,無,121.513979551,25.0511938949,24.5,18,0,103
CZ6京站雙子星高樓美屋A,765,765,大樓,無,121.517822021,25.048917084,0,8.44,1.4,103
EZ5大稻埕古色古香文創古宅,2220,2220,公寓,無,121.508457399,25.0551870258,13.46,24.72,0,103
FZ6民權西路｜捷運大三房,2998,2998,大樓,無,121.517204379,25.0631131075,3.34,22.9,6.47,103
CZ9當代一號院｜2房露台車,2880,2880,大樓,私有,121.51357812339,25.0697079846206,2.01,12.49,1.26,103
新碩文曲電梯三房坡平車位,4670,4670,大樓,私有,121.513818278,25.0581171019,2.84,20.76,2.09,103
C6永田町高樓景觀美宅,3198,3198,大樓,無,121.516385435,25.0550746771,2.81,15.25,3.36,103
C6永田町發發邊間大戶,8588,8588,大樓,私有,121.516385435,25.0550746771,7.41,42.44,6.53,103
J4雙子星住辦一樓地下室,5335,5335,華廈,無,121.507762069,25.0523350942,15.97,76.99,0,103
I10圓山透天收租土地持分大,16880,16880,透天,無,121.515960623,25.0708069677,94.99,163.73,6.76,103
F4台北雙星｜電梯三房華廈,2688,2688,華廈,無,121.509317356,25.0537641061,7.91,27.98,4.95,103
CZ6京站雙子星大房美屋,1537,1537,大樓,無,121.517822021,25.048917084,0,17.41,3.58,103
J10捷運邊間美景純辦,3310,3310,大樓,私有,121.513700201,25.0606859686,5.31,24.71,5.64,103
大稻埕煙火邊間獨棟鼎家,1750,1750,公寓,無,121.508942932,25.0569734205,6.2,22.73,0,103
D9低總價輕奢兩房,1058,1058,大樓,無,121.511640867,25.0573985599,0.96,6.4,1.15,103
D1台北雙星美妝電梯兩房,1088,1088,大樓,無,121.511640867,25.0573985599,0.99,6.7,1.15,103
大橋綻復古全新金店面,3990,3990,華廈,私有,121.510421848,25.0621430663,0,15.51,1.07,103
JZ6廣宇萬和全新挑高店面,3380,3380,其他,無,121.509438601,25.0685997023,1.8,15.9,0,103
DZ3專任台北雙星低總價2房,1600,1600,公寓,無,121.512457828,25.0552499735,4.99,14.56,0,103
DZ3專任台北雙星低總價3房,1800,1800,公寓,無,121.512493177,25.0552583109,5.29,16.93,0,103
CZ6京站雙子星高樓美屋B,765,765,大樓,無,121.517831008,25.048970176,0,8.44,1.4,103
大同老師里低總美寓,1800,1800,公寓,無,121.512917183,25.0760638094,6.36,24.73,2.89,103
民西捷運面公園美裝潢,1968,1968,公寓,無,121.5145649,25.0620813436,6.22,19.09,5.58,103
F7河岸低公設美妝三房,1880,1880,華廈,無,121.509616439,25.0702869252,7.56,13.46,0,103
IZ9大龍峒超值機械車位,88,88,其他,私有,121.513033598,25.0740173002,0.4,,,103
FZ7大稻埕溫馨華廈美3房,2880,2880,華廈,無,121.50887312,25.0567175922,8.51,31.38,3.68,103
HZ8大橋頭邊間採光大空間,2700,2700,大樓,無,121.511036623,25.0689936933,8.44,28.66,5.99,103
FZ6旺族稀有庭院三房車,6388,6388,華廈,私有,121.512906403,25.0701153944,15.6,36.26,6.35,103
可塑三房低層樓捷運美寓,1599,1599,公寓,無,121.513030317,25.0677429741,5.26,16.33,5.14,103
大橋頭民權西學區店面,4600,4600,華廈,私有,121.516003092,25.0620447405,11.43,17.76,32.02,103
H7昌吉一邸願給家人最好,2272,2272,公寓,無,121.516654849,25.0657293053,11.12,28.09,2.03,103
BZ3大橋頭精品2房,1198,1198,大樓,無,121.511522502,25.0593198603,1.15,10.11,0,103
I10民權稀有起家厝傳家首選！,2198,2198,土地,無,121.515721,25.066161,11.49,,0,103
C6永田町邊間採光高樓景,5350,5350,大樓,私有,121.516385435,25.0550746771,4.6,27.19,3.16,103
大橋頭站超站S高樓後棟4房,8600,8600,大樓,私有,121.511693668,25.0632276334,7.44,49.24,5.96,103
H10雙子星北門捷運旺旺宅,5280,5280,大樓,私有,121.51143455,25.0521335199,8.22,43.59,5.04,103
F3民權捷運3房露台車,4800,4800,大樓,其他,121.5186331,25.0658193,9.24,33.67,9.19,103
殿廈高樓景觀四房車位,5188,5188,大樓,私有,121.514654679,25.0571675748,6.06,36.3,4.79,103
