objName,age
萬芳捷運方正3樓,41.6
康橋原味新婚小資成家首選,23.9
和風集面公園3房車,16.3
力行國小邊間2樓,42.7
萬芳再興庭院挑高客廳大一樓,43.3
敦南山林景觀別墅,33.7
敦南觀止雅緻雙車位,13.6
文湖線玫瑰美寓,47.6
台北市門牌小資溫馨小屋,30.9
萬隆2房2樓雅寓,47.7
萬隆捷運大戶美寓,48.3
萬隆捷運4號出口三房雅寓,45.8
涵碧園4房坡車露臺戶,17.8
北市近捷運林茵三房車位,29.3
河畔生活新婚首購宅,29.3
萬隆捷運商三土地,
景華靜巷邊間三房,42.2
文教區三面採光公寓3樓,50.2
萬隆捷運218巷公寓3房,46.9
文山名人奢華電梯別墅,18
隆德天下三房+車位,15.3
宏佳邊間電梯三房,47.8
萬隆捷運站商圈2樓,49.1
敦南觀止2房雙車,13.6
政大雙併明亮大四房雙車位,34.6
近未來捷運富山匯兩房車,1.8
O018靜心仙岩公園3房坡車,28
FZ7稀有萬芳捷運美妝三樓,46.9
試院路四巷美屋,32.4
太平洋干邑三房車位,11.8
富山滙新成屋2房車,1.8
靜心特區低總公寓,48.5
萬隆捷運精品美寓,43.8
太子大第景觀樓中樓豪邸,33.8
觀星台北雙併三房高樓,29.5
近世新與未來捷運收租金雞,45.6
東山高中旁林地,
近捷運萬芳醫院美公寓三樓,46.9
木柵路超值3+1美廈,11.6
低總價庭院一樓附車位,9.2
萬隆捷運保值收租屋,47.7
近中國科大公寓二樓免爬高收租屋,43.4
台大Jia坡機車位1,20.3
台大Jia坡機車位2,20.3
萬芳Villa綠景美居含坡車,21.2
和風集3房車,16.3
E5忠順高樓採光挑高三房,6.1
靜心邊間三樓,46.3
萬隆捷運商圈公寓,57.8
萬隆捷運黃金三樓,49.8
K6合法格套｜萬隆公館商圈,49.9
很大邊間靜心美寓,56.8
貓空小農平地,
近萬芳醫院高樓邊間兩房車,31.2
敦南山林 邊間花園別墅,33.7
文山台北大亨四房+平車,33.6
近未來捷運觀星台北三房車,29.5
木柵興隆路精緻挑高店面B,12.3
木柵興隆路精緻挑高店面A,12.3
山嵐映月河景大戶人生進階,11.4
南方莊園101美景,5.9
萬隆捷運都更潛力一樓,54.3
景美天際景觀露台車,6.2
景美捷運庭院一樓,46.6
華固SOHO坡坪車位,9.2
華固SOHO坡坪大車位,9.2
世新創業低總價店面,22.1
華固新天地SOHO車位,9.2
D226專約文山區土地,
木柵農地/依山傍水/寶地,
木柵農地/依山傍水/視野佳,
近環狀線南環段住二土地,
世界山莊車位(91個),28.8
木柵捷運高質感2房平車,16.3
指南宮風景區大透天,
敦南觀止景觀坡平雙車位,13.6
雨果文學館雙車位,16.9
超讚起家厝北市三房車位,16.3
T4169專未來捷運邊間正四房,35.7
文山唐莊星級質感四房,35.7
羅斯福路金店霸,20.3
景明街收租美寓,51.7
再興靜巷一樓,47.8
J11文山新商軸黃金店面,24.8
近靜心中小學精美三房車,12.3
南方莊園面公園四房車,5.9
【政大二期重劃區｜稀有・建地】,
A4175弗萊堡四房車,30.9
景華靜心建地,
萬隆獨棟2~4樓+車位,35.3
近景美捷運景美夜市傳家寶,30.5
D17近捷運大露台+坡平車位,29.3
捷運辛亥站三房附車,29.3
綠野山莊精美大兩房大車位,30.3
S1490考試院文教區採光戶,43.5
近貓纜站農地5238坪,
景美捷運旁電梯三房,35.4
近捷運都更潛力黃金三樓,54.3
D27世新試院路收租NO1,28.2
考試院採光三房,36.1
再興中學鼎加美寓,41.6
Y641台大新境三改兩房坡車,36.9
萬芳社區低總挑高美套,30.9
B3346近捷運萬芳鼎佳,44.1
政大葉綠素社區~雙主臥綠蔭景觀環繞好宅,17.8
專任萬隆捷運雙主臥美四房,44.3
木新方正大三房,41.8
【靜心首席．景華邊間3房】,18.5
萬芳社區渡假景觀三房,42.7
政大翡翠景觀樓中樓+車位,28.8
萬隆捷運收租穩定四套房,45.8
開璽富富2+1房車,7.4
政治大學地204坪景觀別墅,51.5
萬芳VILLA景觀三房,42.7
萬芳電梯3房,42.6
和風集臨公園三房附車,16.3
萬芳社區邊間樹海景觀屋,42.7
景美女中華廈三樓,34.7
景美捷運公寓,42.2
文山萬芳都更整合1+2樓大空間,43.7
敦南第一景兩房美庭院,31.3
觀星成家三房車位景觀美宅,29.5
近萬芳捷運再興四房美寓,40
文山好公寓,40.2
冠德微山丘大庭院戶,8
近未來環狀線亮麗三房,32.3
木柵世新景觀庭院透天,49.3
漂亮方正電梯四房,30.8
萬隆捷運高投報收租屋,45.8
學區房-光輝邊間鼎佳大戶,43.8
忠順街邊間店辦,41.7
萬芳捷運透天厝,45.9
興隆路萬芳捷運頂家美寓,46.5
正羅斯福路金店舖,35.8
小靜優選-萬芳醫院捷運方正採光三房鼎家寓,46.5
靜心10米巷住商辦,34.7
育英街近捷運裝潢美寓,57.8
【萬隆站｜正興隆路．低總三樓】,53.2
景美捷運500米4房車,18.3
【正面公園．三房雙車】,16.9
(專約)萬隆捷運前庭後院一樓,54.4
貓空指南段672坪茶園,
富山街超值屋,47.3
