objName,price,salePrice,style,parking,lon,lat,landArea,mainArea,affiliatedArea,zipCode
民生社區四房美廈,4960,4960,大樓,無,121.561925526,25.0590116001,4.81,42.38,6.87,105
J8南京巨蛋低公設純辦,1758,1758,大樓,無,121.558738745,25.0513328768,1.86,14.12,2.42,105
台北摩根後棟邊間原始2房,2360,2360,大樓,無,121.564962423,25.0515847505,1.64,12.51,1.03,105
D4近松山機場民權東兩房,2298,2298,大樓,抽籤,121.547682073,25.0616879134,5.09,20.54,0.93,105
驚喜價國際級夜市優質店面,6800,6800,大樓,無,121.576338151,25.0501962186,11.28,16.62,4.46,105
建築賞山河景觀樓中樓,6980,6980,大樓,私有,121.57061342,25.0501096892,7.64,44.07,3.65,105
BZ8台北摩根｜輕奢品味宅,1620,1620,大樓,無,121.564962423,25.0515847505,1.13,8.19,1.06,105
雙敦樹海電梯採光鼎佳,6060,6060,華廈,無,121.549262699,25.0453663629,8.23,36.94,4.64,105
B2地上權松山露台兩房戶,850,850,華廈,無,121.5689288,25.0520604,0,9.18,0.51,105
民生邊間大戶美廈,4960,4960,大樓,無,121.561925526,25.0590116001,4.81,42.38,6.87,105
民生社區林蔭頂佳,2180,2180,公寓,無,121.563947556,25.0627778756,7.02,25.63,2.92,105
民生社區高樓山景四房,4780,4780,大樓,無,121.562080301,25.0597338547,4.66,40.46,6.88,105
南京三民摩根稀有小宅,1620,1620,大樓,無,121.564962423,25.0515847505,1.13,8.19,1.06,105
松山新城樹景4房車,4988,4988,大樓,公有,121.553466368,25.0535511483,12.03,30.39,4.43,105
富春花園電梯3房,4188,4188,華廈,無,121.547465437,25.0596545791,7.65,35.47,5.59,105
復北民權商辦,36000,36000,大樓,私有,121.544767057,25.0624460546,46.93,296.94,,105
K5收租王｜南京三民3百米,2980,2980,大樓,無,121.567417699,25.0511074074,2.89,25.77,0.71,105
南京三民邊間4房+車位,4580,4580,華廈,私有,121.562620064,25.0499362938,7.56,32.78,4.31,105
K9合法隔套｜南京三民華廈,3280,3280,華廈,無,121.568982238,25.0524468578,7.22,28.12,4.39,105
南京三民挑高一樓,2700,2700,華廈,私有,121.565706537,25.0523739495,6.7,14.55,1.03,105
民生重劃區美妝一樓,6980,6980,華廈,無,121.545178756,25.0593927869,15.62,83.06,5.58,105
碧硯閣高樓三房+車位,5988,5988,大樓,私有,121.56522646,25.0564537737,5.06,23.97,2.82,105
F5民生社區稀有採光雅寓,2400,2400,公寓,無,121.568665406,25.0582723841,9.41,26.06,2.43,105
小巨蛋捷運美住辦,4780,4780,大樓,私有,121.556992211,25.0482319397,4.64,34.67,6.86,105
敦化介壽全新美裝潢四房+車位,4780,4780,大樓,私有,121.556992211,25.0482319397,4.64,34.67,6.86,105
民權三民邊間四房,2468,2468,公寓,無,121.567170403,25.063196222,10.15,23.14,3.04,105
南京三民一層一戶住辦,6580,6580,大樓,私有,121.569409998,25.0499124238,9.27,83.82,7.87,105
復北收租金店,4999,4999,大樓,無,121.544460311,25.056493773,5.1,20.99,3.78,105
雙敦近捷運電梯四房,5500,5500,大樓,無,121.553539151,25.0510020366,6.17,47.49,7.08,105
【復興站｜雙敦學區・微風咫尺】,2850,2850,大樓,無,121.545298494,25.0477835145,1.85,10.74,3.38,105
民生社區綠意朝南壹樓,3888,3888,公寓,無,121.562527994,25.0576863995,13.23,32.5,0,105
南京三民捷運民生社區店面,3180,3180,公寓,無,121.563985285,25.0573799753,9.87,22.42,3.38,105
敦化民生雷諾名廈坡車,5888,5888,華廈,私有,121.545322345,25.0574622475,7.61,36.64,4.67,105
A7翔譽101煙火景觀戶,1950,1950,大樓,無,121.574602098,25.0498449388,1.67,8.46,2.4,105
【敦化站｜雙敦學區．黃金三樓】,2488,2488,公寓,無,121.551255889,25.0451013153,9.07,21.46,2.3,105
松山機場旁敦北翠苑邊間三房車,5800,5800,大樓,私有,121.550379734,25.0556641317,13.41,26.46,4.28,105
BZ7松山捷運｜低總置產宅,1288,1288,大樓,無,121.577962086,25.0511146566,1.6,9.09,1.32,105
敦北映虹園電梯3房,3688,3688,華廈,無,121.549295719,25.0626853573,7.12,36.6,5.14,105
名人世界高樓４房,4780,4780,大樓,無,121.562080301,25.0597338547,4.66,40.46,6.88,105
民生社區好宅景觀戶,1768,1768,大樓,無,121.562348755,25.0590875754,1.36,12.29,1.09,105
中工碧硯閣三房車位,5380,5380,大樓,私有,121.564905172,25.0566643239,5.06,23.99,2.77,105
南京三民公寓3樓,2450,2450,公寓,無,121.559290457,25.0523156835,12.02,28.49,3.45,105
A7全新｜嘉磐101,2480,2480,大樓,無,121.573985213,25.0501350004,1.69,9.49,0.85,105
BZ7松山捷運｜擁財庫旺宅,1688,1688,大樓,無,121.577962086,25.0511146566,1.94,11.53,1.41,105
F13松山稀有4米2高樓成家,2380,2380,大樓,無,121.57503831,25.049842474,1.86,9.93,1.31,105
敦北小巨蛋三房美宅附車位,5800,5800,大樓,私有,121.550379734,25.0556641317,13.41,26.46,4.28,105
民生綠蔭電梯美三房,5680,5680,華廈,無,121.558138196,25.0590450558,9.26,31.29,6.92,105
中山國中站電梯三房,2980,2980,華廈,無,121.545998318,25.065073389,5.91,22.33,4.2,105
民生公園二樓,3075,3075,公寓,無,121.565351434,25.0600731889,10.9,28.68,2.32,105
D3雙敦璞真久石讓首席戶,9950,9950,大樓,私有,121.55461951,25.0514220826,7.5,51.38,5.74,105
D3雙敦璞真久石讓帝王雙併,21730,21730,大樓,私有,121.55461951,25.0514220826,16.43,114.76,10.49,105
D3雙敦璞真久石讓總裁戶,11780,11780,大樓,私有,121.554894349,25.0514287019,8.93,63.38,4.75,105
小巨蛋雙敦雙車帷幕商辦,8900,8900,華廈,私有,121.553605741,25.0466635656,24.36,52.09,24.9,105
中山國中捷運超實用大空間七樓,3488,3488,華廈,無,121.547156562,25.0641772531,7.86,31.9,4.29,105
大面寬邊間稀有2樓釋出,2888,2888,公寓,無,121.546492214,25.0643039483,19.74,46.05,0,105
民生社區大戶美寓,4980,4980,公寓,無,121.551548211,25.0588305563,21.8,52.73,4.89,105
驚喜價｜敦北金融特區住辦,15134,15134,大樓,無,121.549619688,25.0583779534,20.15,110.83,8.26,105
南京三民樓中樓鼎佳附車,7200,7200,華廈,私有,121.564403308,25.0500518976,9.96,32.59,5.16,105
小巨蛋站雙敦學區｜敦北園中園,5680,5680,大樓,私有,121.553052167397,25.0500078505513,4.85,30.66,4.06,105
民權電梯華廈大空間,2380,2380,華廈,無,121.546951581,25.059778915,2.66,12.21,2.14,105
復北興安亮麗店辦,4900,4900,大樓,無,121.544460311,25.056493773,5.1,20.99,3.78,105
世田介精裝高樓,7380,7380,大樓,私有,121.54802447,25.0461177982,7.56,24.04,2.83,105
國泰敦化名門頂家,3888,3888,公寓,無,121.552527322,25.0449075183,10.13,30.83,4.04,105
南京三民芝蘭名廈三房,3888,3888,華廈,無,121.558556635,25.0526920524,7.08,32.42,5.46,105
雙敦南林蔭景觀大戶,7668,7668,大樓,無,121.549258856,25.0457778095,8.51,50.96,4.31,105
光北京華二樓,6880,6880,大樓,無,121.558051502,25.0486858598,11.29,54.13,9.53,105
松山精華地段|高樓層辦公,3680,3680,華廈,無,121.561976566,25.0512469519,5.54,40.99,3,105
