物件編號,物件名稱,地址,格局,坪數,樓層,屋齡,類型,價格
WS71094,JZ8林森南京整層商辦,中山區林森北路,1房(室)2廳1衛,44坪,6/12樓,37年,住宅,26萬
WS71867,B9中山陽光小資美宅,中山區林森北路,1房(室)--廳1衛,68坪,5/5樓,63年,住宅,58萬
WS72022,316長春基泰絕版4米5,中山區長春路,3房(室)1廳1衛,94坪,4/10樓,88年,辦公,81萬
WS72047,南京復興七年挑高面公園宅,中山區合江街,開放式,118坪,11/11樓,112年,住宅,106萬
YS180183,辦公大樓獨立產權車位,中山區民生東路一段,--房(室)--廳--衛,95坪,7/12樓,138年,車位,131萬
ZS180323,H9榮星花園方正公寓,中山區五常街,4房(室)2廳2衛,168坪,4/5樓,162年,住宅,81萬
WS71277,DZ2中山國小2房含陽台明火廚房,中山區新生北路三段,2房(室)2廳1衛,191坪,3/11樓,186年,住宅,181萬
WS46565,BZ5中山國小捷運約5分鐘,中山區農安街,1房(室)1廳1衛,213坪,5/10樓,207年,住宅,203萬
WS67294,中山區車位,中山區德惠街,車位,235坪,B2/12樓,229年,車位,225萬
WS71068,松江南京庭院一樓,中山區松江路,2房(室)2廳1衛,255坪,1/5樓,250年,住宅,246萬
WS71203,A8忠泰繪低奢新寓所,中山區德惠街,1房(室)1廳1衛,43坪,8/13樓,36年,住宅,26萬
WS71127,佳元松江捷運兩房,中山區松江路,2房(室)1廳1衛,72坪,4/10樓,66年,住宅,59萬
WS60945,BZ9晶華商圈低總首選,中山區新生北路二段,1房(室)1廳1衛,97坪,9/12樓,91年,住宅,86萬
WS51241,BZ9獨家北市低總小金雞,中山區新生北路二段,1房(室)--廳1衛,114坪,9/12樓,91年,住宅,109萬
WS43420,BZ8中山國小捷運美妝收租寶,中山區林森北路,1房(室)1廳1衛,134坪,4/12樓,128年,住商,124萬
YS180829,新生公園景觀三樓,中山區民族東路,3房(室)2廳1衛,158坪,3/3樓,151年,住宅,145萬
WS70446,D2雙連捷運電梯兩房,中山區民生東路一段,2房(室)1廳1衛,178坪,11/12樓,173年,住宅,169萬
WS33390,基泰高更景觀大戶+車位,中山區長春路,5室3廳4衛,203坪,10/10樓,197年,辦公,191萬
ZS190283,JZ2吉林路邊間金店面,中山區吉林路,--房(室)--廳1衛,228坪,-1-1/7樓,222年,店面,215萬
ZS190280,JZ2吉林路面寬金店面II,中山區吉林路,--房(室)--廳1衛,244坪,B1-1/7樓,222年,店面,215萬
ZS183037,H8樓中樓基泰高更美景,中山區長春路,4房(室)4廳4衛,44坪,10/10樓,36年,住宅,26萬
ZS183102,基泰高更大四房車位豪邸,中山區長春路,4室/2廳/4衛,44坪,10/10樓,36年,住宅,26萬
CS168454,行天宮捷運5+6收租公寓套房,中山區松江路,特殊格局,87坪,5-6/6樓,81年,住宅,72萬
ZS190287,JZ2吉林路面寬金店面,中山區吉林路,--房(室)--廳1衛,114坪,B1-1/7樓,108年,店面,100萬
ZS190284,JZ2吉林路金店面,中山區吉林路,--房(室)--廳1衛,131坪,-1-1/7樓,108年,店面,100萬
WS54751,GZ9專中山景觀露台美妝樓中樓,中山區林森北路,4房(室)2廳3衛,154坪,13-14/14樓,148年,住宅,141萬
WS60790,B4中山國小站低總美屋,中山區新生北路二段,1房(室)--廳1衛,176坪,4/14樓,171年,住宅,166萬
WS70526,D8松江金棧美妝兩房,中山區松江路,2房(室)1廳1衛,196坪,3/6樓,191年,住宅,187萬
WS70601,捷運舒適美妝宅,中山區德惠街,2房(室)2廳2衛,217坪,6/11樓,211年,住宅,206萬
WS69557,D5晴光商圈典雅邊間2室,中山區農安街,2房(室)2廳2衛,239坪,5/10樓,233年,住商,228萬
WS70374,F2長安學區美妝邊間三房,中山區長安東路一段,3房(室)2廳1衛,45坪,5/7樓,38年,住宅,26萬
WS70438,D1公園綠景小資宅,中山區新生北路二段,3房(室)1廳1衛,69坪,3/4樓,64年,住宅,57萬
WS70723,忠孝新生SC六房景觀戶,中山區八德路二段,6房(室)2廳3衛,95坪,16/20樓,89年,住宅,81萬
ZS184265,民生合江機械車位,中山區合江街,--房(室)--廳--衛,121坪,B2/7樓,115年,車位,108萬
WS46931,低總價高投報車位,中山區新生北路二段,車位,141坪,B3/12樓,136年,車位,132萬
WS63448,B4中山國小低總質感宅1,中山區新生北路二段,開放式,160坪,7/14樓,155年,住宅,151萬
QS45739,專任哈林-新生北採光套房,中山區新生北路一段,1房(室)1廳1衛,182坪,11/12樓,176年,住宅,171萬
WS58388,BZ1地段強勢首購置產神物,中山區林森北路,1房(室)1廳1衛,201坪,11/12樓,196年,住宅,193萬
ZS181658,大直北安學區美華廈,中山區通北街,3房(室)2廳2衛,226坪,6/9樓,219年,住宅,213萬
ZS184507,花博公園挑高樓中樓,中山區新生北路三段,4房(室)2廳2衛,251坪,7-8/10樓,245年,住宅,238萬
WS70190,BZ1專國際有約低總明亮成家宅,中山區林森北路,1房(室)1廳1衛,43坪,4/15樓,36年,住宅,26萬
WS51921,農安方正住辦,中山區農安街,1廳1衛,75坪,6/10樓,68年,住商,60萬
WS68830,BZ8專任中山稀有陽光美套,中山區新生北路二段,1房(室)1廳1衛,100坪,7/8樓,94年,住宅,89萬
ZS188110,BZ8雙語學區設籍收租寶,中山區林森北路,1房(室)1廳1衛,121坪,7/8樓,115年,住宅,113萬
WS54453,華山雙捷運小資首選,中山區長安東路一段,OPEN/1衛,144坪,5/7樓,137年,住宅,132萬
WS29878,國美華爾道夫稀有邊間,中山區長春路,3房(室)2廳2衛,170坪,5/14樓,164年,住宅,158萬
QS24954,合江街金店面1F門口可停車,中山區合江街,4房(室)1廳1衛,196坪,1/4樓,189年,住宅,182萬
ZS183751,H10長虹獨棟面公園大戶,中山區北安路,4房(室)2廳3衛,219坪,6/14樓,213年,住宅,209萬
WS49877,松江御苑名邸（一）,中山區建國北路二段,3房(室)2廳2衛,242坪,4/15樓,235年,住宅,232萬
ZS187879,捷運民權西路站電梯兩房,中山區撫順街,2房(室)1廳1衛,264坪,5/8樓,115年,住宅,254萬
YS180844,揚昇松江苑金仕曼好邸,中山區松江路,3房(室)2廳3衛,46坪,6/14樓,38年,住宅,26萬
WS43024,JZ9中山北力霸黃金店辦,中山區中山北路二段,4房(室)2廳1衛,65坪,1-2/11樓,72年,店面,61萬
ZS185660,龍江八德金店辦,中山區龍江路,1房(室)2廳1衛,106坪,1/9樓,98年,店面,91萬
WS46961,捷運松江南京共構美宅,中山區南京東路二段,1房(室)1廳1衛,131坪,6/18樓,124年,住宅,119萬
WS50438,F2長安學區精美電梯三房,中山區長安東路一段,3房(室)2廳1衛,154坪,6/7樓,148年,住宅,143萬
WS48008,華山置產收租雙套房,中山區新生北路一段,2房(室)2廳2衛,175坪,7/7樓,169年,住宅,165萬
MS144245,富富話合精裝兩房平車,中山區中山北路二段,2房(室)2廳2衛,198坪,2/12樓,192年,住宅,188萬
WS44350,雙捷運小資典雅2室,中山區林森北路,2室/1廳/1衛,224坪,2/5樓,218年,住宅,212萬
WS50256,DZ7行天宮捷運｜兩房兩衛,中山區合江街,2房(室)2廳2衛,246坪,3/7樓,240年,住宅,236萬
WS56898,C4獨家榮星絕版4米2採光精品,中山區龍江路,2房(室)1廳1衛,268坪,4/7樓,262年,住宅,258萬
WS51947,松江南京匯泰鴻3房車,中山區建國北路二段,3房(室)2廳2衛,45坪,13/13樓,37年,住宅,26萬
WS55366,D7長安學區收租至尊寶,中山區新生北路一段,2房(室)--廳2衛,74坪,7/7樓,67年,住宅,60萬
WS51343,EZ7市中心全新挑高制震宅,中山區建國北路二段,1房(室)1廳2衛,45坪,13/13樓,37年,住宅,26萬
WS55668,行天宮捷運稀有電梯3房華廈,中山區吉林路,3房(室)2廳2衛,110坪,4/5樓,103年,住宅,98萬
WS57301,AZ1松江南京｜頂客共構宅,中山區南京東路二段,1房(室)1廳1衛,134坪,6/18樓,128年,住宅,122萬
WS55719,CZ9匯泰鴻全新景觀兩房車,中山區建國北路二段,2房(室)2廳1衛,151坪,11/13樓,37年,住宅,145萬
WS47279,大馬路邊低總店面(三),中山區吉林路,開放式,173坪,B1-1/7樓,167年,店面,162萬
WS60034,B4翡翠邊間景觀美屋,中山區新生北路二段,1房(室)1廳1衛,194坪,4/17樓,188年,住宅,184萬
WS64994,松江南京都更2房,中山區南京東路二段,2房(室)2廳2衛,217坪,3/4樓,211年,住宅,206萬
YS192955,大直捷運站前美裝大三房,中山區北安路,3房(室)1廳2衛,242坪,2/7樓,235年,住宅,230萬
WS63467,B4中山國小低總套房II,中山區新生北路二段,開放式,42坪,9/14樓,35年,住宅,26萬
WS63524,B4中山國小低總質感宅3,中山區新生北路二段,開放式,58坪,12/14樓,35年,住宅,54萬
WS63562,B4中山國小低總質感宅7,中山區新生北路二段,--房(室)--廳--衛,42坪,5/14樓,35年,住宅,26萬
WS63556,B4中山國小低總質感宅6,中山區新生北路二段,開放式,77坪,14/14樓,35年,住宅,74萬
WS65890,IZ9基泰之星平面車位A,中山區農安街,車位,98坪,-2/14樓,93年,車位,87萬
WS65882,IZ9基泰之星平面車位AB,中山區農安街,車位,109坪,-2/14樓,93年,車位,106萬
WS67735,BZ9晶華商圈小資宅,中山區新生北路二段,開放式,126坪,10/12樓,121年,住宅,118萬
