物件編號,物件名稱,地址,格局,坪數,樓層,屋齡,類型,價格
WS71446,靜巷美妝電梯3房附車位,中正區寧波西街,3房(室)1廳2衛,46坪,5/5樓,38年,住宅,26萬
YS197583,古亭捷運電梯高樓美套房,中正區重慶南路三段,開放式格局,74坪,10/12樓,68年,獨立套房,59萬
WS71468,FZ7螢橋學區陽光三房美寓,中正區泉州街,3房(室)2廳2衛,89坪,3/4樓,94年,住宅,87萬
YS197428,中正國中可隔2房捷運宅,中正區羅斯福路二段,1房(室)2廳1衛,119坪,8/12樓,114年,住宅,109萬
WS19612,J11雙子星北車站前金店面,中正區開封街一段,開放式,145坪,1/12樓,139年,店面,133萬
WS70519,巨流河景觀精緻2房,中正區水源路,2房(室)2廳2衛,168坪,2/15樓,162年,住宅,156萬
YS162499,重慶南路汀洲路口三角窗店,中正區重慶南路三段,--房(室)3廳1衛,191坪,B1-1/12樓,184年,住宅,180萬
WS70597,❤大安森林公園透天金店,中正區新生南路一段,OPEN,204坪,1-3/3樓,208年,店面,202萬
WS50624,JZ9古亭中正大觀店辦首選,中正區南昌路一段,1房(室)1廳1衛,234坪,2/18樓,220年,辦公,223萬
WS60576,植物園全新二房車,中正區南海路,2房(室)2廳1衛,258坪,3/7樓,252年,住宅,247萬
WS60577,中正捷運古亭美裝三室管理,中正區羅斯福路二段,3室2廳2衛,44坪,3/12樓,36年,住宅,26萬
WS70108,JZ5忠孝新生陽台大套辦3,中正區金山北路,開放式,73坪,4/14樓,67年,住商,59萬
WS69950,JZ5忠孝新生陽台大套辦1,中正區金山北路,開放式,73坪,4/14樓,67年,辦公,59萬
WS70106,JZ5忠孝新生陽台大套辦2,中正區金山北路,開放式,73坪,4/14樓,67年,住商,59萬
ZS134732,華山高樓美景住辦,中正區杭州南路一段,3室2廳2衛(含加蓋2室1廳2衛),112坪,11/11樓,106年,住商,101萬
WS41472,FZ9台電大樓溫馨三房美屋,中正區羅斯福路三段,3房(室)2廳2衛,137坪,9/12樓,131年,住宅,126萬
WS40369,台電捷運電梯管理可改三房,中正區羅斯福路三段,2房2廳2衛1室,151坪,9/12樓,131年,住宅,126萬
WS56910,BZ4中正紀念堂學區美宅,中正區羅斯福路一段,1房(室)1廳1衛,174坪,6/12樓,168年,住宅,162萬
ZS187224,JZ8北車低總精緻美辦,中正區重慶南路一段,1房(室)1廳--衛,197坪,8/8樓,191年,辦公,186萬
WS70638,臨沂靜巷邊間豪邸,中正區臨沂街,4房(室)2廳3衛,221坪,4/9樓,216年,住宅,209萬
WS60506,中正靜巷獨戶採光美寓,中正區泉州街,3房(室)2廳2衛,44坪,3/5樓,37年,住宅,26萬
WS60482,C7植物園全新電梯兩房車,中正區南海路,2房(室)2廳1衛,74坪,4/7樓,67年,住宅,58萬
WS60472,C7植物園全新兩房車3F,中正區南海路,2房(室)2廳1衛,74坪,3/7樓,67年,住宅,58萬
WS60581,全新南海1號苑兩房車,中正區南海路,2房(室)2廳1衛,74坪,4/7樓,67年,住宅,58萬
YS191766,Y264晏京核心高樓景觀名邸,中正區汀州路二段,3房(室)2廳2衛,115坪,14/19樓,108年,住宅,102萬
YS193220,仁愛石材豪邸閱狷聲-中正學區,中正區仁愛路二段,1房(室)3廳2衛,139坪,2/14樓,132年,住宅,127萬
ZS166685,中正低總價靜巷公寓,中正區重慶南路三段,3房(室)2廳1衛,163坪,4/4樓,156年,住宅,152萬
WS70711,中正區水岫社區車位,中正區重慶南路三段,車位,25坪,1/15樓,12年,車位,175萬
YS189560,中正雙公園大戶人家,中正區中華路二段,5房3廳3衛3室(含加1房1廳1衛3室,206坪,7/7樓,200年,住宅,196萬
WS60462,C7植物園全新兩房車2F,中正區南海路,2房(室)2廳1衛,74坪,2/7樓,67年,住宅,215萬
WS60570,全新植物園兩房車,中正區南海路,2房(室)2廳1衛,46坪,2/7樓,38年,住宅,26萬
WS69270,&專!仁愛新生三房車,中正區仁愛路二段,3房(室)2廳1衛,72坪,5/12樓,67年,住宅,60萬
WS70334,台大首排．大師級SC鋼骨地標,中正區羅斯福路四段,1房(室)1廳1衛,95坪,11/13樓,90年,住宅,83萬
WS27815,展宜仁愛•三房車位,中正區仁愛路二段,3房(室)1廳1衛,116坪,1/7樓,111年,住宅,107萬
