物件名稱,路段,行政區_中山區,行政區_中正區,行政區_信義區,行政區_內湖區,行政區_北投區,行政區_南港區,行政區_士林區,行政區_大同區,行政區_大安區,行政區_文山區,行政區_松山區,行政區_萬華區,建坪,車位,房,廳,衛,室,有加蓋,總樓層,起始樓層,最高樓層,物件涵蓋層數,房屋類型_公寓,房屋類型_大樓,房屋類型_套房,房屋類型_華廈,房屋類型_透天
靜巷美妝電梯3房附車位,寧波西街,0,1,0,0,0,0,0,0,0,0,0,0,46.0,1,3.0,1.0,2.0,3.0,0,5,5.0,5.0,1.0,0,1,0,0,0
古亭捷運電梯高樓美套房,重慶南路三段,0,1,0,0,0,0,0,0,0,0,0,0,74.0,0,,,,,0,12,10.0,10.0,1.0,0,0,1,0,0
FZ7螢橋學區陽光三房美寓,泉州街,0,1,0,0,0,0,0,0,0,0,0,0,89.0,0,3.0,2.0,2.0,3.0,0,4,3.0,3.0,1.0,0,1,0,0,0
中正國中可隔2房捷運宅,羅斯福路二段,0,1,0,0,0,0,0,0,0,0,0,0,119.0,0,1.0,2.0,1.0,1.0,0,12,8.0,8.0,1.0,0,1,0,0,0
J11雙子星北車站前金店面,開封街一段,0,1,0,0,0,0,0,0,0,0,0,0,145.0,0,,,,,0,12,1.0,1.0,1.0,0,0,0,0,0
巨流河景觀精緻2房,水源路,0,1,0,0,0,0,0,0,0,0,0,0,168.0,0,2.0,2.0,2.0,2.0,0,15,2.0,2.0,1.0,0,1,0,0,0
重慶南路汀洲路口三角窗店,重慶南路三段,0,1,0,0,0,0,0,0,0,0,0,0,191.0,0,,3.0,1.0,,0,12,-1.0,1.0,3.0,0,1,0,0,0
❤大安森林公園透天金店,新生南路一段,0,1,0,0,0,0,0,0,0,0,0,0,204.0,0,,,,,0,3,1.0,3.0,3.0,0,0,0,0,1
JZ9古亭中正大觀店辦首選,南昌路一段,0,1,0,0,0,0,0,0,0,0,0,0,234.0,0,1.0,1.0,1.0,1.0,0,18,2.0,2.0,1.0,0,0,0,0,0
植物園全新二房車,南海路,0,1,0,0,0,0,0,0,0,0,0,0,258.0,0,2.0,2.0,1.0,2.0,0,7,3.0,3.0,1.0,0,1,0,0,0
中正捷運古亭美裝三室管理,羅斯福路二段,0,1,0,0,0,0,0,0,0,0,0,0,44.0,0,,2.0,2.0,,0,12,3.0,3.0,1.0,0,1,0,0,0
JZ5忠孝新生陽台大套辦3,金山北路,0,1,0,0,0,0,0,0,0,0,0,0,73.0,0,,,,,0,14,4.0,4.0,1.0,0,0,0,0,0
JZ5忠孝新生陽台大套辦1,金山北路,0,1,0,0,0,0,0,0,0,0,0,0,73.0,0,,,,,0,14,4.0,4.0,1.0,0,0,0,0,0
