物件編號,物件名稱,地址,格局,坪數,樓層,屋齡,類型,價格
WS52060,光南靜巷高樓美2房,信義區基隆路一段,2房(室)2廳2衛,44坪,10/12樓,36年,住商,26萬
WS03753,I1金寧鄉置產土地4,金寧鄉寧湖二劃測段,27,27坪,27/27樓,27年,土地,59萬
WS71328,永春四季台北邊間美邸,信義區忠孝東路五段,1房(室)2廳2衛,92坪,3/9樓,87年,住宅,77萬
WS71486,國館精裝美三室,信義區光復南路,3室2廳2衛,114坪,3/12樓,109年,住宅,105萬
WS69922,Y39捷運*101景觀頂佳,信義區吳興街,4房(室)3廳2衛,139坪,5/5樓,134年,住宅,127萬
WS70413,FZ9信義區｜北醫商圈三房,信義區吳興街,3房(室)2廳2衛,162坪,4/5樓,156年,住宅,152萬
WS60716,大統領辦公坡道機械車位,信義區基隆路二段,車位,176坪,B3/17樓,180年,車位,174萬
WS48556,信義四四東村三房,信義區吳興街,3房(室)2廳2衛,209坪,6/13樓,203年,住宅,198萬
WS51765,國際名紳高樓4房坡車,信義區松德路,4房(室)2廳3衛,234坪,14/24樓,228年,住宅,222萬
WS61146,信義挑高庭院一樓,信義區吳興街,4房(室)2廳2衛,256坪,1/11樓,251年,住宅,246萬
WS53330,信義101帝景樓中樓,信義區吳興街,5室3廳3衛,42坪,10/11樓,35年,住宅,26萬
WS41226,【六張犁｜信義區一樓・好停車】,信義區富陽街,3房(室)2廳2衛,59坪,1/4樓,65年,住宅,57萬
WS41994,&信義上林苑電梯豪墅,信義區青雲街,4房5廳7衛3室,93坪,1-3/3樓,88年,住宅,81萬
WS42239,松仁莊敬美居,信義區莊敬路,3房(室)2廳2衛,115坪,3/4樓,109年,住宅,106萬
WS68364,富比世稀有車位,信義區松仁路,--房(室)--廳--衛,139坪,B3/16樓,135年,車位,128萬
OS221629,089面公園近捷運方正美寓,信義區松信路,4房(室)2廳2衛,162坪,4/5樓,156年,住宅,150萬
WS70060,信義區稀有可建農舍農地/合法申,信義區和平東路三段,19,19坪,19/19樓,19年,土地,175萬
WS49710,世貿101景觀質感商辦,信義區信義路四段,19室3廳,205坪,14/14樓,199年,辦公,193萬
WS59668,太陽磁場4房坡車,信義區信義路六段,4房(室)2廳2衛,224坪,2/16樓,219年,住宅,215萬
ZS168203,❤市府捷運大雅寓,信義區永吉路,4房(室)2廳2衛,246坪,4/5樓,240年,住宅,237萬
OS217430,南投縣-土地,南投市包尾段,19,19坪,0/0樓,19年,土地,26萬
WS63538,101無敵美景 信義路三房車,信義區信義路五段,3房(室)2廳2衛,64坪,16/16樓,58年,住宅,50萬
WS70206,EZ9忠孝界｜複合式兩房,信義區中坡南路,2房(室)1廳1衛,90坪,1/7樓,84年,住宅,76萬
WS70204,EZ9忠孝界｜4米獨享庭院,信義區中坡南路,3房(室)3廳3衛,104坪,1/7樓,84年,住宅,100萬
WS70341,EZ9忠孝界｜挑高兩房車,信義區中坡南路,1房(室)1廳1衛,121坪,1/7樓,84年,住宅,114萬
QS24031,H6127 太子東宮邊間2樓,信義區松山路,2房(室)2廳2衛,146坪,2/15樓,140年,住商,25萬
WS35059,計畫區永富信義名邸II,信義區松勤街,3房(室)2廳3衛,169坪,2/7樓,163年,住宅,159萬
WS35714,麟光商圈捷運旁一樓大空間,信義區和平東路三段,3房(室)2廳1衛,196坪,1/4樓,188年,住宅,182萬
WS39515,市府捷運一樓住辦,信義區松隆路,3房(室)2廳2衛,217坪,1/7樓,211年,住商,208萬
WS42375,EZ8-101景觀露臺戶三房,信義區吳興街,3房(室)2廳2衛,240坪,9/10樓,234年,住宅,229萬
WS52020,基泰國際面中庭靜幽美邸,信義區基隆路二段,3室2廳2衛,44坪,2/15樓,36年,住商,26萬
WS53910,世貿101景觀附坡車,信義區莊敬路,3室2廳2.5衛,73坪,5/9樓,67年,住宅,59萬
WS61001,市府挑高庭院1+1品味宅,信義區永吉路,1+1房1廳1衛,98坪,1/8樓,92年,住宅,85萬
WS31389,信義捷運管理電梯三房,信義區基隆路二段,3室2廳2衛,117坪,5/12樓,112年,住宅,109萬
WS59891,財經世紀辦公大樓,信義區基隆路二段,OPEN,139坪,7/12樓,133年,辦公,128萬
WS56868,FZ9北醫商圈｜三房美寓,信義區吳興街,3房(室)2廳2衛,162坪,4/5樓,156年,住宅,150萬
WS69709,六張犁低總次高樓電梯美屋,信義區崇德街,1廳1衛,182坪,6/7樓,178年,住宅,173萬
WS69466,$101永春捷運3房,信義區忠孝東路五段,3房(室)2廳2衛,203坪,3/7樓,198年,住宅,194萬
WS69394,稀有信義國寶庭園樓中樓,信義區松平路,5房(室)3廳4衛,224坪,1/8樓,219年,住宅,213萬
ZS197217,101景觀鼎佳美寓,信義區信義路五段,5房(室)3廳3衛,249坪,5-6/5樓,241年,住宅,236萬
WS58765,富陽四季美寓,信義區富陽街,3房(室)2廳2衛,45坪,2/4樓,37年,住宅,26萬
WS56445,富陽美妝公寓二樓,信義區富陽街,3房(室)2廳2衛,45坪,2/4樓,37年,住宅,26萬
WS56392,富陽新裝潢邊間三房,信義區富陽街,3房(室)2廳2衛,45坪,2/4樓,37年,住宅,26萬
WS62712,市府晶華美2房,信義區永吉路,2房(室)1廳1衛,93坪,4/7樓,87年,住宅,80萬
WS35041,計畫區永富信義雙璽臻邸,信義區松勤街,6房(室)4廳6衛,118坪,2/7樓,112年,住宅,105萬
WS35050,計畫區永富信義名邸I,信義區松勤街,3房(室)2廳3衛,135坪,2/7樓,112年,住宅,128萬
WS64402,文普世紀天廈小型純辦,信義區基隆路二段,--房(室)1廳--衛,158坪,5/21樓,153年,辦公,145萬
WS45173,K4收租王｜北醫合法隔套,信義區吳興街,7房(室)4廳4衛,181坪,1/5樓,175年,住宅,169萬
WS44834,【麟光站｜近文湖線・三面採光】,信義區和平東路三段,4房(室)2廳2衛,202坪,3/5樓,197年,住宅,192萬
WS62111,【北醫｜吳興街・庭院一樓】,信義區吳興街,3房(室)2廳2衛,218坪,1/5樓,214年,住宅,212萬
WS58653,信義區SRC純辦獨戶雙坡車,信義區永吉路,8室1廳,42坪,2/14樓,35年,辦公,26萬
WS52808,AZ9新川普精緻美屋坡平車,信義區信義路五段,1房(室)1廳1衛,69坪,2/19樓,63年,住宅,56萬
WS62605,台北京華商辦,信義區基隆路一段,4室2廳3衛,92坪,9/12樓,87年,辦公,81萬
WS68889,莊敬漂亮黃金三樓,信義區莊敬路,3房(室)2廳1衛,115坪,3/4樓,110年,住宅,102萬
WS58893,瑞雲景觀美邸,信義區瑞雲街,2房(室)2廳1衛,135坪,4/4樓,130年,住宅,126萬
ZS150743,信義國中美寓鼎佳,信義區莊敬路,3房2廳1衛另加蓋3房2廳1衛,153坪,4/4樓,148年,住宅,145萬
ZS160598,&台北信義層峰豪邸,信義區松勇路,2房3廳2衛2室,174坪,20/22樓,169年,住宅,163萬
WS23644,上林苑私家花園別墅,信義區青雲街,6房4廳5衛5室,195坪,B1-3/3樓,191年,住宅,185萬
WS23487,上林苑景觀別墅,信義區青雲街,6房3廳6衛2室,213坪,1-3/3樓,209年,住宅,205萬
WS23234,【市政府站｜忠孝東路・商三特】,信義區忠孝東路五段,3房(室)3廳3衛,233坪,4/4樓,227年,住宅,223萬
WS35051,廣慈公寓都更進行中,信義區忠孝東路五段,3房(室)2廳1衛,44坪,2/4樓,37年,住宅,26萬
WS38396,【永春站｜近計畫區・店面辦公】,信義區忠孝東路五段,4房(室)3廳4衛,70坪,1/7樓,65年,住宅,58萬
WS45862,世貿台北101景觀住辦,信義區信義路四段,2室2廳2衛1陽台,97坪,10/11樓,92年,辦公,83萬
WS46480,&信義庭院大戶雙坡車,信義區松智路,3房(室)2廳2衛,116坪,1/7樓,111年,住宅,107萬
WS54901,上林苑別墅,信義區青雲街,4房(室)3廳4衛,140坪,1-3/3樓,134年,住宅,128萬
WS56858,&專任世貿101景觀美妝,信義區信安街,3房(室)2廳2衛,158坪,4/7樓,153年,住宅,150萬
WS59221,B7車位賣Yes世貿社區,信義區信義路五段,車位,25坪,-4/14樓,177年,車位,170萬
OS214841,頭份國中正對面 中央段都市住宅地,頭份市中央段,25,25坪,0/0樓,25年,土地,191萬
ZS197688,北醫電梯大戶平車,信義區吳興街,8房(室)2廳3衛,134坪,2/6樓,214年,車位,208萬
WS68530,信義計畫馬可波羅花園五房,信義區松德路,5房(室)2廳3衛,240坪,2/13樓,10年,住宅,230萬
WS67961,信義計畫區豪宅松雍13A,信義區松勇路,OPEN,44坪,13/16樓,36年,住宅,26萬
WS67965,信義計畫區豪宅松雍13B,信義區松勇路,OPEN,44坪,13/16樓,36年,住宅,57萬
WS67971,信義計畫區豪宅松雍4B,信義區松勇路,OPEN,75坪,4/16樓,36年,住宅,71萬
WS67970,信義計畫區豪宅松雍4A,信義區松勇路,OPEN,44坪,4/16樓,36年,住宅,84萬
YS192815,富陽街公寓二樓,信義區富陽街,3房(室)2廳1衛,110坪,2/5樓,104年,住宅,96萬
WS59477,青山綠境買地送屋,信義區吳興段二小段,27,129坪,1-2/2樓,27年,土地,121萬
ZS197863,信義山林養生透天,信義區,4房(室)3廳2.5衛,27坪,27/27樓,27年,土地,121萬
YS192833,吳興街商圈四房美寓,信義區松仁路,4房(室)2廳2衛,169坪,4/5樓,163年,住宅,159萬
WS63657,信義商三收租角地,信義區三興段一小段,27,27坪,27/27樓,27年,土地,181萬
WS58884,市府國品電梯三房,信義區基隆路一段,3房(室)2廳2衛,210坪,3/7樓,205年,住宅,198萬
WS54226,FZ7國館優質3房頂家,信義區光復南路,3房(室)2廳1衛,43坪,5/5樓,36年,住宅,26萬
WS63860,信義計畫太平洋凱旋,信義區松平路,4房(室)2廳4.5衛,73坪,2-3/10樓,67年,住宅,57萬
QS38107,O15和平東路黎富公園一樓,信義區和平東路三段,2房(室)2廳1衛,98坪,1/4樓,92年,住宅,86萬
WS66553,稀有信義區一樓前院車庫宅,信義區信安街,3房(室)2廳2衛,119坪,1/4樓,114年,住宅,110萬
WS64266,永春永吉靜巷美寓,信義區永吉路,2房(室)2廳1衛,140坪,3/5樓,135年,住宅,131萬
WS62153,麟光捷運邊間壹樓,信義區和平東路三段,3房(室)2廳2衛,159坪,B1-1/5樓,155年,辦公,151萬
WS61825,101世貿兩室+車位,信義區基隆路二段,2室2廳1衛,182坪,7/12樓,178年,住商,170萬
WS64149,貴婦百貨景觀戶,信義區忠孝東路五段,1房(室)2廳2衛,205坪,11/13樓,200年,住宅,194萬
WS64620,【世貿新城．綠意盎然】,信義區松智路,2房(室)2廳2衛,172坪,3/13樓,219年,住宅,215萬
WS67214,FZ6福德邊間採光三樓,信義區福德街,3房(室)2廳1衛,242坪,3/5樓,237年,住宅,234萬
WS66155,冠德領袖綠景雙車位,信義區松勇路,5房(室)2廳2衛,9坪,4/18樓,36年,住宅,26萬
WS66741,信義區一樓庭院大宅,信義區信義路六段,3房(室)2廳2衛,70坪,1/5樓,65年,住宅,57萬
WS63106,東騰信義質感幽靜山居美邸,信義區吳興街,3房(室)2廳2衛,92坪,8/9樓,87年,住宅,81萬
OS216637,宜蘭市美農，大面大坪數,宜蘭市宜福段,25,25坪,0/0樓,25年,土地,103萬
ZS199143,象山保護區土地,信義區吳興段三小段0142-00,25,25坪,25/25樓,25年,土地,120萬
ZS131212,國館電梯永馨精品,信義區光復南路,開放式,149坪,3/12樓,144年,辦公,137萬
ZS191579,信義區-富陽街建地,信義區富陽街,25,25坪,25/25樓,25年,土地,160萬
OS207042,信義區黃金建地,信義區永春段三小段,25,25坪,0/0樓,25年,土地,175萬
WS65934,國際名紳2房2衛坡平車,信義區松德路,2房(室)2廳2衛,201坪,2/24樓,196年,住宅,190萬
WS68008,EZ4捷運夏宮獨戶質感豪邸,信義區福德街,3房(室)2廳2衛,224坪,5/13樓,218年,住宅,214萬
WS68016,EZ4丰藝捷運夏宮｜層峰豪邸,信義區福德街,開放式,42坪,4/13樓,35年,住宅,26萬
WS67814,&EAT101景觀時尚2房,信義區忠孝東路五段,2房(室)2廳2衛,70坪,6/11樓,64年,住宅,57萬
WS71472,高第101產權坡機車位,信義區永吉路,--房(室)--廳--衛,96坪,B6/14樓,90年,車位,83萬
WS71193,六張犁捷運鼎家,信義區富陽街,6房(室)2廳3衛,120坪,4/4樓,114年,住宅,108萬
YS197261,帝王露台鋼骨坡車,信義區松德路,3房2廳2衛1室,144坪,27/30樓,138年,住商,131萬
