物件名稱,路段,行政區_中山區,行政區_中正區,行政區_信義區,行政區_內湖區,行政區_北投區,行政區_南港區,行政區_士林區,行政區_大同區,行政區_大安區,行政區_文山區,行政區_松山區,行政區_萬華區,建坪,車位,房,廳,衛,室,有加蓋,總樓層,起始樓層,最高樓層,物件涵蓋層數,房屋類型_公寓,房屋類型_大樓,房屋類型_套房,房屋類型_華廈,房屋類型_透天
光南靜巷高樓美2房,基隆路一段,0,0,1,0,0,0,0,0,0,0,0,0,44.0,0,2.0,2.0,2.0,2.0,0,12.0,10.0,10.0,1.0,0,0,0,0,0
I1金寧鄉置產土地4,金寧鄉寧湖二劃測段,0,0,0,0,0,0,0,0,0,0,0,0,27.0,0,,,,,0,27.0,27.0,27.0,1.0,0,0,0,0,0
永春四季台北邊間美邸,忠孝東路五段,0,0,1,0,0,0,0,0,0,0,0,0,92.0,0,1.0,2.0,2.0,1.0,0,9.0,3.0,3.0,1.0,0,1,0,0,0
國館精裝美三室,光復南路,0,0,1,0,0,0,0,0,0,0,0,0,114.0,0,,2.0,2.0,,0,12.0,3.0,3.0,1.0,0,1,0,0,0
Y39捷運*101景觀頂佳,吳興街,0,0,1,0,0,0,0,0,0,0,0,0,139.0,0,4.0,3.0,2.0,4.0,0,5.0,5.0,5.0,1.0,0,1,0,0,0
FZ9信義區｜北醫商圈三房,吳興街,0,0,1,0,0,0,0,0,0,0,0,0,162.0,0,3.0,2.0,2.0,3.0,0,5.0,4.0,4.0,1.0,0,1,0,0,0
大統領辦公坡道機械車位,基隆路二段,0,0,1,0,0,0,0,0,0,0,0,0,176.0,1,,,,,0,17.0,-3.0,-3.0,1.0,0,0,0,0,0
信義四四東村三房,吳興街,0,0,1,0,0,0,0,0,0,0,0,0,209.0,0,3.0,2.0,2.0,3.0,0,13.0,6.0,6.0,1.0,0,1,0,0,0
國際名紳高樓4房坡車,松德路,0,0,1,0,0,0,0,0,0,0,0,0,234.0,0,4.0,2.0,3.0,4.0,0,24.0,14.0,14.0,1.0,0,1,0,0,0
信義挑高庭院一樓,吳興街,0,0,1,0,0,0,0,0,0,0,0,0,256.0,0,4.0,2.0,2.0,4.0,0,11.0,1.0,1.0,1.0,0,1,0,0,0
信義101帝景樓中樓,吳興街,0,0,1,0,0,0,0,0,0,0,0,0,42.0,0,,3.0,3.0,,0,11.0,10.0,10.0,1.0,0,1,0,0,0
【六張犁｜信義區一樓・好停車】,富陽街,0,0,1,0,0,0,0,0,0,0,0,0,59.0,0,3.0,2.0,2.0,3.0,0,4.0,1.0,1.0,1.0,0,1,0,0,0
