物件編號,物件名稱,地址,格局,坪數,樓層,屋齡,類型,價格
ZS187442,白色康寧公寓頂加,內湖區康寧路三段,3房(室)2廳2衛,45坪,5/5樓,37年,住宅,26萬
WS71139,內湖馨讚,內湖區民權東路六段,2房(室)1廳1衛,75坪,2/9樓,68年,住宅,59萬
WS55781,大湖親水公園邊間三房,內湖區大湖山莊街,3房(室)2廳1衛,100坪,3/5樓,37年,住宅,89萬
HS58881,湖興公園旁一樓寓,內湖區成功路二段,6房(室)4廳2衛,126坪,B1-1/7樓,120年,住宅,112萬
ZS171121,智慧大樓挑高廠辦,內湖區瑞光路,5室1廳1衛,150坪,5/7樓,143年,廠房,138萬
ZS179275,F2獨家西湖大第三房坡車,內湖區文湖街,3房(室)2廳2衛,172坪,1/9樓,165年,住宅,161萬
WS50784,美墅綠天地,內湖區成功路四段,4房(室)4廳3衛,197坪,B2-4/4樓,191年,住宅,184萬
WS32535,內湖行善大住店辦,內湖區行善路,6室1廳2衛,220坪,1/10樓,215年,店面,209萬
ZS128317,墅琴獨棟頂級別莊,內湖區民權東路六段,9房(室)7廳9衛,243坪,1-5/5樓,237年,住宅,231萬
WS69924,&碧湖苑靜謐豪邸,內湖區麗山街,3房(室)2廳3衛,265坪,10/13樓,260年,住宅,255萬
WS64689,JZ1內湖低總低單廠寓,內湖區內湖路一段,--房(室)2廳1衛,30坪,4/5樓,37年,廠房,26萬
ZS190288,FZ6港墘站公寓頂家,內湖區港華街,3房(室)2廳2衛,69坪,4/4樓,63年,住宅,58萬
YS188831,內科稀有1樓門前好停車,內湖區陽光街,4室3廳2衛(含加蓋2室1廳),93坪,1/5樓,86年,住宅,81萬
YS192038,文湖街門口方便停車一樓,內湖區文湖街,3房(室)2廳1衛,118坪,1/4樓,111年,住宅,107萬
YS194825,內湖成功路邊間公寓,內湖區成功路二段,3房(室)2廳2衛,140坪,3/4樓,63年,住宅,131萬
ZS130997,內湖文湖國小旁林地,內湖區,25,25坪,25/25樓,25年,土地,151萬
XS111766,專約!內溝溪6915坪農地,內湖區康樂街,25,25坪,25/25樓,25年,土地,168萬
CS166904,台北市內湖農地,內湖區大湖段三小段,25,25坪,25/25樓,25年,土地,183萬
ZS198014,內溝溪土地(地上有建物未登記),內湖區康樂街,25,25坪,1-2/25樓,25年,土地,197萬
ZS190308,I2大湖公園庭院電梯別墅,內湖區大湖街,6房(室)4廳4衛,223坪,1-3/3樓,218年,住宅,211萬
YS166529,港墘捷運景觀樓中樓,內湖區內湖路二段,6房(室)4廳3衛,43坪,10/10樓,36年,住宅,26萬
WS56337,BZ6西湖站低總價美辦,內湖區文湖街,開放式,73坪,4/5樓,66年,其他,58萬
ZS192167,內湖私隱電梯別墅,內湖區民權東路六段,5房(室)3廳5衛,95坪,B1-4/4樓,89年,住宅,83萬
BS47197,五期遠雄常御3房平車,內湖區新豐街,3房(室)2廳2衛,119坪,9/11樓,114年,住宅,107萬
WS48170,元大之星SRC豪邸,內湖區南京東路六段,4房(室)2廳2衛,143坪,15/18樓,137年,住宅,131萬
ZS197285,專任東湖大湖段開心農場就在市區,內湖區大湖段四小段,25,25坪,25/25樓,25年,土地,154萬
OS219317,坐擁碧湖綠意/內湖景觀四房大宅,內湖區內湖路二段,4房(室)2廳2衛,180坪,5/12樓,174年,住宅,171萬
ZS194618,內科港墘路辦公大樓,內湖區港墘路,3室1廳,204坪,6/9樓,198年,廠房,192萬
WS61409,♥北市內湖穩定收租土地,內湖區,25,25坪,25/25樓,25年,土地,213萬
GS148903,專-東湖商圈東湖路稀有建地獨售,內湖區東湖段七小段,25,25坪,25/25樓,25年,土地,227萬
WS63885,B5不二價面公園低總套房,內湖區東湖路,1房(室)1廳1衛,43坪,5/10樓,36年,住宅,26萬
WS56663,J3三總民權東面寬金店,內湖區民權東路六段,--房(室)1廳1衛,70坪,1/5樓,65年,店面,58萬
ZS192629,內科金矽谷5挑高氣派店辦,內湖區洲子街,8室2廳(含加蓋3室1廳),94坪,1/9樓,88年,辦公,82萬
YS186927,內湖科學園區西湖段,內湖區瑞光路,25,25坪,25/25樓,25年,土地,106萬
WS59706,內科金矽谷挑高大露臺廠辦,內湖區基湖路,OPEN,135坪,6/8樓,130年,廠房,123萬
WS65111,DZ5文德站邊間採光正二房,內湖區陽光街,2房(室)2廳1衛,157坪,2/5樓,152年,住宅,146萬
YS194858,內湖劍南站一樓大空間店面,內湖區內湖路一段,1房(室)2廳3衛,180坪,B1-1/6樓,174年,店面,169萬
ZS130980,內湖江南街住三建地,內湖區,25,25坪,25/25樓,25年,土地,191萬
YS168273,內湖科學園區土地,內湖區行愛路,25,25坪,1/25樓,25年,土地,208萬
YS182821,大面寬臨路工業地,內湖區民權東路六段,25,25坪,25/25樓,25年,土地,222萬
ZS199696,領世堡坡道B3機械車位,內湖區康寧路三段,--房(室)--廳--衛,24坪,B1/15樓,34年,車位,25萬
WS68287,內湖湖山村三車獨棟美墅,內湖區康寧路三段,4房2廳4衛3室,67坪,1-4/4樓,61年,住宅,54萬
WS68891,內湖翔譽景觀兩房車,內湖區新明路,1+1房2廳1衛,90坪,18/20樓,85年,住宅,79萬
WS63063,內湖成功路公園用地,內湖區文德段四小段,24,24坪,1/24樓,24年,土地,102萬
WS71605,內湖南京i-come車位,內湖區新明路,車位,24坪,B1/24樓,123年,車位,121萬
WS71761,內湖長堤高樓附車位,內湖區安康路,2房(室)2廳2衛,146坪,11/11樓,142年,其他,136萬
WS36795,三總湖適獨立坡平車位,內湖區成功路二段,車位,24坪,B4/12樓,163年,車位,121萬
WS72024,麥帥新城高樓3房,內湖區行善路,3房(室)2廳2衛,188坪,8/8樓,184年,住宅,178萬
ZS200709,麗山學區靜巷3樓,內湖區內湖路三段,3房(室)2廳2衛,210坪,3/5樓,205年,住宅,200萬
WS71899,文德好境綠蔭精裝宅,內湖區陽光街,1房(室)1廳1衛,231坪,5/5樓,226年,住宅,221萬
WS71929,E23超便宜內科一樓店辦,內湖區瑞光路,開放式,42坪,1/7樓,35年,店面,26萬
WS72044,&麗湖靜巷精品美廈,內湖區金湖路,1房(室)1廳1衛,71坪,6/7樓,65年,住宅,57萬
WS71736,陽光靜巷2+1房,內湖區大湖山莊街,3房(室)2廳1衛,95坪,5/5樓,89年,住宅,83萬
WS71793,大湖公園陽光美寓,內湖區大湖山莊街,2房(室)2廳1衛,111坪,4/5樓,89年,住宅,106萬
WS71815,東湖大露台電梯三房附車位,內湖區五分街,3房(室)2廳2衛,135坪,3/8樓,129年,住宅,123萬
OS199850,內湖店辦好停車1樓+地下室,內湖區民權東路六段,--房(室)2廳2衛,158坪,B1-1/5樓,152年,住宅,147萬
ZS192232,內湖站捷運麗山獨戶美妝,內湖區金龍路,3房(室)2廳2衛,182坪,5/5樓,175年,住宅,172萬
WS47648,麗山學區金龍美寓,內湖區金龍路,3房(室)2廳2衛,182坪,5/5樓,175年,住宅,193萬
ZS200658,濱湖邊間一樓,內湖區康樂街,3房(室)2廳2衛,210坪,1/3樓,206年,住宅,147萬
ZS197520,好收租攤位,內湖區成功路四段,開放式,234坪,B1/14樓,228年,其他,221萬
ZS192679,尊貴不凡雲立方4房+露臺+3車,內湖區成功路四段,4房(室)2廳2衛,46坪,3/12樓,38年,住宅,26萬
ZS200129,B2742內湖捷運超級金三角,內湖區成功路四段,2房(室)2廳1衛,75坪,2/11樓,68年,辦公,60萬
QS46474,A125瓏山林文德好境綠景,內湖區陽光街,1房(室)1廳1衛,100坪,3/5樓,94年,住宅,88萬
YS197523,專任內湖四期福人居透天,內湖區民權東路六段,4房(室)2廳3衛,125坪,1-4/4樓,119年,住宅,112萬
XS108628,湖光收租店辦,內湖區成功路四段,--房(室)2廳4衛,151坪,2-3/16樓,144年,店面,138萬
ZS179448,內湖捷運商場金店辦,內湖區成功路四段,開放式,151坪,2-3/16樓,144年,店面,161萬
WS25369,內湖站收租店辦2~3樓,內湖區成功路四段,OPEN,151坪,2-3/16樓,144年,辦公,161萬
ZS200499,大湖富邦大戶名邸,內湖區東湖路,6房(室)4廳3衛,197坪,12-13/13樓,190年,住宅,184萬
WS70588,E11獨賣內湖赫里翁社區,內湖區文湖街,1房5廳3衛2陽台,216坪,3/14樓,211年,辦公,112萬
WS60359,南京新明潛力超戰一樓,內湖區新明路,2房/2廳/1衛/1室,242坪,1/5樓,235年,住宅,229萬
WS45676,內科瑞光路高CP值壹樓廠辦,內湖區瑞光路,開放式,44坪,1/7樓,36年,廠房,26萬
CS169085,內湖大湖段農地,內湖區0490大湖段一小段,27,27坪,27/27樓,27年,土地,59萬
WS36863,底特律科技廠辦II,內湖區舊宗路二段,5室2廳,91坪,4/4樓,85年,廠房,80萬
ZS200555,金矽谷全球經貿中心(企業總部),內湖區新湖一路,--房(室)--廳--衛,114坪,1-8/8樓,109年,辦公,102萬
WS70210,內湖捷運收租店辦,內湖區成功路四段,開放式,138坪,2-3/16樓,132年,店面,125萬
WS62820,新明路車位（可單購）,內湖區新明路,車位,27坪,27/7樓,155年,車位,150萬
