物件名稱,路段,行政區_中山區,行政區_中正區,行政區_信義區,行政區_內湖區,行政區_北投區,行政區_南港區,行政區_士林區,行政區_大同區,行政區_大安區,行政區_文山區,行政區_松山區,行政區_萬華區,建坪,車位,房,廳,衛,室,有加蓋,總樓層,起始樓層,最高樓層,物件涵蓋層數,房屋類型_公寓,房屋類型_大樓,房屋類型_套房,房屋類型_華廈,房屋類型_透天
白色康寧公寓頂加,康寧路三段,0,0,0,1,0,0,0,0,0,0,0,0,45.0,0,3.0,2.0,2.0,3.0,0,5.0,5.0,5.0,1.0,1,0,0,0,0
內湖馨讚,民權東路六段,0,0,0,1,0,0,0,0,0,0,0,0,75.0,0,2.0,1.0,1.0,2.0,0,9.0,2.0,2.0,1.0,0,1,0,0,0
大湖親水公園邊間三房,大湖山莊街,0,0,0,1,0,0,0,0,0,0,0,0,100.0,0,3.0,2.0,1.0,3.0,0,5.0,3.0,3.0,1.0,0,1,0,0,0
湖興公園旁一樓寓,成功路二段,0,0,0,1,0,0,0,0,0,0,0,0,126.0,0,6.0,4.0,2.0,6.0,0,7.0,-1.0,1.0,3.0,0,1,0,0,0
智慧大樓挑高廠辦,瑞光路,0,0,0,1,0,0,0,0,0,0,0,0,150.0,0,,1.0,1.0,,0,7.0,5.0,5.0,1.0,0,1,0,0,0
F2獨家西湖大第三房坡車,文湖街,0,0,0,1,0,0,0,0,0,0,0,0,172.0,0,3.0,2.0,2.0,3.0,0,9.0,1.0,1.0,1.0,0,1,0,0,0
美墅綠天地,成功路四段,0,0,0,1,0,0,0,0,0,0,0,0,197.0,0,4.0,4.0,3.0,4.0,0,4.0,-2.0,4.0,7.0,0,1,0,0,0
內湖行善大住店辦,行善路,0,0,0,1,0,0,0,0,0,0,0,0,220.0,0,,1.0,2.0,,0,10.0,1.0,1.0,1.0,0,0,0,0,0
墅琴獨棟頂級別莊,民權東路六段,0,0,0,1,0,0,0,0,0,0,0,0,243.0,0,9.0,7.0,9.0,9.0,0,5.0,1.0,5.0,5.0,0,1,0,0,0
&碧湖苑靜謐豪邸,麗山街,0,0,0,1,0,0,0,0,0,0,0,0,265.0,0,3.0,2.0,3.0,3.0,0,13.0,10.0,10.0,1.0,0,1,0,0,0
