物件名稱,路段,行政區_中山區,行政區_中正區,行政區_信義區,行政區_內湖區,行政區_北投區,行政區_南港區,行政區_士林區,行政區_大同區,行政區_大安區,行政區_文山區,行政區_松山區,行政區_萬華區,建坪,車位,房,廳,衛,室,有加蓋,總樓層,起始樓層,最高樓層,物件涵蓋層數,房屋類型_公寓,房屋類型_大樓,房屋類型_套房,房屋類型_華廈,房屋類型_透天
捷運吉星漂亮一 樓,溫泉路,0,0,0,0,1,0,0,0,0,0,0,0,43.0,0,1.0,1.0,1.0,1.0,0,7.0,1.0,1.0,1.0,0,1,0,0,0
承德路七段辦公,承德路七段,0,0,0,0,1,0,0,0,0,0,0,0,73.0,0,,,,,0,10.0,2.0,2.0,1.0,0,0,0,0,0
低總價捷運溫馨套房,光明路,0,0,0,0,1,0,0,0,0,0,0,0,99.0,0,1.0,1.0,1.0,1.0,0,14.0,5.0,5.0,1.0,0,0,1,0,0
稀有方正邊間低樓層,民族街,0,0,0,0,1,0,0,0,0,0,0,0,122.0,0,3.0,2.0,3.0,3.0,0,4.0,2.0,2.0,1.0,0,1,0,0,0
千佳溫泉社區美寓3樓,溫泉路銀光巷,0,0,0,0,1,0,0,0,0,0,0,0,147.0,0,3.0,2.0,2.0,3.0,0,5.0,3.0,3.0,1.0,0,1,0,0,0
中和街大坪數膝蓋救星,中和街,0,0,0,0,1,0,0,0,0,0,0,0,170.0,0,3.0,2.0,2.0,3.0,0,5.0,2.0,2.0,1.0,0,1,0,0,0
方正邊間採光三房(可隔4房),民族街,0,0,0,0,1,0,0,0,0,0,0,0,190.0,0,3.0,2.0,2.0,3.0,0,5.0,5.0,5.0,1.0,0,1,0,0,0
北投清新綠漾裝潢鼎佳大空間,溫泉路,0,0,0,0,1,0,0,0,0,0,0,0,211.0,0,4.0,3.0,2.0,4.0,0,5.0,5.0,5.0,1.0,0,1,0,0,0
北投奇岩捷運站國揚方正3樓美寓,大業路,0,0,0,0,1,0,0,0,0,0,0,0,231.0,0,3.0,2.0,2.0,3.0,0,4.0,3.0,3.0,1.0,0,1,0,0,0
清社奇岩景觀4房,崇仰一路,0,0,0,0,1,0,0,0,0,0,0,0,254.0,0,4.0,2.0,2.0,4.0,0,11.0,3.0,3.0,1.0,0,1,0,0,0
陽明山龍園庭園大戶一樓,湖山路一段,0,0,0,0,1,0,0,0,0,0,0,0,45.0,0,5.0,3.0,4.0,5.0,0,3.0,1.0,1.0,1.0,0,1,0,0,0
北投區大筆農地,竹子湖路,0,0,0,0,1,0,0,0,0,0,0,0,19.0,0,,,,,0,,,,,0,0,0,0,0
新民路溫泉鼎加美寓,新民路,0,0,0,0,1,0,0,0,0,0,0,0,94.0,0,4.0,3.0,3.0,4.0,0,5.0,5.0,5.0,1.0,0,1,0,0,0
北投公園旁景觀美寓,光明路,0,0,0,0,1,0,0,0,0,0,0,0,117.0,0,2.0,2.0,2.0,2.0,0,5.0,5.0,5.0,1.0,0,1,0,0,0
晴園電梯室內溫泉套房,幽雅路,0,0,0,0,1,0,0,0,0,0,0,0,141.0,0,1.0,1.0,1.0,1.0,0,5.0,3.0,3.0,1.0,0,0,1,0,0
開璽和碧車位,西安街二段,0,0,0,0,1,0,0,0,0,0,0,0,19.0,1,,,,,0,12.0,,,,0,0,0,0,0
貴園精典2房美廈+車位,新民路,0,0,0,0,1,0,0,0,0,0,0,0,192.0,1,2.0,3.0,1.0,2.0,0,6.0,4.0,4.0,1.0,0,1,0,0,0
薇閣電梯溫泉豪邸,泉源路,0,0,0,0,1,0,0,0,0,0,0,0,216.0,0,4.0,3.0,3.0,4.0,0,11.0,2.0,3.0,2.0,0,1,0,0,0
