物件編號,物件名稱,地址,格局,坪數,樓層,屋齡,類型,價格
YS197298,陽明春曉農夫樂土,士林區力行段二小段,19,19坪,19/19樓,19年,土地,25萬
YS197714,天母國小黃金3樓,士林區天玉街,4房(室)2廳2衛,63坪,3/4樓,57年,住宅,48萬
YS142412,陽明山~秘境花園,士林區,19,19坪,19/19樓,19年,土地,76萬
YS178489,平整地每坪四萬可談,士林區菁山路,19,19坪,19/19樓,19年,土地,93萬
YS196773,芝山捷運景觀管理4房豪邸,士林區福華路,3房(室)2廳2衛,126坪,4/12樓,119年,住宅,112萬
ZS176571,天母陽明山土地,士林區德行東路,19,148坪,1/1樓,142年,土地,138萬
YS175338,至誠透天精選靜巷戶,士林區至誠路一段,3房(室)3廳2衛,162坪,1-2/2樓,167年,住宅,160萬
YS141429,清水模豪宅臻品-無相寓所,士林區忠誠路一段,--房(室)3廳--衛,198坪,9-10/10樓,192年,住宅,185萬
YS178508,陽明山球場旁土地,士林區菁山路,19,19坪,19/19樓,19年,土地,209萬
WS47698,FZ1華麗家園展現無限風尚,士林區 通河東街二段,3房(室)2廳2衛,234坪,4/4樓,227年,住宅,224萬
YS196960,永公路土地(送美屋),士林區永公路,19,19坪,1/19樓,19年,土地,25萬
TS140177,057BH台北市士林區豪四房,士林區德行東路,4房(室)2廳2衛,63坪,5/5樓,57年,住宅,49萬
YS197099,士林Y28面寬大一樓,士林區故宮路,--房(室)2廳1衛,79坪,1/4樓,83年,店面,76萬
ZS98678,陽明山仰德傳家寶,士林區仰德大道三段,4房(室)3廳3衛,112坪,1-2/2樓,107年,土地,100萬
YS186999,社中四面採光一層一戶,士林區社中街,3房(室)2廳1衛,133坪,4/5樓,128年,住宅,124萬
YS197007,高島屋四房大戶,士林區忠誠路二段,4房(室)2廳2衛,155坪,5/5樓,149年,住宅,146萬
WS43305,陽明平菁花園露臺別墅,士林區平菁街,1房4廳3衛(加蓋3房1廳4衛),179坪,1-2/2樓,173年,住宅,167萬
