物件名稱,路段,行政區_中山區,行政區_中正區,行政區_信義區,行政區_內湖區,行政區_北投區,行政區_南港區,行政區_士林區,行政區_大同區,行政區_大安區,行政區_文山區,行政區_松山區,行政區_萬華區,建坪,車位,房,廳,衛,室,有加蓋,總樓層,起始樓層,最高樓層,物件涵蓋層數,房屋類型_公寓,房屋類型_大樓,房屋類型_套房,房屋類型_華廈,房屋類型_透天
陽明春曉農夫樂土,力行段二小段,0,0,0,0,0,0,1,0,0,0,0,0,19.0,0,,,,,0,,,,,0,0,0,0,0
天母國小黃金3樓,天玉街,0,0,0,0,0,0,1,0,0,0,0,0,63.0,0,4.0,2.0,2.0,4.0,0,4.0,3.0,3.0,1.0,0,1,0,0,0
陽明山~秘境花園,,0,0,0,0,0,0,1,0,0,0,0,0,19.0,0,,,,,0,,,,,0,0,0,0,0
平整地每坪四萬可談,菁山路,0,0,0,0,0,0,1,0,0,0,0,0,19.0,0,,,,,0,,,,,0,0,0,0,0
芝山捷運景觀管理4房豪邸,福華路,0,0,0,0,0,0,1,0,0,0,0,0,126.0,0,3.0,2.0,2.0,3.0,0,12.0,4.0,4.0,1.0,0,1,0,0,0
天母陽明山土地,德行東路,0,0,0,0,0,0,1,0,0,0,0,0,148.0,0,,,,,0,1.0,1.0,1.0,1.0,0,0,0,0,0
至誠透天精選靜巷戶,至誠路一段,0,0,0,0,0,0,1,0,0,0,0,0,162.0,0,3.0,3.0,2.0,3.0,0,2.0,1.0,2.0,2.0,0,0,0,0,1
清水模豪宅臻品-無相寓所,忠誠路一段,0,0,0,0,0,0,1,0,0,0,0,0,198.0,0,,3.0,,,0,10.0,9.0,10.0,2.0,0,1,0,0,0
陽明山球場旁土地,菁山路,0,0,0,0,0,0,1,0,0,0,0,0,19.0,0,,,,,0,,,,,0,0,0,0,0
FZ1華麗家園展現無限風尚,通河東街二段,0,0,0,0,0,0,1,0,0,0,0,0,234.0,0,3.0,2.0,2.0,3.0,0,4.0,4.0,4.0,1.0,0,1,0,0,0
永公路土地(送美屋),永公路,0,0,0,0,0,0,1,0,0,0,0,0,19.0,0,,,,,0,19.0,1.0,1.0,1.0,0,0,0,0,0
057BH台北市士林區豪四房,德行東路,0,0,0,0,0,0,1,0,0,0,0,0,63.0,0,4.0,2.0,2.0,4.0,0,5.0,5.0,5.0,1.0,0,1,0,0,0
士林Y28面寬大一樓,故宮路,0,0,0,0,0,0,1,0,0,0,0,0,79.0,0,,2.0,1.0,,0,4.0,1.0,1.0,1.0,0,0,0,0,0
陽明山仰德傳家寶,仰德大道三段,0,0,0,0,0,0,1,0,0,0,0,0,112.0,0,4.0,3.0,3.0,4.0,0,2.0,1.0,2.0,2.0,0,0,0,0,0
社中四面採光一層一戶,社中街,0,0,0,0,0,0,1,0,0,0,0,0,133.0,0,3.0,2.0,1.0,3.0,0,5.0,4.0,4.0,1.0,0,1,0,0,0
高島屋四房大戶,忠誠路二段,0,0,0,0,0,0,1,0,0,0,0,0,155.0,0,4.0,2.0,2.0,4.0,0,5.0,5.0,5.0,1.0,0,1,0,0,0
陽明平菁花園露臺別墅,平菁街,0,0,0,0,0,0,1,0,0,0,0,0,179.0,0,,4.0,3.0,,0,2.0,1.0,2.0,2.0,0,1,0,0,0
101路口商店平整地,菁山路,0,0,0,0,0,0,1,0,0,0,0,0,19.0,0,,,,,0,,,,,0,0,0,0,0
大北路黃金3F,大北路,0,0,0,0,0,0,1,0,0,0,0,0,210.0,0,3.0,2.0,1.0,3.0,0,4.0,3.0,3.0,1.0,0,1,0,0,0
陽明山畫家柏園泳池別墅,莊頂路,0,0,0,0,0,0,1,0,0,0,0,0,240.0,0,7.0,4.0,4.0,7.0,0,2.0,-2.0,2.0,5.0,0,1,0,0,0
士林捷運好車位,福德路,0,0,0,0,0,0,1,0,0,0,0,0,42.0,1,,,,,0,8.0,-3.0,-3.0,1.0,0,0,0,0,0
130.雙溪景觀電梯豪宅坡平,雙溪街,0,0,0,0,0,0,1,0,0,0,0,0,75.0,0,6.0,4.0,5.0,6.0,0,7.0,7.0,7.0,1.0,0,1,0,0,0
天母長春邊間三房,中山北路七段,0,0,0,0,0,0,1,0,0,0,0,0,101.0,0,3.0,2.0,2.0,3.0,0,7.0,6.0,6.0,1.0,0,1,0,0,0
至善天下歐式豪邸,至善路二段,0,0,0,0,0,0,1,0,0,0,0,0,125.0,0,2.0,2.0,3.0,2.0,0,16.0,11.0,11.0,1.0,0,1,0,0,0
溫泉名宅陽明山泉景觀三房含車位,菁山路,0,0,0,0,0,0,1,0,0,0,0,0,150.0,1,3.0,2.0,2.0,3.0,0,10.0,2.0,3.0,2.0,0,1,0,0,0
陽明山華岡土地(含透天厝),華岡段三小段,0,0,0,0,0,0,1,0,0,0,0,0,25.0,0,,,,,0,25.0,25.0,25.0,1.0,0,0,0,0,1
天母星光美景別墅,中山北路七段,0,0,0,0,0,0,1,0,0,0,0,0,189.0,0,4.0,2.0,4.0,4.0,0,3.0,,,,0,1,0,0,0
EA6622 陽明山土地,永公路,0,0,0,0,0,0,1,0,0,0,0,0,25.0,0,,,,,0,25.0,25.0,25.0,1.0,0,0,0,0,0
天母麗緻透天,芝玉路二段,0,0,0,0,0,0,1,0,0,0,0,0,227.0,0,3.0,2.0,3.0,3.0,0,2.0,1.0,2.0,2.0,0,0,0,0,1
天母大使特區精品店面,中山北路六段,0,0,0,0,0,0,1,0,0,0,0,0,253.0,0,,,1.0,,0,14.0,1.0,1.0,1.0,0,0,0,0,0
C15劍潭新屋樓中樓,文林路,0,0,0,0,0,0,1,0,0,0,0,0,44.0,0,,2.0,2.0,,0,5.0,5.0,5.0,1.0,0,0,0,0,0
新天地景觀精裝坡平車,大南路,0,0,0,0,0,0,1,0,0,0,0,0,74.0,0,,2.0,2.0,,0,15.0,13.0,13.0,1.0,0,0,0,0,0
天母綠意精美兩房車,中山北路七段,0,0,0,0,0,0,1,0,0,0,0,0,102.0,0,2.0,2.0,1.0,2.0,0,5.0,2.0,2.0,1.0,0,1,0,0,0
陽明山柏園霸景泳池別墅,莊頂路,0,0,0,0,0,0,1,0,0,0,0,0,126.0,0,6.0,3.0,5.0,6.0,0,2.0,-1.0,2.0,4.0,0,1,0,0,0
雨農山莊三房坡車,雨農路,0,0,0,0,0,0,1,0,0,0,0,0,152.0,0,3.0,2.0,2.0,3.0,0,12.0,3.0,3.0,1.0,0,1,0,0,0
風動草芳鄰土地,溪山段一小段,0,0,0,0,0,0,1,0,0,0,0,0,27.0,0,,,,,0,27.0,27.0,27.0,1.0,0,0,0,0,0
東山路買地送房,天玉段二小段,0,0,0,0,0,0,1,0,0,0,0,0,27.0,0,,,,,0,27.0,27.0,27.0,1.0,0,0,0,0,0
天玉蘭桂坊車位,天玉街,0,0,0,0,0,0,1,0,0,0,0,0,207.0,1,,,,,0,11.0,-1.0,-1.0,1.0,0,0,0,0,0
陽明山柏園山莊101景觀別墅,莊頂路,0,0,0,0,0,0,1,0,0,0,0,0,224.0,0,5.0,3.0,6.0,5.0,0,2.0,1.0,2.0,2.0,0,1,0,0,0
❤陽明山景觀美妝柏園山莊別墅,莊頂路,0,0,0,0,0,0,1,0,0,0,0,0,126.0,0,6.0,2.0,5.0,6.0,0,2.0,1.0,2.0,2.0,0,1,0,0,0
平等養生小屋,平等段一小段,0,0,0,0,0,0,1,0,0,0,0,0,19.0,0,,,,,0,,,,,0,0,0,0,0
