物件編號,物件名稱,地址,格局,坪數,樓層,屋齡,類型,價格
WS71952,G5敦南自在尊爵豪邸,大安區大安路二段,4房(室)2廳3衛,44坪,5/7樓,37年,住宅,25萬
WS71280,文普世貿高樓景觀四房,大安區基隆路二段,4房(室)2廳2衛,72坪,8/12樓,66年,住宅,58萬
WS71895,大安捷運出口二樓店辦,大安區信義路三段,--房(室)--廳2衛,94坪,2/12樓,89年,店面,83萬
WS71619,B3新生金華☆捷運電梯宅,大安區和平東路一段,1房(室)1廳1衛,117坪,3/12樓,112年,獨立套房,105萬
YS197519,大安捷運精美2房大廈,大安區敦化南路二段,2房(室)1廳1衛,139坪,9/16樓,133年,住宅,127萬
WS45017,近大安運動中心公寓二樓,大安區辛亥路三段,3房(室)2廳1衛,161坪,2/4樓,133年,住宅,151萬
WS71209,東區名喬財金大樓坡車,大安區忠孝東路四段,--房(室)--廳--衛,174坪,B4/15樓,180年,車位,172萬
YS175518,101景觀五房坡車名宅,大安區忠孝東路四段,5房(室)2廳2衛,207坪,6/13樓,201年,住宅,195萬
WS70607,H3世貿雙捷運福氣四房,大安區基隆路二段,4房(室)2廳2衛,72坪,8/12樓,66年,住宅,58萬
ZS159846,森林公園夏朵名邸,大安區復興南路二段,2+1房2廳2衛,239坪,2/8樓,233年,住宅,229萬
WS70538,中正國中學區美宅,大安區杭州南路二段,1房(室)--廳1衛,41坪,1/8樓,35年,住宅,25萬
WS44076,大安極品三樓美寓,大安區樂業街,3房(室)2廳2衛,71坪,3/4樓,64年,住宅,57萬
WS45503,六張犁安居三房美寓,大安區安居街,3房(室)2廳2衛,93坪,4/5樓,87年,住宅,83萬
WS70405,忠孝阿波羅遠眺101,大安區忠孝東路四段,OPEN+2衛,118坪,12/13樓,113年,住商,105萬
ZS162702,敦南信義雙車位,大安區敦化南路一段,--房(室)--廳--衛,24坪,B2/12樓,139年,車位,132萬
HS58976,忠孝東路機械平面車位,大安區忠孝東路四段,開放式,165坪,B2/12樓,159年,車位,156萬
ZS167199,和平賞名邸+大坡車,大安區和平東路三段,4房(室)2廳2衛,188坪,6/14樓,182年,住宅,175萬
WS39583,仁愛鑽石林蔭景觀,大安區仁愛路四段,4房2廳2.5衛+2室,212坪,10/12樓,206年,住宅,201萬
WS48860,榮耀敦南高樓景觀,大安區和平東路三段,3房(室)2廳3衛,236坪,15/19樓,229年,住宅,224萬
WS32981,麗水金華大面寬店辦,大安區潮州街,2室4廳4衛,260坪,1/7樓,254年,辦公,248萬
WS49912,大安公園整棟10戶,大安區永康街,14房(室)15廳10衛,45坪,1-6/6樓,37年,住宅,25萬
WS42921,正東區塔式車位,大安區忠孝東路四段,車位,26坪,1/9樓,68年,車位,61萬
WS70235,森林溫州綠意庭園美一樓,大安區溫州街,4房(室)2廳2衛,95坪,1/7樓,90年,住宅,84萬
WS46934,忠孝復興微風住辦,大安區復興南路一段,2房(室)2廳1衛,121坪,11/12樓,115年,住宅,107萬
WS28326,近大巨蛋華廈正兩房,大安區延吉街,2房(室)2廳1衛,143坪,3/7樓,137年,住宅,133萬
ZS184171,HZ1大安稀有一樓露台樓中樓,大安區大安路一段,4房2廳2衛,166坪,1/9樓,159年,住宅,155萬
WS50254,敦南御所三房豪邸,大安區敦化南路一段,3房(室)2廳2衛,190坪,8/23樓,184年,住宅,154萬
WS46773,忠孝新生海關4房,大安區新生南路一段,4房(室)2廳2衛,212坪,5/7樓,206年,住宅,202萬
WS54883,&大安區友座臻璽坡平車面公園,大安區和平東路三段,2房(室)2廳2衛,236坪,4/14樓,230年,住宅,224萬
WS52246,國館仁愛翠亨一樓車,大安區仁愛路四段,3房(室)2廳2衛,257坪,1/13樓,251年,住宅,247萬
WS41062,雙龍學區電梯四房,大安區新生南路三段,4房(室)2廳2衛,45坪,4/6樓,37年,住宅,25萬
WS58398,信義安和面寬大店面,大安區通化街,3房(室)2廳4衛,73坪,1/4樓,67年,住宅,61萬
YS196791,大安捷運雙主臥坡平車位,大安區大安路二段,4房(室)2廳3衛,98坪,5/7樓,92年,住宅,85萬
WS56257,附中學區車位,大安區東豐街,車位,26坪,1-2/10樓,117年,車位,111萬
WS69595,大安達永秋鄉一樓庭院戶,大安區臥龍街,2室2廳2衛,146坪,1/14樓,140年,住宅,134萬
