物件名稱,路段,行政區_中山區,行政區_中正區,行政區_信義區,行政區_內湖區,行政區_北投區,行政區_南港區,行政區_士林區,行政區_大同區,行政區_大安區,行政區_文山區,行政區_松山區,行政區_萬華區,建坪,車位,房,廳,衛,室,有加蓋,總樓層,起始樓層,最高樓層,物件涵蓋層數,房屋類型_公寓,房屋類型_大樓,房屋類型_套房,房屋類型_華廈,房屋類型_透天
G5敦南自在尊爵豪邸,大安路二段,0,0,0,0,0,0,0,0,1,0,0,0,44.0,0,4.0,2.0,3.0,4.0,0,7,5.0,5.0,1.0,0,1,0,0,0
文普世貿高樓景觀四房,基隆路二段,0,0,0,0,0,0,0,0,1,0,0,0,72.0,0,4.0,2.0,2.0,4.0,0,12,8.0,8.0,1.0,0,1,0,0,0
大安捷運出口二樓店辦,信義路三段,0,0,0,0,0,0,0,0,1,0,0,0,94.0,0,,,2.0,,0,12,2.0,2.0,1.0,0,0,0,0,0
B3新生金華☆捷運電梯宅,和平東路一段,0,0,0,0,0,0,0,0,1,0,0,0,117.0,0,1.0,1.0,1.0,1.0,0,12,3.0,3.0,1.0,0,0,1,0,0
大安捷運精美2房大廈,敦化南路二段,0,0,0,0,0,0,0,0,1,0,0,0,139.0,0,2.0,1.0,1.0,2.0,0,16,9.0,9.0,1.0,0,1,0,0,0
近大安運動中心公寓二樓,辛亥路三段,0,0,0,0,0,0,0,0,1,0,0,0,161.0,0,3.0,2.0,1.0,3.0,0,4,2.0,2.0,1.0,1,0,0,0,0
東區名喬財金大樓坡車,忠孝東路四段,0,0,0,0,0,0,0,0,1,0,0,0,174.0,1,,,,,0,15,-4.0,-4.0,1.0,0,1,0,0,0
101景觀五房坡車名宅,忠孝東路四段,0,0,0,0,0,0,0,0,1,0,0,0,207.0,0,5.0,2.0,2.0,5.0,0,13,6.0,6.0,1.0,0,1,0,0,0
H3世貿雙捷運福氣四房,基隆路二段,0,0,0,0,0,0,0,0,1,0,0,0,72.0,0,4.0,2.0,2.0,4.0,0,12,8.0,8.0,1.0,0,1,0,0,0
森林公園夏朵名邸,復興南路二段,0,0,0,0,0,0,0,0,1,0,0,0,239.0,0,,2.0,2.0,,0,8,2.0,2.0,1.0,0,1,0,0,0
中正國中學區美宅,杭州南路二段,0,0,0,0,0,0,0,0,1,0,0,0,41.0,0,1.0,,1.0,1.0,0,8,1.0,1.0,1.0,0,1,0,0,0
大安極品三樓美寓,樂業街,0,0,0,0,0,0,0,0,1,0,0,0,71.0,0,3.0,2.0,2.0,3.0,0,4,3.0,3.0,1.0,0,1,0,0,0
六張犁安居三房美寓,安居街,0,0,0,0,0,0,0,0,1,0,0,0,93.0,0,3.0,2.0,2.0,3.0,0,5,4.0,4.0,1.0,0,1,0,0,0
忠孝阿波羅遠眺101,忠孝東路四段,0,0,0,0,0,0,0,0,1,0,0,0,118.0,0,,,2.0,,0,13,12.0,12.0,1.0,0,0,0,0,0
敦南信義雙車位,敦化南路一段,0,0,0,0,0,0,0,0,1,0,0,0,24.0,1,,,,,0,12,-2.0,-2.0,1.0,0,0,0,0,0
忠孝東路機械平面車位,忠孝東路四段,0,0,0,0,0,0,0,0,1,0,0,0,165.0,1,,,,,0,12,-2.0,-2.0,1.0,0,0,0,0,0
和平賞名邸+大坡車,和平東路三段,0,0,0,0,0,0,0,0,1,0,0,0,188.0,0,4.0,2.0,2.0,4.0,0,14,6.0,6.0,1.0,0,1,0,0,0
仁愛鑽石林蔭景觀,仁愛路四段,0,0,0,0,0,0,0,0,1,0,0,0,212.0,0,,2.0,5.0,,0,12,10.0,10.0,1.0,0,1,0,0,0
榮耀敦南高樓景觀,和平東路三段,0,0,0,0,0,0,0,0,1,0,0,0,236.0,0,3.0,2.0,3.0,3.0,0,19,15.0,15.0,1.0,0,1,0,0,0
麗水金華大面寬店辦,潮州街,0,0,0,0,0,0,0,0,1,0,0,0,260.0,0,,4.0,4.0,,0,7,1.0,1.0,1.0,0,0,0,0,0
大安公園整棟10戶,永康街,0,0,0,0,0,0,0,0,1,0,0,0,45.0,0,14.0,15.0,10.0,14.0,0,6,1.0,6.0,6.0,0,1,0,0,0
正東區塔式車位,忠孝東路四段,0,0,0,0,0,0,0,0,1,0,0,0,26.0,1,,,,,0,9,1.0,1.0,1.0,0,0,0,0,0
森林溫州綠意庭園美一樓,溫州街,0,0,0,0,0,0,0,0,1,0,0,0,95.0,0,4.0,2.0,2.0,4.0,0,7,1.0,1.0,1.0,0,1,0,0,0
忠孝復興微風住辦,復興南路一段,0,0,0,0,0,0,0,0,1,0,0,0,121.0,0,2.0,2.0,1.0,2.0,0,12,11.0,11.0,1.0,0,1,0,0,0
近大巨蛋華廈正兩房,延吉街,0,0,0,0,0,0,0,0,1,0,0,0,143.0,0,2.0,2.0,1.0,2.0,0,7,3.0,3.0,1.0,0,0,0,1,0
HZ1大安稀有一樓露台樓中樓,大安路一段,0,0,0,0,0,0,0,0,1,0,0,0,166.0,0,,2.0,2.0,,0,9,1.0,1.0,1.0,0,1,0,0,0
敦南御所三房豪邸,敦化南路一段,0,0,0,0,0,0,0,0,1,0,0,0,190.0,0,3.0,2.0,2.0,3.0,0,23,8.0,8.0,1.0,0,1,0,0,0
忠孝新生海關4房,新生南路一段,0,0,0,0,0,0,0,0,1,0,0,0,212.0,0,4.0,2.0,2.0,4.0,0,7,5.0,5.0,1.0,0,1,0,0,0
&大安區友座臻璽坡平車面公園,和平東路三段,0,0,0,0,0,0,0,0,1,0,0,0,236.0,0,2.0,2.0,2.0,2.0,0,14,4.0,4.0,1.0,0,1,0,0,0
國館仁愛翠亨一樓車,仁愛路四段,0,0,0,0,0,0,0,0,1,0,0,0,257.0,0,3.0,2.0,2.0,3.0,0,13,1.0,1.0,1.0,0,1,0,0,0
雙龍學區電梯四房,新生南路三段,0,0,0,0,0,0,0,0,1,0,0,0,45.0,0,4.0,2.0,2.0,4.0,0,6,4.0,4.0,1.0,0,1,0,0,0
信義安和面寬大店面,通化街,0,0,0,0,0,0,0,0,1,0,0,0,73.0,0,3.0,2.0,4.0,3.0,0,4,1.0,1.0,1.0,0,1,0,0,0
大安捷運雙主臥坡平車位,大安路二段,0,0,0,0,0,0,0,0,1,0,0,0,98.0,1,4.0,2.0,3.0,4.0,0,7,5.0,5.0,1.0,0,1,0,0,0
附中學區車位,東豐街,0,0,0,0,0,0,0,0,1,0,0,0,26.0,1,,,,,0,10,1.0,2.0,2.0,0,0,0,0,0
大安達永秋鄉一樓庭院戶,臥龍街,0,0,0,0,0,0,0,0,1,0,0,0,146.0,0,,2.0,2.0,,0,14,1.0,1.0,1.0,0,1,0,0,0
&面仁愛國小電梯三房,信義路四段,0,0,0,0,0,0,0,0,1,0,0,0,168.0,0,3.0,2.0,2.0,3.0,0,7,6.0,6.0,1.0,0,1,0,0,0
青田莊園大戶附先到停車位,青田街,0,0,0,0,0,0,0,0,1,0,0,0,191.0,1,4.0,2.0,2.0,4.0,0,6,4.0,4.0,1.0,0,1,0,0,0
【忠孝敦化站｜國館・電梯二房】,忠孝東路四段,0,0,0,0,0,0,0,0,1,0,0,0,216.0,0,2.0,2.0,1.0,2.0,0,7,2.0,2.0,1.0,0,1,0,0,0
HZ6忠孝復興邊間四房美廈,仁愛路三段,0,0,0,0,0,0,0,0,1,0,0,0,241.0,0,4.0,2.0,2.0,4.0,0,7,3.0,3.0,1.0,0,1,0,0,0
附中郵政靜巷三房,建國南路一段,0,0,0,0,0,0,0,0,1,0,0,0,262.0,0,3.0,2.0,1.0,3.0,0,14,4.0,4.0,1.0,0,1,0,0,0
古亭站狀元吉第2房車,羅斯福路二段,0,0,0,0,0,0,0,0,1,0,0,0,45.0,0,2.0,2.0,1.0,2.0,0,26,6.0,6.0,1.0,0,1,0,0,0
忠孝敦化雙仁愛電梯3房,忠孝東路四段,0,0,0,0,0,0,0,0,1,0,0,0,74.0,0,3.0,2.0,2.0,3.0,0,7,4.0,4.0,1.0,0,1,0,0,0
正羅斯福路MONEY金店面,羅斯福路三段,0,0,0,0,0,0,0,0,1,0,0,0,101.0,0,,2.0,1.0,,0,15,1.0,2.0,2.0,0,0,0,0,0
E22敦南林蔭2房,敦化南路二段,0,0,0,0,0,0,0,0,1,0,0,0,125.0,0,2.0,1.0,1.0,2.0,0,16,9.0,9.0,1.0,0,1,0,0,0
國泰瑞安懷石高樓豪邸,瑞安街,0,0,0,0,0,0,0,0,1,0,0,0,146.0,0,4.0,4.0,3.0,4.0,0,10,6.0,6.0,1.0,0,1,0,0,0
忠孝敦化挑高4米小豪宅,市民大道四段,0,0,0,0,0,0,0,0,1,0,0,0,168.0,0,2.0,1.0,1.0,2.0,0,10,5.0,5.0,1.0,0,1,0,0,0
榮耀敦南帝豪景,和平東路三段,0,0,0,0,0,0,0,0,1,0,0,0,192.0,0,,2.0,3.0,,0,19,15.0,15.0,1.0,0,1,0,0,0
大安站美麗二房車,大安路二段,0,0,0,0,0,0,0,0,1,0,0,0,211.0,0,2.0,2.0,1.0,2.0,0,7,7.0,7.0,1.0,0,1,0,0,0
瑞安街靜巷豪邸,瑞安街,0,0,0,0,0,0,0,0,1,0,0,0,235.0,0,,2.0,3.0,,0,11,6.0,6.0,1.0,0,1,0,0,0
SOGO國泰電梯高樓,復興南路一段,0,0,0,0,0,0,0,0,1,0,0,0,257.0,0,,,7.0,,0,12,12.0,12.0,1.0,0,1,0,0,0
J9中正國中學區置產金店面,杭州南路二段,0,0,0,0,0,0,0,0,1,0,0,0,44.0,0,1.0,1.0,1.0,1.0,0,11,1.0,1.0,1.0,0,0,0,0,0
忠孝復興101絕美華廈,復興南路一段,0,0,0,0,0,0,0,0,1,0,0,0,73.0,0,2.0,2.0,1.0,2.0,0,16,16.0,16.0,1.0,0,0,0,1,0
建成皇宮稀有大戶,忠孝東路四段,0,0,0,0,0,0,0,0,1,0,0,0,100.0,0,5.0,2.0,2.0,5.0,0,13,6.0,6.0,1.0,0,1,0,0,0
仁愛北歐名邸,仁愛路四段,0,0,0,0,0,0,0,0,1,0,0,0,127.0,0,4.0,2.0,2.0,4.0,0,12,3.0,3.0,1.0,0,1,0,0,0
忠孝敦化美麗華廈,忠孝東路四段,0,0,0,0,0,0,0,0,1,0,0,0,151.0,0,3.0,2.0,2.0,3.0,0,7,2.0,2.0,1.0,0,0,0,1,0
文普國際美景四房,基隆路二段,0,0,0,0,0,0,0,0,1,0,0,0,172.0,0,4.0,2.0,2.0,4.0,0,12,8.0,8.0,1.0,0,1,0,0,0
文普典藏醫生世家,基隆路二段,0,0,0,0,0,0,0,0,1,0,0,0,172.0,0,4.0,2.0,2.0,4.0,0,12,8.0,8.0,1.0,0,1,0,0,0
大安稀有瑞安街店辦,瑞安街,0,0,0,0,0,0,0,0,1,0,0,0,203.0,0,,1.0,2.0,,0,7,1.0,1.0,1.0,0,0,0,0,0
敦南靜巷邊間鼎家,敦化南路二段,0,0,0,0,0,0,0,0,1,0,0,0,228.0,0,5.0,3.0,3.0,5.0,0,5,5.0,5.0,1.0,0,1,0,0,0
信義安和捷運大車庫一樓,通化街,0,0,0,0,0,0,0,0,1,0,0,0,251.0,0,,2.0,2.0,,0,5,1.0,1.0,1.0,0,1,0,0,0
捷運信義安和邊間華廈,信義路四段,0,0,0,0,0,0,0,0,1,0,0,0,45.0,0,4.0,2.0,2.0,4.0,0,7,5.0,5.0,1.0,0,0,0,1,0
明日博朝南名邸,市民大道三段,0,0,0,0,0,0,0,0,1,0,0,0,73.0,0,,2.0,2.0,,0,23,6.0,6.0,1.0,0,1,0,0,0
安和捷運仁愛學區美寓,安和路一段,0,0,0,0,0,0,0,0,1,0,0,0,97.0,0,4.0,2.0,2.0,4.0,0,5,5.0,5.0,1.0,0,1,0,0,0
古亭捷運站旁全新賺錢金店面,羅斯福路二段,0,0,0,0,0,0,0,0,1,0,0,0,125.0,0,,2.0,1.0,,0,13,1.0,2.0,2.0,0,1,0,0,0
大安公園庭院車庫壹樓,溫州街,0,0,0,0,0,0,0,0,1,0,0,0,148.0,0,4.0,2.0,2.0,4.0,0,6,1.0,1.0,1.0,0,1,0,0,0
溫州庭院車庫四房,溫州街,0,0,0,0,0,0,0,0,1,0,0,0,148.0,0,4.0,2.0,2.0,4.0,0,6,1.0,1.0,1.0,0,1,0,0,0
信義敦化四房+車位,四維路,0,0,0,0,0,0,0,0,1,0,0,0,178.0,1,4.0,2.0,2.0,4.0,0,7,4.0,4.0,1.0,0,1,0,0,0
