物件編號,物件名稱,地址,格局,坪數,樓層,屋齡,類型,價格
WS71360,和風集面公園3房車,文山區福興路,3房(室)2廳2衛,43坪,7/12樓,36年,住宅,25萬
WS71536,康橋原味新婚小資成家首選,文山區景興路,2房2廳1衛加蓋1房2室,68坪,10/12樓,62年,住宅,56萬
ZS175670,力行國小邊間2樓,文山區木新路三段,3房(室)2廳2衛,62坪,2/4樓,86年,住宅,80萬
WS56398,萬芳再興庭院挑高客廳大一樓,文山區興隆路三段,6房(室)4廳3衛,118坪,1-B2/5樓,111年,住宅,103萬
OS219813,萬芳捷運方正3樓,文山區興隆路三段,3房(室)2廳2衛,141坪,3/5樓,134年,住宅,131萬
YS155064,敦南山林景觀別墅,文山區木柵路四段,5房3廳4衛7室 (含加蓋1房1室),167坪,B1-4/4樓,160年,住宅,153萬
WS62480,隆德天下三房+車位,文山區汀州路四段,3房(室)2廳2衛,191坪,2/14樓,185年,住宅,180萬
YS188277,敦南觀止雅緻雙車位,文山區福興路,2房(室)2廳2衛,213坪,11/14樓,207年,住宅,203萬
ZS180762,文湖線玫瑰美寓,文山區興德路,2房2廳1衛/加蓋2房1廳1衛,235坪,4/4樓,229年,住宅,225萬
WS47432,台北市門牌小資溫馨小屋,文山區萬安街,1廳1衛加蓋1室,259坪,B1/5樓,253年,住宅,247萬
WS70618,萬隆2房2樓雅寓,文山區萬盛街,2房(室)2廳1衛,40坪,2/4樓,34年,住宅,23萬
WS56403,萬隆捷運4號出口三房雅寓,文山區羅斯福路五段,3房(室)1廳2衛,67坪,4/5樓,61年,住宅,56萬
WS55227,涵碧園4房坡車露臺戶,文山區萬芳路,3+1房2廳3衛,95坪,2/15樓,88年,住宅,81萬
WS52145,北市近捷運林茵三房車位,文山區辛亥路四段,3房(室)2廳2衛,122坪,7/14樓,115年,住宅,109萬
YS193751,河畔生活新婚首購宅,文山區和興路,2房(室)2廳1衛,143坪,3/13樓,115年,住宅,133萬
WS70423,近未來捷運富山匯兩房車,文山區富山路,2房(室)2廳1衛,163坪,8/15樓,158年,住宅,154萬
ZS175746,萬隆捷運商三土地,文山區羅斯福路五段,18,18坪,18/18樓,18年,土地,175萬
ZS163615,景華靜巷邊間三房,文山區景華街,3房(室)2廳2衛,200坪,5/5樓,195年,住宅,192萬
YS170036,文教區三面採光公寓3樓,文山區萬盛街,3房(室)2廳2衛,221坪,3/4樓,214年,住宅,212萬
ZS169598,萬隆捷運218巷公寓3房,文山區羅斯福路五段,3房(室)2廳2衛,239坪,5/5樓,232年,住宅,212萬
WS41933,文山名人奢華電梯別墅,文山區政大一街,5房(室)2廳4衛,43坪,B1-4/4樓,36年,住宅,24萬
ZS195505,宏佳邊間電梯三房,文山區萬隆街,3房(室)2廳1衛,75坪,2/7樓,68年,住宅,59萬
WS70092,萬隆捷運精品美寓,文山區萬盛街,4房(室)3廳2衛,99坪,5/5樓,92年,住宅,86萬
WS61780,萬隆捷運站商圈2樓,文山區萬盛街,3房(室)2廳1衛,112坪,2/4樓,113年,住宅,111萬
WS50385,敦南觀止2房雙車,文山區福興路,2房(室)2廳2衛,141坪,11/14樓,135年,住宅,128萬
YS187017,政大雙併明亮大四房雙車位,文山區恆光街,4房(室)2廳2衛,165坪,4/8樓,159年,住宅,154萬
YS193368,O018靜心仙岩公園3房坡車,文山區仙岩路,3房(室)2廳2衛,186坪,3/3樓,181年,住宅,176萬
WS69199,近捷運萬芳醫院美公寓三樓,文山區辛亥路五段,3房(室)2廳1衛,206坪,3/5樓,200年,住宅,197萬
WS69606,FZ7稀有萬芳捷運美妝三樓,文山區辛亥路五段,3房(室)2廳1衛,206坪,3/5樓,200年,住宅,197萬
ZS120750,試院路四巷美屋,文山區試院路,5房(室)--廳5衛,236坪,B1/5樓,232年,住商,226萬
ZS182102,太平洋干邑三房車位,文山區興隆路二段,3房(室)2廳2衛,44坪,9/11樓,36年,住宅,24萬
ZS193691,富山滙新成屋2房車,文山區富山路,2房(室)2廳1衛,70坪,8/15樓,64年,住宅,57萬
WS68010,萬隆捷運大戶美寓,文山區羅斯福路五段,4房(室)2廳2衛,98坪,5/5樓,90年,住宅,82萬
WS58074,靜心特區低總公寓,文山區景興路,3房(室)2廳1衛,122坪,5/5樓,116年,住商,111萬
WS55863,太子大第景觀樓中樓豪邸,文山區一壽街,6房/2廳/4衛/2室,146坪,10-11/15樓,140年,住宅,135萬
WS63980,觀星台北雙併三房高樓,文山區木柵路二段,3房(室)2廳2衛,169坪,13/17樓,163年,住宅,158萬
WS64136,近世新與未來捷運收租金雞,文山區試院路,6房2衛加蓋2房1衛,192坪,4/4樓,186年,住宅,181萬
YS161852,東山高中旁林地,文山區老泉街,25,25坪,25/25樓,25年,土地,203萬
WS64198,木柵路超值3+1美廈,文山區木柵路一段,4房(室)1廳2衛,231坪,4/7樓,225年,住宅,219萬
ZS181837,低總價庭院一樓附車位,文山區下崙路,--房(室)1廳1衛,251坪,1/7樓,247年,住商,242萬
ZS136141,萬隆捷運保值收租屋,文山區萬盛街,7房(室)2廳6衛,42坪,4/4樓,35年,住宅,24萬
ZS183738,近中國科大公寓二樓免爬高收租屋,文山區興隆路三段,8房(室)--廳3衛,69坪,2/5樓,63年,住宅,56萬
WS64956,台大Jia坡機車位1,文山區興順街,車位,93坪,B1/10樓,88年,車位,80萬
WS64960,台大Jia坡機車位2,文山區興順街,車位,93坪,B1/10樓,88年,車位,80萬
WS61049,萬芳Villa綠景美居含坡車,文山區萬芳路,2房(室)2廳1衛,125坪,10/12樓,118年,住宅,111萬
WS58200,和風集3房車,文山區福興路,3房(室)2廳2衛,149坪,8/13樓,143年,住宅,137萬
WS61377,E5忠順高樓採光挑高三房,文山區忠順街二段,3房(室)2廳2衛,174坪,14/14樓,167年,住宅,163萬
ZS169941,萬隆捷運商圈公寓,文山區景福街,4房(室)1廳2衛,193坪,2/4樓,189年,住宅,184萬
WS26020,萬隆捷運黃金三樓,文山區興隆路一段,3房(室)2廳1衛,206坪,3/4樓,209年,住宅,204萬
WS43833,K6合法格套｜萬隆公館商圈,文山區羅斯福路五段,5房(室)3廳3衛,234坪,3/4樓,229年,住宅,224萬
WS47929,很大邊間靜心美寓,文山區興隆路二段,3房2廳2衛加蓋2房2廳1衛,39坪,4/4樓,32年,住宅,24萬
OS213726,貓空小農平地,文山區指南段四小段,23,23坪,23/23樓,23年,土地,55萬
WS68935,近萬芳醫院高樓邊間兩房車,文山區興隆路二段,2房(室)2廳1衛,86坪,12/15樓,81年,住宅,73萬
OS221318,文山台北大亨四房+平車,文山區興隆路四段,4房(室)2廳2衛,110坪,6/11樓,105年,住宅,98萬
WS63794,近未來捷運觀星台北三房車,文山區木柵路二段,3房(室)2廳2衛,131坪,13/17樓,126年,住宅,120萬
