物件名稱,路段,行政區_中山區,行政區_中正區,行政區_信義區,行政區_內湖區,行政區_北投區,行政區_南港區,行政區_士林區,行政區_大同區,行政區_大安區,行政區_文山區,行政區_松山區,行政區_萬華區,建坪,車位,房,廳,衛,室,有加蓋,總樓層,起始樓層,最高樓層,物件涵蓋層數,房屋類型_公寓,房屋類型_大樓,房屋類型_套房,房屋類型_華廈,房屋類型_透天
和風集面公園3房車,福興路,0,0,0,0,0,0,0,0,0,1,0,0,43.0,0,3.0,2.0,2.0,3.0,0,12,7.0,7.0,1.0,0,1,0,0,0
康橋原味新婚小資成家首選,景興路,0,0,0,0,0,0,0,0,0,1,0,0,68.0,0,,2.0,1.0,,0,12,10.0,10.0,1.0,0,1,0,0,0
力行國小邊間2樓,木新路三段,0,0,0,0,0,0,0,0,0,1,0,0,62.0,0,3.0,2.0,2.0,3.0,0,4,2.0,2.0,1.0,0,1,0,0,0
萬芳再興庭院挑高客廳大一樓,興隆路三段,0,0,0,0,0,0,0,0,0,1,0,0,118.0,0,6.0,4.0,3.0,6.0,0,5,,,,0,1,0,0,0
萬芳捷運方正3樓,興隆路三段,0,0,0,0,0,0,0,0,0,1,0,0,141.0,0,3.0,2.0,2.0,3.0,0,5,3.0,3.0,1.0,0,1,0,0,0
敦南山林景觀別墅,木柵路四段,0,0,0,0,0,0,0,0,0,1,0,0,167.0,0,,3.0,4.0,,0,4,-1.0,4.0,6.0,0,1,0,0,0
隆德天下三房+車位,汀州路四段,0,0,0,0,0,0,0,0,0,1,0,0,191.0,1,3.0,2.0,2.0,3.0,0,14,2.0,2.0,1.0,0,1,0,0,0
敦南觀止雅緻雙車位,福興路,0,0,0,0,0,0,0,0,0,1,0,0,213.0,1,2.0,2.0,2.0,2.0,0,14,11.0,11.0,1.0,0,1,0,0,0
文湖線玫瑰美寓,興德路,0,0,0,0,0,0,0,0,0,1,0,0,235.0,0,,2.0,1.0,,0,4,4.0,4.0,1.0,0,1,0,0,0
台北市門牌小資溫馨小屋,萬安街,0,0,0,0,0,0,0,0,0,1,0,0,259.0,0,,1.0,1.0,,0,5,-1.0,-1.0,1.0,0,1,0,0,0
萬隆2房2樓雅寓,萬盛街,0,0,0,0,0,0,0,0,0,1,0,0,40.0,0,2.0,2.0,1.0,2.0,0,4,2.0,2.0,1.0,0,1,0,0,0
