物件名稱,路段,行政區_中山區,行政區_中正區,行政區_信義區,行政區_內湖區,行政區_北投區,行政區_南港區,行政區_士林區,行政區_大同區,行政區_大安區,行政區_文山區,行政區_松山區,行政區_萬華區,建坪,車位,房,廳,衛,室,有加蓋,總樓層,起始樓層,最高樓層,物件涵蓋層數,房屋類型_公寓,房屋類型_大樓,房屋類型_套房,房屋類型_華廈,房屋類型_透天
民生社區四房美廈,民生東路五段,0,0,0,0,0,0,0,0,0,0,1,0,42.0,0,4.0,2.0,2.0,4.0,0,15,5.0,5.0,1.0,0,1,0,0,0
J8南京巨蛋低公設純辦,南京東路五段,0,0,0,0,0,0,0,0,0,0,1,0,72.0,0,,1.0,,,0,12,8.0,8.0,1.0,0,0,0,0,0
台北摩根後棟邊間原始2房,南京東路五段,0,0,0,0,0,0,0,0,0,0,1,0,95.0,0,1.0,1.0,1.0,1.0,0,18,7.0,7.0,1.0,0,1,0,0,0
D4近松山機場民權東兩房,民權東路三段,0,0,0,0,0,0,0,0,0,0,1,0,60.0,0,2.0,2.0,2.0,2.0,0,12,7.0,7.0,1.0,0,1,0,0,0
驚喜價國際級夜市優質店面,八德路四段,0,0,0,0,0,0,0,0,0,0,1,0,141.0,0,,3.0,2.0,,0,12,-1.0,1.0,3.0,0,0,0,0,0
建築賞山河景觀樓中樓,八德路四段,0,0,0,0,0,0,0,0,0,0,1,0,165.0,0,3.0,4.0,3.0,3.0,0,14,14.0,14.0,1.0,0,1,0,0,0
BZ8台北摩根｜輕奢品味宅,南京東路五段,0,0,0,0,0,0,0,0,0,0,1,0,179.0,0,1.0,1.0,1.0,1.0,0,18,7.0,7.0,1.0,0,1,0,0,0
雙敦樹海電梯採光鼎佳,敦化南路一段,0,0,0,0,0,0,0,0,0,0,1,0,201.0,0,4.0,3.0,3.0,4.0,0,7,7.0,7.0,1.0,0,1,0,0,0
B2地上權松山露台兩房戶,南京東路五段,0,0,0,0,0,0,0,0,0,0,1,0,221.0,0,1.0,1.0,1.0,1.0,0,3,2.0,2.0,1.0,0,1,0,0,0
民生邊間大戶美廈,民生東路五段,0,0,0,0,0,0,0,0,0,0,1,0,42.0,0,,2.0,2.0,,0,15,5.0,5.0,1.0,0,0,0,0,0
民生社區林蔭頂佳,民權東路五段,0,0,0,0,0,0,0,0,0,0,1,0,42.0,0,5.0,3.0,3.0,5.0,0,5,5.0,5.0,1.0,0,1,0,0,0
民生社區高樓山景四房,民生東路五段,0,0,0,0,0,0,0,0,0,0,1,0,72.0,0,4.0,2.0,2.0,4.0,0,15,13.0,13.0,1.0,0,1,0,0,0
南京三民摩根稀有小宅,南京東路五段,0,0,0,0,0,0,0,0,0,0,1,0,96.0,0,1.0,1.0,1.0,1.0,0,18,7.0,7.0,1.0,0,1,0,0,0
松山新城樹景4房車,健康路,0,0,0,0,0,0,0,0,0,0,1,0,119.0,0,4.0,2.0,2.0,4.0,0,13,3.0,3.0,1.0,0,1,0,0,0
富春花園電梯3房,敦化北路,0,0,0,0,0,0,0,0,0,0,1,0,143.0,0,3.0,2.0,2.0,3.0,0,7,2.0,2.0,1.0,0,1,0,0,0
復北民權商辦,復興北路,0,0,0,0,0,0,0,0,0,0,1,0,167.0,0,,,,,0,15,13.0,13.0,1.0,0,0,0,0,0
K5收租王｜南京三民3百米,南京東路五段,0,0,0,0,0,0,0,0,0,0,1,0,189.0,0,5.0,,5.0,5.0,0,12,5.0,5.0,1.0,0,1,0,0,0
南京三民邊間4房+車位,吉祥路,0,0,0,0,0,0,0,0,0,0,1,0,208.0,1,4.0,2.0,2.0,4.0,0,7,4.0,4.0,1.0,0,1,0,0,0
K9合法隔套｜南京三民華廈,寶清街,0,0,0,0,0,0,0,0,0,0,1,0,228.0,0,,3.0,3.0,,0,7,7.0,7.0,1.0,0,0,0,1,0
南京三民挑高一樓,南京東路五段,0,0,0,0,0,0,0,0,0,0,1,0,253.0,0,3.0,2.0,1.0,3.0,0,6,1.0,1.0,1.0,0,1,0,0,0
民生重劃區美妝一樓,民權東路三段,0,0,0,0,0,0,0,0,0,0,1,0,44.0,0,6.0,4.0,4.0,6.0,0,7,-1.0,1.0,3.0,0,1,0,0,0
碧硯閣高樓三房+車位,三民路,0,0,0,0,0,0,0,0,0,0,1,0,71.0,1,3.0,2.0,2.0,3.0,0,24,13.0,13.0,1.0,0,1,0,0,0
F5民生社區稀有採光雅寓,新東街,0,0,0,0,0,0,0,0,0,0,1,0,93.0,0,3.0,2.0,2.0,3.0,0,4,4.0,4.0,1.0,0,1,0,0,0
