物件編號,物件名稱,地址,格局,坪數,樓層,屋齡,類型,價格
QS46199,西門町來來大廈電梯套房,萬華區開封街二段,開放式,44坪,6/9樓,36年,住宅,26萬
YS197336,高樓河岸美景,萬華區水源路,3房(室)2廳2衛,71坪,16/16樓,65年,住宅,59萬
WS71961,CZ5晶麒｜邊間陽光可三房,萬華區康定路,2房(室)1廳1衛,93坪,6/26樓,23年,住宅,81萬
WS71300,CZ5台北晶麒｜兩房好宅,萬華區康定路,2房(室)1廳1衛,107坪,18/26樓,23年,住宅,103萬
WS52290,BZ9西門捷運｜一級棒宅宅,萬華區成都路,1房(室)1廳1衛,130坪,8/12樓,125年,住宅,119萬
WS70766,DZ4青年公園｜低總方正2房,萬華區國興路,2房(室)1廳1衛,152坪,1/12樓,147年,住宅,143萬
WS70750,BZ6西門站高樓層｜三面採光,萬華區成都路,1房(室)1廳1衛,170坪,14/14樓,165年,住宅,162萬
WS70923,EZ5龍山寺｜全新美裝三房車,萬華區西園路二段,3房(室)2廳2衛,188坪,4/9樓,183年,住宅,179萬
WS70981,EZ5萬華車站｜美裝三房車,萬華區西園路二段,3房(室)2廳2衛,201坪,4/9樓,183年,住宅,198萬
WS50207,BZ6西門町×美套×低總價,萬華區昆明街,1房(室)1廳1衛,220坪,7/10樓,215年,住宅,119萬
WS70427,萬華河濱公園電梯3房,萬華區長泰街,3房(室)2廳1衛,45坪,5/7樓,38年,住宅,26萬
WS70226,B5專任1房1廳美妝套房,萬華區西昌街,1房(室)1廳1衛,70坪,6/7樓,64年,住宅,59萬
ZS190457,F9桂林景觀邊間電梯三房,萬華區桂林路,3房(室)2廳2衛,91坪,6/7樓,86年,住宅,82萬
HS59030,西門町買車位送26坪商業地,萬華區昆明街,開放式,116坪,B1/9樓,111年,車位,103萬
WS53885,未來廈安站雙併邊間三房車,萬華區中華路二段,3房(室)2廳2衛,138坪,3/6樓,133年,住宅,128萬
WS51136,JZ3西門熊獅獻瑞金店面二,萬華區西寧南路,--房(室)1廳--衛,163坪,2/10樓,158年,住宅,151萬
WS51134,JZ3西門熊獅獻瑞金店面一,萬華區西寧南路,--房(室)1廳--衛,174坪,2/10樓,158年,住宅,171萬
WS65588,DZ2西門貴陽邊間2房車不二價,萬華區貴陽街二段,2房(室)2廳2衛,192坪,5/11樓,187年,住宅,182萬
WS62578,IZ2萬華小透天｜都更金雞,萬華區武成街,4房(室)--廳4衛,205坪,1-3/3樓,209年,住宅,202萬
