物件名稱,路段,行政區_中山區,行政區_中正區,行政區_信義區,行政區_內湖區,行政區_北投區,行政區_南港區,行政區_士林區,行政區_大同區,行政區_大安區,行政區_文山區,行政區_松山區,行政區_萬華區,建坪,車位,房,廳,衛,室,有加蓋,總樓層,起始樓層,最高樓層,物件涵蓋層數,房屋類型_公寓,房屋類型_大樓,房屋類型_套房,房屋類型_華廈,房屋類型_透天
西門町來來大廈電梯套房,開封街二段,0,0,0,0,0,0,0,0,0,0,0,1,44.0,0,,,,,0,9.0,6.0,6.0,1.0,0,0,1,0,0
高樓河岸美景,水源路,0,0,0,0,0,0,0,0,0,0,0,1,71.0,0,3.0,2.0,2.0,3.0,0,16.0,16.0,16.0,1.0,0,1,0,0,0
CZ5晶麒｜邊間陽光可三房,康定路,0,0,0,0,0,0,0,0,0,0,0,1,93.0,0,2.0,1.0,1.0,2.0,0,26.0,6.0,6.0,1.0,0,1,0,0,0
CZ5台北晶麒｜兩房好宅,康定路,0,0,0,0,0,0,0,0,0,0,0,1,107.0,0,2.0,1.0,1.0,2.0,0,26.0,18.0,18.0,1.0,0,1,0,0,0
BZ9西門捷運｜一級棒宅宅,成都路,0,0,0,0,0,0,0,0,0,0,0,1,130.0,0,1.0,1.0,1.0,1.0,0,12.0,8.0,8.0,1.0,0,1,0,0,0
DZ4青年公園｜低總方正2房,國興路,0,0,0,0,0,0,0,0,0,0,0,1,152.0,0,2.0,1.0,1.0,2.0,0,12.0,1.0,1.0,1.0,0,1,0,0,0
BZ6西門站高樓層｜三面採光,成都路,0,0,0,0,0,0,0,0,0,0,0,1,170.0,0,1.0,1.0,1.0,1.0,0,14.0,14.0,14.0,1.0,0,1,0,0,0
EZ5龍山寺｜全新美裝三房車,西園路二段,0,0,0,0,0,0,0,0,0,0,0,1,188.0,0,3.0,2.0,2.0,3.0,0,9.0,4.0,4.0,1.0,0,1,0,0,0
EZ5萬華車站｜美裝三房車,西園路二段,0,0,0,0,0,0,0,0,0,0,0,1,201.0,0,3.0,2.0,2.0,3.0,0,9.0,4.0,4.0,1.0,0,1,0,0,0
BZ6西門町×美套×低總價,昆明街,0,0,0,0,0,0,0,0,0,0,0,1,220.0,0,1.0,1.0,1.0,1.0,0,10.0,7.0,7.0,1.0,0,1,0,0,0
萬華河濱公園電梯3房,長泰街,0,0,0,0,0,0,0,0,0,0,0,1,45.0,0,3.0,2.0,1.0,3.0,0,7.0,5.0,5.0,1.0,0,1,0,0,0
B5專任1房1廳美妝套房,西昌街,0,0,0,0,0,0,0,0,0,0,0,1,70.0,0,1.0,1.0,1.0,1.0,0,7.0,6.0,6.0,1.0,0,0,1,0,0
F9桂林景觀邊間電梯三房,桂林路,0,0,0,0,0,0,0,0,0,0,0,1,91.0,0,3.0,2.0,2.0,3.0,0,7.0,6.0,6.0,1.0,0,1,0,0,0
西門町買車位送26坪商業地,昆明街,0,0,0,0,0,0,0,0,0,0,0,1,116.0,1,,,,,0,9.0,-1.0,-1.0,1.0,0,0,0,0,0
未來廈安站雙併邊間三房車,中華路二段,0,0,0,0,0,0,0,0,0,0,0,1,138.0,0,3.0,2.0,2.0,3.0,0,6.0,3.0,3.0,1.0,0,1,0,0,0
JZ3西門熊獅獻瑞金店面二,西寧南路,0,0,0,0,0,0,0,0,0,0,0,1,163.0,0,,1.0,,,0,10.0,2.0,2.0,1.0,0,1,0,0,0
JZ3西門熊獅獻瑞金店面一,西寧南路,0,0,0,0,0,0,0,0,0,0,0,1,174.0,0,,1.0,,,0,10.0,2.0,2.0,1.0,0,1,0,0,0
