物件編號,物件名稱,地區,地址,格局,坪數,樓層,屋齡,類型,價格
WS71446,靜巷美妝電梯3房附車位,台北市中正區,台北市中正區寧波西街​,3房(室)1廳2衛,38.66坪,5樓/5樓,10.3年,華廈,3980萬 → 3850萬
WS71468,FZ7螢橋學區陽光三房美寓,台北市中正區,台北市中正區泉州街​,3房(室)2廳2衛,27.79坪,3樓/4樓,49.4年,公寓,2088萬
WS19612,J11雙子星北車站前金店面,台北市中正區,台北市中正區開封街一段​,,92.22坪,1樓/12樓,37.5年,大樓,10998萬 → 9888萬
WS70519,巨流河景觀精緻2房,台北市中正區,台北市中正區水源路​,2房(室)2廳2衛,40.32坪,2樓/15樓,6.9年,大樓,4068萬
YS162499,重慶南路汀洲路口三角窗店,台北市中正區,台北市中正區重慶南路三段​,,107.47坪,1樓/12樓,42.7年,大樓,6600萬 → 5688萬
WS70597,❤大安森林公園透天金店,台北市中正區,台北市中正區新生南路一段​,,95.65坪,3樓/3樓,64.8年,透天,24000萬
WS50624,JZ9古亭中正大觀店辦首選,台北市中正區,台北市中正區南昌路一段​,1房(室)1廳1衛,55.56坪,2樓/18樓,16年,大樓,5880萬 → 5680萬
WS60576,植物園全新二房車,台北市中正區,台北市中正區南海路​,2房(室)2廳1衛,37.33坪,3樓/7樓,1.1年,華廈,3388萬 → 3280萬
WS60577,中正捷運古亭美裝三室管理,台北市中正區,台北市中正區羅斯福路二段​,,27.53坪,3樓/12樓,38.2年,大樓,3380萬 → 2998萬
WS70108,JZ5忠孝新生陽台大套辦3,台北市中正區,台北市中正區金山北路​,,13.5坪,4樓/14樓,15.4年,,1250萬
WS71446,靜巷美妝電梯3房附車位,台北市中正區,台北市中正區寧波西街​,3房(室)1廳2衛,38.66坪,5樓/5樓,10.3年,華廈,3980萬 → 3850萬
WS71468,FZ7螢橋學區陽光三房美寓,台北市中正區,台北市中正區泉州街​,3房(室)2廳2衛,27.79坪,3樓/4樓,49.4年,公寓,2088萬
WS19612,J11雙子星北車站前金店面,台北市中正區,台北市中正區開封街一段​,,92.22坪,1樓/12樓,37.5年,大樓,10998萬 → 9888萬
WS70519,巨流河景觀精緻2房,台北市中正區,台北市中正區水源路​,2房(室)2廳2衛,40.32坪,2樓/15樓,6.9年,大樓,4068萬
YS162499,重慶南路汀洲路口三角窗店,台北市中正區,台北市中正區重慶南路三段​,,107.47坪,1樓/12樓,42.7年,大樓,6600萬 → 5688萬
WS70597,❤大安森林公園透天金店,台北市中正區,台北市中正區新生南路一段​,,95.65坪,3樓/3樓,64.8年,透天,24000萬
WS50624,JZ9古亭中正大觀店辦首選,台北市中正區,台北市中正區南昌路一段​,1房(室)1廳1衛,55.56坪,2樓/18樓,16年,大樓,5880萬 → 5680萬
WS60576,植物園全新二房車,台北市中正區,台北市中正區南海路​,2房(室)2廳1衛,37.33坪,3樓/7樓,1.1年,華廈,3388萬 → 3280萬
WS60577,中正捷運古亭美裝三室管理,台北市中正區,台北市中正區羅斯福路二段​,,27.53坪,3樓/12樓,38.2年,大樓,3380萬 → 2998萬
WS70108,JZ5忠孝新生陽台大套辦3,台北市中正區,台北市中正區金山北路​,,13.5坪,4樓/14樓,15.4年,,1250萬
WS71446,靜巷美妝電梯3房附車位,台北市中正區,台北市中正區寧波西街​,3房(室)1廳2衛,38.66坪,5樓/5樓,10.3年,華廈,3980萬 → 3850萬
WS71468,FZ7螢橋學區陽光三房美寓,台北市中正區,台北市中正區泉州街​,3房(室)2廳2衛,27.79坪,3樓/4樓,49.4年,公寓,2088萬
WS19612,J11雙子星北車站前金店面,台北市中正區,台北市中正區開封街一段​,,92.22坪,1樓/12樓,37.5年,大樓,10998萬 → 9888萬
WS70519,巨流河景觀精緻2房,台北市中正區,台北市中正區水源路​,2房(室)2廳2衛,40.32坪,2樓/15樓,6.9年,大樓,4068萬
YS162499,重慶南路汀洲路口三角窗店,台北市中正區,台北市中正區重慶南路三段​,,107.47坪,1樓/12樓,42.7年,大樓,6600萬 → 5688萬
WS70597,❤大安森林公園透天金店,台北市中正區,台北市中正區新生南路一段​,,95.65坪,3樓/3樓,64.8年,透天,24000萬
WS50624,JZ9古亭中正大觀店辦首選,台北市中正區,台北市中正區南昌路一段​,1房(室)1廳1衛,55.56坪,2樓/18樓,16年,大樓,5880萬 → 5680萬
WS60576,植物園全新二房車,台北市中正區,台北市中正區南海路​,2房(室)2廳1衛,37.33坪,3樓/7樓,1.1年,華廈,3388萬 → 3280萬
WS60577,中正捷運古亭美裝三室管理,台北市中正區,台北市中正區羅斯福路二段​,,27.53坪,3樓/12樓,38.2年,大樓,3380萬 → 2998萬
WS70108,JZ5忠孝新生陽台大套辦3,台北市中正區,台北市中正區金山北路​,,13.5坪,4樓/14樓,15.4年,,1250萬
WS71446,靜巷美妝電梯3房附車位,台北市中正區,台北市中正區寧波西街​,3房(室)1廳2衛,38.66坪,5樓/5樓,10.3年,華廈,3980萬 → 3850萬
WS71468,FZ7螢橋學區陽光三房美寓,台北市中正區,台北市中正區泉州街​,3房(室)2廳2衛,27.79坪,3樓/4樓,49.4年,公寓,2088萬
WS19612,J11雙子星北車站前金店面,台北市中正區,台北市中正區開封街一段​,,92.22坪,1樓/12樓,37.5年,大樓,10998萬 → 9888萬
WS70519,巨流河景觀精緻2房,台北市中正區,台北市中正區水源路​,2房(室)2廳2衛,40.32坪,2樓/15樓,6.9年,大樓,4068萬
YS162499,重慶南路汀洲路口三角窗店,台北市中正區,台北市中正區重慶南路三段​,,107.47坪,1樓/12樓,42.7年,大樓,6600萬 → 5688萬
WS70597,❤大安森林公園透天金店,台北市中正區,台北市中正區新生南路一段​,,95.65坪,3樓/3樓,64.8年,透天,24000萬
WS50624,JZ9古亭中正大觀店辦首選,台北市中正區,台北市中正區南昌路一段​,1房(室)1廳1衛,55.56坪,2樓/18樓,16年,大樓,5880萬 → 5680萬
WS60576,植物園全新二房車,台北市中正區,台北市中正區南海路​,2房(室)2廳1衛,37.33坪,3樓/7樓,1.1年,華廈,3388萬 → 3280萬
WS60577,中正捷運古亭美裝三室管理,台北市中正區,台北市中正區羅斯福路二段​,,27.53坪,3樓/12樓,38.2年,大樓,3380萬 → 2998萬
WS70108,JZ5忠孝新生陽台大套辦3,台北市中正區,台北市中正區金山北路​,,13.5坪,4樓/14樓,15.4年,,1250萬
WS71446,靜巷美妝電梯3房附車位,台北市中正區,台北市中正區寧波西街​,3房(室)1廳2衛,38.66坪,5樓/5樓,10.3年,華廈,3980萬 → 3850萬
WS71468,FZ7螢橋學區陽光三房美寓,台北市中正區,台北市中正區泉州街​,3房(室)2廳2衛,27.79坪,3樓/4樓,49.4年,公寓,2088萬
WS19612,J11雙子星北車站前金店面,台北市中正區,台北市中正區開封街一段​,,92.22坪,1樓/12樓,37.5年,大樓,10998萬 → 9888萬
WS70519,巨流河景觀精緻2房,台北市中正區,台北市中正區水源路​,2房(室)2廳2衛,40.32坪,2樓/15樓,6.9年,大樓,4068萬
YS162499,重慶南路汀洲路口三角窗店,台北市中正區,台北市中正區重慶南路三段​,,107.47坪,1樓/12樓,42.7年,大樓,6600萬 → 5688萬
WS70597,❤大安森林公園透天金店,台北市中正區,台北市中正區新生南路一段​,,95.65坪,3樓/3樓,64.8年,透天,24000萬
WS50624,JZ9古亭中正大觀店辦首選,台北市中正區,台北市中正區南昌路一段​,1房(室)1廳1衛,55.56坪,2樓/18樓,16年,大樓,5880萬 → 5680萬
WS60576,植物園全新二房車,台北市中正區,台北市中正區南海路​,2房(室)2廳1衛,37.33坪,3樓/7樓,1.1年,華廈,3388萬 → 3280萬
WS60577,中正捷運古亭美裝三室管理,台北市中正區,台北市中正區羅斯福路二段​,,27.53坪,3樓/12樓,38.2年,大樓,3380萬 → 2998萬
WS70108,JZ5忠孝新生陽台大套辦3,台北市中正區,台北市中正區金山北路​,,13.5坪,4樓/14樓,15.4年,,1250萬
WS71446,靜巷美妝電梯3房附車位,台北市中正區,台北市中正區寧波西街​,3房(室)1廳2衛,38.66坪,5樓/5樓,10.3年,華廈,3980萬 → 3850萬
WS71468,FZ7螢橋學區陽光三房美寓,台北市中正區,台北市中正區泉州街​,3房(室)2廳2衛,27.79坪,3樓/4樓,49.4年,公寓,2088萬
WS19612,J11雙子星北車站前金店面,台北市中正區,台北市中正區開封街一段​,,92.22坪,1樓/12樓,37.5年,大樓,10998萬 → 9888萬
WS70519,巨流河景觀精緻2房,台北市中正區,台北市中正區水源路​,2房(室)2廳2衛,40.32坪,2樓/15樓,6.9年,大樓,4068萬
