物件編號,物件名稱,地區,地址,格局,坪數,樓層,屋齡,類型,價格
ZS187442,白色康寧公寓頂加,內湖區,內湖區康寧路三段,3房(室)2廳2衛,30.43坪,5樓/5樓,38.9年,住宅,2980萬 → 2300萬
ZS191894,台北市低總價公寓3樓,內湖區,內湖區安康路,2房(室)1廳1衛,19.64坪,3樓/4樓,44.3年,住宅,1348萬 → 1200萬
WS71139,內湖馨讚,內湖區,內湖區民權東路六段,2房(室)1廳1衛,5.97坪,2樓/9樓,19.7年,住宅,1200萬
WS55781,大湖親水公園邊間三房,內湖區,內湖區大湖山莊街,3房(室)2廳1衛,35.56坪,3樓/5樓,38.9年,住宅,2680萬 → 2450萬
HS58881,湖興公園旁一樓寓,內湖區,內湖區成功路二段,6房(室)4廳2衛,28.7坪,B1-1樓/7樓,36.8年,住宅,4000萬 → 3500萬
ZS171121,智慧大樓挑高廠辦,內湖區,內湖區瑞光路,5室1廳1衛,64.93坪,5樓/7樓,26.8年,廠房,7800萬 → 6480萬
ZS179275,F2獨家西湖大第三房坡車,內湖區,內湖區文湖街,3房(室)2廳2衛,26.83坪,1樓/9樓,32.3年,住宅,3600萬 → 3188萬
WS50784,美墅綠天地,內湖區,內湖區成功路四段,4房(室)4廳3衛,54.2坪,B2-4樓/4樓,39.7年,住宅,6588萬 → 6288萬
WS32535,內湖行善大住店辦,內湖區,內湖區行善路,6室1廳2衛,71.89坪,1樓/10樓,27.8年,店面,8600萬 → 7980萬
ZS128317,墅琴獨棟頂級別莊,內湖區,內湖區民權東路六段,9房(室)7廳9衛,149.41坪,1-5樓/5樓,19.4年,住宅,16800萬 → 14800萬
ZS187442,白色康寧公寓頂加,內湖區,內湖區康寧路三段,3房(室)2廳2衛,30.43坪,5樓/5樓,38.9年,住宅,2980萬 → 2300萬
ZS191894,台北市低總價公寓3樓,內湖區,內湖區安康路,2房(室)1廳1衛,19.64坪,3樓/4樓,44.3年,住宅,1348萬 → 1200萬
WS71139,內湖馨讚,內湖區,內湖區民權東路六段,2房(室)1廳1衛,5.97坪,2樓/9樓,19.7年,住宅,1200萬
WS55781,大湖親水公園邊間三房,內湖區,內湖區大湖山莊街,3房(室)2廳1衛,35.56坪,3樓/5樓,38.9年,住宅,2680萬 → 2450萬
HS58881,湖興公園旁一樓寓,內湖區,內湖區成功路二段,6房(室)4廳2衛,28.7坪,B1-1樓/7樓,36.8年,住宅,4000萬 → 3500萬
ZS171121,智慧大樓挑高廠辦,內湖區,內湖區瑞光路,5室1廳1衛,64.93坪,5樓/7樓,26.8年,廠房,7800萬 → 6480萬
ZS179275,F2獨家西湖大第三房坡車,內湖區,內湖區文湖街,3房(室)2廳2衛,26.83坪,1樓/9樓,32.3年,住宅,3600萬 → 3188萬
WS50784,美墅綠天地,內湖區,內湖區成功路四段,4房(室)4廳3衛,54.2坪,B2-4樓/4樓,39.7年,住宅,6588萬 → 6288萬
WS32535,內湖行善大住店辦,內湖區,內湖區行善路,6室1廳2衛,71.89坪,1樓/10樓,27.8年,店面,8600萬 → 7980萬
ZS128317,墅琴獨棟頂級別莊,內湖區,內湖區民權東路六段,9房(室)7廳9衛,149.41坪,1-5樓/5樓,19.4年,住宅,16800萬 → 14800萬
ZS187442,白色康寧公寓頂加,內湖區,內湖區康寧路三段,3房(室)2廳2衛,30.43坪,5樓/5樓,38.9年,住宅,2980萬 → 2300萬
ZS191894,台北市低總價公寓3樓,內湖區,內湖區安康路,2房(室)1廳1衛,19.64坪,3樓/4樓,44.3年,住宅,1348萬 → 1200萬
WS71139,內湖馨讚,內湖區,內湖區民權東路六段,2房(室)1廳1衛,5.97坪,2樓/9樓,19.7年,住宅,1200萬
WS55781,大湖親水公園邊間三房,內湖區,內湖區大湖山莊街,3房(室)2廳1衛,35.56坪,3樓/5樓,38.9年,住宅,2680萬 → 2450萬
HS58881,湖興公園旁一樓寓,內湖區,內湖區成功路二段,6房(室)4廳2衛,28.7坪,B1-1樓/7樓,36.8年,住宅,4000萬 → 3500萬
ZS171121,智慧大樓挑高廠辦,內湖區,內湖區瑞光路,5室1廳1衛,64.93坪,5樓/7樓,26.8年,廠房,7800萬 → 6480萬
ZS179275,F2獨家西湖大第三房坡車,內湖區,內湖區文湖街,3房(室)2廳2衛,26.83坪,1樓/9樓,32.3年,住宅,3600萬 → 3188萬
WS50784,美墅綠天地,內湖區,內湖區成功路四段,4房(室)4廳3衛,54.2坪,B2-4樓/4樓,39.7年,住宅,6588萬 → 6288萬
WS32535,內湖行善大住店辦,內湖區,內湖區行善路,6室1廳2衛,71.89坪,1樓/10樓,27.8年,店面,8600萬 → 7980萬
ZS128317,墅琴獨棟頂級別莊,內湖區,內湖區民權東路六段,9房(室)7廳9衛,149.41坪,1-5樓/5樓,19.4年,住宅,16800萬 → 14800萬
ZS187442,白色康寧公寓頂加,內湖區,內湖區康寧路三段,3房(室)2廳2衛,30.43坪,5樓/5樓,38.9年,住宅,2980萬 → 2300萬
ZS191894,台北市低總價公寓3樓,內湖區,內湖區安康路,2房(室)1廳1衛,19.64坪,3樓/4樓,44.3年,住宅,1348萬 → 1200萬
WS71139,內湖馨讚,內湖區,內湖區民權東路六段,2房(室)1廳1衛,5.97坪,2樓/9樓,19.7年,住宅,1200萬
WS55781,大湖親水公園邊間三房,內湖區,內湖區大湖山莊街,3房(室)2廳1衛,35.56坪,3樓/5樓,38.9年,住宅,2680萬 → 2450萬
HS58881,湖興公園旁一樓寓,內湖區,內湖區成功路二段,6房(室)4廳2衛,28.7坪,B1-1樓/7樓,36.8年,住宅,4000萬 → 3500萬
ZS171121,智慧大樓挑高廠辦,內湖區,內湖區瑞光路,5室1廳1衛,64.93坪,5樓/7樓,26.8年,廠房,7800萬 → 6480萬
ZS179275,F2獨家西湖大第三房坡車,內湖區,內湖區文湖街,3房(室)2廳2衛,26.83坪,1樓/9樓,32.3年,住宅,3600萬 → 3188萬
