物件編號,物件名稱,地區,地址,格局,坪數,樓層,屋齡,類型,價格
WS71536,康橋原味新婚小資成家首選,文山區,文山區景興路,2房2廳1衛加蓋1房2室,11.27坪,10樓/12樓,23.9年,住宅,1490萬
WS71360,和風集面公園3房車,文山區,文山區福興路,3房(室)2廳2衛,21.5坪,7樓/12樓,16.3年,住宅,2898萬
ZS175670,力行國小邊間2樓,文山區,文山區木新路三段,3房(室)2廳2衛,23.9坪,2樓/4樓,42.7年,住宅,1720萬 → 1699萬
WS56398,萬芳再興庭院挑高客廳大一樓,文山區,文山區興隆路三段,6房(室)4廳3衛,15.51坪,1-B2樓/5樓,43.3年,住宅,2980萬 → 2788萬
OS219813,萬芳捷運方正3樓,文山區,文山區興隆路三段,3房(室)2廳2衛,22.34坪,3樓/5樓,41.6年,住宅,1260萬 → 1050萬
YS155064,敦南山林景觀別墅,文山區,文山區木柵路四段,5房3廳4衛7室 (含加蓋1房1室),66.44坪,B1-4樓/4樓,33.7年,住宅,5398萬 → 4600萬
WS62480,隆德天下三房+車位,文山區,文山區汀州路四段,3房(室)2廳2衛,29.12坪,2樓/14樓,15.3年,住宅,3880萬 → 3780萬
YS188277,敦南觀止雅緻雙車位,文山區,文山區福興路,2房(室)2廳2衛,22.74坪,11樓/14樓,13.6年,住宅,3488萬 → 3198萬
ZS180762,文湖線玫瑰美寓,文山區,文山區興德路,2房2廳1衛/加蓋2房1廳1衛,21.37坪,4樓/4樓,47.6年,住宅,2168萬 → 1788萬
ZS175746,萬隆捷運商三土地,文山區,文山區羅斯福路五段,,18.91坪(地坪),,,土地,12000萬
WS71536,康橋原味新婚小資成家首選,文山區,文山區景興路,2房2廳1衛加蓋1房2室,11.27坪,10樓/12樓,23.9年,住宅,1490萬
WS71360,和風集面公園3房車,文山區,文山區福興路,3房(室)2廳2衛,21.5坪,7樓/12樓,16.3年,住宅,2898萬
ZS175670,力行國小邊間2樓,文山區,文山區木新路三段,3房(室)2廳2衛,23.9坪,2樓/4樓,42.7年,住宅,1720萬 → 1699萬
WS56398,萬芳再興庭院挑高客廳大一樓,文山區,文山區興隆路三段,6房(室)4廳3衛,15.51坪,1-B2樓/5樓,43.3年,住宅,2980萬 → 2788萬
OS219813,萬芳捷運方正3樓,文山區,文山區興隆路三段,3房(室)2廳2衛,22.34坪,3樓/5樓,41.6年,住宅,1260萬 → 1050萬
YS155064,敦南山林景觀別墅,文山區,文山區木柵路四段,5房3廳4衛7室 (含加蓋1房1室),66.44坪,B1-4樓/4樓,33.7年,住宅,5398萬 → 4600萬
WS62480,隆德天下三房+車位,文山區,文山區汀州路四段,3房(室)2廳2衛,29.12坪,2樓/14樓,15.3年,住宅,3880萬 → 3780萬
YS188277,敦南觀止雅緻雙車位,文山區,文山區福興路,2房(室)2廳2衛,22.74坪,11樓/14樓,13.6年,住宅,3488萬 → 3198萬
ZS180762,文湖線玫瑰美寓,文山區,文山區興德路,2房2廳1衛/加蓋2房1廳1衛,21.37坪,4樓/4樓,47.6年,住宅,2168萬 → 1788萬
ZS175746,萬隆捷運商三土地,文山區,文山區羅斯福路五段,,18.91坪(地坪),,,土地,12000萬
WS71536,康橋原味新婚小資成家首選,文山區,文山區景興路,2房2廳1衛加蓋1房2室,11.27坪,10樓/12樓,23.9年,住宅,1490萬
WS71360,和風集面公園3房車,文山區,文山區福興路,3房(室)2廳2衛,21.5坪,7樓/12樓,16.3年,住宅,2898萬
ZS175670,力行國小邊間2樓,文山區,文山區木新路三段,3房(室)2廳2衛,23.9坪,2樓/4樓,42.7年,住宅,1720萬 → 1699萬
WS56398,萬芳再興庭院挑高客廳大一樓,文山區,文山區興隆路三段,6房(室)4廳3衛,15.51坪,1-B2樓/5樓,43.3年,住宅,2980萬 → 2788萬
OS219813,萬芳捷運方正3樓,文山區,文山區興隆路三段,3房(室)2廳2衛,22.34坪,3樓/5樓,41.6年,住宅,1260萬 → 1050萬
YS155064,敦南山林景觀別墅,文山區,文山區木柵路四段,5房3廳4衛7室 (含加蓋1房1室),66.44坪,B1-4樓/4樓,33.7年,住宅,5398萬 → 4600萬
WS62480,隆德天下三房+車位,文山區,文山區汀州路四段,3房(室)2廳2衛,29.12坪,2樓/14樓,15.3年,住宅,3880萬 → 3780萬
YS188277,敦南觀止雅緻雙車位,文山區,文山區福興路,2房(室)2廳2衛,22.74坪,11樓/14樓,13.6年,住宅,3488萬 → 3198萬
ZS180762,文湖線玫瑰美寓,文山區,文山區興德路,2房2廳1衛/加蓋2房1廳1衛,21.37坪,4樓/4樓,47.6年,住宅,2168萬 → 1788萬
ZS175746,萬隆捷運商三土地,文山區,文山區羅斯福路五段,,18.91坪(地坪),,,土地,12000萬
WS71536,康橋原味新婚小資成家首選,文山區,文山區景興路,2房2廳1衛加蓋1房2室,11.27坪,10樓/12樓,23.9年,住宅,1490萬
WS71360,和風集面公園3房車,文山區,文山區福興路,3房(室)2廳2衛,21.5坪,7樓/12樓,16.3年,住宅,2898萬
ZS175670,力行國小邊間2樓,文山區,文山區木新路三段,3房(室)2廳2衛,23.9坪,2樓/4樓,42.7年,住宅,1720萬 → 1699萬
WS56398,萬芳再興庭院挑高客廳大一樓,文山區,文山區興隆路三段,6房(室)4廳3衛,15.51坪,1-B2樓/5樓,43.3年,住宅,2980萬 → 2788萬
OS219813,萬芳捷運方正3樓,文山區,文山區興隆路三段,3房(室)2廳2衛,22.34坪,3樓/5樓,41.6年,住宅,1260萬 → 1050萬
YS155064,敦南山林景觀別墅,文山區,文山區木柵路四段,5房3廳4衛7室 (含加蓋1房1室),66.44坪,B1-4樓/4樓,33.7年,住宅,5398萬 → 4600萬
WS62480,隆德天下三房+車位,文山區,文山區汀州路四段,3房(室)2廳2衛,29.12坪,2樓/14樓,15.3年,住宅,3880萬 → 3780萬
YS188277,敦南觀止雅緻雙車位,文山區,文山區福興路,2房(室)2廳2衛,22.74坪,11樓/14樓,13.6年,住宅,3488萬 → 3198萬
ZS180762,文湖線玫瑰美寓,文山區,文山區興德路,2房2廳1衛/加蓋2房1廳1衛,21.37坪,4樓/4樓,47.6年,住宅,2168萬 → 1788萬
ZS175746,萬隆捷運商三土地,文山區,文山區羅斯福路五段,,18.91坪(地坪),,,土地,12000萬
WS71536,康橋原味新婚小資成家首選,文山區,文山區景興路,2房2廳1衛加蓋1房2室,11.27坪,10樓/12樓,23.9年,住宅,1490萬
WS71360,和風集面公園3房車,文山區,文山區福興路,3房(室)2廳2衛,21.5坪,7樓/12樓,16.3年,住宅,2898萬
ZS175670,力行國小邊間2樓,文山區,文山區木新路三段,3房(室)2廳2衛,23.9坪,2樓/4樓,42.7年,住宅,1720萬 → 1699萬
WS56398,萬芳再興庭院挑高客廳大一樓,文山區,文山區興隆路三段,6房(室)4廳3衛,15.51坪,1-B2樓/5樓,43.3年,住宅,2980萬 → 2788萬
OS219813,萬芳捷運方正3樓,文山區,文山區興隆路三段,3房(室)2廳2衛,22.34坪,3樓/5樓,41.6年,住宅,1260萬 → 1050萬
YS155064,敦南山林景觀別墅,文山區,文山區木柵路四段,5房3廳4衛7室 (含加蓋1房1室),66.44坪,B1-4樓/4樓,33.7年,住宅,5398萬 → 4600萬
WS62480,隆德天下三房+車位,文山區,文山區汀州路四段,3房(室)2廳2衛,29.12坪,2樓/14樓,15.3年,住宅,3880萬 → 3780萬
YS188277,敦南觀止雅緻雙車位,文山區,文山區福興路,2房(室)2廳2衛,22.74坪,11樓/14樓,13.6年,住宅,3488萬 → 3198萬
ZS180762,文湖線玫瑰美寓,文山區,文山區興德路,2房2廳1衛/加蓋2房1廳1衛,21.37坪,4樓/4樓,47.6年,住宅,2168萬 → 1788萬
ZS175746,萬隆捷運商三土地,文山區,文山區羅斯福路五段,,18.91坪(地坪),,,土地,12000萬
WS71536,康橋原味新婚小資成家首選,文山區,文山區景興路,2房2廳1衛加蓋1房2室,11.27坪,10樓/12樓,23.9年,住宅,1490萬
WS71360,和風集面公園3房車,文山區,文山區福興路,3房(室)2廳2衛,21.5坪,7樓/12樓,16.3年,住宅,2898萬
ZS175670,力行國小邊間2樓,文山區,文山區木新路三段,3房(室)2廳2衛,23.9坪,2樓/4樓,42.7年,住宅,1720萬 → 1699萬
WS56398,萬芳再興庭院挑高客廳大一樓,文山區,文山區興隆路三段,6房(室)4廳3衛,15.51坪,1-B2樓/5樓,43.3年,住宅,2980萬 → 2788萬
OS219813,萬芳捷運方正3樓,文山區,文山區興隆路三段,3房(室)2廳2衛,22.34坪,3樓/5樓,41.6年,住宅,1260萬 → 1050萬
YS155064,敦南山林景觀別墅,文山區,文山區木柵路四段,5房3廳4衛7室 (含加蓋1房1室),66.44坪,B1-4樓/4樓,33.7年,住宅,5398萬 → 4600萬
WS62480,隆德天下三房+車位,文山區,文山區汀州路四段,3房(室)2廳2衛,29.12坪,2樓/14樓,15.3年,住宅,3880萬 → 3780萬
YS188277,敦南觀止雅緻雙車位,文山區,文山區福興路,2房(室)2廳2衛,22.74坪,11樓/14樓,13.6年,住宅,3488萬 → 3198萬
ZS180762,文湖線玫瑰美寓,文山區,文山區興德路,2房2廳1衛/加蓋2房1廳1衛,21.37坪,4樓/4樓,47.6年,住宅,2168萬 → 1788萬
ZS175746,萬隆捷運商三土地,文山區,文山區羅斯福路五段,,18.91坪(地坪),,,土地,12000萬
WS71536,康橋原味新婚小資成家首選,文山區,文山區景興路,2房2廳1衛加蓋1房2室,11.27坪,10樓/12樓,23.9年,住宅,1490萬
WS71360,和風集面公園3房車,文山區,文山區福興路,3房(室)2廳2衛,21.5坪,7樓/12樓,16.3年,住宅,2898萬
ZS175670,力行國小邊間2樓,文山區,文山區木新路三段,3房(室)2廳2衛,23.9坪,2樓/4樓,42.7年,住宅,1720萬 → 1699萬
WS56398,萬芳再興庭院挑高客廳大一樓,文山區,文山區興隆路三段,6房(室)4廳3衛,15.51坪,1-B2樓/5樓,43.3年,住宅,2980萬 → 2788萬
OS219813,萬芳捷運方正3樓,文山區,文山區興隆路三段,3房(室)2廳2衛,22.34坪,3樓/5樓,41.6年,住宅,1260萬 → 1050萬
YS155064,敦南山林景觀別墅,文山區,文山區木柵路四段,5房3廳4衛7室 (含加蓋1房1室),66.44坪,B1-4樓/4樓,33.7年,住宅,5398萬 → 4600萬
WS62480,隆德天下三房+車位,文山區,文山區汀州路四段,3房(室)2廳2衛,29.12坪,2樓/14樓,15.3年,住宅,3880萬 → 3780萬
YS188277,敦南觀止雅緻雙車位,文山區,文山區福興路,2房(室)2廳2衛,22.74坪,11樓/14樓,13.6年,住宅,3488萬 → 3198萬
ZS180762,文湖線玫瑰美寓,文山區,文山區興德路,2房2廳1衛/加蓋2房1廳1衛,21.37坪,4樓/4樓,47.6年,住宅,2168萬 → 1788萬
ZS175746,萬隆捷運商三土地,文山區,文山區羅斯福路五段,,18.91坪(地坪),,,土地,12000萬
WS71536,康橋原味新婚小資成家首選,文山區,文山區景興路,2房2廳1衛加蓋1房2室,11.27坪,10樓/12樓,23.9年,住宅,1490萬
WS71360,和風集面公園3房車,文山區,文山區福興路,3房(室)2廳2衛,21.5坪,7樓/12樓,16.3年,住宅,2898萬
ZS175670,力行國小邊間2樓,文山區,文山區木新路三段,3房(室)2廳2衛,23.9坪,2樓/4樓,42.7年,住宅,1720萬 → 1699萬
WS56398,萬芳再興庭院挑高客廳大一樓,文山區,文山區興隆路三段,6房(室)4廳3衛,15.51坪,1-B2樓/5樓,43.3年,住宅,2980萬 → 2788萬
OS219813,萬芳捷運方正3樓,文山區,文山區興隆路三段,3房(室)2廳2衛,22.34坪,3樓/5樓,41.6年,住宅,1260萬 → 1050萬
YS155064,敦南山林景觀別墅,文山區,文山區木柵路四段,5房3廳4衛7室 (含加蓋1房1室),66.44坪,B1-4樓/4樓,33.7年,住宅,5398萬 → 4600萬
WS62480,隆德天下三房+車位,文山區,文山區汀州路四段,3房(室)2廳2衛,29.12坪,2樓/14樓,15.3年,住宅,3880萬 → 3780萬
YS188277,敦南觀止雅緻雙車位,文山區,文山區福興路,2房(室)2廳2衛,22.74坪,11樓/14樓,13.6年,住宅,3488萬 → 3198萬
ZS180762,文湖線玫瑰美寓,文山區,文山區興德路,2房2廳1衛/加蓋2房1廳1衛,21.37坪,4樓/4樓,47.6年,住宅,2168萬 → 1788萬
ZS175746,萬隆捷運商三土地,文山區,文山區羅斯福路五段,,18.91坪(地坪),,,土地,12000萬
WS71536,康橋原味新婚小資成家首選,文山區,文山區景興路,2房2廳1衛加蓋1房2室,11.27坪,10樓/12樓,23.9年,住宅,1490萬
WS71360,和風集面公園3房車,文山區,文山區福興路,3房(室)2廳2衛,21.5坪,7樓/12樓,16.3年,住宅,2898萬
ZS175670,力行國小邊間2樓,文山區,文山區木新路三段,3房(室)2廳2衛,23.9坪,2樓/4樓,42.7年,住宅,1720萬 → 1699萬
WS56398,萬芳再興庭院挑高客廳大一樓,文山區,文山區興隆路三段,6房(室)4廳3衛,15.51坪,1-B2樓/5樓,43.3年,住宅,2980萬 → 2788萬
OS219813,萬芳捷運方正3樓,文山區,文山區興隆路三段,3房(室)2廳2衛,22.34坪,3樓/5樓,41.6年,住宅,1260萬 → 1050萬
YS155064,敦南山林景觀別墅,文山區,文山區木柵路四段,5房3廳4衛7室 (含加蓋1房1室),66.44坪,B1-4樓/4樓,33.7年,住宅,5398萬 → 4600萬
WS62480,隆德天下三房+車位,文山區,文山區汀州路四段,3房(室)2廳2衛,29.12坪,2樓/14樓,15.3年,住宅,3880萬 → 3780萬
YS188277,敦南觀止雅緻雙車位,文山區,文山區福興路,2房(室)2廳2衛,22.74坪,11樓/14樓,13.6年,住宅,3488萬 → 3198萬
ZS180762,文湖線玫瑰美寓,文山區,文山區興德路,2房2廳1衛/加蓋2房1廳1衛,21.37坪,4樓/4樓,47.6年,住宅,2168萬 → 1788萬
ZS175746,萬隆捷運商三土地,文山區,文山區羅斯福路五段,,18.91坪(地坪),,,土地,12000萬
WS71536,康橋原味新婚小資成家首選,文山區,文山區景興路,2房2廳1衛加蓋1房2室,11.27坪,10樓/12樓,23.9年,住宅,1490萬
WS71360,和風集面公園3房車,文山區,文山區福興路,3房(室)2廳2衛,21.5坪,7樓/12樓,16.3年,住宅,2898萬
ZS175670,力行國小邊間2樓,文山區,文山區木新路三段,3房(室)2廳2衛,23.9坪,2樓/4樓,42.7年,住宅,1720萬 → 1699萬
WS56398,萬芳再興庭院挑高客廳大一樓,文山區,文山區興隆路三段,6房(室)4廳3衛,15.51坪,1-B2樓/5樓,43.3年,住宅,2980萬 → 2788萬
OS219813,萬芳捷運方正3樓,文山區,文山區興隆路三段,3房(室)2廳2衛,22.34坪,3樓/5樓,41.6年,住宅,1260萬 → 1050萬
YS155064,敦南山林景觀別墅,文山區,文山區木柵路四段,5房3廳4衛7室 (含加蓋1房1室),66.44坪,B1-4樓/4樓,33.7年,住宅,5398萬 → 4600萬
WS62480,隆德天下三房+車位,文山區,文山區汀州路四段,3房(室)2廳2衛,29.12坪,2樓/14樓,15.3年,住宅,3880萬 → 3780萬
YS188277,敦南觀止雅緻雙車位,文山區,文山區福興路,2房(室)2廳2衛,22.74坪,11樓/14樓,13.6年,住宅,3488萬 → 3198萬
ZS180762,文湖線玫瑰美寓,文山區,文山區興德路,2房2廳1衛/加蓋2房1廳1衛,21.37坪,4樓/4樓,47.6年,住宅,2168萬 → 1788萬
ZS175746,萬隆捷運商三土地,文山區,文山區羅斯福路五段,,18.91坪(地坪),,,土地,12000萬
WS71536,康橋原味新婚小資成家首選,文山區,文山區景興路,2房2廳1衛加蓋1房2室,11.27坪,10樓/12樓,23.9年,住宅,1490萬
WS71360,和風集面公園3房車,文山區,文山區福興路,3房(室)2廳2衛,21.5坪,7樓/12樓,16.3年,住宅,2898萬
ZS175670,力行國小邊間2樓,文山區,文山區木新路三段,3房(室)2廳2衛,23.9坪,2樓/4樓,42.7年,住宅,1720萬 → 1699萬
WS56398,萬芳再興庭院挑高客廳大一樓,文山區,文山區興隆路三段,6房(室)4廳3衛,15.51坪,1-B2樓/5樓,43.3年,住宅,2980萬 → 2788萬
OS219813,萬芳捷運方正3樓,文山區,文山區興隆路三段,3房(室)2廳2衛,22.34坪,3樓/5樓,41.6年,住宅,1260萬 → 1050萬
YS155064,敦南山林景觀別墅,文山區,文山區木柵路四段,5房3廳4衛7室 (含加蓋1房1室),66.44坪,B1-4樓/4樓,33.7年,住宅,5398萬 → 4600萬
