物件編號,物件名稱,地址,格局,坪數,樓層,屋齡,類型,價格
YS197682,捷運吉星漂亮一 樓,北投區溫泉路,1房(室)1廳1衛,43坪,1/7樓,36年,住宅,26萬
YS197550,承德路七段辦公,北投區承德路七段,開放式,73坪,2/10樓,67年,辦公,59萬
YS189322,低總價捷運溫馨套房,北投區光明路,1房(室)1廳1衛,99坪,5/14樓,92年,住宅,86萬
YS197405,稀有方正邊間低樓層,北投區民族街,3房(室)2廳3衛,122坪,2/4樓,117年,住宅,111萬
YS178841,千佳溫泉社區美寓3樓,北投區溫泉路銀光巷,3房(室)2廳2衛,147坪,3/5樓,141年,住宅,135萬
YS173639,中和街大坪數膝蓋救星,北投區中和街,3房(室)2廳2衛,170坪,2/5樓,163年,住宅,160萬
YS177820,方正邊間採光三房(可隔4房),北投區民族街,3房(室)2廳2衛,190坪,5/5樓,184年,住宅,182萬
YS185173,北投清新綠漾裝潢鼎佳大空間,北投區溫泉路,4房(室)3廳2衛,211坪,5/5樓,205年,住宅,201萬
YS197300,北投奇岩捷運站國揚方正3樓美寓,北投區大業路,3房(室)2廳2衛,231坪,3/4樓,225年,住宅,222萬
YS179420,清社奇岩景觀4房,北投區崇仰一路,4房(室)2廳2衛,254坪,3/11樓,248年,住宅,243萬
OS172210,陽明山龍園庭園大戶一樓,北投區湖山路一段,5房(室)3廳4衛,45坪,1/3樓,38年,住宅,26萬
HS69636,北投區大筆農地,北投區竹子湖路,19,19坪,19/19樓,19年,土地,60萬
YS178938,新民路溫泉鼎加美寓,北投區新民路,4房(室)3廳3衛,94坪,5/5樓,86年,住宅,81萬
YS189630,北投公園旁景觀美寓,北投區光明路,2房(室)2廳2衛,117坪,5/5樓,110年,住宅,106萬
YS196088,晴園電梯室內溫泉套房,北投區幽雅路,1房(室)1廳1衛,141坪,3/5樓,135年,住宅,128萬
YS196767,開璽和碧車位,北投區西安街二段,--房(室)--廳--衛,19坪,-3/12樓,164年,車位,155萬
YS181859,貴園精典2房美廈+車位,北投區新民路,2房(室)3廳1衛,192坪,4/6樓,186年,住宅,181萬
YS65978,薇閣電梯溫泉豪邸,北投區泉源路,4房(室)3廳3衛,216坪,2-3/11樓,211年,住宅,205萬
YS182229,稀有雙橡園高樓景觀戶,北投區珠海路,2房(室)2廳1衛,241坪,9/14樓,234年,住宅,228萬
YS196539,中和街方正邊間大兩房美寓,北投區中和街,2房(室)2廳1衛,261坪,4/5樓,255年,住宅,252萬
YS161765,東初和風管理景觀美寓,北投區光明路,4房(室)2廳2衛,45坪,5/5樓,37年,住宅,26萬
YS192393,新北投公園旁小套房,北投區中山路,1房(室)1廳1衛,74坪,5/12樓,66年,住宅,59萬
YS183983,溫馨兩房.度假生活輕鬆擁有,北投區泉源路,2房(室)2廳2衛,99坪,4/11樓,92年,住宅,85萬
YS149376,富享榮華公園1樓,北投區榮華一路,5房(室)3廳2衛,126坪,B1-1/5樓,13年,住宅,112萬
YS189616,北投奇岩豪門景觀別墅,北投區奇岩路,6房(室)3廳4衛,141坪,1-2/2樓,146年,住宅,138萬
YS189708,近復興崗捷運便宜美妝一樓,北投區崗山路,4房(室)3廳3衛,174坪,1-B1/5樓,168年,住宅,163萬
YS197326,北投陽光公寓大四房,北投區公館路,4房(室)2廳2衛,188坪,3/4樓,191年,住宅,187萬
YS192303,精美社區公寓兩房,北投區溫泉路,2房(室)1廳1衛,217坪,5/5樓,212年,住宅,207萬
YS191940,珠海路優質美寓,北投區珠海路,3房(室)2廳2衛,237坪,4/5樓,231年,住宅,227萬
YS178568,奇岩稀有花園大空間,北投區奇岩路,4房(室)2廳3衛,262坪,1/5樓,255年,住宅,250萬
YS194016,北投低總價採光美宅,北投區溫泉路,1房(室)2廳1衛,43坪,5/5樓,36年,住宅,26萬
YS191788,屋主誠售!公館路美寓,北投區公館路,3房(室)2廳2衛,67坪,5/5樓,61年,住宅,57萬
YS180811,秀山居 透天厝,北投區中和街,4房(室)2廳2衛,83坪,1-2/2樓,88年,住宅,80萬
YS175462,重劃區旁邊間方正車庫一樓,北投區公館路,3房(室)2廳2衛,116坪,1/5樓,110年,住宅,107萬
YS196749,天母公園電梯精美大三房,北投區中山北路七段,3房(室)2廳2衛,136坪,2/7樓,132年,住宅,127萬
WS70563,廉售-北市保護區土地,北投區泉源段四小段,25,25坪,25/25樓,25年,土地,146萬
YS196926,薇閣保誠四房美裝雙車,北投區稻香路,4房(室)2廳3衛,174坪,4/5樓,168年,住宅,162萬
YS188582,石牌停車位,北投區自強街,車位,199坪,25/10樓,193年,車位,187萬
YS196966,明德捷運青木淳,北投區致遠一路一段,1房(室)2廳1衛,220坪,4/7樓,104年,獨立套房,211萬
YS180242,新裝立即入住管理代收電梯三房,北投區中山北路七段,3房(室)2廳2衛,136坪,2/7樓,132年,住宅,127萬
WS54648,D4獨家天母同德樹海景觀宅,北投區同德街,2房(室)2廳2衛,45坪,4/5樓,37年,住宅,26萬
YS194067,天母公園旁邊間三房管理名宅,北投區中山北路七段,3房(室)2廳2衛,71坪,5/7樓,65年,住宅,59萬
YS187808,文化國宅樹海景觀戶,北投區文化三路,3房(室)2廳2衛,94坪,7/7樓,87年,住宅,84萬
