物件編號,物件名稱,地址,格局,坪數,樓層,屋齡,類型,價格
WS70429,南港花園高樓抽坡車,南港區福德街,3房(室)2廳1衛,43坪,16/19樓,37年,住宅,25萬
ZS191511,南港I-City廠辦大樓,南港區成功路一段,開放式,73坪,7/14樓,66年,辦公,58萬
XS125506,世界心經貿景觀辦公,南港區重陽路,--房(室)2廳1衛,98坪,6/12樓,92年,辦公,85萬
ZS192271,舊莊街透天使用坪效佳,南港區舊莊街一段,8房(室)3廳4衛,114坪,1-3/3樓,120年,住宅,110萬
XS113059,中研超值雅寓,南港區研究院路三段,3房(室)2廳1衛,144坪,4/4樓,140年,住宅,135萬
ZS168679,玉成公園雙車位一樓,南港區成福路,6房(室)3廳2衛,168坪,1/5樓,163年,住宅,156萬
ZS193902,經貿地飆1F,南港區經貿二路,１廳１衛,194坪,1/9樓,188年,店面,181萬
XS124192,世界心高樓辦公,南港區重陽路,6室1廳1衛,213坪,9/12樓,92年,辦公,206萬
WS71415,南港中研院旁黃金三樓,南港區研究院路二段,2房(室)2廳1衛,231坪,3/4樓,227年,住宅,223萬
XS112342,胡適稀有透天別墅,南港區研究院路二段,4房(室)2廳2衛,252坪,1-2/2樓,247年,住宅,242萬
WS31587,&南港璽苑面中庭綠景,南港區經貿二路,3房2廳2衛2室,44坪,7/21樓,36年,住宅,26萬
XS127932,近四鐵共構2房附車位,南港區興南街,2房(室)2廳1.5衛,74坪,4/11樓,67年,住宅,60萬
WS49754,香榭帝寶高樓景觀戶,南港區重陽路,1房(室)1廳1衛,99坪,10/14樓,93年,住宅,86萬
CS161066,南港稀有低總價土地(都計內持分,南港區,27,27坪,27/27樓,27年,土地,111萬
ZS200090,中研寧靜便宜一樓,南港區研究院路二段,2房(室)2廳1衛,142坪,1/3樓,137年,住宅,130萬
ZS195924,中研綠意頂加雅寓,南港區研究院路三段,4房(室)3廳2衛,166坪,4/4樓,160年,住宅,155萬
WS70007,南軟風範採光二房車,南港區經貿二路,2房(室)2廳1衛,185坪,4/7樓,180年,住宅,177萬
WS58782,松山新矽谷氣派廠辦,南港區八德路四段,OPEN,208坪,10/13樓,203年,辦公,197萬
WS64091,後山埤二樓三房,南港區玉成街,3房2廳2衛1室,232坪,2/5樓,226年,住宅,220萬
ZS199283,中研壹樓好停車,南港區研究院路二段,3房(室)2廳2衛,245坪,1/4樓,246年,住宅,243萬
WS60003,F2南港核心遠見價值名門首選,南港區重陽路,3房(室)2廳2衛,44坪,2/19樓,37年,住宅,26萬
WS65213,南港陽光大兩房車,南港區向陽路,2房(室)2廳2衛,68坪,3/7樓,23年,住宅,57萬
ZS196804,風華中庭三房坡平車,南港區園區街,3房(室)2廳2衛,94坪,5/10樓,87年,住宅,82萬
WS61203,南軟二期超A辦,南港區園區街,OPEN,114坪,3/21樓,109年,辦公,104萬
WS64912,FZ9商一易規劃高投報鼎佳,南港區南港路三段,3房(室)2廳2衛,137坪,5/5樓,131年,住宅,126萬
WS69197,昆陽站使用大一樓,南港區昆陽街,2房(室)3廳2衛,151坪,1/4樓,155年,住宅,149萬
WS69190,南港漱夏三房大露台雙坡車,南港區松河街,3房(室)2廳2衛,178坪,2/9樓,173年,住宅,169萬
ZS147098,興東街電梯+車位A,南港區興東街,2房(室)2廳2衛,200坪,5/7樓,194年,住宅,191萬
WS42331,南港昆陽站映東騰唯一釋出,南港區昆陽街,2房(室)2廳2衛,218坪,9/17樓,213年,住宅,210萬
WS55094,華固卡地雅採光三房+坡車,南港區重陽路,3房(室)2廳2衛,236坪,7/9樓,231年,住宅,228萬
WS43831,K5收租王｜南軟中研小透天,南港區福山街,4房2廳2衛，加蓋2房1廳1衛,28坪,1-2/2樓,35年,住宅,26萬
ZS190931,日升月恆高樓山河景,南港區經貿二路,3房(室)2廳3衛,69坪,14/21樓,63年,住宅,55萬
WS66915,展覽館站邊間美寓,南港區富康街,4房(室)2廳3衛,83坪,4/4樓,87年,住宅,80萬
WS67910,松山精裝三房華廈,南港區八德路四段,3房(室)2廳2衛,115坪,5/6樓,110年,住宅,103萬
ZS198190,砳建築旁邊間雅寓,南港區重陽路,3室2廳2衛,137坪,3/4樓,132年,廠房,126萬
XS121409,A近南港車站產業專區土地,南港區,25,25坪,25/25樓,25年,土地,149萬
XS121416,B近南港車站產業專區土地,南港區,25,25坪,25/25樓,25年,土地,164萬
ZS199911,經貿區近LaLaport精品宅,南港區經貿二路,2房(室)2廳1衛,185坪,4/7樓,180年,住宅,175萬
YS197626,研究院路4+5樓誠意賣,南港區研究院路二段,4房(室)2廳1衛,206坪,4/4樓,200年,住宅,196萬
WS71321,南港近信義輕豪邸,南港區玉成街,4房3廳3衛1室,228坪,1-2/2樓,223年,住宅,218萬
WS71312,景觀綠世界未來捷運三房平車,南港區福德街,3房(室)2廳1衛,45坪,16/19樓,38年,住宅,26萬
ZS200545,經貿園區-邊間2房+車,南港區經貿二路,2房(室)2廳1衛,73坪,4/7樓,67年,住宅,59萬
WS71557,芬第美二房平面車位,南港區向陽路,2房(室)2廳1衛,95坪,6/9樓,90年,住宅,85萬
WS71585,南港車站面公園三房,南港區興華路,3房(室)2廳1衛,117坪,4/5樓,112年,住宅,106萬
WS71699,羽森琚挑高庭院一樓,南港區興南街,3房(室)2廳2衛,137坪,1/14樓,134年,住宅,128萬
WS71849,後山埤雙店面住辦1樓,南港區同德路,2房(室)2廳2衛,159坪,1/7樓,153年,住商,148萬
YS197613,南港經貿門戶店面,南港區中南街,5房(室)1廳1衛,172坪,1/2樓,176年,住宅,59萬
WS49772,南港2房稀有露臺附車位,南港區舊莊街一段,2房(室)2廳1衛,201坪,7/7樓,195年,住宅,192萬
XS94521,中研彩虹透天社區,南港區研究院路二段,6房(室)2廳3衛,228坪,B1-2/2樓,221年,住宅,214萬
ZS200677,南港松河街多功能黃金1樓,南港區松河街,開放式,252坪,1/5樓,246年,辦公,241萬
XS92939,南港長虹中研透天,南港區研究院路二段,6房(室)2廳3衛,44坪,1-2/2樓,37年,住宅,26萬
XS120636,2139南港一樓大空間,南港區福德街,2房(室)2廳1衛,73坪,1/4樓,66年,住宅,57萬
