物件名稱,路段,行政區_中山區,行政區_中正區,行政區_信義區,行政區_內湖區,行政區_北投區,行政區_南港區,行政區_士林區,行政區_大同區,行政區_大安區,行政區_文山區,行政區_松山區,行政區_萬華區,建坪,車位,房,廳,衛,室,有加蓋,總樓層,起始樓層,最高樓層,物件涵蓋層數,房屋類型_公寓,房屋類型_大樓,房屋類型_套房,房屋類型_華廈,房屋類型_透天
南港花園高樓抽坡車,福德街,0,0,0,0,0,1,0,0,0,0,0,0,43.0,0,3.0,2.0,1.0,3.0,0,19.0,16.0,16.0,1.0,0,1,0,0,0
南港I-City廠辦大樓,成功路一段,0,0,0,0,0,1,0,0,0,0,0,0,73.0,0,,,,,0,14.0,7.0,7.0,1.0,0,1,0,0,0
世界心經貿景觀辦公,重陽路,0,0,0,0,0,1,0,0,0,0,0,0,98.0,0,,2.0,1.0,,0,12.0,6.0,6.0,1.0,0,0,0,0,0
舊莊街透天使用坪效佳,舊莊街一段,0,0,0,0,0,1,0,0,0,0,0,0,114.0,0,8.0,3.0,4.0,8.0,0,3.0,1.0,3.0,3.0,0,0,0,0,1
中研超值雅寓,研究院路三段,0,0,0,0,0,1,0,0,0,0,0,0,144.0,0,3.0,2.0,1.0,3.0,0,4.0,4.0,4.0,1.0,0,1,0,0,0
玉成公園雙車位一樓,成福路,0,0,0,0,0,1,0,0,0,0,0,0,168.0,1,6.0,3.0,2.0,6.0,0,5.0,1.0,1.0,1.0,0,1,0,0,0
經貿地飆1F,經貿二路,0,0,0,0,0,1,0,0,0,0,0,0,194.0,0,,1.0,1.0,,0,9.0,1.0,1.0,1.0,0,0,0,0,0
世界心高樓辦公,重陽路,0,0,0,0,0,1,0,0,0,0,0,0,213.0,0,,1.0,1.0,,0,12.0,9.0,9.0,1.0,0,0,0,0,0
南港中研院旁黃金三樓,研究院路二段,0,0,0,0,0,1,0,0,0,0,0,0,231.0,0,2.0,2.0,1.0,2.0,0,4.0,3.0,3.0,1.0,0,1,0,0,0
胡適稀有透天別墅,研究院路二段,0,0,0,0,0,1,0,0,0,0,0,0,252.0,0,4.0,2.0,2.0,4.0,0,2.0,1.0,2.0,2.0,0,0,0,0,1
&南港璽苑面中庭綠景,經貿二路,0,0,0,0,0,1,0,0,0,0,0,0,44.0,0,,2.0,2.0,,0,21.0,7.0,7.0,1.0,0,1,0,0,0
近四鐵共構2房附車位,興南街,0,0,0,0,0,1,0,0,0,0,0,0,74.0,1,2.0,2.0,5.0,2.0,0,11.0,4.0,4.0,1.0,0,1,0,0,0
香榭帝寶高樓景觀戶,重陽路,0,0,0,0,0,1,0,0,0,0,0,0,99.0,0,1.0,1.0,1.0,1.0,0,14.0,10.0,10.0,1.0,0,1,0,0,0
南港稀有低總價土地(都計內持分,,0,0,0,0,0,1,0,0,0,0,0,0,27.0,0,,,,,0,27.0,27.0,27.0,1.0,0,0,0,0,0
中研寧靜便宜一樓,研究院路二段,0,0,0,0,0,1,0,0,0,0,0,0,142.0,0,2.0,2.0,1.0,2.0,0,3.0,1.0,1.0,1.0,0,1,0,0,0
中研綠意頂加雅寓,研究院路三段,0,0,0,0,0,1,0,0,0,0,0,0,166.0,0,4.0,3.0,2.0,4.0,0,4.0,4.0,4.0,1.0,0,1,0,0,0
南軟風範採光二房車,經貿二路,0,0,0,0,0,1,0,0,0,0,0,0,185.0,0,2.0,2.0,1.0,2.0,0,7.0,4.0,4.0,1.0,0,1,0,0,0
松山新矽谷氣派廠辦,八德路四段,0,0,0,0,0,1,0,0,0,0,0,0,208.0,0,,,,,0,13.0,10.0,10.0,1.0,0,0,0,0,0
後山埤二樓三房,玉成街,0,0,0,0,0,1,0,0,0,0,0,0,232.0,0,,2.0,2.0,,0,5.0,2.0,2.0,1.0,0,1,0,0,0
中研壹樓好停車,研究院路二段,0,0,0,0,0,1,0,0,0,0,0,0,245.0,0,3.0,2.0,2.0,3.0,0,4.0,1.0,1.0,1.0,0,1,0,0,0
F2南港核心遠見價值名門首選,重陽路,0,0,0,0,0,1,0,0,0,0,0,0,44.0,0,3.0,2.0,2.0,3.0,0,19.0,2.0,2.0,1.0,0,1,0,0,0
