物件編號,物件名稱,地址,格局,坪數,樓層,屋齡,類型,價格
WS71959,BZ6雙連｜時尚之星品味宅,大同區五原路,1房(室)1廳1衛,42坪,13/14樓,35年,住宅,25萬
WS46567,FZ1圓山｜邊間｜大三房美寓,大同區哈密街,3房(室)2廳2衛,72坪,4/5樓,66年,住宅,59萬
WS71174,EZ4捷運大橋頭站｜三房坡車,大同區重慶北路三段,3房(室)2廳2衛,95坪,2/15樓,90年,住宅,84萬
WS65600,BZ4大橋頭捷運公寓三樓,大同區環河北路二段,1房(室)2廳1衛,118坪,3/5樓,112年,住宅,107萬
WS23647,樂水莊倉儲式雙車位,大同區承德路三段,--房(室)--廳--衛,145坪,B3/12樓,139年,車位,131萬
WS64343,IZ4稀有圓山傳家大戶宅邸,大同區酒泉街,6房(室)3廳3衛,168坪,2/7樓,162年,住宅,156萬
WS70899,C6永田町大邊間採光大樓,大同區太原路,2房(室)1廳1衛,189坪,8/12樓,184年,住宅,179萬
WS70646,HZ4圓山捷運稀有低總頂家,大同區大龍街,4房(室)2廳2衛,209坪,5/5樓,204年,住宅,199萬
ZS190042,I10近捷運稀有都更透天,大同區大龍街,9房(室)2廳3衛,223坪,1-2/2樓,226年,住宅,220萬
WS43107,EZ9金瑞山優質可2房,大同區延平北路二段,1房(室)1廳1衛,251坪,7/12樓,245年,住宅,242萬
WS52197,DZ4台北雙星｜低總兩房,大同區南京西路,2房(室)2廳1衛,45坪,9/14樓,37年,住宅,25萬
WS57472,JZ6重慶傳家金店,大同區重慶北路一段,3房(室)2廳1衛,63坪,1/1樓,67年,住宅,61萬
ZS186297,CZ6京站雙子星高樓美屋A,大同區市民大道一段,1房(室)1廳1衛,93坪,17/18樓,89年,住宅,83萬
WS70425,EZ5大稻埕古色古香文創古宅,大同區西寧北路,3房(室)2廳1衛,104坪,2/2樓,47年,住宅,103萬
WS70471,CZ9當代一號院｜2房露台車,大同區重慶北路三段,2房(室)2廳1衛,133坪,2/16樓,128年,住宅,123萬
WS70743,FZ6民權西路｜捷運大三房,大同區民權西路,3房(室)2廳2衛,156坪,7/12樓,151年,住宅,145萬
WS70761,新碩文曲全新電梯大樓兩房,大同區重慶北路二段,2房(室)2廳1衛,178坪,11/15樓,172年,住宅,167萬
WS70774,新碩文曲電梯三房坡平車位,大同區重慶北路二段,3房(室)2廳2衛,193坪,13/15樓,172年,住宅,189萬
WS71062,C6永田町高樓景觀美宅,大同區太原路,1房(室)1廳1衛,212坪,8/12樓,81年,住宅,204萬
WS71433,C6永田町發發邊間大戶,大同區太原路,3房(室)2廳2衛,227坪,8/12樓,81年,住商,223萬
ZS186505,J4雙子星住辦一樓地下室,大同區長安西路,1房(室)1廳1衛,44坪,1/7樓,36年,住商,25萬
WS45851,I10圓山透天收租土地持分大,大同區大龍街,20房(室)4廳18衛,76坪,1-3/3樓,70年,住宅,59萬
WS61112,F4台北雙星｜電梯三房華廈,大同區南京西路,3房(室)2廳2衛,99坪,4/6樓,93年,住宅,87萬
ZS186293,CZ6京站雙子星大房美屋,大同區市民大道一段,1房(室)1廳1衛,122坪,5/18樓,118年,住宅,112萬
WS68843,J10捷運邊間美景純辦,大同區重慶北路二段,--房(室)1廳--衛,147坪,12/12樓,141年,辦公,134萬
QS43918,大稻埕煙火邊間獨棟鼎家,大同區民生西路,2房(室)4廳1衛,161坪,4/4樓,164年,住宅,159萬
WS44951,D9低總價輕奢兩房,大同區延平北路二段,2房(室)1廳1衛,193坪,9/11樓,187年,住宅,181萬
