物件名稱,路段,行政區_中山區,行政區_中正區,行政區_信義區,行政區_內湖區,行政區_北投區,行政區_南港區,行政區_士林區,行政區_大同區,行政區_大安區,行政區_文山區,行政區_松山區,行政區_萬華區,建坪,車位,房,廳,衛,室,有加蓋,總樓層,起始樓層,最高樓層,物件涵蓋層數,房屋類型_公寓,房屋類型_大樓,房屋類型_套房,房屋類型_華廈,房屋類型_透天
BZ6雙連｜時尚之星品味宅,五原路,0,0,0,0,0,0,0,1,0,0,0,0,42.0,0,1.0,1.0,1.0,1.0,0,14.0,13.0,13.0,1.0,0,1,0,0,0
FZ1圓山｜邊間｜大三房美寓,哈密街,0,0,0,0,0,0,0,1,0,0,0,0,72.0,0,3.0,2.0,2.0,3.0,0,5.0,4.0,4.0,1.0,0,1,0,0,0
EZ4捷運大橋頭站｜三房坡車,重慶北路三段,0,0,0,0,0,0,0,1,0,0,0,0,95.0,0,3.0,2.0,2.0,3.0,0,15.0,2.0,2.0,1.0,0,1,0,0,0
BZ4大橋頭捷運公寓三樓,環河北路二段,0,0,0,0,0,0,0,1,0,0,0,0,118.0,0,1.0,2.0,1.0,1.0,0,5.0,3.0,3.0,1.0,1,0,0,0,0
樂水莊倉儲式雙車位,承德路三段,0,0,0,0,0,0,0,1,0,0,0,0,145.0,1,,,,,0,12.0,-3.0,-3.0,1.0,0,0,0,0,0
IZ4稀有圓山傳家大戶宅邸,酒泉街,0,0,0,0,0,0,0,1,0,0,0,0,168.0,0,6.0,3.0,3.0,6.0,0,7.0,2.0,2.0,1.0,0,1,0,0,0
C6永田町大邊間採光大樓,太原路,0,0,0,0,0,0,0,1,0,0,0,0,189.0,0,2.0,1.0,1.0,2.0,0,12.0,8.0,8.0,1.0,0,1,0,0,0
HZ4圓山捷運稀有低總頂家,大龍街,0,0,0,0,0,0,0,1,0,0,0,0,209.0,0,4.0,2.0,2.0,4.0,0,5.0,5.0,5.0,1.0,0,1,0,0,0
I10近捷運稀有都更透天,大龍街,0,0,0,0,0,0,0,1,0,0,0,0,223.0,0,9.0,2.0,3.0,9.0,0,2.0,1.0,2.0,2.0,0,0,0,0,1
EZ9金瑞山優質可2房,延平北路二段,0,0,0,0,0,0,0,1,0,0,0,0,251.0,0,1.0,1.0,1.0,1.0,0,12.0,7.0,7.0,1.0,0,1,0,0,0
DZ4台北雙星｜低總兩房,南京西路,0,0,0,0,0,0,0,1,0,0,0,0,45.0,0,2.0,2.0,1.0,2.0,0,14.0,9.0,9.0,1.0,0,1,0,0,0
JZ6重慶傳家金店,重慶北路一段,0,0,0,0,0,0,0,1,0,0,0,0,63.0,0,3.0,2.0,1.0,3.0,0,1.0,1.0,1.0,1.0,0,1,0,0,0
CZ6京站雙子星高樓美屋A,市民大道一段,0,0,0,0,0,0,0,1,0,0,0,0,93.0,0,1.0,1.0,1.0,1.0,0,18.0,17.0,17.0,1.0,0,1,0,0,0
EZ5大稻埕古色古香文創古宅,西寧北路,0,0,0,0,0,0,0,1,0,0,0,0,104.0,0,3.0,2.0,1.0,3.0,0,2.0,2.0,2.0,1.0,0,1,0,0,0
CZ9當代一號院｜2房露台車,重慶北路三段,0,0,0,0,0,0,0,1,0,0,0,0,133.0,0,2.0,2.0,1.0,2.0,0,16.0,2.0,2.0,1.0,0,1,0,0,0
FZ6民權西路｜捷運大三房,民權西路,0,0,0,0,0,0,0,1,0,0,0,0,156.0,0,3.0,2.0,2.0,3.0,0,12.0,7.0,7.0,1.0,0,1,0,0,0
新碩文曲全新電梯大樓兩房,重慶北路二段,0,0,0,0,0,0,0,1,0,0,0,0,178.0,0,2.0,2.0,1.0,2.0,0,15.0,11.0,11.0,1.0,0,1,0,0,0
新碩文曲電梯三房坡平車位,重慶北路二段,0,0,0,0,0,0,0,1,0,0,0,0,193.0,1,3.0,2.0,2.0,3.0,0,15.0,13.0,13.0,1.0,0,1,0,0,0
C6永田町高樓景觀美宅,太原路,0,0,0,0,0,0,0,1,0,0,0,0,212.0,0,1.0,1.0,1.0,1.0,0,12.0,8.0,8.0,1.0,0,1,0,0,0
C6永田町發發邊間大戶,太原路,0,0,0,0,0,0,0,1,0,0,0,0,227.0,0,3.0,2.0,2.0,3.0,0,12.0,8.0,8.0,1.0,0,0,0,0,0
J4雙子星住辦一樓地下室,長安西路,0,0,0,0,0,0,0,1,0,0,0,0,44.0,0,1.0,1.0,1.0,1.0,0,7.0,1.0,1.0,1.0,0,0,0,0,0
I10圓山透天收租土地持分大,大龍街,0,0,0,0,0,0,0,1,0,0,0,0,76.0,0,20.0,4.0,18.0,20.0,0,3.0,1.0,3.0,3.0,0,0,0,0,1
F4台北雙星｜電梯三房華廈,南京西路,0,0,0,0,0,0,0,1,0,0,0,0,99.0,0,3.0,2.0,2.0,3.0,0,6.0,4.0,4.0,1.0,0,0,0,1,0
CZ6京站雙子星大房美屋,市民大道一段,0,0,0,0,0,0,0,1,0,0,0,0,122.0,0,1.0,1.0,1.0,1.0,0,18.0,5.0,5.0,1.0,0,1,0,0,0
J10捷運邊間美景純辦,重慶北路二段,0,0,0,0,0,0,0,1,0,0,0,0,147.0,0,,1.0,,,0,12.0,12.0,12.0,1.0,0,0,0,0,0
大稻埕煙火邊間獨棟鼎家,民生西路,0,0,0,0,0,0,0,1,0,0,0,0,161.0,0,2.0,4.0,1.0,2.0,0,4.0,4.0,4.0,1.0,0,1,0,0,0
D9低總價輕奢兩房,延平北路二段,0,0,0,0,0,0,0,1,0,0,0,0,193.0,0,2.0,1.0,1.0,2.0,0,11.0,9.0,9.0,1.0,0,1,0,0,0
D1台北雙星美妝電梯兩房,延平北路二段,0,0,0,0,0,0,0,1,0,0,0,0,210.0,0,2.0,1.0,1.0,2.0,0,11.0,8.0,8.0,1.0,0,1,0,0,0
大橋綻復古全新金店面,延平北路二段,0,0,0,0,0,0,0,1,0,0,0,0,229.0,0,,,1.0,,0,9.0,1.0,1.0,1.0,0,0,0,0,0
JZ6廣宇萬和全新挑高店面,民族西路,0,0,0,0,0,0,0,1,0,0,0,0,253.0,0,,,,,0,15.0,1.0,1.0,1.0,0,0,0,0,0
DZ3專任台北雙星低總價2房,延平北路二段,0,0,0,0,0,0,0,1,0,0,0,0,30.0,0,2.0,2.0,1.0,2.0,0,4.0,2.0,2.0,1.0,0,1,0,0,0
DZ3專任台北雙星低總價3房,延平北路二段,0,0,0,0,0,0,0,1,0,0,0,0,58.0,0,3.0,1.0,1.0,3.0,0,4.0,2.0,2.0,1.0,0,1,0,0,0
CZ6京站雙子星高樓美屋B,市民大道一段,0,0,0,0,0,0,0,1,0,0,0,0,84.0,0,1.0,1.0,1.0,1.0,0,18.0,17.0,17.0,1.0,0,1,0,0,0
大同老師里低總美寓,重慶北路三段,0,0,0,0,0,0,0,1,0,0,0,0,105.0,0,3.0,2.0,2.0,3.0,0,5.0,4.0,4.0,1.0,0,1,0,0,0
民西捷運面公園美裝潢,民權西路,0,0,0,0,0,0,0,1,0,0,0,0,128.0,0,3.0,2.0,1.0,3.0,0,5.0,4.0,4.0,1.0,0,1,0,0,0
