物件編號,物件名稱,地址,格局,坪數,樓層,屋齡,類型,價格
ZS200742,民生社區四房美廈,松山區民生東路五段,4房(室)2廳2衛,42坪,5/15樓,36年,住宅,25萬
WS70605,J8南京巨蛋低公設純辦,松山區南京東路五段,--房(室)1廳--衛,72坪,8/12樓,65年,辦公,57萬
WS71719,台北摩根後棟邊間原始2房,松山區南京東路五段,1房(室)1廳1衛,95坪,7/18樓,89年,住宅,84萬
WS71965,D4近松山機場民權東兩房,松山區民權東路三段,2房(室)2廳2衛,60坪,7/12樓,112年,住宅,107萬
MS116463,驚喜價國際級夜市優質店面,松山區八德路四段,--房(室)3廳2衛,141坪,B1-1/12樓,135年,店面,129萬
WS36919,建築賞山河景觀樓中樓,松山區八德路四段,3房(室)4廳3衛,165坪,14/14樓,159年,住宅,154萬
WS71367,BZ8台北摩根｜輕奢品味宅,松山區南京東路五段,1房(室)1廳1衛,179坪,7/18樓,89年,住宅,176萬
WS71477,雙敦樹海電梯採光鼎佳,松山區敦化南路一段,4房(室)3廳3衛,201坪,7/7樓,196年,住宅,191萬
ZS177288,B2地上權松山露台兩房戶,松山區南京東路五段,1房(室)1廳1衛,221坪,2/3樓,216年,住宅,212萬
WS42682,民生邊間大戶美廈,松山區民生東路五段,4室2廳2衛,42坪,5/15樓,36年,住商,25萬
WS50250,民生社區林蔭頂佳,松山區民權東路五段,5房(室)3廳3衛,42坪,5/5樓,35年,住宅,26萬
WS69349,民生社區高樓山景四房,松山區民生東路五段,4房(室)2廳2衛,72坪,13/15樓,66年,住宅,58萬
WS71050,南京三民摩根稀有小宅,松山區南京東路五段,1房(室)1廳1衛,96坪,7/18樓,91年,住宅,84萬
WS69068,松山新城樹景4房車,松山區健康路,4房(室)2廳2衛,119坪,3/13樓,113年,住宅,108萬
WS69624,富春花園電梯3房,松山區敦化北路,3房(室)2廳2衛,143坪,2/7樓,137年,住宅,131萬
ZS164661,復北民權商辦,松山區復興北路,OPEN,167坪,13/15樓,161年,辦公,155萬
WS42074,K5收租王｜南京三民3百米,松山區南京東路五段,5房(室)--廳5衛,189坪,5/12樓,182年,住宅,25萬
WS44538,南京三民邊間4房+車位,松山區吉祥路,4房(室)2廳2衛,208坪,4/7樓,203年,住宅,199萬
ZS182833,K9合法隔套｜南京三民華廈,松山區寶清街,5房3廳3衛3陽(加蓋1房1廳1衛),228坪,7/7樓,222年,住宅,178萬
YS137753,南京三民挑高一樓,松山區南京東路五段,3房(室)2廳1衛,253坪,1/6樓,245年,住宅,240萬
ZS179891,民生重劃區美妝一樓,松山區民權東路三段,6房(室)4廳4衛,44坪,B1-1/7樓,37年,住宅,26萬
WS70765,碧硯閣高樓三房+車位,松山區三民路,3房(室)2廳2衛,71坪,13/24樓,66年,住宅,58萬
WS71251,F5民生社區稀有採光雅寓,松山區新東街,3房(室)2廳2衛,93坪,4/4樓,88年,住宅,83萬
YS173322,小巨蛋捷運美住辦,松山區八德路三段,3房2廳2衛1室,118坪,2/12樓,112年,住商,105萬
WS45726,敦化介壽全新美裝潢四房+車位,松山區八德路三段,4房(室)2廳2衛,118坪,2/12樓,112年,住商,105萬
ZS199991,光北京華二樓,松山區光復北路,--房(室)5廳1衛,150坪,2/12樓,112年,住宅,139萬
